Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-2.057141,13.694069,-0.286627,14.262537,19.096878,-10.649229,0.374781,9.148866,-0.365277,-37.083118,68.034940,16.749650,74.729717,-167.351546,-70.149011,-34.457094,-32.148259,63.913709,-34.126438,-32.306342,64.001341,18.887957,-2.850020,34.944304,10.054110,-9.126926,34.433889,3.552659,-25.699760,-10.424810,5.076037,-17.390796,-10.375297,-2.042805,-29.345671,9.296239,-1.657015,-31.719513,9.171560,8.436190,-18.967287,1.676144,10.586107,-59.925874,-7.106255,0.717046,-2.098500,-2.984840,-2.928691,-102.542640,-0.049637,3.112634,4.033590,-1.756341,0.191262,-66.445213,-2.378397,3.803970,-68.662311,-10.281651,3.487502,-75.533895,-13.589607,-1.405941,-89.858936,-0.621637,-1.417632,-90.958398,-0.596837,-7.052190,-59.480343,-7.420757,-7.690917,-64.474518,-7.266487,-2.053024,-80.617542,-17.282995,-3.070962,-82.975913,-15.579946,-5.155579,-91.452903,-1.520665,-5.024889,-86.955849,-1.819948,-4.299852,-58.784967,-1.140279,-4.456889,-66.690376,-1.138564,15.315436,-5.567044,-24.893149,15.315442,-5.567058,-24.893151,8.192734,-86.861130,-5.175597,7.815045,-84.841342,0.546142,-6.211412,-83.590741,-7.900809,-4.806814,-73.762246,-8.399982,-4.490307,-50.199319,2.372461,-3.472374,-72.097236,2.898366,1
-1.969403,13.754368,-0.352859,12.991876,18.524381,-9.844046,0.506579,9.943708,-0.419004,-36.892650,68.241309,16.529814,74.733220,-166.133844,-68.979042,-34.483437,-32.135611,63.906665,-34.144968,-32.297820,63.996661,18.820242,-2.902907,34.923755,10.049768,-9.130642,34.426180,3.538293,-25.777996,-10.424247,5.067689,-17.436547,-10.376180,-2.013771,-29.523213,9.287472,-1.691847,-31.503827,9.183553,8.425787,-18.845614,1.692183,10.616548,-59.929867,-7.153015,0.740447,-1.649150,-2.980033,-2.928703,-102.555939,-0.048937,3.120035,4.275369,-1.748305,0.191272,-66.445171,-2.378389,3.810621,-68.616848,-10.275453,3.500817,-75.527023,-13.625146,-1.404652,-89.741196,-0.624275,-1.418126,-91.006316,-0.595751,-7.042412,-59.404696,-7.422654,-7.689027,-64.459603,-7.267039,-2.036006,-80.570056,-17.294872,-3.069104,-82.981805,-15.599047,-5.155141,-91.436375,-1.521776,-5.024837,-86.954061,-1.820046,-4.299805,-58.782040,-1.140271,-4.456424,-66.666081,-1.138603,15.315442,-5.567046,-24.893152,15.315440,-5.567043,-24.893169,8.193282,-86.862218,-5.185622,7.815513,-84.842962,0.541689,-6.205823,-83.550267,-7.903353,-4.799514,-73.712690,-8.401877,-4.489975,-50.207583,2.372732,-3.472043,-72.103694,2.898467,1
-1.935437,13.800871,-0.321531,4.647733,11.580215,0.907674,-0.020480,5.188814,-3.398043,-36.563249,68.511923,16.254010,74.610734,-163.506959,-66.419058,-34.592365,-32.082769,63.877146,-34.171250,-32.285380,63.989796,18.747840,-2.969723,34.867123,10.038847,-9.138649,34.415052,3.521753,-25.868054,-10.423544,5.055428,-17.503865,-10.377463,-1.984934,-29.699688,9.278684,-1.714946,-31.360969,9.191423,8.393125,-18.607877,1.726864,10.608907,-59.989827,-7.161837,0.760254,-1.268780,-2.975832,-2.928710,-102.561252,-0.048650,3.127333,4.515692,-1.740278,0.193244,-66.397835,-2.379245,3.816790,-68.549222,-10.258164,3.492009,-75.575274,-13.636686,-1.403970,-89.677009,-0.625716,-1.418375,-91.030207,-0.595220,-7.035650,-59.352437,-7.423979,-7.685479,-64.431526,-7.268056,-2.008057,-80.484998,-17.304998,-3.080218,-83.018702,-15.592105,-5.155301,-91.443032,-1.521332,-5.024187,-86.933646,-1.821397,-4.299726,-58.778191,-1.140266,-4.455758,-66.633541,-1.138642,15.315437,-5.567040,-24.893164,15.315448,-5.567052,-24.893170,8.197966,-86.826185,-5.200195,7.814818,-84.863530,0.546409,-6.209936,-83.580060,-7.901485,-4.798467,-73.705611,-8.402143,-4.489148,-50.227489,2.373381,-3.469556,-72.152914,2.899202,1
-1.905137,13.841975,-0.297093,4.360006,11.199280,0.379536,0.053372,5.357135,-3.093897,-36.193380,68.805187,15.949257,74.496314,-161.334939,-64.321215,-34.738645,-32.011393,63.837125,-34.206263,-32.268375,63.980365,18.667627,-3.046964,34.793608,10.024762,-9.149565,34.400556,3.504625,-25.961314,-10.422787,5.042117,-17.576770,-10.378830,-1.955120,-29.882360,9.269453,-1.736605,-31.227162,9.198730,8.352179,-18.350025,1.765667,10.592193,-60.079624,-7.167171,0.773457,-1.014286,-2.972928,-2.928709,-102.565182,-0.048443,3.134578,4.755007,-1.732259,0.196041,-66.330518,-2.380440,3.822758,-68.478432,-10.239103,3.476546,-75.644057,-13.644165,-1.403330,-89.618537,-0.627030,-1.418563,-91.048522,-0.594797,-7.029439,-59.304419,-7.425170,-7.681315,-64.398601,-7.269252,-1.977794,-80.392578,-17.315380,-3.095305,-83.066568,-15.579294,-5.155541,-91.452006,-1.520729,-5.023324,-86.906779,-1.823157,-4.299645,-58.773953,-1.140252,-4.455056,-66.598631,-1.138714,15.315441,-5.567041,-24.893161,15.315440,-5.567049,-24.893163,8.203468,-86.782126,-5.214673,7.813856,-84.887820,0.553321,-6.216055,-83.624392,-7.898697,-4.798439,-73.705393,-8.402158,-4.488367,-50.246215,2.373980,-3.466359,-72.216210,2.900147,1
-1.878774,13.876721,-0.277305,3.676817,9.616479,0.077945,0.085658,4.883343,-2.617657,-35.848969,69.067941,15.669987,74.401152,-159.630608,-62.691648,-34.918024,-31.923653,63.787735,-34.248995,-32.248034,63.969115,18.581063,-3.132587,34.705013,10.007128,-9.162799,34.382589,3.486962,-26.057517,-10.421978,5.027876,-17.654834,-10.380272,-1.924556,-30.069950,9.259909,-1.757250,-31.099603,9.205650,8.301120,-18.075139,1.808614,10.567722,-60.200374,-7.171268,0.782323,-0.843806,-2.970962,-2.928716,-102.567814,-0.048310,3.141803,4.995102,-1.724187,0.199686,-66.242987,-2.382001,3.828546,-68.404474,-10.218332,3.454625,-75.733838,-13.648570,-1.402731,-89.564945,-0.628224,-1.418708,-91.062321,-0.594489,-7.023664,-59.259699,-7.426274,-7.676573,-64.361055,-7.270604,-1.945409,-80.293453,-17.326026,-3.114110,-83.125258,-15.561674,-5.155851,-91.463186,-1.519977,-5.022267,-86.873535,-1.825322,-4.299549,-58.769403,-1.140253,-4.454337,-66.561447,-1.138764,15.315445,-5.567045,-24.893155,15.315440,-5.567043,-24.893167,8.209802,-86.730425,-5.229115,7.812578,-84.915750,0.563024,-6.224204,-83.683600,-7.894952,-4.799195,-73.710555,-8.401963,-4.487625,-50.264150,2.374578,-3.462461,-72.293067,2.901272,1
-1.913907,13.852403,-0.221992,1.451205,-0.725808,3.820477,6.304405,2.633577,-3.820477,-35.703376,69.486520,15.630230,74.406526,-157.909361,-61.046896,-35.102255,-31.832234,63.735965,-34.281887,-32.232398,63.960464,18.439774,-3.257344,34.607433,9.986634,-9.177848,34.368687,3.465663,-26.173576,-10.420953,5.001703,-17.798302,-10.382873,-1.873192,-30.385439,9.243593,-1.781182,-30.952044,9.213614,8.270315,-17.783185,1.847457,10.555953,-60.246942,-7.169276,0.788300,-0.728134,-2.969607,-2.928647,-102.498864,-0.051970,3.149817,5.261665,-1.715195,0.202711,-66.170068,-2.383268,3.836942,-68.326350,-10.201381,3.439344,-75.770561,-13.630605,-1.402063,-89.502169,-0.629641,-1.418579,-91.049750,-0.594764,-7.015084,-59.193497,-7.427923,-7.675852,-64.355352,-7.270822,-1.909559,-80.197781,-17.355227,-3.121537,-83.137187,-15.537661,-5.156445,-91.485345,-1.518465,-5.021118,-86.837656,-1.827665,-4.299479,-58.765224,-1.140246,-4.454215,-66.555842,-1.138774,15.315450,-5.567041,-24.893151,15.315446,-5.567043,-24.893158,8.221400,-86.658329,-5.288003,7.809835,-84.904587,0.590308,-6.238790,-83.789362,-7.888254,-4.797407,-73.698431,-8.402417,-4.486900,-50.281637,2.375138,-3.460574,-72.330572,2.901811,1
-1.949255,13.831261,-0.174332,1.393813,0.191795,2.856094,6.437907,3.208641,-3.944778,-35.571037,69.818644,15.585016,74.394355,-156.517416,-59.728606,-35.301228,-31.732928,63.679443,-34.317136,-32.215804,63.951286,18.284506,-3.394297,34.502561,9.963271,-9.195241,34.353819,3.443526,-26.294180,-10.419870,4.972509,-17.958186,-10.385724,-1.818659,-30.720979,9.225956,-1.804984,-30.805214,9.221487,8.238413,-17.482764,1.887115,10.542659,-60.292312,-7.164571,0.792456,-0.648159,-2.968664,-2.928569,-102.405114,-0.056942,3.157830,5.530834,-1.706065,0.206047,-66.089973,-2.384681,3.845662,-68.245848,-10.184176,3.422978,-75.807038,-13.609006,-1.401373,-89.440842,-0.631015,-1.418383,-91.032468,-0.595159,-7.006295,-59.125531,-7.429575,-7.675484,-64.352489,-7.270916,-1.871834,-80.099508,-17.388573,-3.129297,-83.146082,-15.507143,-5.157107,-91.511173,-1.516724,-5.019848,-86.797334,-1.830290,-4.299374,-58.760925,-1.140248,-4.454182,-66.553802,-1.138776,15.315444,-5.567039,-24.893162,15.315442,-5.567054,-24.893168,8.234874,-86.577091,-5.357473,7.806537,-84.890159,0.623002,-6.256409,-83.917419,-7.880132,-4.795716,-73.686935,-8.402866,-4.486200,-50.298681,2.375701,-3.458715,-72.367274,2.902344,1
-2.005252,13.789517,-0.146234,1.107938,-3.982363,1.745223,8.791130,1.745223,-2.109969,-36.124755,70.378598,15.563200,74.322807,-157.274015,-60.702351,-35.385556,-31.690563,63.655231,-34.356698,-32.196564,63.940579,18.180841,-3.479219,34.453595,9.900302,-9.240257,34.336760,3.431122,-26.361801,-10.419224,4.936492,-18.155408,-10.389108,-1.786856,-30.917057,9.215499,-1.812982,-30.755961,9.224097,8.196597,-17.141416,1.933187,10.537366,-60.259098,-7.145339,0.795401,-0.591649,-2.968003,-2.928466,-102.324093,-0.061241,3.165192,5.779337,-1.697607,0.207496,-66.055070,-2.385286,3.868099,-68.087980,-10.161997,3.421012,-75.791695,-13.590437,-1.400842,-89.392375,-0.632093,-1.418251,-91.017819,-0.595496,-6.998416,-59.064693,-7.431062,-7.678455,-64.375981,-7.270075,-1.808513,-79.922791,-17.428555,-3.125339,-83.117630,-15.486800,-5.158072,-91.547169,-1.514277,-5.019230,-86.778155,-1.831544,-4.299186,-58.751389,-1.140239,-4.454656,-66.577790,-1.138733,15.315443,-5.567043,-24.893158,15.315444,-5.567048,-24.893161,8.253471,-86.438321,-5.409062,7.802868,-84.836381,0.662086,-6.273451,-84.041351,-7.872200,-4.798854,-73.708209,-8.402041,-4.485393,-50.318472,2.376341,-3.454622,-72.448096,2.903528,1
-2.061906,13.746658,-0.117803,1.232109,-3.637985,1.683479,9.014924,2.249688,-2.222258,-36.543304,70.854776,15.525124,74.268534,-157.559462,-61.149501,-35.455763,-31.655250,63.635022,-34.397654,-32.177048,63.929744,18.082736,-3.558005,34.411466,9.823359,-9.294364,34.318713,3.420071,-26.421951,-10.418657,4.897845,-18.366909,-10.392600,-1.757485,-31.098228,9.205740,-1.818945,-30.719147,9.226040,8.151966,-16.792807,1.980187,10.531376,-60.216885,-7.122044,0.797513,-0.550835,-2.967516,-2.928381,-102.235082,-0.065990,3.172471,6.025646,-1.689192,0.208719,-66.026170,-2.385800,3.893936,-67.910301,-10.138432,3.420038,-75.768827,-13.568900,-1.400336,-89.347320,-0.633091,-1.418077,-91.001243,-0.595864,-6.990635,-59.004495,-7.432512,-7.682126,-64.404930,-7.269022,-1.738288,-79.727415,-17.472229,-3.120210,-83.083830,-15.465217,-5.159126,-91.587902,-1.511520,-5.018719,-86.761462,-1.832646,-4.298984,-58.740537,-1.140214,-4.455212,-66.606198,-1.138690,15.315446,-5.567039,-24.893160,15.315444,-5.567049,-24.893161,8.274600,-86.279293,-5.460748,7.798646,-84.763867,0.706982,-6.291661,-84.173933,-7.863694,-4.802646,-73.734079,-8.401055,-4.484546,-50.338619,2.376992,-3.449997,-72.539472,2.904858,1
-2.099068,13.701230,-0.126660,-0.751641,-0.223663,0.397438,4.432310,6.113316,1.632989,-36.740895,70.628619,15.651054,74.252512,-157.906040,-61.444853,-35.490716,-31.637363,63.624747,-34.449225,-32.151869,63.915701,18.006456,-3.617254,34.387567,9.772125,-9.330826,34.296772,3.412264,-26.464483,-10.418233,4.863350,-18.555752,-10.395586,-1.735042,-31.236752,9.198196,-1.819672,-30.714707,9.226295,8.109002,-16.490669,2.021515,10.553932,-60.105657,-7.118514,0.799079,-0.520705,-2.967156,-2.928307,-102.169290,-0.069480,3.179650,6.269896,-1.680824,0.208574,-66.029383,-2.385743,3.926452,-67.705030,-10.117059,3.433514,-75.719318,-13.571006,-1.399810,-89.297944,-0.634218,-1.418286,-91.020843,-0.595426,-6.983558,-58.949968,-7.433840,-7.686591,-64.440345,-7.267739,-1.661178,-79.515494,-17.521660,-3.100796,-83.014023,-15.470243,-5.160361,-91.634754,-1.508355,-5.019079,-86.773030,-1.831886,-4.298951,-58.739203,-1.140224,-4.455504,-66.620747,-1.138666,15.315443,-5.567040,-24.893160,15.315446,-5.567047,-24.893154,8.296438,-86.118603,-5.514411,7.798656,-84.662967,0.713934,-6.305929,-84.277832,-7.857000,-4.809071,-73.777640,-8.399379,-4.482750,-50.382102,2.378408,-3.448419,-72.570961,2.905308,1
