Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
0.054307,12.713123,0.365350,-0.621175,0.203192,-3.116586,0.857976,-0.542307,-2.807049,-11.095627,83.115250,17.347143,74.136896,162.114115,-93.963690,-44.206227,-26.104597,60.069820,-37.412270,-30.618519,63.024596,17.561607,-4.910436,30.509985,9.802881,-9.383750,33.070125,4.114295,-22.642085,-10.432375,3.441667,-26.304311,-10.419773,-7.895726,5.557576,9.220907,-1.201344,-34.569095,9.000998,0.356650,-27.885891,4.437474,8.672167,-59.385542,-4.106076,0.185657,-12.163924,-3.043945,-2.922182,-99.613684,-0.205063,2.900107,-2.516351,-1.961732,0.319576,-63.389555,-2.429440,4.422783,-28.595585,-3.133141,2.429295,-79.754871,-13.655895,0.163704,-14.227562,-1.400650,-1.415679,-90.771464,-0.601064,0.141554,0.899826,-4.910789,-7.871270,-65.907519,-7.211945,7.882917,-27.363484,-10.061834,-4.500528,-87.279001,-12.734133,-0.783449,-16.041014,-4.136629,-4.815504,-80.973840,-2.200447,-3.422584,-6.237329,-0.640685,-4.529400,-70.362758,-1.130393,15.315439,-5.567040,-24.893159,15.315445,-5.567043,-24.893147,2.142018,-12.083973,9.789274,7.130976,-84.493530,6.549732,2.766426,-21.176405,-6.829034,-4.975448,-74.911723,-8.354160,-5.635579,-0.515250,0.110612,-3.096511,-79.416332,2.982934,1
0.056590,12.702447,0.383249,1.294773,-1.039040,3.061666,0.914954,0.737529,0.083266,-11.084529,83.115072,17.343217,74.164444,162.057860,-94.021757,-44.233751,-26.083111,60.054839,-37.426161,-30.610726,63.019891,17.538590,-4.927858,30.495516,9.811567,-9.378482,33.064465,4.110341,-22.663652,-10.432423,3.438177,-26.323318,-10.419600,-7.895540,5.556444,9.220933,-1.195246,-34.607640,8.998532,0.352520,-27.905112,4.440519,8.671043,-59.391302,-4.105709,0.187212,-12.134810,-3.043908,-2.922270,-99.632424,-0.204063,2.900594,-2.501499,-1.961291,0.319927,-63.381344,-2.429580,4.417685,-28.579383,-3.129072,2.425624,-79.775161,-13.661906,0.164212,-14.207315,-1.400547,-1.415654,-90.770570,-0.601095,0.142834,0.914978,-4.909267,-7.868442,-65.884995,-7.212813,7.883336,-27.329731,-10.055112,-4.505249,-87.302090,-12.737297,-0.781516,-16.014278,-4.136398,-4.814804,-80.955476,-2.201577,-3.422302,-6.212644,-0.640284,-4.529178,-70.350848,-1.130425,15.315436,-5.567038,-24.893154,15.315442,-5.567047,-24.893160,2.117970,-12.042667,9.796300,7.136035,-84.532576,6.537847,2.769075,-21.154198,-6.826962,-4.969972,-74.874244,-8.355718,-5.635627,-0.490259,0.109304,-3.096337,-79.419430,2.982956,1
0.057760,12.691023,0.403687,0.937097,-0.632094,2.541241,0.772156,0.977604,-0.338710,-11.062054,83.117786,17.340955,74.194600,162.030961,-94.053773,-44.261196,-26.060831,60.039299,-37.441121,-30.602754,63.015094,17.514206,-4.945910,30.480992,9.821098,-9.373170,33.058465,4.106556,-22.684198,-10.432480,3.434466,-26.343536,-10.419414,-7.895420,5.555674,9.221000,-1.189001,-34.646979,8.996010,0.348417,-27.926111,4.443667,8.670031,-59.397011,-4.105488,0.188646,-12.107603,-3.043867,-2.922322,-99.650906,-0.203080,2.901102,-2.487035,-1.960868,0.320316,-63.372169,-2.429713,4.412223,-28.564333,-3.124944,2.421893,-79.795847,-13.668012,0.164655,-14.188898,-1.400457,-1.415647,-90.769444,-0.601110,0.144015,0.928674,-4.907892,-7.865431,-65.860980,-7.213774,7.883721,-27.296737,-10.048539,-4.510023,-87.325506,-12.740514,-0.779695,-15.989213,-4.136176,-4.814080,-80.936632,-2.202743,-3.422051,-6.188588,-0.639885,-4.528926,-70.338266,-1.130463,15.315443,-5.567043,-24.893155,15.315442,-5.567045,-24.893156,2.094829,-12.002363,9.803060,7.141124,-84.571886,6.525725,2.771475,-21.134280,-6.825102,-4.964361,-74.835897,-8.357293,-5.635676,-0.465597,0.108001,-3.096186,-79.422424,2.982987,1
0.057078,12.654865,0.406264,-0.784141,-4.225333,-5.400229,-0.683676,1.095856,-5.779524,-11.146853,83.169260,17.266510,74.237683,161.768778,-94.340512,-44.299987,-26.030099,60.017839,-37.456754,-30.593920,63.009748,17.489060,-4.965840,30.461270,9.829868,-9.367503,33.051967,4.104137,-22.697415,-10.432504,3.430482,-26.365269,-10.419201,-7.896135,5.560146,9.220753,-1.183612,-34.681110,8.993827,0.344594,-27.937880,4.446131,8.668195,-59.405073,-4.104587,0.189950,-12.083169,-3.043838,-2.922401,-99.671646,-0.201996,2.901496,-2.475403,-1.960519,0.320938,-63.357428,-2.429938,4.407773,-28.545815,-3.120973,2.419914,-79.808679,-13.673263,0.165003,-14.174542,-1.400388,-1.415688,-90.773503,-0.601025,0.144957,0.939494,-4.906811,-7.862539,-65.837821,-7.214687,7.884862,-27.263685,-10.042286,-4.513192,-87.341606,-12.743975,-0.777852,-15.963897,-4.135964,-4.813524,-80.921964,-2.203639,-3.421809,-6.166873,-0.639527,-4.528667,-70.324799,-1.130495,15.315446,-5.567044,-24.893155,15.315441,-5.567046,-24.893156,2.073162,-11.963076,9.809430,7.145757,-84.605524,6.512848,2.773341,-21.118620,-6.823624,-4.958910,-74.798693,-8.358827,-5.635713,-0.445323,0.106934,-3.096030,-79.425372,2.982994,1
0.066457,12.590293,0.409713,-4.193030,-10.918571,-16.082164,-5.685643,-0.642599,-16.630992,-11.290381,83.255457,17.055525,74.378429,161.276917,-94.842076,-44.384424,-25.962590,59.970654,-37.491289,-30.574493,62.997990,17.435238,-5.008563,30.418437,9.848926,-9.355690,33.037735,4.100696,-22.716174,-10.432541,3.421667,-26.413305,-10.418735,-7.898263,5.573324,9.220066,-1.172941,-34.748608,8.989500,0.337196,-27.961316,4.450943,8.664388,-59.422419,-4.102834,0.192139,-12.042028,-3.043788,-2.922549,-99.713625,-0.199777,2.902201,-2.455067,-1.959923,0.322475,-63.321656,-2.430490,4.398426,-28.510282,-3.112973,2.416816,-79.830760,-13.683542,0.165513,-14.154021,-1.400284,-1.415804,-90.784049,-0.600793,0.146259,0.954785,-4.905273,-7.856209,-65.787422,-7.216666,7.887561,-27.199999,-10.030454,-4.518768,-87.370396,-12.751186,-0.774586,-15.918410,-4.135559,-4.812431,-80.893662,-2.205378,-3.421344,-6.126895,-0.638866,-4.528087,-70.295340,-1.130591,15.315446,-5.567047,-24.893162,15.315451,-5.567045,-24.893155,2.033681,-11.888327,9.821142,7.154890,-84.670153,6.485959,2.775904,-21.097052,-6.821604,-4.947750,-74.722435,-8.361944,-5.635764,-0.408501,0.104993,-3.095739,-79.430915,2.983058,1
0.171026,12.455264,0.497771,12.712464,-26.003210,-4.999115,-2.593207,-6.239095,-17.888110,-11.344342,83.287598,16.872118,74.537812,160.940459,-95.178917,-44.431444,-25.925109,59.944430,-37.506236,-30.566221,62.992995,17.408077,-5.030703,30.394868,9.858356,-9.349824,33.031581,4.097122,-22.735591,-10.432579,3.417308,-26.436988,-10.418507,-7.897284,5.567239,9.220376,-1.169112,-34.772673,8.987938,0.333031,-27.951952,4.452271,8.664124,-59.427316,-4.103543,0.192848,-12.028686,-3.043767,-2.922622,-99.736369,-0.198571,2.902403,-2.449123,-1.959755,0.323029,-63.308286,-2.430699,4.392460,-28.475479,-3.106697,2.415662,-79.839976,-13.688434,0.165840,-14.140605,-1.400219,-1.415901,-90.792943,-0.600601,0.146697,0.960068,-4.904735,-7.853821,-65.768441,-7.217428,7.888531,-27.160602,-10.022847,-4.521955,-87.386420,-12.754206,-0.772565,-15.890449,-4.135304,-4.812162,-80.886348,-2.205821,-3.421092,-6.104134,-0.638498,-4.527851,-70.283568,-1.130618,15.315438,-5.567043,-24.893156,15.315441,-5.567051,-24.893156,2.012705,-11.838952,9.827785,7.159023,-84.702263,6.475937,2.777926,-21.080198,-6.820022,-4.943081,-74.690586,-8.363238,-5.635800,-0.385961,0.103804,-3.095607,-79.433616,2.983079,1
0.284806,12.320105,0.606857,15.657795,-29.741407,8.029858,-3.108159,-7.449383,-9.961839,-11.268278,83.271675,16.769136,74.646849,161.087419,-94.981041,-44.480481,-25.885377,59.916600,-37.521658,-30.557800,62.987909,17.379833,-5.053643,30.370350,9.868139,-9.343971,33.025266,4.093590,-22.754850,-10.432635,3.412813,-26.461548,-10.418274,-7.896159,5.560262,9.220771,-1.165539,-34.795287,8.986491,0.328867,-27.939655,4.453424,8.664060,-59.431944,-4.104485,0.193420,-12.017913,-3.043757,-2.922686,-99.759467,-0.197330,2.902584,-2.444362,-1.959608,0.323609,-63.294256,-2.430911,4.386220,-28.438614,-3.100099,2.414742,-79.848222,-13.693267,0.166138,-14.128436,-1.400162,-1.415991,-90.802877,-0.600360,0.147029,0.963736,-4.904371,-7.851452,-65.749500,-7.218158,7.889524,-27.120630,-10.015139,-4.525067,-87.401945,-12.757235,-0.770563,-15.862805,-4.135063,-4.811907,-80.880209,-2.206208,-3.420849,-6.081689,-0.638122,-4.527632,-70.271694,-1.130639,15.315447,-5.567040,-24.893158,15.315446,-5.567043,-24.893155,1.992331,-11.788665,9.834335,7.163062,-84.733799,6.466167,2.779809,-21.064510,-6.818549,-4.938501,-74.659232,-8.364525,-5.635864,-0.363586,0.102626,-3.095465,-79.436267,2.983095,1
0.389310,12.200208,0.728710,12.135864,-22.185659,6.363870,-2.985645,-4.836835,-11.268078,-11.040241,83.255233,16.682701,74.770061,161.796053,-94.204371,-44.531614,-25.844251,59.887769,-37.537234,-30.548784,62.982433,17.351026,-5.077101,30.344761,9.877870,-9.337923,33.018922,4.090081,-22.773978,-10.432680,3.408118,-26.487080,-10.418005,-7.894894,5.552417,9.221182,-1.162207,-34.816492,8.985125,0.324680,-27.924467,4.454408,8.664169,-59.436328,-4.105639,0.193862,-12.009634,-3.043745,-2.922782,-99.782958,-0.196092,2.902687,-2.440722,-1.959497,0.324245,-63.279533,-2.431152,4.379668,-28.399673,-3.093167,2.414042,-79.855520,-13.698022,0.166415,-14.117418,-1.400107,-1.416113,-90.813786,-0.600111,0.147224,0.965824,-4.904173,-7.849065,-65.730519,-7.218913,7.890531,-27.080010,-10.007310,-4.528079,-87.417070,-12.760234,-0.768566,-15.835409,-4.134826,-4.811719,-80.875169,-2.206520,-3.420602,-6.059507,-0.637759,-4.527383,-70.259684,-1.130686,15.315440,-5.567038,-24.893159,15.315445,-5.567044,-24.893170,1.972514,-11.737396,9.840787,7.167053,-84.764895,6.456578,2.781552,-21.049889,-6.817180,-4.933956,-74.628237,-8.365768,-5.635907,-0.341358,0.101469,-3.095333,-79.438851,2.983112,1
0.325964,11.754663,0.939191,-17.264393,-62.141936,5.553481,-8.310979,0.831773,-24.196133,-10.713590,83.295652,16.393730,74.983682,162.462030,-93.505626,-44.609585,-25.781127,59.843471,-37.552635,-30.540350,62.977332,17.314286,-5.108282,30.306292,9.883830,-9.334450,33.012551,4.089047,-22.779676,-10.432673,3.405059,-26.503709,-10.417853,-7.895413,5.555619,9.221006,-1.158751,-34.838230,8.983734,0.320872,-27.931419,4.456573,8.661677,-59.448307,-4.104625,0.193606,-12.014403,-3.043747,-2.922869,-99.807526,-0.194778,2.902867,-2.435423,-1.959340,0.324743,-63.267598,-2.431340,4.370213,-28.372220,-3.085951,2.411832,-79.867095,-13.700989,0.166385,-14.118233,-1.400108,-1.416210,-90.821618,-0.599927,0.147411,0.968154,-4.903930,-7.847142,-65.715123,-7.219528,7.888102,-27.051706,-10.000521,-4.530957,-87.431292,-12.762602,-0.766824,-15.811196,-4.134605,-4.811708,-80.875077,-2.206525,-3.420431,-6.043211,-0.637474,-4.527230,-70.250907,-1.130707,15.315442,-5.567044,-24.893162,15.315452,-5.567040,-24.893151,1.951384,-11.703009,9.846662,7.171362,-84.798298,6.445628,2.783869,-21.030512,-6.815369,-4.929931,-74.600745,-8.366900,-5.635951,-0.319539,0.100325,-3.095196,-79.441344,2.983138,1
0.290553,11.388178,1.080826,-14.482365,-55.789460,-2.376934,-9.554238,-4.785354,-22.088376,-10.495450,83.370797,16.027216,75.168638,162.433371,-93.544854,-44.923352,-25.523816,59.662263,-37.568058,-30.531849,62.972194,17.266804,-5.172299,30.159802,9.889458,-9.331026,33.006099,4.088300,-22.783636,-10.432688,3.402089,-26.519964,-10.417686,-7.896020,5.559438,9.220809,-1.155502,-34.858847,8.982391,0.317099,-27.938717,4.458748,8.659027,-59.460958,-4.103520,0.193163,-12.022735,-3.043764,-2.922951,-99.832499,-0.193461,2.903022,-2.430847,-1.959207,0.325273,-63.255447,-2.431521,4.360174,-28.344537,-3.078450,2.409617,-79.878405,-13.703673,0.166306,-14.121431,-1.400119,-1.416296,-90.829860,-0.599754,0.147511,0.969251,-4.903828,-7.845261,-65.700210,-7.220102,7.885240,-27.024444,-9.993768,-4.533728,-87.445035,-12.764868,-0.765116,-15.787613,-4.134394,-4.811760,-80.876483,-2.206442,-3.420241,-6.027869,-0.637238,-4.527046,-70.242439,-1.130727,15.315433,-5.567041,-24.893161,15.315447,-5.567040,-24.893144,1.930603,-11.669950,9.852372,7.175661,-84.831491,6.434715,2.786137,-21.011467,-6.813574,-4.926022,-74.574040,-8.367982,-5.635969,-0.297941,0.099180,-3.095068,-79.443810,2.983155,1
