Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-2.017042,27.770475,-12.728494,-0.064037,0.040866,-0.409498,-1.734470,4.390732,5.374033,-79.127131,-87.765962,124.607254,59.128020,162.841028,-153.791991,-36.646563,-31.036073,63.274223,-40.895357,-28.505838,61.694119,-5.446889,-19.597038,34.595779,-5.975347,-19.384322,32.895504,2.748822,-30.087003,-10.361582,-0.246451,-47.028395,-9.550204,-3.755356,-19.095849,9.647956,-2.143311,-28.732169,9.325874,8.035653,-19.857570,1.702395,5.142572,-37.396080,1.873454,-1.369202,-42.644846,-2.658363,-1.382441,-42.930569,-2.650932,1.871435,-28.474705,-2.502883,2.157994,-21.797203,-2.409222,12.273491,-25.939768,-6.206142,2.658012,-75.302416,-10.857600,-0.645615,-47.256595,-1.328515,-1.421722,-91.354433,-0.587853,-3.062416,-28.835023,-7.116209,-8.405512,-70.228388,-7.020182,13.483081,-30.075163,-13.286446,-4.400886,-87.266230,-13.743669,-2.505737,-39.965016,-3.982070,-4.922578,-83.891199,-2.017597,-3.774081,-30.815779,-0.975961,-4.535270,-70.659745,-1.129521,15.315444,-5.567042,-24.893167,15.315446,-5.567038,-24.893152,9.077979,-27.509422,5.796001,7.839807,-91.510537,3.050568,1.864439,-28.375055,-7.447597,-5.133508,-75.995206,-8.307893,-5.365212,-22.997535,1.255886,-3.861783,-64.205597,2.754306,6
-2.005127,27.740362,-12.768352,-0.049330,0.045077,-0.418451,-1.749500,4.341856,5.268913,-78.943903,-88.217349,124.902555,58.854934,162.487671,-154.205377,-36.443468,-31.144179,63.338039,-40.858139,-28.530767,61.710414,-5.342896,-19.552121,34.662730,-5.887245,-19.331916,32.896324,2.693655,-30.389024,-10.354967,-0.219147,-46.866199,-9.562091,-3.702101,-19.409841,9.641761,-2.144882,-28.722649,9.326319,8.064317,-19.958115,1.683580,5.025021,-37.138267,1.962290,-1.375276,-42.775837,-2.654968,-1.376876,-42.810389,-2.654074,1.869373,-28.521852,-2.503421,2.164040,-21.653425,-2.406858,12.291170,-25.995470,-6.227517,2.688524,-75.080720,-10.811872,-0.645488,-47.251659,-1.328559,-1.423806,-91.558042,-0.583218,-3.054961,-28.775150,-7.113529,-8.408074,-70.249377,-7.019138,13.480893,-30.237365,-13.339013,-4.366061,-87.131094,-13.774020,-2.495757,-39.821797,-3.985136,-4.931070,-84.133861,-2.002164,-3.771945,-30.689598,-0.974623,-4.534552,-70.624237,-1.129631,15.315444,-5.567044,-24.893159,15.315446,-5.567043,-24.893153,9.114550,-27.727821,5.743285,7.836874,-91.464725,2.979916,1.897724,-28.119896,-7.427618,-5.173196,-76.268204,-8.295765,-5.368904,-22.828081,1.247768,-3.870691,-64.019992,2.750278,6
-1.968506,27.704674,-12.804103,0.523829,0.459118,-0.833867,-4.508861,5.363616,4.079231,-78.945756,-88.776743,125.519195,59.298799,162.436902,-154.329011,-36.332875,-31.202613,63.372391,-40.839804,-28.542415,61.718008,-5.265716,-19.513113,34.695662,-5.799015,-19.276903,32.889265,2.656405,-30.593191,-10.350320,-0.203482,-46.773191,-9.568903,-3.674576,-19.572154,9.638449,-2.133248,-28.793487,9.322959,8.087339,-20.007218,1.671572,4.903097,-36.825446,2.054228,-1.374566,-42.760438,-2.655362,-1.371832,-42.701342,-2.656899,1.869272,-28.524106,-2.503463,2.170750,-21.493533,-2.404194,12.319930,-26.033584,-6.249130,2.707775,-74.896766,-10.756226,-0.644957,-47.228801,-1.328774,-1.426180,-91.794087,-0.577840,-3.047512,-28.715372,-7.110834,-8.410538,-70.269614,-7.018143,13.488564,-30.349795,-13.379809,-4.330458,-86.992719,-13.803004,-2.491368,-39.758420,-3.986461,-4.941544,-84.436116,-1.982864,-3.770660,-30.613913,-0.973852,-4.533650,-70.578113,-1.129765,15.315443,-5.567041,-24.893165,15.315443,-5.567042,-24.893159,9.127766,-27.858118,5.716266,7.833015,-91.394638,2.943983,1.917515,-27.967965,-7.415666,-5.219581,-76.587898,-8.281317,-5.371051,-22.728439,1.242996,-3.881266,-63.799197,2.745438,6
-1.930338,27.669692,-12.842256,0.739836,0.628044,-1.117081,-4.622402,5.542696,4.243064,-78.943016,-89.238678,126.020096,59.457686,162.292622,-154.540827,-36.232836,-31.255199,63.403221,-40.827779,-28.550388,61.723214,-5.194088,-19.476417,34.725159,-5.711852,-19.221978,32.879758,2.619917,-30.793262,-10.345645,-0.189532,-46.690515,-9.574902,-3.648691,-19.724959,9.635250,-2.121261,-28.866606,9.319462,8.106773,-20.048885,1.661394,4.780175,-36.474342,2.145968,-1.373204,-42.731223,-2.656125,-1.366449,-42.585415,-2.659902,1.869523,-28.518341,-2.503388,2.177747,-21.326959,-2.401397,12.349115,-26.069388,-6.270370,2.725170,-74.717403,-10.698818,-0.644477,-47.208065,-1.328947,-1.428616,-92.036331,-0.572315,-3.040384,-28.658129,-7.108277,-8.413310,-70.292447,-7.017012,13.498537,-30.452756,-13.418649,-4.294411,-86.852956,-13.831967,-2.487845,-39.708072,-3.987548,-4.952306,-84.749922,-1.962772,-3.769509,-30.546536,-0.973142,-4.532732,-70.531109,-1.129892,15.315450,-5.567045,-24.893160,15.315442,-5.567043,-24.893147,9.138843,-27.974443,5.692496,7.828429,-91.308565,2.914784,1.935478,-27.829718,-7.404727,-5.266875,-76.914520,-8.266297,-5.372958,-22.640489,1.238764,-3.892030,-63.573995,2.740477,6
-1.923856,27.655879,-12.863731,0.826065,1.123162,-1.930712,-0.089213,3.073653,1.101701,-78.875701,-89.864631,126.640510,60.011587,161.657294,-154.989045,-36.236738,-31.253132,63.402010,-40.815193,-28.558901,61.728781,-5.135586,-19.435342,34.713784,-5.606946,-19.155686,32.867644,2.604863,-30.875767,-10.343694,-0.185510,-46.666607,-9.576650,-3.636891,-19.794594,9.633775,-2.109412,-28.938917,9.316009,8.118265,-20.047400,1.658005,4.680651,-36.047921,2.222325,-1.369335,-42.647937,-2.658295,-1.360371,-42.454580,-2.663284,1.871468,-28.473880,-2.502862,2.184560,-21.164174,-2.398636,12.383836,-26.069851,-6.284987,2.735835,-74.558480,-10.634673,-0.643713,-47.174964,-1.329246,-1.431250,-92.300885,-0.566254,-3.035923,-28.622291,-7.106666,-8.416085,-70.315242,-7.015902,13.510956,-30.537458,-13.452660,-4.269196,-86.753831,-13.848445,-2.486283,-39.685653,-3.988012,-4.962151,-85.039816,-1.944158,-3.769060,-30.520318,-0.972872,-4.531624,-70.475355,-1.130068,15.315440,-5.567038,-24.893151,15.315444,-5.567038,-24.893156,9.167148,-28.146173,5.650823,7.825101,-91.244053,2.898352,1.942751,-27.773754,-7.400282,-5.311287,-77.221863,-8.251904,-5.373236,-22.627524,1.238135,-3.902923,-63.345839,2.735402,6
-1.915452,27.645591,-12.887686,0.990265,1.313036,-2.227689,-0.156101,2.716317,1.039859,-78.812496,-90.443534,127.210997,60.330986,161.116314,-155.422848,-36.254270,-31.243781,63.396522,-40.805074,-28.565344,61.732976,-5.081260,-19.395458,34.697497,-5.500032,-19.087470,32.854213,2.593331,-30.939058,-10.342174,-0.183406,-46.654122,-9.577542,-3.627807,-19.848219,9.632626,-2.094321,-29.030926,9.311579,8.126654,-20.036542,1.656508,4.585557,-35.603311,2.294262,-1.364620,-42.546468,-2.660899,-1.354025,-42.318480,-2.666774,1.873843,-28.419346,-2.502253,2.191363,-21.001163,-2.395872,12.419712,-26.063032,-6.298246,2.744123,-74.405927,-10.568409,-0.642916,-47.140214,-1.329578,-1.433873,-92.567872,-0.560148,-3.032112,-28.591765,-7.105283,-8.418999,-70.339169,-7.014733,13.524602,-30.614806,-13.484882,-4.246091,-86.662558,-13.862177,-2.485318,-39.671600,-3.988294,-4.971765,-85.325223,-1.925788,-3.768775,-30.503241,-0.972694,-4.530493,-70.417367,-1.130230,15.315443,-5.567040,-24.893161,15.315431,-5.567040,-24.893150,9.198153,-28.319660,5.607252,7.821781,-91.178754,2.887143,1.948408,-27.730109,-7.396822,-5.354820,-77.523515,-8.237545,-5.373247,-22.626918,1.238102,-3.913791,-63.117648,2.730277,6
-1.906252,27.638283,-12.912148,1.093921,1.430860,-2.410823,-0.176081,2.439621,0.965975,-78.753830,-90.973199,127.730286,60.515827,160.636363,-155.841192,-36.280329,-31.230189,63.388564,-40.797447,-28.570635,61.736432,-5.029616,-19.355928,34.677964,-5.390431,-19.017718,32.839521,2.584272,-30.988724,-10.340968,-0.182688,-46.649846,-9.577852,-3.620661,-19.890429,9.631709,-2.076381,-29.140480,9.306275,8.132552,-20.018712,1.656515,4.493392,-35.148627,2.362654,-1.357870,-42.401096,-2.664659,-1.347480,-42.177848,-2.670380,1.877117,-28.344422,-2.501379,2.198226,-20.837335,-2.393071,12.456705,-26.050553,-6.310506,2.750639,-74.257007,-10.500019,-0.642064,-47.103839,-1.329906,-1.436484,-92.837378,-0.553964,-3.028836,-28.565352,-7.104080,-8.422046,-70.364180,-7.013477,13.539147,-30.687037,-13.515885,-4.224514,-86.576892,-13.873690,-2.484758,-39.663612,-3.988466,-4.981201,-85.608495,-1.907507,-3.768605,-30.492950,-0.972579,-4.529299,-70.357114,-1.130407,15.315440,-5.567047,-24.893168,15.315443,-5.567036,-24.893155,9.231836,-28.496112,5.561514,7.818479,-91.112972,2.880041,1.953009,-27.694631,-7.394014,-5.397847,-77.822413,-8.223105,-5.373062,-22.634939,1.238497,-3.924702,-62.887981,2.725082,6
-1.874048,27.612999,-12.969625,1.421709,2.714476,-3.762755,-3.102138,6.266235,4.311177,-78.815953,-91.326926,128.028387,61.054197,160.318709,-156.277117,-36.250493,-31.245848,63.397735,-40.808356,-28.562963,61.731418,-4.992296,-19.334045,34.684229,-5.276537,-18.942098,32.816199,2.587851,-30.969130,-10.341439,-0.179124,-46.628781,-9.579367,-3.637895,-19.788748,9.633900,-2.057468,-29.256017,9.300638,8.134308,-20.035332,1.654289,4.435059,-34.881208,2.404551,-1.352398,-42.283572,-2.667668,-1.338876,-41.993551,-2.675081,1.880156,-28.274764,-2.500574,2.204951,-20.676203,-2.390263,12.477665,-26.031133,-6.314269,2.755747,-74.141143,-10.447668,-0.642391,-47.117174,-1.329789,-1.438787,-93.075021,-0.548494,-3.030309,-28.577331,-7.104632,-8.422651,-70.369151,-7.013246,13.546279,-30.695236,-13.521978,-4.206359,-86.508974,-13.892284,-2.487132,-39.697834,-3.987747,-4.990257,-85.882121,-1.889825,-3.768964,-30.513668,-0.972795,-4.527671,-70.274472,-1.130648,15.315443,-5.567044,-24.893150,15.315443,-5.567044,-24.893153,9.240978,-28.608223,5.539069,7.817409,-91.091681,2.882952,1.952658,-27.697421,-7.394219,-5.432467,-78.063144,-8.211305,-5.372231,-22.674112,1.240373,-3.937887,-62.610003,2.718718,6
-1.838428,27.584907,-13.032603,1.564249,2.940854,-4.042637,-3.397509,6.853967,4.730109,-78.861819,-91.665042,128.318294,61.420927,159.964008,-156.725103,-36.219532,-31.262019,63.407201,-40.822426,-28.553930,61.725526,-4.958716,-19.314495,34.691476,-5.160361,-18.865035,32.791349,2.592938,-30.941210,-10.342120,-0.175968,-46.610158,-9.580740,-3.654067,-19.693247,9.635911,-2.037173,-29.380039,9.294578,8.134166,-20.052594,1.652567,4.381764,-34.625170,2.442437,-1.346337,-42.153511,-2.670990,-1.329860,-41.800681,-2.679960,1.883631,-28.195359,-2.499645,2.211652,-20.515409,-2.387453,12.497009,-26.005454,-6.315773,2.760249,-74.030017,-10.396825,-0.642797,-47.135470,-1.329611,-1.441013,-93.309605,-0.543068,-3.032495,-28.594721,-7.105430,-8.422920,-70.371335,-7.013130,13.551946,-30.695651,-13.524786,-4.189256,-86.445805,-13.910971,-2.489785,-39.735836,-3.986953,-4.999115,-86.153207,-1.872226,-3.769392,-30.539215,-0.973059,-4.525944,-70.186335,-1.130887,15.315450,-5.567047,-24.893155,15.315446,-5.567048,-24.893164,9.248026,-28.716123,5.518405,7.816690,-91.076825,2.888818,1.951632,-27.705265,-7.394851,-5.466191,-78.298060,-8.199649,-5.371306,-22.716851,1.242447,-3.951291,-62.326589,2.712188,6
-1.804903,27.541828,-13.073182,1.386658,1.721270,-2.450855,-3.170313,7.576992,3.064987,-78.904497,-92.283243,128.791854,61.437098,159.179613,-157.799756,-36.141256,-31.302960,63.431138,-40.831361,-28.548219,61.721801,-4.844683,-19.245304,34.705213,-5.032540,-18.781796,32.767197,2.589975,-30.957510,-10.341729,-0.178323,-46.624106,-9.579721,-3.652040,-19.705210,9.635671,-2.026197,-29.447218,9.291238,8.142559,-20.135903,1.641515,4.356829,-34.459949,2.460811,-1.342075,-42.061870,-2.673338,-1.323322,-41.661035,-2.683477,1.886705,-28.124805,-2.498817,2.216106,-20.408569,-2.385602,12.507519,-26.005874,-6.320245,2.757860,-73.962380,-10.351410,-0.643911,-47.183674,-1.329181,-1.442838,-93.503045,-0.538607,-3.037327,-28.633573,-7.107163,-8.420953,-70.355210,-7.013934,13.552208,-30.699485,-13.526190,-4.176455,-86.399380,-13.926527,-2.495271,-39.814765,-3.985280,-5.007834,-86.421804,-1.854772,-3.770323,-30.593916,-0.973641,-4.523929,-70.083987,-1.131174,15.315439,-5.567043,-24.893153,15.315437,-5.567035,-24.893155,9.236508,-28.775121,5.515633,7.816276,-91.068811,2.901532,1.945876,-27.749534,-7.398359,-5.497196,-78.514312,-8.188804,-5.369759,-22.788377,1.245853,-3.964835,-62.039649,2.705494,6
