Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
2.791923,29.224188,-2.747500,0.375104,0.858390,-0.627209,0.830441,0.700112,0.451265,-3.222772,76.599021,60.562506,-2.721340,101.745973,-118.879207,-52.499988,-17.454400,53.581400,-54.168192,-14.994737,51.615039,15.850330,-6.801957,26.447397,15.627266,-7.100559,25.566032,5.136307,-17.060213,-10.368745,4.469359,-20.707439,-10.421628,-8.472505,9.188360,9.008791,-6.821101,-1.005188,9.509318,3.056340,-0.714648,3.492597,0.159620,-0.475156,3.360796,0.379704,-8.509667,-3.033296,0.104118,-13.696883,-3.044723,3.039137,1.684255,-1.832793,2.871587,-3.344818,-1.985937,11.735133,-2.700709,-1.034099,7.116523,-6.623579,-1.497625,0.374927,-5.417473,-1.340775,0.160733,-14.349356,-1.401249,0.547571,5.886804,-4.392944,0.161168,1.128854,-4.887783,15.013340,-2.764004,-6.036005,10.158631,-6.062773,-6.672049,0.096644,-3.612619,-3.932635,-0.720980,-15.176684,-4.128662,-3.365806,-0.754128,-0.547408,-3.412348,-5.308344,-0.625278,15.315444,-5.567037,-24.893161,15.315439,-5.567046,-24.893157,8.842046,10.966341,12.922063,2.402743,11.735953,11.909425,4.092317,-8.966194,-5.540852,2.898198,-20.066059,-6.723805,-5.637471,2.119373,-0.028174,-5.635261,-0.663943,0.118452,0
2.787861,29.225490,-2.755404,0.469210,1.121802,-0.795571,1.179801,0.894105,0.587033,-3.240131,76.602076,60.557112,-2.723518,101.761870,-118.864970,-52.484949,-17.474941,53.597662,-54.153606,-15.017797,51.633655,15.854332,-6.798200,26.455250,15.633369,-7.095859,25.574069,5.134347,-17.070947,-10.368970,4.473982,-20.682206,-10.421414,-8.469921,9.171853,9.009836,-6.827207,-0.968522,9.508052,3.063404,-0.708153,3.493049,0.160682,-0.475245,3.360841,0.378737,-8.527939,-3.033378,0.104758,-13.684941,-3.044720,3.038809,1.674225,-1.833103,2.872013,-3.332336,-1.985577,11.743511,-2.692217,-1.032416,7.111756,-6.630917,-1.498181,0.374689,-5.427537,-1.340864,0.160434,-14.361639,-1.401308,0.547509,5.885793,-4.393048,0.161426,1.131590,-4.887502,15.020327,-2.744349,-6.030974,10.152046,-6.073845,-6.673670,0.096058,-3.620955,-3.932836,-0.722819,-15.201916,-4.128913,-3.365773,-0.753096,-0.547390,-3.412392,-5.313654,-0.625364,15.315439,-5.567046,-24.893154,15.315442,-5.567043,-24.893160,8.840608,10.979827,12.925048,2.393736,11.756433,11.910354,4.091288,-8.977077,-5.542126,2.893882,-20.102824,-6.727338,-5.637476,2.121997,-0.028309,-5.635264,-0.673293,0.118950,0
2.775332,29.217653,-2.750415,-0.721242,-0.919451,0.785471,0.998612,0.156276,0.100638,-3.246022,76.602317,60.557745,-2.741065,101.766266,-118.826780,-52.472442,-17.492121,53.611241,-54.142180,-15.035843,51.648216,15.863121,-6.792269,26.462033,15.642408,-7.090147,25.580568,5.130299,-17.093197,-10.369422,4.477417,-20.663434,-10.421276,-8.467171,9.154361,9.010944,-6.830449,-0.948955,9.507368,3.069913,-0.697129,3.493597,0.165382,-0.477156,3.361122,0.378328,-8.535535,-3.033413,0.105212,-13.676226,-3.044723,3.038645,1.669487,-1.833262,2.872538,-3.317682,-1.985151,11.747861,-2.682695,-1.030531,7.105645,-6.642016,-1.499082,0.374596,-5.432064,-1.340904,0.160058,-14.376746,-1.401382,0.547440,5.884909,-4.393140,0.161421,1.131703,-4.887496,15.023297,-2.729167,-6.027137,10.144473,-6.084067,-6.675091,0.095640,-3.627106,-3.932986,-0.724786,-15.229450,-4.129180,-3.365804,-0.755101,-0.547419,-3.412479,-5.320632,-0.625480,15.315445,-5.567046,-24.893156,15.315442,-5.567049,-24.893151,8.829682,10.990312,12.925783,2.384485,11.776038,11.911105,4.089805,-8.992233,-5.543896,2.889308,-20.141664,-6.731056,-5.637464,2.122534,-0.028339,-5.635247,-0.681431,0.119365,0
2.746418,29.200771,-2.738082,-1.864094,-2.357594,2.065630,2.569698,0.231241,0.174573,-3.253762,76.603412,60.557094,-2.783897,101.771976,-118.738323,-52.447379,-17.526462,53.638392,-54.120308,-15.070241,51.675981,15.884052,-6.778685,26.475799,15.662854,-7.077558,25.593053,5.119974,-17.149832,-10.370563,4.483637,-20.629523,-10.420953,-8.460540,9.112046,9.013623,-6.835506,-0.918545,9.506312,3.083504,-0.669987,3.494855,0.175202,-0.479192,3.361660,0.377750,-8.546484,-3.033468,0.106394,-13.654069,-3.044732,3.038405,1.661792,-1.833509,2.873732,-3.283091,-1.984147,11.754986,-2.661217,-1.026271,7.093900,-6.664260,-1.500932,0.374486,-5.436700,-1.340941,0.159253,-14.409960,-1.401539,0.547348,5.883811,-4.393267,0.161268,1.129862,-4.887679,15.029084,-2.697195,-6.019071,10.129981,-6.105464,-6.678130,0.094816,-3.639060,-3.933271,-0.729225,-15.290767,-4.129770,-3.365851,-0.761014,-0.547518,-3.412667,-5.337417,-0.625762,15.315449,-5.567047,-24.893164,15.315446,-5.567047,-24.893149,8.806787,11.015157,12.928030,2.368462,11.820530,11.913793,4.086494,-9.026327,-5.547863,2.879939,-20.221053,-6.738648,-5.637457,2.123242,-0.028369,-5.635212,-0.696579,0.120163,0
2.731028,29.192029,-2.731353,-0.964173,-1.215920,1.075543,1.327124,0.085635,0.073655,-3.256661,76.604105,60.556303,-2.826899,101.775819,-118.651250,-52.434762,-17.543755,53.652061,-54.109538,-15.087595,51.689969,15.895376,-6.771394,26.482715,15.673903,-7.070716,25.599201,5.114263,-17.181149,-10.371168,4.486582,-20.613448,-10.420811,-8.456928,9.089051,9.015074,-6.837683,-0.905448,9.505860,3.090458,-0.655154,3.495523,0.180236,-0.479782,3.361923,0.377508,-8.550938,-3.033485,0.107055,-13.641800,-3.044730,3.038303,1.658371,-1.833616,2.874362,-3.264486,-1.983618,11.758154,-2.649864,-1.024019,7.088145,-6.675398,-1.501860,0.374469,-5.437951,-1.340948,0.158835,-14.427328,-1.401622,0.547313,5.883427,-4.393305,0.161117,1.128400,-4.887829,15.031947,-2.680789,-6.014928,10.122880,-6.116409,-6.679691,0.094421,-3.644963,-3.933408,-0.731555,-15.322999,-4.130078,-3.365883,-0.764458,-0.547592,-3.412762,-5.346542,-0.625912,15.315442,-5.567041,-24.893161,15.315440,-5.567045,-24.893160,8.795077,11.028536,12.929335,2.361053,11.844095,11.915439,4.084748,-9.044319,-5.549964,2.875206,-20.261201,-6.742480,-5.637466,2.123513,-0.028389,-5.635204,-0.703901,0.120549,0
2.704400,29.191351,-2.736723,-2.300567,0.169888,-0.777135,1.635773,0.270059,0.016741,-3.260065,76.608879,60.525058,-2.880158,101.761805,-118.623924,-52.428009,-17.553229,53.659540,-54.095491,-15.109067,51.707318,15.898686,-6.768773,26.486251,15.680538,-7.065739,25.606887,5.106416,-17.224215,-10.372025,4.488984,-20.600423,-10.420704,-8.451687,9.055547,9.017185,-6.837818,-0.904663,9.505844,3.100823,-0.659712,3.495852,0.184458,-0.486907,3.362304,0.377487,-8.551371,-3.033484,0.107801,-13.627788,-3.044727,3.038343,1.659759,-1.833573,2.875074,-3.243743,-1.983014,11.761419,-2.650079,-1.024052,7.081846,-6.683462,-1.502377,0.374482,-5.437016,-1.340947,0.158468,-14.442393,-1.401706,0.547436,5.884909,-4.393143,0.161205,1.129238,-4.887739,15.034206,-2.670257,-6.012259,10.115762,-6.130008,-6.681709,0.094412,-3.644786,-3.933398,-0.733931,-15.355825,-4.130396,-3.365886,-0.765310,-0.547609,-3.412865,-5.356823,-0.626080,15.315438,-5.567038,-24.893158,15.315439,-5.567043,-24.893153,8.780138,11.029089,12.927053,2.353353,11.865054,11.916664,4.083473,-9.057628,-5.551509,2.870280,-20.302801,-6.746453,-5.637473,2.122394,-0.028318,-5.635181,-0.712065,0.120975,0
2.676618,29.190690,-2.742010,-2.301382,0.150003,-0.746097,1.645901,0.243900,0.005081,-3.262680,76.614137,60.490790,-2.938014,101.745266,-118.596009,-52.422063,-17.561461,53.666039,-54.081721,-15.131384,51.725292,15.901685,-6.766589,26.489434,15.687812,-7.060819,25.614667,5.097857,-17.271119,-10.372959,4.491154,-20.588474,-10.420578,-8.445986,9.019351,9.019468,-6.837407,-0.907092,9.505922,3.111715,-0.665429,3.496176,0.188695,-0.494434,3.362702,0.377522,-8.550485,-3.033488,0.108605,-13.612599,-3.044734,3.038414,1.662052,-1.833493,2.875854,-3.221684,-1.982371,11.764371,-2.651124,-1.024260,7.075608,-6.691173,-1.502861,0.374535,-5.434909,-1.340929,0.158086,-14.457812,-1.401781,0.547572,5.886735,-4.392950,0.161267,1.129896,-4.887669,15.036334,-2.660053,-6.009666,10.108769,-6.144109,-6.683816,0.094498,-3.643847,-3.933387,-0.736392,-15.389973,-4.130720,-3.365907,-0.766258,-0.547624,-3.412988,-5.367846,-0.626267,15.315438,-5.567034,-24.893156,15.315444,-5.567048,-24.893152,8.764605,11.028969,12.924514,2.346133,11.886827,11.918094,4.082152,-9.071164,-5.553092,2.865291,-20.344929,-6.750482,-5.637466,2.121054,-0.028249,-5.635159,-0.720114,0.121413,0
2.669314,29.190543,-2.749127,-0.557575,0.078728,-0.357238,0.528765,0.100612,0.701179,-3.277500,76.649010,60.457992,-2.961402,101.739253,-118.560292,-52.418543,-17.566166,53.669760,-54.065360,-15.156808,51.745807,15.899685,-6.767251,26.491152,15.693947,-7.055811,25.623567,5.091078,-17.308392,-10.373692,4.492493,-20.581231,-10.420525,-8.442829,8.999147,9.020745,-6.834678,-0.923467,9.506496,3.123149,-0.686704,3.496101,0.202257,-0.524515,3.364106,0.378236,-8.537350,-3.033423,0.108801,-13.609027,-3.044732,3.038707,1.671344,-1.833201,2.876303,-3.208468,-1.981987,11.763454,-2.660757,-1.026178,7.074752,-6.712091,-1.505304,0.374809,-5.423264,-1.340824,0.157641,-14.475415,-1.401859,0.548059,5.893107,-4.392270,0.161300,1.130288,-4.887641,15.032579,-2.656836,-6.008958,10.105562,-6.161124,-6.686599,0.095194,-3.633538,-3.933140,-0.738760,-15.422655,-4.131028,-3.365873,-0.762409,-0.547547,-3.413109,-5.377703,-0.626432,15.315441,-5.567042,-24.893162,15.315447,-5.567050,-24.893158,8.738026,11.023654,12.918953,2.341858,11.906087,11.919784,4.081504,-9.077847,-5.553860,2.860256,-20.387548,-6.754540,-5.637459,2.118509,-0.028116,-5.635143,-0.729714,0.121907,0
2.661753,29.190432,-2.756256,-0.539491,0.060484,-0.322858,0.521508,0.076114,0.677500,-3.299229,76.703180,60.407799,-2.984009,101.732704,-118.525505,-52.416000,-17.570070,53.672833,-54.048626,-15.182800,51.766767,15.897151,-6.768436,26.492405,15.700044,-7.050805,25.632711,5.083920,-17.347658,-10.374461,4.493562,-20.575445,-10.420473,-8.439596,8.978633,9.022024,-6.831265,-0.944116,9.507218,3.135114,-0.710825,3.495990,0.216969,-0.557649,3.365641,0.379071,-8.521653,-3.033357,0.108965,-13.605903,-3.044737,3.039051,1.682216,-1.832854,2.876764,-3.195243,-1.981599,11.761829,-2.672092,-1.028430,7.074552,-6.734351,-1.507948,0.375123,-5.409545,-1.340703,0.157213,-14.493593,-1.401952,0.548616,5.900325,-4.391493,0.161305,1.130538,-4.887617,15.028018,-2.654741,-6.008532,10.102878,-6.178927,-6.689542,0.096024,-3.621475,-3.932850,-0.741181,-15.456287,-4.131345,-3.365817,-0.758034,-0.547475,-3.413198,-5.388016,-0.626606,15.315451,-5.567039,-24.893163,15.315450,-5.567046,-24.893155,8.709621,11.017166,12.912834,2.338327,11.925704,11.921666,4.080934,-9.083900,-5.554569,2.855170,-20.430695,-6.758652,-5.637478,2.115616,-0.027966,-5.635125,-0.739424,0.122424,0
2.643499,29.191212,-2.754223,-2.281421,-0.216596,0.113776,0.299610,-0.327001,-0.173614,-3.292978,76.710601,60.412632,-2.986931,101.746321,-118.519322,-52.406796,-17.582365,53.682554,-54.040369,-15.195464,51.776993,15.894743,-6.768538,26.496923,15.701249,-7.049208,25.637129,5.078983,-17.374628,-10.374976,4.495221,-20.566317,-10.420386,-8.437605,8.965969,9.022833,-6.829731,-0.953285,9.507522,3.150246,-0.719918,3.496380,0.229494,-0.578842,3.366755,0.378947,-8.523811,-3.033364,0.109092,-13.603511,-3.044735,3.039385,1.691807,-1.832546,2.876938,-3.190026,-1.981449,11.760396,-2.682722,-1.030543,7.077354,-6.756555,-1.510805,0.375177,-5.407265,-1.340686,0.156703,-14.514229,-1.402052,0.549159,5.907338,-4.390739,0.160961,1.126429,-4.888025,15.022224,-2.656049,-6.008985,10.102357,-6.204020,-6.693842,0.096097,-3.620291,-3.932825,-0.743922,-15.494264,-4.131703,-3.365783,-0.754380,-0.547409,-3.413345,-5.401039,-0.626811,15.315436,-5.567043,-24.893166,15.315451,-5.567044,-24.893151,8.684451,11.014882,12.908224,2.338814,11.943511,11.924119,4.079804,-9.095519,-5.555916,2.850232,-20.472359,-6.762606,-5.637471,2.113452,-0.027856,-5.635115,-0.748404,0.122892,0
