Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
0.575447,24.101169,0.287341,1.408230,-2.686138,1.712951,0.585368,-1.344715,2.279667,-10.863635,-77.610692,116.923198,9.961954,-99.566961,-67.000600,-58.610105,-6.197187,44.318582,-58.138906,-7.347120,45.290667,11.689340,-9.367407,22.926380,7.526190,-11.143332,23.315216,4.746211,-19.196129,-10.404902,4.404823,-21.059280,-10.424491,-9.294629,14.547600,8.629629,-8.478170,9.224468,9.006506,-2.641236,-20.567730,4.968596,-4.545250,-11.429771,4.362064,-0.035817,-16.328856,-3.040961,-0.141435,-18.318929,-3.033864,2.780570,-5.925216,-2.058665,2.797465,-5.453321,-2.045669,4.986939,-26.487960,-3.179373,5.115355,-17.352769,-2.314993,0.278097,-9.504871,-1.372594,0.131319,-15.549178,-1.406804,-0.028428,-1.040014,-5.102457,-0.266724,-3.644831,-5.350669,10.193968,-23.762463,-10.186572,8.831202,-16.701142,-8.348194,-0.179919,-7.590087,-4.018636,-0.430852,-11.134321,-4.078969,-3.425604,-6.507354,-0.645151,-3.435830,-7.405361,-0.659825,15.315455,-5.567035,-24.893166,15.315442,-5.567052,-24.893163,13.863250,-13.206549,6.882450,5.448351,-12.121175,9.086441,4.028601,-9.620184,-5.616731,4.292416,-6.850148,-5.290547,-5.628205,-2.944871,0.238399,-5.632626,-1.710007,0.173501,0
0.574939,24.091591,0.285772,1.187371,-0.479957,2.483912,1.271642,1.108445,2.744046,-10.838436,-77.575701,116.876284,9.978292,-99.591603,-67.029094,-58.613685,-6.188706,44.311372,-58.156355,-7.305294,45.255415,11.686294,-9.369364,22.924285,7.555415,-11.130966,23.303233,4.743544,-19.210765,-10.405096,4.408715,-21.038104,-10.424326,-9.289617,14.514097,8.632235,-8.478404,9.225903,9.006400,-2.644193,-20.568994,4.969634,-4.547636,-11.450766,4.364932,-0.036129,-16.334885,-3.040956,-0.140135,-18.294753,-3.033991,2.779824,-5.945841,-2.059211,2.797704,-5.446134,-2.045459,4.987949,-26.490123,-3.180046,5.111569,-17.381842,-2.316735,0.277896,-9.513119,-1.372656,0.132014,-15.520820,-1.406685,-0.029805,-1.055583,-5.103968,-0.265142,-3.627993,-5.349099,10.202977,-23.749768,-10.186837,8.818655,-16.731280,-8.350665,-0.181307,-7.609964,-4.019020,-0.428634,-11.103170,-4.078497,-3.425815,-6.525941,-0.645445,-3.435642,-7.389615,-0.659575,15.315449,-5.567037,-24.893165,15.315442,-5.567042,-24.893164,13.878123,-13.169907,6.887983,5.432349,-12.132188,9.088722,4.025144,-9.655467,-5.620795,4.294869,-6.823507,-5.287330,-5.628130,-2.963384,0.239374,-5.632629,-1.706061,0.173272,0
0.570725,24.075144,0.282610,-1.979310,-0.908645,-1.318219,-1.385899,1.407430,-0.872937,-10.825404,-77.542981,116.875970,10.015180,-99.639565,-66.987128,-58.615177,-6.184546,44.307866,-58.170759,-7.271498,45.226885,11.686077,-9.369323,22.923171,7.588005,-11.117284,23.293150,4.742154,-19.218267,-10.405178,4.411625,-21.022249,-10.424188,-9.285876,14.489155,8.634169,-8.477854,9.222469,9.006606,-2.640984,-20.573423,4.969121,-4.550332,-11.484681,4.369394,-0.036323,-16.338660,-3.040945,-0.139865,-18.289443,-3.033999,2.779276,-5.961072,-2.059647,2.797683,-5.447186,-2.045499,4.990364,-26.488346,-3.180911,5.103813,-17.415915,-2.317907,0.277829,-9.515762,-1.372671,0.132433,-15.503942,-1.406607,-0.030672,-1.065301,-5.104925,-0.264546,-3.621515,-5.348496,10.212858,-23.743742,-10.188938,8.800549,-16.769482,-8.353276,-0.182237,-7.623199,-4.019272,-0.427181,-11.082730,-4.078189,-3.426010,-6.541307,-0.645699,-3.435544,-7.380785,-0.659417,15.315437,-5.567034,-24.893152,15.315444,-5.567036,-24.893163,13.903891,-13.164643,6.882674,5.418355,-12.163119,9.088420,4.022204,-9.685272,-5.624230,4.296563,-6.805339,-5.285168,-5.628074,-2.977433,0.240109,-5.632641,-1.706428,0.173310,0
0.551142,24.040741,0.276738,-2.979068,-0.459281,-1.322472,-0.071918,4.647960,-0.450674,-10.796323,-77.440182,116.850551,10.077536,-99.695306,-66.932780,-58.619017,-6.175698,44.300330,-58.200338,-7.200164,45.166737,11.687139,-9.369289,22.920799,7.653317,-11.089702,23.272265,4.740334,-19.228230,-10.405328,4.417030,-20.992748,-10.423977,-9.279286,14.445171,8.637592,-8.476208,9.212007,9.007289,-2.631176,-20.583651,4.967183,-4.555647,-11.558472,4.379073,-0.036206,-16.336253,-3.040943,-0.139630,-18.284998,-3.034021,2.778478,-5.983151,-2.060245,2.797537,-5.451014,-2.045607,4.998054,-26.487184,-3.184188,5.085020,-17.495934,-2.320456,0.277824,-9.515684,-1.372666,0.133233,-15.471439,-1.406474,-0.032146,-1.081949,-5.106544,-0.263542,-3.610758,-5.347484,10.234490,-23.740622,-10.195885,8.758837,-16.860489,-8.359714,-0.183883,-7.646734,-4.019730,-0.424395,-11.043738,-4.077608,-3.426342,-6.572566,-0.646212,-3.435357,-7.365070,-0.659176,15.315431,-5.567035,-24.893157,15.315449,-5.567034,-24.893160,13.963559,-13.171611,6.865459,5.391325,-12.239398,9.086111,4.016488,-9.743414,-5.630929,4.299657,-6.771632,-5.281127,-5.627965,-3.005416,0.241581,-5.632620,-1.709934,0.173487,0
0.514453,24.024722,0.264813,-3.940575,5.926791,1.213795,1.467511,8.288070,2.971561,-10.777852,-77.315629,116.815304,10.109863,-99.629995,-66.951736,-58.615397,-6.184073,44.307458,-58.208561,-7.181066,45.150593,11.686328,-9.369248,22.923033,7.682838,-11.077026,23.266064,4.738750,-19.236904,-10.405446,4.418447,-20.985013,-10.423909,-9.276214,14.424666,8.639190,-8.474781,9.202857,9.007867,-2.624174,-20.589289,4.965624,-4.568424,-11.599098,4.385786,-0.036347,-16.338799,-3.040938,-0.140003,-18.292008,-3.033988,2.778172,-5.992039,-2.060488,2.797264,-5.458627,-2.045816,5.000964,-26.496986,-3.186517,5.072986,-17.527003,-2.320179,0.277966,-9.510749,-1.372641,0.133354,-15.466585,-1.406446,-0.032270,-1.082939,-5.106615,-0.263659,-3.612057,-5.347607,10.242644,-23.754333,-10.201952,8.742330,-16.897962,-8.362481,-0.184219,-7.651309,-4.019823,-0.423702,-11.033950,-4.077466,-3.426443,-6.581924,-0.646367,-3.435337,-7.363461,-0.659155,15.315444,-5.567047,-24.893162,15.315445,-5.567038,-24.893159,13.994075,-13.186009,6.853849,5.384194,-12.280781,9.083235,4.013974,-9.769046,-5.633892,4.301431,-6.752345,-5.278811,-5.627926,-3.012761,0.241966,-5.632638,-1.708555,0.173429,0
0.485025,24.008080,0.257252,-1.607839,5.243141,3.672061,2.719167,7.690007,4.783741,-10.765536,-77.194986,116.744388,10.127562,-99.586399,-66.997928,-58.611257,-6.194235,44.316086,-58.216500,-7.162178,45.134649,11.685756,-9.369160,22.925708,7.711836,-11.065163,23.260293,4.737278,-19.244987,-10.405562,4.419612,-20.978691,-10.423866,-9.273357,14.405567,8.640665,-8.473149,9.192425,9.008531,-2.616214,-20.595267,4.963811,-4.582539,-11.641504,4.392921,-0.036389,-16.339787,-3.040941,-0.140508,-18.301514,-3.033957,2.777927,-5.998914,-2.060675,2.796948,-5.467383,-2.046049,5.004344,-26.508653,-3.189242,5.059922,-17.559385,-2.319732,0.278112,-9.504026,-1.372592,0.133415,-15.463516,-1.406424,-0.032189,-1.082371,-5.106578,-0.263905,-3.614673,-5.347854,10.250814,-23.771934,-10.208943,8.725247,-16.937423,-8.365463,-0.184415,-7.654318,-4.019873,-0.423112,-11.025846,-4.077344,-3.426547,-6.590562,-0.646501,-3.435340,-7.363103,-0.659142,15.315440,-5.567054,-24.893156,15.315438,-5.567056,-24.893160,14.026393,-13.205501,6.840428,5.378101,-12.325616,9.079763,4.011526,-9.793945,-5.636765,4.303201,-6.733264,-5.276502,-5.627903,-3.019231,0.242321,-5.632648,-1.707334,0.173348,0
0.454932,23.990954,0.260639,-2.368372,7.600152,4.010179,2.064678,10.123110,3.511173,-10.783498,-77.065456,116.670574,10.120607,-99.538696,-67.032360,-58.606647,-6.206531,44.326465,-58.223431,-7.145843,45.120853,11.685603,-9.368908,22.928791,7.740674,-11.052730,23.254906,4.735888,-19.252525,-10.405653,4.420522,-20.973695,-10.423834,-9.270694,14.387849,8.642048,-8.471315,9.180734,9.009270,-2.607286,-20.601595,4.961736,-4.597942,-11.685609,4.400460,-0.036361,-16.339228,-3.040941,-0.141140,-18.313478,-3.033899,2.777746,-6.003788,-2.060812,2.796604,-5.477220,-2.046321,5.008194,-26.522127,-3.192377,5.045831,-17.593045,-2.319118,0.278314,-9.495606,-1.372530,0.133467,-15.462146,-1.406427,-0.032019,-1.080304,-5.106378,-0.264285,-3.618619,-5.348218,10.259031,-23.793317,-10.216826,8.707619,-16.978836,-8.368632,-0.184525,-7.655804,-4.019900,-0.422676,-11.019377,-4.077239,-3.426635,-6.598486,-0.646641,-3.435332,-7.363933,-0.659163,15.315446,-5.567042,-24.893158,15.315442,-5.567047,-24.893159,14.060478,-13.230004,6.825235,5.373008,-12.373848,9.075740,4.009130,-9.818107,-5.639539,4.304943,-6.714387,-5.274242,-5.627875,-3.024803,0.242597,-5.632631,-1.706282,0.173298,0
0.425062,23.964870,0.260281,-2.828913,5.939152,2.039308,1.554872,9.767134,2.091960,-10.790653,-76.976149,116.650760,10.112739,-99.465974,-67.044473,-58.603546,-6.213941,44.332766,-58.227690,-7.135908,45.112451,11.679154,-9.371176,22.930674,7.771691,-11.039353,23.251132,4.734748,-19.258803,-10.405724,4.421712,-20.967189,-10.423773,-9.268090,14.370458,8.643380,-8.469683,9.170352,9.009939,-2.599568,-20.605114,4.959740,-4.614060,-11.705168,4.405127,-0.036776,-16.346923,-3.040914,-0.140973,-18.310734,-3.033906,2.777333,-6.015483,-2.061134,2.796478,-5.480365,-2.046419,5.008533,-26.539370,-3.194352,5.032458,-17.602758,-2.316458,0.278281,-9.496693,-1.372545,0.133765,-15.450291,-1.406368,-0.032147,-1.081840,-5.106526,-0.263800,-3.613486,-5.347742,10.262763,-23.815442,-10.223293,8.692482,-16.999027,-8.368620,-0.184513,-7.655379,-4.019887,-0.421196,-10.998958,-4.076946,-3.426669,-6.601835,-0.646697,-3.435254,-7.355179,-0.659015,15.315440,-5.567048,-24.893158,15.315446,-5.567047,-24.893164,14.087485,-13.256513,6.811319,5.357689,-12.397499,9.076609,4.007489,-9.834987,-5.641484,4.306984,-6.692110,-5.271563,-5.627863,-3.029185,0.242831,-5.632660,-1.699712,0.172955,0
0.408978,23.938015,0.253921,-2.717124,2.159361,-0.999610,-0.369298,6.079668,-0.071168,-10.792495,-76.926263,116.666420,10.122650,-99.418713,-67.027493,-58.600653,-6.221667,44.339285,-58.231098,-7.127555,45.105406,11.672272,-9.374222,22.932782,7.802550,-11.026091,23.247925,4.733705,-19.264486,-10.405808,4.422739,-20.961609,-10.423744,-9.265651,14.354268,8.644639,-8.467918,9.159088,9.010642,-2.591196,-20.608575,4.957537,-4.631342,-11.723236,4.409783,-0.037171,-16.354324,-3.040899,-0.140853,-18.308290,-3.033913,2.776933,-6.026339,-2.061424,2.796371,-5.483601,-2.046501,5.008839,-26.558550,-3.196533,5.018334,-17.610694,-2.313414,0.278266,-9.497510,-1.372543,0.134045,-15.438591,-1.406316,-0.032215,-1.082534,-5.106610,-0.263316,-3.608384,-5.347266,10.265974,-23.840802,-10.230344,8.677196,-17.018344,-8.368414,-0.184355,-7.653431,-4.019852,-0.419735,-10.978206,-4.076625,-3.426691,-6.604059,-0.646735,-3.435132,-7.346289,-0.658869,15.315422,-5.567045,-24.893161,15.315440,-5.567041,-24.893161,14.115119,-13.287433,6.796068,5.341996,-12.421043,9.077598,4.005971,-9.850413,-5.643255,4.309055,-6.669599,-5.268862,-5.627850,-3.032677,0.243014,-5.632684,-1.692599,0.172577,0
0.402485,23.931560,0.228379,0.490987,1.404190,-1.285611,1.441038,2.348758,2.451720,-10.731660,-76.900593,116.651061,10.175752,-99.398585,-67.059479,-58.598533,-6.226734,44.343592,-58.230815,-7.128009,45.105804,11.668144,-9.375741,22.934100,7.829110,-11.014613,23.247146,4.732372,-19.271829,-10.405908,4.421792,-20.966805,-10.423770,-9.261922,14.329368,8.646570,-8.465061,9.140817,9.011793,-2.580349,-20.605457,4.953900,-4.645806,-11.741249,4.414048,-0.038398,-16.377619,-3.040835,-0.140806,-18.307271,-3.033934,2.776032,-6.051263,-2.062105,2.796266,-5.486925,-2.046587,5.011563,-26.562832,-3.198189,5.008242,-17.626187,-2.312153,0.278149,-9.502432,-1.372585,0.134048,-15.438325,-1.406314,-0.032841,-1.089563,-5.107278,-0.263577,-3.611183,-5.347528,10.270119,-23.847003,-10.233259,8.663051,-17.038509,-8.368612,-0.184543,-7.656019,-4.019892,-0.419396,-10.973641,-4.076563,-3.426771,-6.610343,-0.646841,-3.435143,-7.346473,-0.658872,15.315451,-5.567042,-24.893163,15.315444,-5.567051,-24.893167,14.136088,-13.301063,6.787053,5.324373,-12.431159,9.080428,4.005129,-9.858987,-5.644256,4.309820,-6.661207,-5.267828,-5.627827,-3.035548,0.243172,-5.632676,-1.692317,0.172560,0
