Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
11.501104,-25.910152,-3.001511,-69.123359,26.363998,-23.945974,-3.210969,83.559807,11.699528,-7.784818,-71.365214,42.525162,14.612703,-49.234363,-146.001991,-45.874131,-24.714502,59.085995,-47.441547,-23.274571,58.038835,3.085468,-13.464132,29.684839,4.857573,-12.427052,28.881783,2.462883,-31.655174,-10.324066,3.902811,-23.793461,-10.433068,-5.703789,-7.649365,9.673322,-6.434639,-3.318539,9.581204,2.566862,-22.602282,3.370006,-0.558824,-30.046426,5.032038,-0.688269,-28.775886,-2.936751,-0.593890,-26.943736,-2.960955,2.540342,-12.354203,-2.221376,2.431732,-15.118068,-2.282861,5.489900,-24.240493,-3.144711,4.340720,-34.733764,-3.727027,-0.074050,-23.834437,-1.428230,-0.168991,-27.640903,-1.428090,-0.404593,-5.098333,-5.484419,-1.184138,-12.753341,-6.128942,8.772582,-21.162204,-9.160925,8.003345,-29.979460,-10.673293,-1.390827,-24.397303,-4.164834,-1.515178,-26.106359,-4.159679,-3.490073,-11.882735,-0.730597,-3.570246,-17.822952,-0.817553,15.315451,-5.567042,-24.893154,15.315449,-5.567030,-24.893160,3.974502,-10.444876,9.545269,6.242165,-21.687997,7.838403,1.471774,-31.335047,-7.668395,1.588604,-30.463380,-7.605479,-5.589364,-8.695091,0.538721,-5.549087,-12.356132,0.727298,3
10.988379,-26.400938,-3.192574,-71.421232,15.655713,-24.270754,13.142521,96.600994,7.241216,-7.334825,-73.130693,43.377320,14.297953,-49.496070,-145.662453,-45.856144,-24.730511,59.097486,-47.392609,-23.321839,58.073618,3.106162,-13.452967,29.691294,4.891872,-12.408929,28.901989,2.467017,-31.632511,-10.324665,3.903727,-23.788487,-10.433059,-5.698978,-7.677692,9.673751,-6.440575,-3.283102,9.580211,2.558139,-22.601125,3.373078,-0.571552,-30.105258,5.043433,-0.686501,-28.741526,-2.937237,-0.589744,-26.863640,-2.961940,2.540902,-12.340078,-2.221058,2.449847,-14.662006,-2.273076,5.506350,-24.264176,-3.153854,4.329306,-34.781789,-3.725202,-0.074173,-23.839447,-1.428240,-0.167325,-27.573554,-1.428134,-0.407000,-5.123552,-5.486708,-1.156879,-12.499018,-6.109223,8.796606,-21.162208,-9.168413,7.995589,-30.028990,-10.680479,-1.392559,-24.420980,-4.164782,-1.457096,-25.307950,-4.162547,-3.490459,-11.912648,-0.731061,-3.569012,-17.735588,-0.816330,15.315442,-5.567043,-24.893150,15.315444,-5.567038,-24.893159,3.995698,-10.457837,9.540260,6.228826,-21.641405,7.848457,1.469684,-31.350587,-7.669501,1.724841,-29.437553,-7.529170,-5.589114,-8.721900,0.540115,-5.550712,-12.227500,0.720720,3
10.502118,-26.814870,-3.354836,-64.714733,17.666411,-18.080505,6.480637,78.271893,5.676884,-6.897835,-74.849025,44.135457,14.047718,-49.798924,-145.398957,-45.838732,-24.745552,59.108277,-47.333621,-23.378407,58.115221,3.127224,-13.441539,29.697511,4.927026,-12.390391,28.926632,2.470990,-31.610702,-10.325223,3.904717,-23.783156,-10.433077,-5.694509,-7.704060,9.674133,-6.447386,-3.242587,9.579100,2.550137,-22.602932,3.375905,-0.580105,-30.169423,5.053235,-0.684668,-28.705871,-2.937731,-0.565590,-26.397279,-2.967590,2.541472,-12.325024,-2.220704,2.475842,-14.004549,-2.258713,5.525158,-24.289944,-3.164183,4.320742,-34.831413,-3.725326,-0.074447,-23.849848,-1.428247,-0.165450,-27.498909,-1.428202,-0.409770,-5.152474,-5.489327,-1.079087,-11.768632,-6.051907,8.822510,-21.166053,-9.177238,7.988973,-30.080421,-10.688627,-1.394717,-24.450596,-4.164727,-1.410574,-24.668566,-4.164264,-3.490886,-11.945853,-0.731572,-3.560072,-17.103473,-0.807460,15.315444,-5.567046,-24.893156,15.315446,-5.567049,-24.893155,4.017796,-10.477201,9.534501,6.214149,-21.595762,7.858923,1.467438,-31.367293,-7.670687,1.825633,-28.671633,-7.470625,-5.588857,-8.750432,0.541587,-5.561055,-11.375583,0.677042,3
10.024464,-27.180440,-3.500313,-57.958211,17.778935,-13.992325,2.968921,64.409141,4.564004,-6.510355,-76.380238,44.754945,13.814489,-50.163954,-145.158013,-45.821691,-24.759706,59.118431,-47.164033,-23.539681,58.233607,3.148571,-13.429735,29.703537,4.972699,-12.367386,29.000195,2.474811,-31.589655,-10.325796,3.905755,-23.777468,-10.433070,-5.690353,-7.728510,9.674486,-6.455004,-3.197113,9.577799,2.542859,-22.607635,3.378507,-0.584593,-30.238759,5.061464,-0.682777,-28.668944,-2.938252,-0.529953,-25.710683,-2.975534,2.542094,-12.309112,-2.220331,2.498482,-13.428363,-2.245899,5.546236,-24.317771,-3.175664,4.314954,-34.882572,-3.727352,-0.074825,-23.865449,-1.428265,-0.158655,-27.226409,-1.428414,-0.412915,-5.185053,-5.492287,-1.001243,-11.030622,-5.993005,8.850269,-21.173645,-9.187382,7.983445,-30.133687,-10.697727,-1.397282,-24.485974,-4.164664,-1.376786,-24.204357,-4.165186,-3.491350,-11.982281,-0.732117,-3.550051,-16.387026,-0.797296,15.315447,-5.567045,-24.893162,15.315435,-5.567039,-24.893161,4.040811,-10.502828,9.528020,6.198221,-21.551041,7.869784,1.465045,-31.385122,-7.671966,1.897414,-28.122378,-7.427813,-5.588574,-8.780648,0.543156,-5.571361,-10.469038,0.630416,3
9.863216,-27.303202,-3.180504,-36.500471,52.062339,13.925086,-14.784015,68.595657,-29.145791,-6.785189,-77.216559,44.401619,13.810777,-51.590839,-145.742785,-45.807734,-24.772634,59.127696,-46.913166,-23.776117,58.406569,3.172681,-13.416857,29.708092,5.028411,-12.340526,29.109559,2.476993,-31.577693,-10.326091,3.908933,-23.760197,-10.433103,-5.687702,-7.744220,9.674716,-6.463421,-3.146920,9.576398,2.548442,-22.617233,3.376614,-0.579009,-30.304155,5.064287,-0.682641,-28.666171,-2.938279,-0.511033,-25.346984,-2.979579,2.541964,-12.312256,-2.220408,2.504841,-13.266043,-2.242247,5.565132,-24.358518,-3.187781,4.317697,-34.917940,-3.732991,-0.075504,-23.892962,-1.428288,-0.155236,-27.089382,-1.428496,-0.415972,-5.216751,-5.495158,-0.965840,-10.692533,-5.965694,8.873851,-21.186590,-9.197268,7.984928,-30.172410,-10.707032,-1.399801,-24.520377,-4.164577,-1.372911,-24.151125,-4.165273,-3.491705,-12.010138,-0.732549,-3.543879,-15.940678,-0.790902,15.315447,-5.567039,-24.893156,15.315444,-5.567040,-24.893151,4.060894,-10.500577,9.524514,6.188757,-21.505834,7.878097,1.463326,-31.397735,-7.672859,1.903286,-28.077290,-7.424259,-5.588445,-8.793375,0.543818,-5.576301,-10.008804,0.606668,3
9.620237,-27.455236,-2.963871,-44.807677,47.715268,8.767318,-11.791537,68.373717,-20.669003,-6.990162,-78.053993,44.147657,13.786868,-53.152391,-146.344602,-45.794312,-24.784299,59.136056,-46.566663,-24.095725,58.639275,3.197106,-13.403367,29.712358,5.092934,-12.309551,29.260548,2.478770,-31.567867,-10.326368,3.912508,-23.740700,-10.433112,-5.685539,-7.756955,9.674915,-6.472620,-3.092035,9.574848,2.556710,-22.629933,3.373795,-0.568572,-30.372936,5.064929,-0.682737,-28.668156,-2.938266,-0.498692,-25.110074,-2.982147,2.541742,-12.317954,-2.220533,2.507292,-13.203216,-2.240816,5.585438,-24.403059,-3.200912,4.324011,-34.951849,-3.740742,-0.076353,-23.926577,-1.428310,-0.151819,-26.952291,-1.428578,-0.419261,-5.251128,-5.498278,-0.945192,-10.494687,-5.949615,8.898125,-21.203366,-9.208129,7.988453,-30.210115,-10.717118,-1.402622,-24.559110,-4.164504,-1.368639,-24.092415,-4.165366,-3.492075,-12.039083,-0.732994,-3.539570,-15.626689,-0.786367,15.315445,-5.567047,-24.893150,15.315446,-5.567043,-24.893153,4.081148,-10.498513,9.520949,6.179370,-21.461284,7.886315,1.461637,-31.410361,-7.673747,1.910028,-28.025550,-7.420197,-5.588334,-8.804462,0.544396,-5.579401,-9.710030,0.591248,3
9.395856,-27.127998,-2.921528,-39.852942,93.736278,3.996517,-9.889012,50.036957,-1.657986,-7.775626,-79.127992,44.250181,13.742129,-53.835053,-146.203069,-45.788972,-24.788935,59.139384,-46.364472,-24.278763,58.771950,3.235991,-13.380946,29.711935,5.148557,-12.280890,29.347438,2.479124,-31.565987,-10.326415,3.917103,-23.715664,-10.433154,-5.683508,-7.768935,9.675089,-6.483468,-3.027312,9.573017,2.563213,-22.635581,3.371545,-0.558756,-30.438117,5.065563,-0.684477,-28.701733,-2.937781,-0.495605,-25.050711,-2.982781,2.541262,-12.330495,-2.220838,2.509797,-13.139043,-2.239367,5.598626,-24.435410,-3.209858,4.330919,-34.982150,-3.748460,-0.077340,-23.966584,-1.428332,-0.150949,-26.916953,-1.428595,-0.421742,-5.276799,-5.500605,-0.940312,-10.447883,-5.945800,8.913676,-21.209923,-9.214279,7.992422,-30.259730,-10.730094,-1.404773,-24.588919,-4.164439,-1.366678,-24.065466,-4.165403,-3.492279,-12.054972,-0.733233,-3.538909,-15.578217,-0.785673,15.315443,-5.567039,-24.893151,15.315443,-5.567040,-24.893156,4.095539,-10.482963,9.519689,6.179899,-21.449651,7.887302,1.459780,-31.424101,-7.674726,1.914257,-27.993011,-7.417640,-5.588368,-8.800798,0.544202,-5.579914,-9.660787,0.588704,3
9.128010,-26.967398,-2.901167,-47.138937,79.652218,1.328475,-9.259705,56.939863,-1.551011,-8.475892,-80.261936,44.381279,13.702771,-54.488573,-146.101740,-45.786416,-24.791276,59.141059,-46.187106,-24.437893,58.886935,3.278222,-13.357162,29.710322,5.203186,-12.252444,29.423243,2.478900,-31.567231,-10.326378,3.922207,-23.687899,-10.433165,-5.681885,-7.778495,9.675220,-6.495232,-2.957144,9.570997,2.571445,-22.642317,3.368678,-0.545323,-30.505241,5.064509,-0.686671,-28.744814,-2.937186,-0.492282,-24.986800,-2.983459,2.540648,-12.346258,-2.221193,2.512479,-13.070552,-2.237813,5.611569,-24.468425,-3.218798,4.340688,-35.010670,-3.757807,-0.078478,-24.012465,-1.428373,-0.150129,-26.884394,-1.428621,-0.424271,-5.302926,-5.502958,-0.935122,-10.398065,-5.941732,8.928182,-21.217550,-9.220310,7.998030,-30.310763,-10.744209,-1.407072,-24.620398,-4.164363,-1.364828,-24.040172,-4.165447,-3.492464,-12.069307,-0.733456,-3.538197,-15.526329,-0.784917,15.315443,-5.567042,-24.893159,15.315444,-5.567049,-24.893151,4.108987,-10.465053,9.518809,6.182323,-21.444601,7.886862,1.457916,-31.438064,-7.675716,1.918680,-27.958947,-7.414941,-5.588451,-8.793128,0.543798,-5.580463,-9.606541,0.585893,3
8.835316,-26.925303,-2.894205,-47.718307,64.152244,-0.448127,-8.281517,58.480435,-1.386142,-9.078211,-81.393630,44.530067,13.664892,-55.157134,-146.022118,-45.787681,-24.789956,59.140116,-45.835218,-24.748540,59.110419,3.327453,-13.328948,29.706475,5.277254,-12.215221,29.574930,2.477595,-31.574325,-10.326195,3.928379,-23.654342,-10.433205,-5.680980,-7.783745,9.675298,-6.547736,-2.643574,9.561850,2.583204,-22.651223,3.364591,-0.515694,-30.680543,5.064405,-0.689855,-28.806774,-2.936316,-0.484904,-24.845510,-2.984957,2.539799,-12.368417,-2.221713,2.523439,-12.789259,-2.231399,5.624407,-24.503454,-3.227943,4.356085,-35.036502,-3.770437,-0.079948,-24.070465,-1.428406,-0.149427,-26.856265,-1.428628,-0.426924,-5.330542,-5.505457,-0.929241,-10.341501,-5.937118,8.941045,-21.227347,-9.226260,8.006868,-30.365701,-10.760818,-1.409653,-24.655807,-4.164290,-1.363171,-24.017381,-4.165477,-3.492598,-12.080971,-0.733638,-3.537377,-15.466799,-0.784060,15.315443,-5.567044,-24.893157,15.315445,-5.567041,-24.893160,4.121049,-10.442298,9.518639,6.188370,-21.451811,7.883756,1.455895,-31.452759,-7.676748,1.923603,-27.921135,-7.411950,-5.588578,-8.777792,0.543005,-5.581125,-9.541635,0.582539,3
8.562380,-26.797915,-2.704513,-48.060143,76.882365,33.260425,-10.715463,59.452459,7.305664,-9.477757,-81.472080,44.062769,13.708619,-55.394178,-145.976159,-45.770916,-24.804713,59.150689,-45.553397,-24.992537,59.285025,3.379431,-13.299913,29.710441,5.339375,-12.183729,29.695968,2.474417,-31.591840,-10.325729,3.935954,-23.613070,-10.433221,-5.681243,-7.782227,9.675272,-6.696087,-1.755670,9.534346,2.588772,-22.645854,3.362591,-0.501026,-30.743378,5.062252,-0.691897,-28.846592,-2.935761,-0.482827,-24.805702,-2.985375,2.539022,-12.388242,-2.222167,2.525795,-12.728623,-2.230007,5.626824,-24.530484,-3.232030,4.365593,-35.076521,-3.780948,-0.080620,-24.097890,-1.428431,-0.150029,-26.880376,-1.428625,-0.427728,-5.338915,-5.506219,-0.927251,-10.322343,-5.935548,8.949081,-21.222756,-9.227869,8.013214,-30.446197,-10.781947,-1.410066,-24.661629,-4.164281,-1.364774,-24.039434,-4.165444,-3.492521,-12.074196,-0.733529,-3.537096,-15.445972,-0.783761,15.315438,-5.567041,-24.893163,15.315442,-5.567037,-24.893157,4.122101,-10.406431,9.521661,6.213196,-21.493411,7.869767,1.454520,-31.463219,-7.677508,1.920977,-27.941237,-7.413538,-5.588808,-8.755736,0.541858,-5.581322,-9.521428,0.581500,3
