Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
12.757719,9.734097,-10.304070,5.399893,3.657148,15.494768,36.825844,-66.501151,-42.570712,-71.181730,97.581491,-13.389596,-13.151121,-169.946626,-144.909022,-35.742096,-31.509527,63.551154,-52.014728,-18.111014,54.099118,-1.800897,-17.189876,34.428460,14.824721,-7.283096,26.652024,1.833086,-35.132980,-10.213018,4.969216,-17.976264,-10.386039,0.455016,-45.524672,8.141811,-7.567355,3.527944,9.323307,5.239236,-17.875943,2.644471,4.202318,-31.297098,2.606740,-1.877897,-54.353516,-2.301751,-0.792087,-30.810106,-2.906360,2.088045,-23.451823,-2.435549,2.642784,-9.672141,-2.156786,4.744952,-59.974765,-8.751448,3.423813,-46.401308,-4.387474,-1.475346,-97.268236,-0.450544,-0.225028,-29.890689,-1.425038,-7.934601,-66.413595,-7.191574,-0.777148,-8.863615,-5.814369,-1.916934,-76.302014,-13.538229,4.287488,-43.692558,-11.350992,-4.951972,-84.740117,-1.963399,-1.958731,-32.238330,-4.110725,-4.427269,-65.197395,-1.140559,-3.564831,-17.440854,-0.812202,15.315452,-5.567039,-24.893161,15.315436,-5.567036,-24.893155,7.858691,-82.327498,0.488770,5.352156,-23.677811,8.025918,-5.218163,-76.578294,-8.281765,0.596682,-37.660731,-8.070921,-3.974875,-61.826588,2.700495,-5.536685,-13.306987,0.775817,3
13.147107,9.901160,-10.081410,6.181916,3.239176,13.394363,-49.228018,-20.533868,-18.290024,-70.742914,96.542274,-12.506014,-18.457264,-168.834117,-143.524939,-35.734475,-31.513360,63.553361,-52.109591,-17.983755,53.999068,-1.740711,-17.149423,34.424066,14.997887,-7.202701,26.610693,1.851395,-35.031251,-10.216834,4.817630,-18.805735,-10.399367,0.415606,-45.249589,8.167166,-7.270043,1.709929,9.405035,5.377325,-17.965869,2.603349,4.097069,-32.654732,2.643088,-1.879482,-54.392917,-2.300363,-0.877288,-32.496461,-2.878386,2.091495,-23.370517,-2.434301,2.638357,-9.789447,-2.159701,4.848074,-59.366299,-8.718887,3.315459,-46.908026,-4.347371,-1.474868,-97.206949,-0.451990,-0.258667,-31.244777,-1.422143,-7.918419,-66.284056,-7.196849,-0.878383,-9.850664,-5.896789,-1.761822,-75.724335,-13.612252,4.221832,-43.697325,-11.297398,-4.958762,-84.940022,-1.950579,-2.096313,-34.159713,-4.085654,-4.425322,-65.098402,-1.140633,-3.580467,-18.535385,-0.827390,15.315431,-5.567042,-24.893148,15.315445,-5.567035,-24.893156,7.860442,-81.858995,0.536603,5.398786,-23.888447,7.988563,-5.248419,-76.787028,-8.272192,0.342020,-39.445824,-8.166861,-3.984725,-61.616868,2.695525,-5.526245,-14.063121,0.814262,3
12.572885,10.277304,-10.046470,-2.487707,1.870411,6.945764,80.512102,-52.498584,1.895396,-70.513418,91.941725,-8.038229,-24.169369,-170.916400,-140.766942,-35.682808,-31.539809,63.568628,-52.139596,-17.944497,53.968134,-1.730574,-17.147815,34.444145,15.014918,-7.196793,26.596177,1.879542,-34.875076,-10.222570,4.651905,-19.711250,-10.411437,0.335105,-44.690524,8.218123,-6.938937,-0.295644,9.484129,5.410559,-18.064875,2.589409,4.030253,-35.515131,2.648847,-1.878652,-54.372451,-2.301085,-1.096483,-36.920178,-2.793208,2.099067,-23.192031,-2.431543,2.616968,-10.355531,-2.173697,4.934048,-58.843789,-8.686491,3.052092,-48.406565,-4.272208,-1.474010,-97.099315,-0.454536,-0.312660,-33.423954,-1.415810,-7.871555,-65.909851,-7.211847,-1.055187,-11.542832,-6.033994,-1.597794,-75.132370,-13.697534,3.919549,-44.528333,-11.232936,-4.959759,-84.968954,-1.948719,-2.327363,-37.417009,-4.032643,-4.419983,-64.830515,-1.140918,-3.611335,-20.640901,-0.855765,15.315446,-5.567044,-24.893165,15.315448,-5.567040,-24.893157,7.858382,-81.098748,0.642035,5.509523,-25.356423,7.820134,-5.258974,-76.860003,-8.268819,-0.158920,-42.900370,-8.329836,-4.002349,-61.240876,2.686527,-5.494471,-16.170983,0.920635,3
12.292925,10.559264,-10.036051,-1.056785,1.483242,5.342061,36.348392,-36.189118,3.950003,-70.195493,88.626863,-4.854544,-27.725095,-171.583427,-139.333416,-35.610220,-31.576607,63.589816,-52.161778,-17.914218,53.944307,-1.727637,-17.152219,34.473497,15.012563,-7.200159,26.584866,1.912950,-34.689783,-10.229314,4.484542,-20.624647,-10.420882,0.245667,-44.073346,8.273481,-6.625079,-2.181023,9.547785,5.431558,-18.170350,2.578359,3.955679,-38.234013,2.678511,-1.877575,-54.345381,-2.302010,-1.291804,-40.990584,-2.700124,2.109111,-22.955281,-2.427859,2.574688,-11.463791,-2.200475,5.017248,-58.332061,-8.652798,2.764243,-49.961002,-4.160049,-1.472680,-96.933684,-0.458450,-0.363950,-35.504465,-1.407860,-7.812417,-65.438607,-7.230271,-1.231867,-13.196634,-6.163032,-1.432653,-74.545704,-13.782990,3.566202,-45.505269,-11.147594,-4.960167,-84.981035,-1.947944,-2.536520,-40.408198,-3.972479,-4.413815,-64.519621,-1.141209,-3.642364,-22.690968,-0.882282,15.315443,-5.567036,-24.893150,15.315442,-5.567036,-24.893155,7.853711,-80.237236,0.768025,5.592711,-26.944501,7.653962,-5.267049,-76.915826,-8.266221,-0.626308,-46.068148,-8.452553,-4.021725,-60.826220,2.676477,-5.457493,-18.353053,1.029442,3
9.909075,11.326858,-10.270369,-6.275933,8.840784,1.632639,332.047114,-100.098554,34.887726,-69.843550,83.884788,0.241428,-26.020080,-174.747610,-135.611659,-35.588108,-31.587880,63.596311,-52.153574,-17.924935,53.952758,-1.751491,-17.170681,34.485546,14.920289,-7.247093,26.585568,1.941016,-34.534260,-10.234876,4.410692,-21.027258,-10.424246,0.113653,-43.169880,8.352796,-6.424329,-3.379922,9.582890,5.384455,-18.277128,2.585710,3.915211,-39.695435,2.702535,-1.875466,-54.292596,-2.303840,-1.427244,-43.903107,-2.625127,2.121886,-22.653514,-2.423106,2.512561,-13.068348,-2.237763,5.063791,-57.900284,-8.590700,2.632329,-50.694501,-4.103981,-1.469139,-96.494380,-0.468803,-0.454623,-39.217512,-1.389059,-7.717060,-64.681561,-7.258887,-1.536012,-15.967232,-6.367655,-1.267519,-73.893590,-13.818490,3.411363,-45.841584,-11.085346,-4.956809,-84.881667,-1.954321,-2.700699,-42.791299,-3.916773,-4.406976,-64.174844,-1.141462,-3.673950,-24.716791,-0.907373,15.315443,-5.567041,-24.893163,15.315453,-5.567045,-24.893153,7.852120,-79.046240,0.907752,5.529540,-27.293105,7.658990,-5.250511,-76.801500,-8.271526,-0.960925,-48.310177,-8.523719,-4.036540,-60.508315,2.668666,-5.408673,-20.924220,1.155738,3
8.491150,11.839512,-10.470903,-6.043818,9.507390,1.756511,195.040756,-63.195086,30.195420,-69.413526,80.381263,3.980304,-25.448972,-176.550790,-133.087347,-35.572860,-31.595830,63.600894,-52.138975,-17.944277,53.967996,-1.781423,-17.193019,34.495638,14.822883,-7.296351,26.589516,1.969026,-34.379023,-10.240349,4.348303,-21.367404,-10.426646,-0.025902,-42.224101,8.433562,-6.231671,-4.526345,9.612457,5.329060,-18.385665,2.595441,3.888281,-41.081532,2.721790,-1.872531,-54.220266,-2.306370,-1.549680,-46.613284,-2.549232,2.136193,-22.314867,-2.417687,2.445399,-14.773992,-2.275487,5.100459,-57.483210,-8.519916,2.519345,-51.368442,-4.057603,-1.464288,-95.911378,-0.482517,-0.538459,-42.703068,-1.366120,-7.610859,-63.842093,-7.289115,-1.836727,-18.624307,-6.549943,-1.105891,-73.243992,-13.842515,3.276996,-46.126124,-11.027841,-4.953358,-84.780660,-1.960794,-2.857161,-45.096550,-3.856442,-4.399759,-63.811703,-1.141705,-3.704643,-26.635177,-0.930093,15.315451,-5.567042,-24.893156,15.315445,-5.567048,-24.893161,7.851642,-77.828384,1.040225,5.447494,-27.592325,7.678615,-5.233937,-76.687094,-8.276797,-1.282902,-50.451499,-8.579419,-4.050754,-60.201858,2.661059,-5.357523,-23.347222,1.272632,3
7.853091,12.132871,-10.613108,-5.465990,9.522531,1.761016,79.680407,-29.625078,20.737674,-68.938122,77.640123,6.877267,-25.595311,-177.560560,-131.308167,-35.562761,-31.600634,63.603633,-52.119599,-17.970062,53.988301,-1.818766,-17.219306,34.504471,14.666451,-7.375274,26.593726,1.996750,-34.225515,-10.245687,4.292948,-21.669010,-10.428472,-0.167508,-41.273487,8.512466,-6.042528,-5.647995,9.637665,5.254341,-18.495864,2.610669,3.872198,-42.432596,2.736722,-1.868875,-54.129200,-2.309526,-1.663917,-49.219668,-2.470883,2.151399,-21.954032,-2.411816,2.379012,-16.433867,-2.310265,5.125672,-57.074265,-8.436804,2.419970,-52.009615,-4.019425,-1.458522,-95.236925,-0.498315,-0.616338,-46.000394,-1.339731,-7.500343,-62.972231,-7.318785,-2.130120,-21.149419,-6.710118,-0.947827,-72.599100,-13.857437,3.157340,-46.378278,-10.974911,-4.949076,-84.655376,-1.968833,-3.008578,-47.364877,-3.790972,-4.392336,-63.438815,-1.141900,-3.734812,-28.476429,-0.950915,15.315439,-5.567040,-24.893158,15.315436,-5.567037,-24.893151,7.853444,-76.629796,1.158603,5.353671,-27.864757,7.707526,-5.208832,-76.513804,-8.284699,-1.599305,-52.543902,-8.622211,-4.064507,-59.904942,2.653615,-5.304753,-25.635325,1.380937,3
4.423344,12.508363,-10.977387,-0.542497,16.584663,5.662284,478.599966,-35.872234,56.552893,-69.403576,75.086773,10.808744,-20.037625,-179.780066,-128.913500,-35.522988,-31.621095,63.615411,-52.012586,-18.112018,54.099970,-1.833024,-17.233279,34.522663,14.621148,-7.388696,26.646029,2.022986,-34.080309,-10.250682,4.226706,-22.029925,-10.430270,-0.269724,-40.592789,8.567504,-5.908598,-6.440297,9.653211,5.223676,-18.501043,2.618902,3.866138,-42.958083,2.743406,-1.867408,-54.093103,-2.310783,-1.762241,-51.533861,-2.397018,2.164334,-21.646452,-2.406725,2.305098,-18.252961,-2.346139,5.070852,-57.024057,-8.347587,2.342111,-52.306394,-3.963233,-1.453788,-94.698125,-0.510888,-0.707329,-49.944730,-1.302370,-7.410620,-62.268994,-7.341537,-2.510571,-24.340750,-6.893877,-0.896125,-72.330702,-13.826694,3.075388,-46.434021,-10.911746,-4.942917,-84.475947,-1.980307,-3.235873,-50.850836,-3.678816,-4.383960,-63.017403,-1.142068,-3.778897,-31.098994,-0.978870,15.315444,-5.567049,-24.893158,15.315453,-5.567049,-24.893155,7.855353,-76.079005,1.208678,5.303889,-27.774859,7.739790,-5.183754,-76.341030,-8.292495,-2.059678,-55.573450,-8.663607,-4.077147,-59.631137,2.646698,-5.226925,-28.717519,1.523310,3
2.773505,12.746638,-11.205029,0.090221,16.872208,5.725932,230.255895,-16.369131,37.483817,-69.529550,72.930979,13.865846,-16.383555,178.866860,-127.187014,-35.479775,-31.643140,63.628079,-51.847057,-18.330078,54.271185,-1.848487,-17.247978,34.542289,14.582110,-7.393230,26.727583,2.048551,-33.938900,-10.255462,4.162795,-22.378024,-10.431613,-0.370261,-39.927517,8.620145,-5.769906,-7.259387,9.667304,5.191163,-18.495159,2.628170,3.873428,-43.576163,2.739739,-1.866079,-54.060129,-2.311902,-1.858529,-53.873092,-2.318382,2.177004,-21.344123,-2.401676,2.234516,-19.965655,-2.377753,5.001446,-56.976932,-8.239628,2.269030,-52.607931,-3.911807,-1.448964,-94.164479,-0.523291,-0.789837,-53.630032,-1.261878,-7.322936,-61.583585,-7.362628,-2.873723,-27.313973,-7.045805,-0.847931,-72.065715,-13.789829,3.000196,-46.476483,-10.851603,-4.935115,-84.250480,-1.994723,-3.439538,-54.074076,-3.562990,-4.375520,-62.592413,-1.142160,-3.821375,-33.559438,-1.003226,15.315444,-5.567043,-24.893158,15.315444,-5.567038,-24.893151,7.856426,-75.532684,1.261474,5.267606,-27.694361,7.764231,-5.153759,-76.134499,-8.301733,-2.491473,-58.406179,-8.680263,-4.089408,-59.364907,2.639907,-5.148054,-31.575242,1.651417,3
-1.332182,12.547782,-11.623967,-12.421139,2.249933,3.214430,564.785169,30.206504,62.111562,-70.602421,70.706880,17.289234,-11.371148,177.968592,-126.162532,-35.432103,-31.667308,63.641936,-51.764720,-18.437202,54.355167,-1.913557,-17.297743,34.570258,14.601784,-7.375325,26.769449,2.069329,-33.823988,-10.259302,4.132189,-22.544662,-10.432124,-0.453209,-39.381716,8.662448,-5.758765,-7.325136,9.668357,5.118232,-18.421736,2.651661,3.846463,-43.963811,2.764837,-1.866255,-54.064366,-2.311765,-1.890254,-54.661948,-2.290987,2.185505,-21.141277,-2.398272,2.184033,-21.176808,-2.398849,4.918737,-56.918234,-8.110652,2.140301,-53.182778,-3.822751,-1.446158,-93.859145,-0.530378,-0.835605,-55.729079,-1.236479,-7.267292,-61.149881,-7.375436,-3.106124,-29.185191,-7.131691,-0.790537,-71.789742,-13.770304,2.788312,-46.928656,-10.753008,-4.930421,-84.115723,-2.003312,-3.557391,-55.990051,-3.488748,-4.370136,-62.321724,-1.142190,-3.853076,-35.358215,-1.019898,15.315445,-5.567048,-24.893163,15.315443,-5.567041,-24.893156,7.862809,-74.782437,1.316704,5.143889,-27.936748,7.812045,-5.145447,-76.077191,-8.304280,-2.680992,-59.648664,-8.680809,-4.099120,-59.153640,2.634466,-5.086053,-33.675537,1.742958,3
