Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-15.414140,14.111656,-3.221607,-54.172551,-2.400876,-1.125789,9.455042,-8.009749,54.628387,-77.229796,19.809740,53.516768,44.612630,-36.479357,5.920821,-32.121721,-33.215889,64.487994,-46.030184,-24.577242,58.987346,-0.574235,-16.662423,35.759757,16.427707,-5.795179,29.591931,2.160275,-33.321611,-10.275636,2.144948,-33.406244,-10.272937,-0.856317,-36.765542,8.854257,-4.717167,-13.445555,9.709331,8.707737,-17.031373,1.815868,12.744879,-24.992386,-0.719321,-1.528356,-46.135633,-2.563022,-2.169830,-62.097361,-2.012185,2.101282,-23.139784,-2.430728,1.713882,-32.053602,-2.539157,3.742837,-68.270832,-9.974783,8.219220,-35.542010,-6.298907,-1.422270,-91.407701,-0.586638,-1.102100,-69.098661,-1.037324,-7.973576,-66.725662,-7.178765,-4.072500,-36.768100,-7.400763,-3.360789,-81.771106,-12.526948,5.618840,-40.214854,-11.571694,-4.843130,-81.702712,-2.155273,-4.165977,-66.712534,-3.004015,-4.513536,-69.556258,-1.132583,-3.936788,-39.983035,-1.058025,15.315440,-5.567041,-24.893171,15.315447,-5.567039,-24.893163,7.284113,-80.957294,3.938232,1.463933,-42.258433,10.341348,-5.338078,-77.407470,-8.243089,-0.387790,-44.457300,-8.393371,-3.453231,-72.475625,2.903925,-4.996153,-36.541423,1.864080,4
-19.631344,14.124733,-5.666637,-43.355922,-4.068297,-13.108624,564.743865,-5.953973,339.452503,-76.653083,20.637513,52.247587,43.506716,-40.979602,5.693006,-32.153758,-33.202192,64.480920,-45.858494,-24.728434,59.095992,-0.548959,-16.641813,35.743949,16.113107,-5.964392,29.649764,2.115439,-33.569168,-10.267688,2.067500,-33.834105,-10.258965,-0.862653,-36.724930,8.857087,-4.661643,-13.771107,9.708385,8.705210,-16.943724,1.826373,12.933125,-23.940621,-0.587313,-1.532721,-46.233313,-2.560227,-2.130925,-61.001609,-2.055525,2.097827,-23.221050,-2.431987,1.721115,-31.890418,-2.537709,3.735715,-68.324365,-9.982834,8.442109,-34.603936,-6.243302,-1.423694,-91.547524,-0.583444,-1.099913,-68.977853,-1.039407,-7.973139,-66.722108,-7.178893,-4.103584,-37.007850,-7.407167,-3.369928,-81.836110,-12.549422,5.994677,-39.413048,-11.649898,-4.848295,-81.840555,-2.146694,-4.154132,-66.486476,-3.015373,-4.512472,-69.502951,-1.132718,-3.936711,-39.979083,-1.057989,15.315452,-5.567036,-24.893164,15.315446,-5.567042,-24.893160,7.292291,-81.143898,3.931552,1.698537,-41.776498,10.103411,-5.340725,-77.425877,-8.242219,-0.360011,-44.269026,-8.386012,-3.471715,-72.110201,2.898564,-5.002396,-36.348191,1.856064,4
-21.659979,14.089781,-6.963885,-41.021058,-2.603741,-9.641765,241.336573,2.261111,170.916925,-76.250306,20.497376,51.982292,42.716005,-44.045391,5.615538,-32.188771,-33.186967,64.473024,-45.728445,-24.841590,59.177107,-0.522084,-16.618926,35.726550,15.748570,-6.167382,29.685981,2.071407,-33.812480,-10.259688,1.989011,-34.268355,-10.244201,-0.868077,-36.690081,8.859508,-4.596383,-14.153795,9.706869,8.703411,-16.850535,1.837316,13.119056,-22.928711,-0.456259,-1.536973,-46.328150,-2.557479,-2.094715,-60.001498,-2.094425,2.094320,-23.303778,-2.433263,1.726735,-31.763671,-2.536578,3.728745,-68.370604,-9.988082,8.664009,-33.699684,-6.188439,-1.425059,-91.681304,-0.580406,-1.098041,-68.874545,-1.041168,-7.972331,-66.715732,-7.179157,-4.138418,-37.276415,-7.414191,-3.376882,-81.895153,-12.576961,6.375879,-38.678379,-11.737514,-4.853578,-81.982525,-2.137838,-4.139488,-66.208541,-3.029298,-4.511426,-69.449879,-1.132857,-3.936935,-39.990274,-1.058085,15.315441,-5.567042,-24.893161,15.315443,-5.567042,-24.893164,7.301603,-81.337219,3.920127,1.995221,-41.327510,9.823136,-5.343655,-77.446094,-8.241265,-0.339751,-44.131566,-8.380592,-3.491783,-71.712571,2.892599,-5.006526,-36.220592,1.850764,4
-22.571754,14.060599,-7.558846,-30.263528,-1.664177,-6.543243,95.512193,2.361422,75.529319,-75.970282,20.057305,52.089122,42.347118,-45.427422,5.603353,-32.227447,-33.170124,64.464280,-45.598351,-24.953586,59.257212,-0.494530,-16.595937,35.707798,15.360026,-6.385259,29.722128,2.027710,-34.054226,-10.251567,1.910243,-34.704847,-10.228763,-0.872839,-36.659598,8.861625,-4.524295,-14.576693,9.704664,8.702215,-16.753313,1.848563,13.302657,-21.938766,-0.322948,-1.541147,-46.421634,-2.554798,-2.060784,-59.080665,-2.129656,2.090753,-23.387986,-2.434559,1.732661,-31.629783,-2.535372,3.721873,-68.411490,-9.991184,8.886086,-32.812177,-6.131618,-1.426363,-91.810994,-0.577451,-1.096405,-68.783880,-1.042724,-7.971299,-66.707447,-7.179503,-4.176154,-37.567079,-7.421618,-3.382249,-81.950348,-12.608904,6.760954,-37.987357,-11.828292,-4.858930,-82.126757,-2.128839,-4.123146,-65.899933,-3.044657,-4.510417,-69.398300,-1.132989,-3.937321,-40.011559,-1.058230,15.315442,-5.567043,-24.893167,15.315444,-5.567041,-24.893152,7.311833,-81.536438,3.904919,2.326938,-40.906298,9.523370,-5.346929,-77.468731,-8.240174,-0.324173,-44.025783,-8.376386,-3.512454,-71.302240,2.886314,-5.009426,-36.129853,1.846979,4
-29.000652,13.309097,-9.278762,-1.277216,-1.129748,-5.258829,897.347641,103.914356,235.149294,-75.733487,20.953930,51.122347,39.754634,-50.671237,5.150552,-32.241459,-33.164211,64.461230,-45.155755,-25.330097,59.525189,-0.439237,-16.554853,35.695797,15.336575,-6.358960,29.921004,2.012394,-34.138897,-10.248669,1.894563,-34.791760,-10.225611,-0.891540,-36.539642,8.869945,-4.545513,-14.452180,9.705377,8.684053,-16.669466,1.862446,13.372284,-20.017206,0.040675,-1.545956,-46.529281,-2.551672,-1.993788,-57.305779,-2.196033,2.094612,-23.297465,-2.433184,1.751802,-31.196866,-2.531374,3.708473,-68.447363,-9.977960,9.405918,-30.457920,-5.918795,-1.428437,-92.018400,-0.572710,-1.093433,-68.621426,-1.045491,-7.962444,-66.636476,-7.182433,-4.171906,-37.534344,-7.420780,-3.390594,-82.002004,-12.621871,7.601812,-35.878443,-11.840682,-4.869349,-82.409199,-2.111159,-4.076628,-65.029137,-3.087526,-4.507780,-69.264520,-1.133317,-3.931695,-39.705276,-1.055924,15.315439,-5.567047,-24.893165,15.315432,-5.567042,-24.893159,7.306712,-81.495600,3.926017,2.685387,-39.034771,9.161084,-5.372890,-77.649041,-8.231511,-0.266235,-43.631883,-8.360458,-3.533973,-70.874369,2.879597,-5.018288,-35.853475,1.835419,4
-31.814505,12.956622,-10.224509,-7.932006,-0.807457,-4.444087,378.865955,47.644475,125.560192,-75.514198,21.107211,50.798107,38.268197,-53.538501,5.038397,-32.255077,-33.157671,64.457766,-44.611438,-25.779370,59.842235,-0.372312,-16.505555,35.682953,15.311344,-6.324569,30.164322,1.995561,-34.232095,-10.245452,1.875262,-34.898897,-10.221694,-0.911152,-36.413992,8.878615,-4.552583,-14.410743,9.705601,8.664581,-16.585184,1.876642,13.430944,-18.274386,0.372709,-1.550766,-46.637390,-2.548510,-1.932189,-55.719322,-2.253581,2.097709,-23.224230,-2.432062,1.775008,-30.671171,-2.526311,3.694999,-68.480255,-9.963254,9.904712,-28.386301,-5.725693,-1.430527,-92.226696,-0.567958,-1.090551,-68.463804,-1.048152,-7.954465,-66.572572,-7.185072,-4.169942,-37.519144,-7.420407,-3.398523,-82.052055,-12.635400,8.404615,-34.023973,-11.845237,-4.880067,-82.702422,-2.092764,-4.027622,-64.124605,-3.131312,-4.504431,-69.095035,-1.133726,-3.922296,-39.194206,-1.051998,15.315436,-5.567045,-24.893160,15.315447,-5.567041,-24.893156,7.303564,-81.479305,3.941054,3.080131,-37.274527,8.826020,-5.404546,-77.868883,-8.220841,-0.184929,-43.077873,-8.337394,-3.555085,-70.452918,2.872806,-5.032237,-35.414309,1.816982,4
-36.610173,13.851240,-11.669230,8.464366,-3.706691,-1.560275,676.922847,-128.405705,199.816520,-75.486380,21.162229,51.074000,39.071119,-58.091852,6.691645,-32.318112,-33.130058,64.443383,-43.828707,-26.401923,60.276427,-0.324701,-16.465756,35.652018,15.533185,-6.119001,30.527944,2.014516,-34.127156,-10.249072,1.924041,-34.628309,-10.231516,-0.968164,-36.049509,8.903520,-4.615573,-14.041277,9.707360,8.623445,-16.493569,1.896845,13.482025,-18.354796,0.342413,-1.552575,-46.678005,-2.547345,-1.900185,-54.910486,-2.282259,2.103557,-23.086405,-2.429906,1.808582,-29.908810,-2.518609,3.669102,-68.567911,-9.945504,10.135578,-27.668942,-5.678985,-1.432546,-92.431975,-0.563256,-1.089929,-68.429714,-1.048734,-7.942144,-66.473813,-7.189126,-4.142317,-37.306516,-7.414975,-3.409454,-82.102693,-12.634101,8.894659,-32.457690,-11.715186,-4.891563,-83.019546,-2.072814,-4.012869,-63.854744,-3.144221,-4.500391,-68.889932,-1.134231,-3.897242,-37.820217,-1.041028,15.315441,-5.567046,-24.893167,15.315440,-5.567047,-24.893157,7.290316,-81.377698,3.995805,2.765104,-35.963749,9.034638,-5.457341,-78.236349,-8.202741,-0.066032,-42.264765,-8.302112,-3.572519,-70.104646,2.867097,-5.073780,-34.078663,1.760268,4
-40.582514,14.576736,-11.961663,6.523866,-2.185999,0.401238,561.304937,-103.509458,41.242622,-75.556457,20.985284,51.575819,41.744048,-60.367812,10.211397,-32.343587,-33.119418,64.437891,-43.274089,-26.825152,60.567993,-0.320440,-16.460826,35.641172,16.011390,-5.771588,30.806765,2.026401,-34.061362,-10.251316,2.013942,-34.130383,-10.248948,-1.012096,-35.769294,8.922440,-4.802553,-12.944714,9.710190,8.593197,-16.400159,1.914497,13.565922,-18.585908,0.272226,-1.554289,-46.716815,-2.546229,-1.878797,-54.375864,-2.300977,2.110021,-22.933983,-2.427514,1.836060,-29.282867,-2.511939,3.650210,-68.635452,-9.933964,10.271327,-27.328298,-5.666763,-1.435431,-92.727579,-0.556470,-1.089213,-68.390895,-1.049411,-7.938521,-66.444972,-7.190293,-4.095560,-36.946008,-7.405531,-3.413899,-82.123111,-12.633297,9.093348,-31.630762,-11.608870,-4.902591,-83.327154,-2.053377,-4.009602,-63.795366,-3.147061,-4.497518,-68.745030,-1.134564,-3.874010,-36.531626,-1.030188,15.315446,-5.567045,-24.893160,15.315446,-5.567042,-24.893154,7.276840,-81.281708,4.052428,2.273393,-34.884034,9.351306,-5.521818,-78.686357,-8.180081,0.047648,-41.484076,-8.266664,-3.583007,-69.894856,2.863596,-5.102130,-33.141976,1.719924,4
-42.834297,14.828184,-12.417448,5.691279,-2.487224,0.281495,314.834091,-37.008041,62.855284,-75.568829,20.677635,52.065170,43.912585,-62.173004,13.050076,-32.364264,-33.110531,64.433276,-42.774697,-27.196988,60.821645,-0.323062,-16.461207,35.633085,16.767293,-5.249600,31.086027,2.036001,-34.008275,-10.253117,2.169789,-33.269140,-10.277302,-1.054566,-35.499040,8.940489,-5.061854,-11.423742,9.708179,8.563288,-16.306226,1.932011,13.654178,-18.664379,0.231245,-1.556004,-46.755374,-2.545092,-1.856082,-53.812585,-2.320464,2.117617,-22.754437,-2.424709,1.861538,-28.701264,-2.505474,3.631645,-68.700763,-9.922097,10.407896,-26.883395,-5.630675,-1.438412,-93.036286,-0.549362,-1.088559,-68.355112,-1.049996,-7.936168,-66.425996,-7.191081,-4.033257,-36.465032,-7.392482,-3.417580,-82.139305,-12.631870,9.280817,-30.810936,-11.496250,-4.913329,-83.628539,-2.034294,-4.006966,-63.747249,-3.149345,-4.494808,-68.607635,-1.134874,-3.852747,-35.340260,-1.019722,15.315447,-5.567039,-24.893161,15.315451,-5.567039,-24.893162,7.264172,-81.203544,4.107457,1.894111,-33.872366,9.575406,-5.588909,-79.155966,-8.155926,0.154964,-40.743900,-8.231631,-3.592681,-69.700963,2.860335,-5.126694,-32.311469,1.683783,4
-44.582744,14.938468,-12.915397,5.842020,-3.476705,0.178483,248.232780,-18.765528,69.210177,-75.544699,20.267024,52.579201,45.061183,-63.138273,14.564821,-32.380158,-33.103017,64.429296,-42.319231,-27.525880,61.043935,-0.331335,-16.465053,35.627466,17.662482,-4.631515,31.366430,2.044097,-33.963605,-10.254632,2.359531,-32.223548,-10.308545,-1.095136,-35.241399,8.957485,-5.334464,-9.823030,9.698590,8.533815,-16.212053,1.949352,13.746752,-18.664658,0.204930,-1.557728,-46.793978,-2.543965,-1.832309,-53.228207,-2.340445,2.125820,-22.560510,-2.421630,1.885051,-28.162648,-2.499250,3.613452,-68.764055,-9.910048,10.543810,-26.376464,-5.578946,-1.441417,-93.352398,-0.542080,-1.087951,-68.321371,-1.050571,-7.934874,-66.415677,-7.191488,-3.963353,-35.924491,-7.377189,-3.420708,-82.152339,-12.629912,9.461583,-29.989710,-11.377887,-4.923691,-83.922783,-2.015607,-4.004698,-63.706058,-3.151309,-4.492245,-68.477956,-1.135167,-3.833783,-34.267120,-1.009902,15.315449,-5.567048,-24.893161,15.315440,-5.567044,-24.893163,7.249787,-81.106396,4.167006,1.405132,-32.939439,9.855121,-5.655832,-79.625999,-8.131179,0.254357,-40.055407,-8.197799,-3.601827,-69.517332,2.857229,-5.147850,-31.581924,1.651721,4
