Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-8.519927,14.588220,0.807261,7.179595,-3.774016,0.075325,6.194642,-1.973590,-4.139586,-59.588257,138.162408,-52.505320,47.521399,-29.016828,17.348070,-41.795524,-27.895587,61.291432,-38.786048,-29.829304,62.540087,-0.195421,-15.634304,31.723553,1.996030,-14.440439,32.781936,1.486760,-37.063394,-10.134973,4.051345,-22.984921,-10.433020,-1.888044,-30.294153,9.248344,-5.337254,-9.806630,9.698435,6.407506,-69.299682,-1.949022,7.490830,-28.434696,1.099670,-2.894187,-94.784388,-0.459979,-2.850310,-90.403903,-0.688409,0.264648,-64.690362,-2.408550,0.578922,-57.381766,-2.509529,2.202362,-72.433342,-8.065607,9.091641,-30.329684,-5.730470,-1.349091,-85.032182,-0.727704,-1.414407,-90.651194,-0.603808,-8.474424,-70.795249,-6.992017,-7.835979,-65.626260,-7.222989,-1.487273,-75.104616,-14.012071,10.631946,-28.668489,-11.577584,-5.092141,-89.169455,-1.673911,-5.138211,-90.805437,-1.564370,-4.554812,-71.656813,-1.126397,-4.434567,-65.564934,-1.140143,15.315447,-5.567033,-24.893153,15.315435,-5.567038,-24.893159,7.618298,-76.640229,2.091747,5.142873,-26.175323,7.933232,-6.745855,-87.532463,-7.634196,-4.963162,-74.827745,-8.357630,-3.751857,-66.476040,2.801244,-3.839725,-64.664311,2.764150,5
-8.512262,14.574684,0.837994,8.271026,-4.300017,0.023828,7.092462,-2.218743,-4.701425,-59.976869,137.949649,-52.468574,47.577970,-29.072069,17.443179,-41.804111,-27.889087,61.287097,-38.753472,-29.848330,62.551939,-0.184211,-15.626353,31.718685,1.965810,-14.461345,32.797841,1.477489,-37.115325,-10.132726,4.044400,-23.022726,-10.433078,-1.919856,-30.098737,9.258415,-5.331409,-9.840951,9.698727,6.413026,-69.345592,-1.968691,7.460934,-28.578483,1.100993,-2.895290,-94.925477,-0.452555,-2.849732,-90.355653,-0.690898,0.261397,-64.767034,-2.407272,0.582766,-57.293850,-2.510510,2.200014,-72.462788,-8.071422,9.074878,-30.417712,-5.739747,-1.349711,-85.080991,-0.726639,-1.413610,-90.574918,-0.605518,-8.474430,-70.795264,-6.992021,-7.824791,-65.537140,-7.226467,-1.510716,-75.179720,-13.995174,10.591833,-28.858563,-11.610137,-5.092908,-89.195830,-1.672148,-5.136592,-90.746480,-1.568349,-4.554303,-71.629991,-1.126481,-4.433593,-65.515954,-1.140178,15.315433,-5.567047,-24.893156,15.315453,-5.567051,-24.893159,7.615980,-76.803567,2.095203,5.175672,-26.305089,7.908106,-6.743052,-87.511453,-7.635714,-4.958096,-74.793107,-8.359065,-3.755235,-66.406856,2.799887,-3.845595,-64.542476,2.761564,5
-8.504632,14.561318,0.867844,7.010401,-3.610824,-0.023559,6.005213,-1.849782,-3.956357,-60.286820,137.794371,-52.467009,47.626834,-29.106464,17.539058,-41.812950,-27.883243,61.283206,-38.717966,-29.869809,62.565339,-0.173595,-15.619600,31.713955,1.929767,-14.486899,32.815541,1.469434,-37.160367,-10.130743,4.036562,-23.065399,-10.433134,-1.951493,-29.904687,9.268318,-5.323268,-9.888753,9.699126,6.419345,-69.382333,-1.988801,7.425128,-28.728253,1.104815,-2.896311,-95.054277,-0.445779,-2.849192,-90.311635,-0.693179,0.258077,-64.846025,-2.405966,0.586520,-57.208405,-2.511438,2.197761,-72.493372,-8.078031,9.057910,-30.496506,-5.747019,-1.350279,-85.126275,-0.725663,-1.412729,-90.492076,-0.607395,-8.474437,-70.795289,-6.992018,-7.813000,-65.443346,-7.230095,-1.535013,-75.258986,-13.978500,10.552066,-29.046190,-11.642106,-5.093533,-89.217076,-1.670736,-5.134891,-90.684121,-1.572548,-4.553789,-71.604198,-1.126580,-4.432589,-65.465202,-1.140239,15.315442,-5.567038,-24.893155,15.315443,-5.567040,-24.893160,7.613277,-76.967297,2.100582,5.213914,-26.439357,7.879857,-6.739304,-87.483268,-7.637753,-4.953888,-74.764361,-8.360233,-3.758991,-66.329763,2.798354,-3.851756,-64.414222,2.758813,5
-8.463508,14.542000,0.924826,11.033755,-3.954039,-0.767256,5.449702,-1.330962,-8.504563,-60.331465,138.031085,-53.058755,47.508461,-29.346629,17.333524,-41.839319,-27.865060,61.271096,-38.765858,-29.841545,62.547732,-0.148014,-15.601993,31.700140,1.849330,-14.536001,32.802156,1.468791,-37.164015,-10.130585,4.031773,-23.091447,-10.433146,-1.985582,-29.695714,9.278881,-5.316838,-9.926528,9.699425,6.424419,-69.423317,-2.006844,7.393985,-28.783128,1.114981,-2.896901,-95.129338,-0.441845,-2.848704,-90.270804,-0.695304,0.256127,-64.892706,-2.405184,0.589120,-57.148895,-2.512072,2.194896,-72.513107,-8.078529,9.048150,-30.520211,-5.746793,-1.350362,-85.132361,-0.725533,-1.411871,-90.410999,-0.609224,-8.474430,-70.795317,-6.992022,-7.804023,-65.371876,-7.232851,-1.548113,-75.288699,-13.960043,10.545725,-29.072775,-11.646315,-5.093540,-89.217900,-1.670681,-5.133249,-90.623920,-1.576593,-4.553474,-71.588123,-1.126625,-4.431846,-65.428191,-1.140296,15.315448,-5.567048,-24.893170,15.315450,-5.567044,-24.893165,7.607314,-77.035292,2.122799,5.244392,-26.485229,7.861607,-6.734888,-87.450074,-7.640141,-4.950136,-74.738669,-8.361294,-3.760346,-66.301875,2.797799,-3.854097,-64.365653,2.757763,5
-8.422691,14.522631,0.981522,11.200156,-4.000697,-0.820698,5.613539,-1.349746,-8.580613,-60.422271,138.169998,-53.472840,47.420447,-29.528266,17.191016,-41.868734,-27.843870,61.256954,-38.824151,-29.806705,62.525985,-0.120388,-15.582329,31.684757,1.744314,-14.600452,32.786676,1.469474,-37.160166,-10.130750,4.026206,-23.121764,-10.433175,-2.019951,-29.485402,9.289346,-5.309571,-9.969275,9.699765,6.429687,-69.460179,-2.024689,7.360907,-28.828793,1.126959,-2.897363,-95.191478,-0.438575,-2.848235,-90.232964,-0.697234,0.254417,-64.933332,-2.404510,0.591451,-57.095710,-2.512660,2.192024,-72.531144,-8.078267,9.039226,-30.533013,-5.744777,-1.350329,-85.130481,-0.725588,-1.410987,-90.328245,-0.611090,-8.474438,-70.795356,-6.992002,-7.795439,-65.303638,-7.235478,-1.559685,-75.311818,-13.941364,10.543072,-29.081840,-11.647515,-5.093427,-89.213358,-1.670984,-5.131586,-90.563328,-1.580654,-4.553213,-71.574107,-1.126667,-4.431175,-65.393525,-1.140330,15.315445,-5.567043,-24.893155,15.315440,-5.567043,-24.893164,7.600731,-77.090554,2.148063,5.277219,-26.518495,7.843043,-6.729710,-87.411184,-7.642953,-4.946927,-74.716802,-8.362177,-3.761535,-66.277533,2.797309,-3.855950,-64.327035,2.756928,5
-8.380288,14.492078,1.027632,9.358001,-7.388261,2.279848,3.544796,-3.199550,-4.041623,-60.565978,138.421257,-53.623348,47.070228,-29.795513,16.896411,-41.862122,-27.848683,61.260167,-38.821987,-29.808039,62.526817,-0.058022,-15.544409,31.681171,1.694822,-14.632638,32.791760,1.479502,-37.104041,-10.133213,4.024038,-23.133597,-10.433203,-2.053190,-29.282244,9.299370,-5.302066,-10.013385,9.700137,6.429923,-69.526110,-2.035880,7.337899,-28.823533,1.138562,-2.897064,-95.150538,-0.440735,-2.846647,-90.101926,-0.704021,0.255347,-64.911374,-2.404882,0.595826,-56.995993,-2.513746,2.185219,-72.565979,-8.074419,9.035809,-30.535563,-5.743518,-1.350189,-85.118790,-0.725838,-1.409970,-90.232264,-0.613256,-8.474434,-70.795330,-6.992021,-7.787577,-65.241173,-7.237866,-1.574035,-75.341249,-13.918685,10.535907,-29.139248,-11.659557,-5.093483,-89.215651,-1.670825,-5.129847,-90.500408,-1.584890,-4.553158,-71.571649,-1.126662,-4.430641,-65.367573,-1.140357,15.315443,-5.567033,-24.893156,15.315443,-5.567034,-24.893161,7.593412,-77.122247,2.177250,5.321939,-26.609909,7.814319,-6.723236,-87.362633,-7.646444,-4.943113,-74.690743,-8.363222,-3.760374,-66.301542,2.797793,-3.857293,-64.299345,2.756330,5
-8.338913,14.462197,1.070571,9.375224,-7.280772,2.169110,3.502808,-3.039630,-3.925378,-60.712272,138.589332,-53.766110,46.730845,-30.052494,16.626694,-41.850269,-27.857031,61.265734,-38.813115,-29.813537,62.530262,0.014921,-15.500110,31.678698,1.649964,-14.661910,32.799103,1.490855,-37.040504,-10.135965,4.022358,-23.142722,-10.433190,-2.086138,-29.081010,9.309167,-5.294121,-10.059990,9.700478,6.429171,-69.596177,-2.045475,7.316572,-28.809153,1.150140,-2.896647,-95.097914,-0.443503,-2.844731,-89.946912,-0.712033,0.256698,-64.879181,-2.405408,0.600514,-56.889440,-2.514885,2.177478,-72.603912,-8.069234,9.033946,-30.532154,-5.741851,-1.349981,-85.102204,-0.726192,-1.408908,-90.133650,-0.615462,-8.474427,-70.795340,-6.992024,-7.780161,-65.182121,-7.240122,-1.588191,-75.368571,-13.895027,10.530219,-29.195838,-11.672048,-5.093521,-89.216557,-1.670767,-5.128127,-90.437546,-1.589123,-4.553152,-71.572256,-1.126686,-4.430194,-65.344844,-1.140396,15.315444,-5.567036,-24.893152,15.315447,-5.567041,-24.893156,7.585807,-77.145287,2.208009,5.370417,-26.706788,7.783150,-6.716038,-87.308653,-7.650304,-4.939462,-74.665792,-8.364260,-3.758862,-66.332259,2.798399,-3.858314,-64.277919,2.755875,5
-8.301857,14.435484,1.108813,8.240019,-6.336428,1.845606,3.108476,-2.637169,-3.450193,-60.860221,138.711602,-53.905043,46.430889,-30.278557,16.402415,-41.834866,-27.867951,61.273021,-38.798460,-29.822768,62.536049,0.097580,-15.450532,31.676980,1.609417,-14.689208,32.808646,1.506871,-36.950838,-10.139849,4.021117,-23.149469,-10.433207,-2.119135,-28.879519,9.318861,-5.285815,-10.108834,9.700866,6.427516,-69.670229,-2.053709,7.296623,-28.788273,1.161586,-2.896201,-95.039517,-0.446567,-2.842535,-89.770706,-0.721142,0.258326,-64.840373,-2.406068,0.605471,-56.776741,-2.516078,2.168823,-72.644766,-8.062782,9.033337,-30.524164,-5.739922,-1.349714,-85.081886,-0.726615,-1.407813,-90.032756,-0.617735,-8.474440,-70.795370,-6.992017,-7.773033,-65.125650,-7.242257,-1.602272,-75.394348,-13.870404,10.525766,-29.252381,-11.685119,-5.093503,-89.216228,-1.670796,-5.126377,-90.374609,-1.593344,-4.553227,-71.575433,-1.126666,-4.429812,-65.324813,-1.140412,15.315442,-5.567041,-24.893161,15.315446,-5.567040,-24.893165,7.577933,-77.161940,2.240040,5.422415,-26.808788,7.749655,-6.708176,-87.249699,-7.654544,-4.935930,-74.641736,-8.365233,-3.757149,-66.367445,2.799096,-3.859106,-64.261358,2.755522,5
-8.301571,14.453252,1.147759,3.147547,-0.204877,2.744441,3.107652,-2.682521,-2.686261,-60.716663,138.660980,-54.087602,45.985096,-30.362248,16.309083,-41.818344,-27.879563,61.280759,-38.767125,-29.840739,62.547227,0.168566,-15.407612,31.676749,1.610632,-14.690207,32.821654,1.515055,-36.905042,-10.141803,4.019706,-23.157128,-10.433218,-2.129572,-28.815939,9.321886,-5.283881,-10.120159,9.700938,6.426140,-69.755351,-2.064394,7.266734,-28.766145,1.177923,-2.895981,-95.012096,-0.447998,-2.840146,-89.582239,-0.730857,0.259273,-64.817563,-2.406436,0.610958,-56.651843,-2.517399,2.160098,-72.695051,-8.060056,9.036321,-30.503141,-5.737200,-1.349405,-85.056500,-0.727177,-1.406612,-89.921500,-0.620230,-8.474441,-70.795391,-6.992010,-7.762566,-65.042505,-7.245403,-1.620075,-75.429450,-13.840903,10.534262,-29.290337,-11.699152,-5.092926,-89.196509,-1.672106,-5.125003,-90.324862,-1.596678,-4.553776,-71.603665,-1.126569,-4.428984,-65.283364,-1.140457,15.315439,-5.567042,-24.893159,15.315447,-5.567047,-24.893160,7.572903,-77.149234,2.260920,5.474442,-26.913082,7.715751,-6.699491,-87.184735,-7.659200,-4.930695,-74.605994,-8.366697,-3.753831,-66.435471,2.800454,-3.861693,-64.207422,2.754358,5
-8.302549,14.469264,1.183224,2.915663,-0.336518,2.293125,3.051429,-2.560518,-2.632540,-60.651211,138.631663,-54.256824,45.622612,-30.443091,16.233007,-41.797975,-27.893657,61.290143,-38.726309,-29.864691,62.562147,0.242042,-15.363714,31.678093,1.619687,-14.686270,32.837728,1.523636,-36.857126,-10.143868,4.018540,-23.163504,-10.433216,-2.138602,-28.760928,9.324509,-5.282741,-10.126872,9.700987,6.424260,-69.844545,-2.074672,7.235904,-28.741133,1.194945,-2.895720,-94.978909,-0.449750,-2.837587,-89.382778,-0.741133,0.260470,-64.789347,-2.406913,0.616658,-56.522123,-2.518760,2.150834,-72.748824,-8.057273,9.040468,-30.479126,-5.734463,-1.349001,-85.025563,-0.727830,-1.405377,-89.807924,-0.622784,-8.474437,-70.795397,-6.992007,-7.751712,-64.956344,-7.248643,-1.638495,-75.465275,-13.809917,10.545873,-29.326404,-11.714144,-5.092224,-89.172398,-1.673717,-5.123680,-90.277417,-1.599876,-4.554478,-71.639355,-1.126446,-4.428105,-65.239594,-1.140503,15.315441,-5.567044,-24.893164,15.315444,-5.567038,-24.893153,7.568329,-77.131467,2.280128,5.528294,-27.020212,7.680501,-6.690320,-87.116085,-7.664080,-4.925220,-74.568635,-8.368188,-3.749544,-66.523416,2.802177,-3.864454,-64.150057,2.753105,5
