Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
12.678719,10.703287,3.837383,1.466701,-7.585931,-1.225826,-1.304193,-6.183573,-4.261518,9.501822,10.179155,1.605498,32.315926,65.386884,-175.381120,-36.270311,-31.235451,63.391646,-45.622184,-24.933135,59.242592,-3.712920,-18.447056,34.474395,1.488794,-14.390467,29.918158,2.377476,-32.124809,-10.311310,3.154783,-27.868270,-10.401272,-4.137980,-16.844263,9.683813,-3.016593,-23.473072,9.535303,8.713078,-42.535801,-1.247992,7.598729,-53.127416,-1.580112,-2.380938,-68.534987,-1.743329,-2.913124,-97.600118,-0.311627,1.483214,-37.218249,-2.574000,0.400701,-61.488905,-2.457712,4.509716,-67.894493,-11.422660,4.624728,-58.300602,-8.080976,-1.448382,-94.100974,-0.524765,-1.450080,-94.286534,-0.520465,-7.687980,-64.451312,-7.267332,-7.917815,-66.279254,-7.197035,-2.483533,-79.931832,-14.634287,1.269076,-64.865540,-14.466034,-5.014007,-86.614613,-1.842210,-5.245131,-95.146025,-1.267839,-4.476827,-67.697748,-1.136779,-4.503513,-69.048519,-1.133853,15.315446,-5.567041,-24.893157,15.315443,-5.567042,-24.893162,7.585673,-79.196108,2.187667,6.273511,-59.907142,5.499458,-6.066840,-82.547333,-7.965161,-7.483052,-93.240636,-7.184423,-3.763469,-66.238045,2.796529,-3.823456,-65.001754,2.771264,2
12.697729,10.695314,3.859973,1.382668,-7.841096,-1.293394,-1.342089,-6.698484,-4.531152,9.446664,10.024003,1.707786,32.582469,65.293882,-175.412614,-36.231057,-31.255542,63.403384,-45.526950,-25.015237,59.301228,-3.688110,-18.434564,34.487059,1.581202,-14.342304,29.952131,2.366379,-32.185852,-10.309614,3.131660,-27.994488,-10.399448,-4.125079,-16.920009,9.682868,-3.008839,-23.519216,9.533817,8.685751,-42.744329,-1.254251,7.586242,-53.073400,-1.558036,-2.396368,-69.046000,-1.720998,-2.912369,-97.460235,-0.319010,1.465809,-37.605365,-2.575769,0.408218,-61.313942,-2.460195,4.491984,-67.942628,-11.409370,4.643952,-58.219719,-8.086022,-1.448599,-94.123881,-0.524237,-1.449950,-94.272814,-0.520779,-7.696453,-64.518425,-7.264884,-7.905665,-66.182108,-7.200951,-2.501713,-79.971502,-14.599067,1.292978,-64.814516,-14.484544,-5.013737,-86.605807,-1.842790,-5.245335,-95.155422,-1.267193,-4.477692,-67.741365,-1.136697,-4.502746,-69.009498,-1.133944,15.315450,-5.567044,-24.893161,15.315446,-5.567040,-24.893155,7.568486,-79.217769,2.271207,6.274002,-59.826422,5.498443,-6.065493,-82.537652,-7.965753,-7.483818,-93.246643,-7.183918,-3.761748,-66.273184,2.797231,-3.823369,-65.003478,2.771287,2
12.716091,10.688788,3.883195,1.250106,-7.678689,-1.285303,-1.301038,-6.771855,-4.511810,9.402201,9.874769,1.812635,32.787759,65.241544,-175.407421,-36.192873,-31.275351,63.414961,-45.417058,-25.109539,59.368453,-3.664069,-18.422591,34.499377,1.668602,-14.297248,29.992797,2.352391,-32.262784,-10.307430,3.105293,-28.138377,-10.397279,-4.106509,-17.029169,9.681447,-3.001194,-23.564824,9.532332,8.660400,-42.942682,-1.260528,7.570769,-53.024065,-1.533130,-2.411648,-69.558157,-1.698481,-2.911532,-97.314265,-0.326723,1.448543,-37.989175,-2.577415,0.416387,-61.123838,-2.462837,4.476510,-67.980730,-11.395794,4.663098,-58.143516,-8.092182,-1.448806,-94.146738,-0.523710,-1.449841,-94.260040,-0.521077,-7.705273,-64.588223,-7.262334,-7.893563,-66.085408,-7.204832,-2.518910,-80.008158,-14.564611,1.316500,-64.768596,-14.504679,-5.013333,-86.593274,-1.843610,-5.245578,-95.166492,-1.266419,-4.478628,-67.788699,-1.136607,-4.501949,-68.969064,-1.134051,15.315451,-5.567044,-24.893156,15.315446,-5.567044,-24.893154,7.551363,-79.232810,2.354645,6.276285,-59.748522,5.494484,-6.063622,-82.524210,-7.966558,-7.484846,-93.254912,-7.183209,-3.759956,-66.309986,2.797949,-3.823382,-65.003301,2.771298,2
12.720951,10.689339,3.879678,-0.428277,-4.643362,-4.014526,-1.109761,-4.720661,-3.521484,9.274375,9.840883,1.750157,33.028667,64.933408,-175.680753,-36.148008,-31.299677,63.429239,-45.353172,-25.163941,59.407178,-3.667192,-18.429610,34.518114,1.682301,-14.292504,30.019556,2.339522,-32.333643,-10.305411,3.081091,-28.270523,-10.395245,-4.105988,-17.032300,9.681399,-2.993930,-23.608180,9.530937,8.624340,-43.087210,-1.250227,7.560098,-53.016344,-1.519445,-2.425201,-70.018401,-1.678139,-2.911194,-97.256302,-0.329776,1.430560,-38.388743,-2.578996,0.421856,-60.996528,-2.464597,4.448055,-68.076832,-11.383505,4.671917,-58.167246,-8.111395,-1.449519,-94.225956,-0.521864,-1.449609,-94.233899,-0.521696,-7.712035,-64.641741,-7.260348,-7.883949,-66.008751,-7.207910,-2.545324,-80.078520,-14.526072,1.313103,-64.830610,-14.528134,-5.013772,-86.607059,-1.842717,-5.245303,-95.154273,-1.267263,-4.479060,-67.810514,-1.136560,-4.501344,-68.938559,-1.134110,15.315446,-5.567043,-24.893156,15.315444,-5.567040,-24.893151,7.536274,-79.306114,2.429892,6.295606,-59.866189,5.462474,-6.064262,-82.528826,-7.966278,-7.482717,-93.237910,-7.184658,-3.757882,-66.352676,2.798811,-3.823616,-64.998570,2.771201,2
12.725884,10.689634,3.877616,-0.385529,-4.779314,-3.802778,-1.075314,-4.820576,-3.514361,9.173400,9.793329,1.720296,33.223965,64.706326,-175.870111,-36.102881,-31.322764,63.442685,-45.293367,-25.214099,59.442847,-3.675163,-18.440353,34.538077,1.687641,-14.292211,30.045220,2.325533,-32.410619,-10.303195,3.056034,-28.407301,-10.393094,-4.106573,-17.028829,9.681451,-2.986798,-23.650717,9.529560,8.587178,-43.222630,-1.237506,7.549109,-53.015603,-1.506318,-2.438647,-70.480322,-1.657604,-2.910928,-97.208643,-0.332297,1.412528,-38.789401,-2.580459,0.427101,-60.874641,-2.466274,4.418533,-68.177794,-11.371201,4.680671,-58.199588,-8.132933,-1.450368,-94.318397,-0.519719,-1.449348,-94.205434,-0.522349,-7.718578,-64.693656,-7.258443,-7.874768,-65.935483,-7.210825,-2.572959,-80.154026,-14.487157,1.309365,-64.896600,-14.552970,-5.014293,-86.623222,-1.841653,-5.244980,-95.139570,-1.268279,-4.479443,-67.829378,-1.136520,-4.500771,-68.909358,-1.134182,15.315443,-5.567042,-24.893158,15.315447,-5.567041,-24.893156,7.521814,-79.387648,2.503375,6.314530,-59.974969,5.430914,-6.065015,-82.534188,-7.965950,-7.480135,-93.217306,-7.186416,-3.755694,-66.397403,2.799696,-3.823918,-64.992168,2.771067,2
12.704620,10.694352,3.873014,-2.280847,-5.105692,-1.978625,0.652963,-5.756599,-1.343755,9.153454,9.827356,1.735612,33.404895,64.522788,-176.264825,-36.047438,-31.351887,63.459683,-45.235865,-25.262718,59.477381,-3.675245,-18.446807,34.560957,1.672589,-14.303968,30.071633,2.316882,-32.458290,-10.301816,3.035710,-28.518245,-10.391285,-4.089667,-17.128237,9.680109,-2.989866,-23.632440,9.530153,8.547794,-43.326278,-1.218348,7.537046,-53.066923,-1.498729,-2.452973,-70.979191,-1.635320,-2.910686,-97.166896,-0.334504,1.395491,-39.167126,-2.581730,0.430869,-60.787375,-2.467471,4.392247,-68.239617,-11.346162,4.681815,-58.271879,-8.154839,-1.450977,-94.384078,-0.518196,-1.448991,-94.166582,-0.523257,-7.726080,-64.753098,-7.256247,-7.868434,-65.884889,-7.212821,-2.589864,-80.185554,-14.447628,1.298868,-64.987887,-14.577936,-5.015167,-86.650504,-1.839877,-5.244807,-95.131935,-1.268810,-4.480182,-67.867133,-1.136453,-4.500444,-68.892660,-1.134215,15.315447,-5.567042,-24.893155,15.315434,-5.567044,-24.893155,7.510856,-79.415026,2.558361,6.338299,-60.086365,5.390997,-6.066586,-82.545549,-7.965267,-7.480541,-93.220548,-7.186140,-3.754561,-66.420775,2.800163,-3.823055,-65.009991,2.771436,2
12.684378,10.698491,3.869307,-2.221969,-5.378695,-2.018309,0.601004,-5.956008,-1.501263,9.134232,9.838925,1.758844,33.560624,64.379666,-176.560645,-35.989631,-31.382601,63.477610,-45.181366,-25.308721,59.510027,-3.675662,-18.453709,34.584741,1.653118,-14.317946,30.096993,2.309121,-32.500995,-10.300569,3.016322,-28.624093,-10.389532,-4.067978,-17.255671,9.678382,-2.994381,-23.605456,9.531020,8.507625,-43.421639,-1.197183,7.524984,-53.123644,-1.491805,-2.467051,-71.476469,-1.612954,-2.910473,-97.130839,-0.336404,1.378711,-39.539062,-2.582860,0.434225,-60.709284,-2.468533,4.366169,-68.294987,-11.318187,4.681761,-58.352802,-8.177544,-1.451546,-94.448789,-0.516690,-1.448612,-94.124030,-0.524251,-7.733634,-64.812971,-7.254017,-7.862809,-65.840089,-7.214606,-2.605016,-80.210053,-14.408026,1.278762,-65.116729,-14.603884,-5.016165,-86.681944,-1.837826,-5.244638,-95.124046,-1.269358,-4.480979,-67.907572,-1.136364,-4.500173,-68.879290,-1.134258,15.315446,-5.567042,-24.893155,15.315444,-5.567044,-24.893163,7.500780,-79.434672,2.608919,6.367153,-60.238577,5.342159,-6.068443,-82.558766,-7.964476,-7.481392,-93.227225,-7.185571,-3.753606,-66.440148,2.800529,-3.821950,-65.032806,2.771903,2
12.664732,10.702175,3.866327,-2.164518,-5.601846,-2.047383,0.554328,-6.111629,-1.634937,9.115114,9.836202,1.787636,33.698068,64.265286,-176.787005,-35.929961,-31.412537,63.494941,-45.129664,-25.351999,59.540715,-3.677869,-18.462523,34.610047,1.630409,-14.334188,30.121596,2.302104,-32.539616,-10.299451,2.997591,-28.726432,-10.387785,-4.041782,-17.409649,9.676240,-2.999917,-23.572431,9.532084,8.466531,-43.512020,-1.174354,7.512404,-53.204270,-1.487326,-2.481129,-71.980063,-1.590192,-2.910285,-97.098947,-0.338091,1.361882,-39.912319,-2.583891,0.437313,-60.637731,-2.469499,4.339995,-68.345495,-11.287432,4.677275,-58.465194,-8.202820,-1.452118,-94.512911,-0.515204,-1.448184,-94.077968,-0.525298,-7.741298,-64.873688,-7.251736,-7.857729,-65.799565,-7.216201,-2.618828,-80.228937,-14.368109,1.249709,-65.280597,-14.630802,-5.017306,-86.717379,-1.835508,-5.244466,-95.115889,-1.269917,-4.481834,-67.950673,-1.136283,-4.499981,-68.868675,-1.134278,15.315437,-5.567040,-24.893160,15.315447,-5.567043,-24.893153,7.491318,-79.448144,2.656310,6.400358,-60.425554,5.285330,-6.070516,-82.573738,-7.963574,-7.482652,-93.237357,-7.184720,-3.752811,-66.456235,2.800845,-3.820613,-65.060485,2.772497,2
12.634173,10.713622,3.836787,-2.897411,-2.752249,-4.708396,1.367598,-4.349859,-0.585638,9.154543,9.781323,1.735567,34.070112,64.421721,-176.865385,-35.886015,-31.435323,63.508176,-45.042941,-25.423986,59.591694,-3.675657,-18.465935,34.627814,1.621693,-14.343416,30.160048,2.284622,-32.635955,-10.296627,2.981782,-28.812849,-10.386312,-4.012260,-17.583307,9.673712,-3.009681,-23.514211,9.533986,8.427473,-43.579637,-1.150057,7.496838,-53.260299,-1.476024,-2.490638,-72.324800,-1.574552,-2.910072,-97.062959,-0.339992,1.346442,-40.254512,-2.584735,0.439133,-60.595811,-2.470071,4.309288,-68.429086,-11.263162,4.671637,-58.567604,-8.223777,-1.452487,-94.553395,-0.514262,-1.447833,-94.040120,-0.526185,-7.747196,-64.920493,-7.249994,-7.854261,-65.771898,-7.217293,-2.645360,-80.298285,-14.325984,1.216402,-65.450396,-14.653105,-5.017863,-86.734949,-1.834366,-5.243419,-95.069122,-1.273154,-4.482622,-67.990674,-1.136197,-4.499691,-68.854576,-1.134310,15.315445,-5.567044,-24.893157,15.315443,-5.567047,-24.893161,7.481606,-79.508121,2.707570,6.424923,-60.611644,5.242757,-6.072347,-82.586915,-7.962775,-7.479999,-93.216203,-7.186511,-3.751239,-66.488717,2.801497,-3.820158,-65.070072,2.772692,2
12.604666,10.723504,3.808331,-2.826681,-3.006526,-4.642090,1.266776,-4.377489,-0.694577,9.186106,9.724803,1.697607,34.376845,64.529254,-176.938373,-35.843572,-31.457707,63.521191,-44.951917,-25.500252,59.645620,-3.673010,-18.469014,34.644835,1.612971,-14.353335,30.200418,2.265483,-32.741396,-10.293504,2.966702,-28.895281,-10.384865,-3.979955,-17.773290,9.670838,-3.022447,-23.438125,9.536450,8.388330,-43.643250,-1.125002,7.480502,-53.322219,-1.464494,-2.500107,-72.671079,-1.558766,-2.909877,-97.028483,-0.341817,1.330988,-40.596936,-2.585499,0.440667,-60.560057,-2.470554,4.277886,-68.515446,-11.238501,4.663841,-58.681998,-8.245091,-1.452829,-94.589936,-0.513406,-1.447480,-94.002001,-0.527061,-7.752879,-64.965600,-7.248317,-7.851253,-65.747915,-7.218231,-2.673388,-80.373795,-14.283280,1.178766,-65.635106,-14.674964,-5.018413,-86.751529,-1.833283,-5.242153,-95.011930,-1.277112,-4.483431,-68.031593,-1.136126,-4.499434,-68.841475,-1.134346,15.315450,-5.567045,-24.893158,15.315444,-5.567047,-24.893156,7.472333,-79.573115,2.757589,6.449493,-60.807985,5.199722,-6.074286,-82.600810,-7.961924,-7.476743,-93.190148,-7.188719,-3.749595,-66.522161,2.802147,-3.819724,-65.079172,2.772885,2
