Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-3.45708,11.667548,2.336478,18.708007,-19.355734,1.259345,-1.059124,5.210621,-0.001623,-41.295037,87.749648,14.557888,79.204763,175.990499,-90.348051,-36.085043,-31.332496,63.448391,-39.217795,-29.569772,62.377343,22.012696,-0.765334,34.710903,13.600146,-6.974792,32.424368,7.309756,-4.867376,-9.886551,3.168929,-27.791184,-10.402375,-7.897583,5.569133,9.220291,-4.441833,-15.060478,9.70151,9.356372,-33.496951,-0.46171,7.645255,-69.014678,-4.647271,-0.512122,-25.367988,-2.979349,-2.92867,-102.517458,-0.050986,3.048905,1.99113,-1.82298,0.614125,-56.579651,-2.518161,2.973658,-72.647899,-10.230394,1.38269,-83.297669,-12.69766,-1.359284,-85.84459,-0.710179,-1.412878,-90.507585,-0.607042,-5.93206,-50.918219,-7.553047,-6.755505,-57.194128,-7.472548,-2.728487,-80.847478,-14.554786,-5.030831,-89.416313,-11.591817,-5.097501,-89.354197,-1.661617,-4.897018,-83.171,-2.06324,-4.18146,-52.791188,-1.127105,-4.382322,-62.934005,-1.142093,15.315436,-5.567047,-24.893165,15.315442,-5.567044,-24.89316,7.577928,-75.853753,2.274188,7.387726,-84.927406,4.572892,-6.992868,-89.405822,-7.49473,-5.22156,-76.601784,-8.280684,-4.405566,-52.223204,2.436982,-3.348904,-74.525843,2.931764,1
-3.317313,11.48766,2.344906,19.843786,-20.626273,1.225157,-1.405261,6.722506,-0.056183,-41.532664,88.780908,13.928456,79.223934,175.459745,-90.854019,-36.054782,-31.347931,63.457369,-39.202815,-29.578878,62.383084,21.981299,-0.783851,34.719005,13.603625,-6.972096,32.431164,7.338321,-4.702071,-9.876837,3.173461,-27.766465,-10.402729,-7.904536,5.612389,9.217965,-4.440917,-15.065819,9.70148,9.29107,-33.857631,-0.472024,7.646445,-69.034797,-4.655501,-0.50865,-25.301268,-2.980083,-2.928659,-102.51682,-0.051024,3.049529,2.011098,-1.822332,0.615256,-56.554043,-2.518419,2.968221,-72.704137,-10.24561,1.386974,-83.284411,-12.704901,-1.359928,-85.897112,-0.709056,-1.413006,-90.518184,-0.606801,-5.963351,-51.155481,-7.551647,-6.757033,-57.205985,-7.472318,-2.735851,-80.862956,-14.538569,-5.027247,-89.401399,-11.602557,-5.095104,-89.271555,-1.667111,-4.897409,-83.18195,-2.062545,-4.184266,-52.933701,-1.127556,-4.382137,-62.924881,-1.142092,15.315441,-5.567041,-24.893166,15.315448,-5.567057,-24.893148,7.569121,-75.78425,2.309313,7.387899,-84.929429,4.572449,-6.988095,-89.369238,-7.497514,-5.225562,-76.629281,-8.279422,-4.399725,-52.360506,2.441244,-3.34964,-74.511596,2.931574,1
-3.216621,11.211453,2.36944,17.628571,-25.162168,1.883653,3.900779,12.494438,-1.461091,-41.266184,90.412061,12.861196,79.241546,175.105889,-91.220543,-35.932576,-31.411436,63.494322,-39.165936,-29.601523,62.39735,21.918577,-0.810585,34.762363,13.595178,-6.975244,32.446467,7.336086,-4.71499,-9.877619,3.183798,-27.710019,-10.40351,-7.913743,5.669741,9.214906,-4.435889,-15.095276,9.701252,9.205211,-34.385449,-0.491428,7.650443,-68.996361,-4.653573,-0.513533,-25.395092,-2.979051,-2.928682,-102.533929,-0.050111,3.048572,1.980844,-1.823305,0.614132,-56.579466,-2.518159,2.970565,-72.71281,-10.256491,1.397138,-83.246459,-12.713564,-1.361427,-86.01876,-0.706408,-1.413227,-90.538635,-0.606335,-5.996602,-51.407613,-7.550033,-6.762773,-57.250043,-7.471423,-2.740579,-80.873817,-14.529182,-5.019087,-89.36519,-11.619732,-5.094427,-89.247818,-1.668691,-4.898121,-83.202343,-2.061265,-4.186651,-53.055316,-1.127946,-4.382624,-62.949578,-1.142073,15.315451,-5.567038,-24.893166,15.315436,-5.567038,-24.893163,7.563132,-75.702456,2.333985,7.387403,-84.905593,4.5638,-6.986368,-89.355939,-7.498549,-5.230587,-76.66403,-8.277841,-4.394942,-52.472727,2.444721,-3.349113,-74.521841,2.931714,1
-3.128,10.942246,2.393615,16.978085,-23.876017,1.6782,4.452032,14.174556,-1.738858,-41.036762,91.765246,11.989649,79.261386,174.789414,-91.549932,-35.768454,-31.495867,63.543246,-39.115085,-29.632536,62.416871,21.837829,-0.844677,34.821482,13.583757,-6.979178,32.467449,7.329466,-4.753374,-9.879873,3.1992,-27.626012,-10.404656,-7.922525,5.724373,9.211982,-4.430895,-15.12465,9.701053,9.113481,-34.935423,-0.508393,7.655802,-68.949055,-4.652114,-0.518669,-25.493822,-2.977966,-2.928708,-102.556137,-0.048928,3.047334,1.942295,-1.824523,0.612607,-56.614293,-2.517798,2.97411,-72.711229,-10.26514,1.411365,-83.192335,-12.724158,-1.363204,-86.163246,-0.703278,-1.413488,-90.564734,-0.605734,-6.029815,-51.659658,-7.548255,-6.770891,-57.312224,-7.47016,-2.745076,-80.884421,-14.520521,-5.008319,-89.317362,-11.641282,-5.094059,-89.235588,-1.669505,-4.899034,-83.227126,-2.059706,-4.188887,-53.168799,-1.128294,-4.383315,-62.984715,-1.142072,15.315444,-5.567041,-24.893159,15.315449,-5.567047,-24.893157,7.557479,-75.611599,2.357492,7.386572,-84.871888,4.552796,-6.985649,-89.350487,-7.498963,-5.235881,-76.700568,-8.276163,-4.390636,-52.574141,2.447866,-3.348311,-74.537401,2.931905,1
-3.053416,10.697657,2.41586,14.374,-19.989577,1.336984,4.210159,13.341817,-1.69438,-40.805431,93.089804,11.149143,79.283194,174.502335,-91.850194,-35.566886,-31.598637,63.602492,-39.051325,-29.67045,62.440667,21.741028,-0.884705,34.894314,13.568178,-6.98518,32.49399,7.320317,-4.806265,-9.882965,3.219672,-27.514337,-10.406142,-7.930999,5.777091,9.20912,-4.425856,-15.154098,9.700813,9.017182,-35.494392,-0.521736,7.66226,-68.894309,-4.651034,-0.525235,-25.619895,-2.976566,-2.928719,-102.583628,-0.047478,3.045601,1.886848,-1.826317,0.610642,-56.658844,-2.517318,2.978486,-72.701957,-10.27197,1.429613,-83.122373,-12.73688,-1.365208,-86.326693,-0.699732,-1.413831,-90.596069,-0.605044,-6.063025,-51.911768,-7.546348,-6.781269,-57.392107,-7.468523,-2.749369,-80.894719,-14.512513,-4.995069,-89.258541,-11.66692,-5.093973,-89.232092,-1.669742,-4.90005,-83.255909,-2.057881,-4.190988,-53.276672,-1.128635,-4.384286,-63.033016,-1.142045,15.315436,-5.567041,-24.893159,15.315444,-5.567038,-24.893159,7.552116,-75.513458,2.379977,7.385384,-84.82685,4.539192,-6.985713,-89.351013,-7.498922,-5.241416,-76.73862,-8.274418,-4.386631,-52.668064,2.450774,-3.347247,-74.558475,2.932174,1
-3.052942,10.496466,2.369606,9.6756,-7.616772,-11.181936,9.611173,19.737761,-4.893211,-39.747916,94.149911,10.319382,79.454403,174.613042,-91.824135,-35.144256,-31.811415,63.724144,-38.993737,-29.705192,62.462465,21.64331,-0.891157,35.065057,13.558271,-6.987314,32.517811,7.226143,-5.350304,-9.914403,3.237495,-27.417182,-10.407418,-7.912313,5.660744,9.215373,-4.414699,-15.21968,9.700322,8.911315,-36.251552,-0.552535,7.672318,-68.786609,-4.643003,-0.554485,-26.183241,-2.97012,-2.928752,-102.620806,-0.045494,3.041158,1.748123,-1.830751,0.604807,-56.791585,-2.515927,2.984042,-72.716288,-10.294455,1.454006,-83.026327,-12.75028,-1.367359,-86.504139,-0.695851,-1.414209,-90.633545,-0.604187,-6.09697,-52.169418,-7.544242,-6.80469,-57.571899,-7.464805,-2.765283,-80.964491,-14.518337,-4.978586,-89.183634,-11.692035,-5.093547,-89.217807,-1.670698,-4.90195,-83.308983,-2.05453,-4.193419,-53.399731,-1.128999,-4.387036,-63.171667,-1.141999,15.315443,-5.567047,-24.893163,15.315443,-5.567051,-24.893151,7.566049,-75.537994,2.328192,7.37891,-84.715292,4.538015,-6.983431,-89.333508,-7.500268,-5.250324,-76.800241,-8.271573,-4.381031,-52.799463,2.454814,-3.343061,-74.640079,2.933203,1
-3.053755,10.299277,2.338076,9.575726,-8.152721,-9.478496,9.691427,19.940337,-4.986358,-38.913751,95.032502,9.655053,79.625856,174.720115,-91.80124,-34.655279,-32.052252,63.860064,-38.931616,-29.742205,62.485644,21.538122,-0.893164,35.263241,13.547181,-6.990438,32.54376,7.074425,-6.222894,-9.96296,3.256996,-27.310814,-10.408769,-7.890799,5.526959,9.22253,-4.402296,-15.292465,9.699734,8.80219,-37.015082,-0.578979,7.685155,-68.646422,-4.632014,-0.594339,-26.952529,-2.960848,-2.928789,-102.665549,-0.043115,3.035441,1.568657,-1.836479,0.597016,-56.968948,-2.514037,2.9905,-72.729983,-10.319085,1.482409,-82.914224,-12.765045,-1.369631,-86.692023,-0.691759,-1.414654,-90.675597,-0.603245,-6.131001,-52.427929,-7.541971,-6.833394,-57.7927,-7.46013,-2.784916,-81.051084,-14.526193,-4.959843,-89.098486,-11.71939,-5.093217,-89.206533,-1.671439,-4.90416,-83.370722,-2.050625,-4.195839,-53.522588,-1.129372,-4.390597,-63.350225,-1.141939,15.315434,-5.567045,-24.893157,15.315441,-5.567049,-24.893154,7.585696,-75.571538,2.254923,7.37054,-84.574626,4.538809,-6.981192,-89.316484,-7.501564,-5.260123,-76.86791,-8.268455,-4.375315,-52.932666,2.458889,-3.337609,-74.746863,2.934547,1
-3.190839,10.120514,2.315378,-3.908008,1.435098,-9.805695,14.739353,25.75191,-6.718207,-37.192179,95.64498,9.505932,80.397492,176.589304,-89.901482,-33.870028,-32.42774,64.068085,-38.861963,-29.784126,62.511875,21.334408,-0.926124,35.574773,13.574746,-6.967909,32.574882,6.69105,-8.408517,-10.07432,3.288715,-27.137924,-10.410891,-7.813022,5.044139,9.247912,-4.403673,-15.284282,9.699813,8.739994,-37.746467,-0.630639,7.707588,-68.406562,-4.614272,-0.660061,-28.226759,-2.944324,-2.928814,-102.705373,-0.040991,3.022724,1.173035,-1.849021,0.584429,-57.255694,-2.510913,3.001659,-72.773561,-10.372441,1.511674,-82.79872,-12.779917,-1.37065,-86.775378,-0.689945,-1.415209,-90.728417,-0.602053,-6.171798,-52.737955,-7.539046,-6.869504,-58.07059,-7.454092,-2.818839,-81.19472,-14.533132,-4.937148,-88.995484,-11.751473,-5.091094,-89.133323,-1.676317,-4.906357,-83.432811,-2.046703,-4.199505,-53.709127,-1.129921,-4.394427,-63.543434,-1.141837,15.315441,-5.567038,-24.893157,15.315434,-5.567045,-24.893152,7.604435,-75.627094,2.183771,7.359773,-84.396987,4.54208,-6.973483,-89.257485,-7.506064,-5.278996,-76.998395,-8.262401,-4.368043,-53.102646,2.46409,-3.330577,-74.884048,2.936235,1
-3.307283,9.947518,2.302301,-2.340955,0.18752,-8.026363,13.552317,23.799638,-6.241461,-35.690271,96.26725,9.331792,81.061933,178.452481,-88.017618,-33.038277,-32.810407,64.274883,-38.788252,-29.828015,62.539279,21.103505,-0.975541,35.900678,13.612295,-6.938034,32.608131,6.272906,-10.764576,-10.177821,3.324175,-26.94458,-10.413151,-7.705023,4.375912,9.281942,-4.406697,-15.266605,9.699945,8.685178,-38.457621,-0.683596,7.73405,-68.122584,-4.593063,-0.729387,-29.579194,-2.925201,-2.928856,-102.747273,-0.038773,3.007264,0.695636,-1.86404,0.569696,-57.591988,-2.507197,3.014679,-72.824674,-10.435144,1.542633,-82.676794,-12.795468,-1.371458,-86.843507,-0.68845,-1.415836,-90.786136,-0.60074,-6.213289,-53.053284,-7.535854,-6.908971,-58.374573,-7.447304,-2.858795,-81.363834,-14.54147,-4.912469,-88.883885,-11.785674,-5.088501,-89.044724,-1.682202,-4.908701,-83.498713,-2.04252,-4.20339,-53.907398,-1.130496,-4.398625,-63.754261,-1.141718,15.31544,-5.567047,-24.893169,15.315441,-5.567047,-24.89316,7.625839,-75.703633,2.101273,7.347712,-84.19772,4.546524,-6.964321,-89.187491,-7.511398,-5.300788,-77.149183,-8.255332,-4.360438,-53.279697,2.46947,-3.322514,-75.041403,2.938177,1
-3.401107,9.800708,2.289355,-1.649003,-0.324346,-7.119795,11.458914,20.186076,-5.311117,-34.564261,96.795594,9.170785,81.570311,-179.930344,-86.389495,-32.194386,-33.184447,64.471711,-38.711756,-29.87343,62.567594,20.85338,-1.042708,36.227447,13.661148,-6.900828,32.643316,5.86166,-13.058119,-10.261886,3.362604,-26.735099,-10.415456,-7.577498,3.590332,9.320328,-4.410872,-15.242071,9.700137,8.635711,-39.158909,-0.738117,7.763588,-67.805854,-4.569444,-0.797998,-30.926657,-2.904501,-2.928877,-102.790986,-0.03646,2.989907,0.163958,-1.880632,0.553455,-57.963273,-2.502979,3.029367,-72.882913,-10.506511,1.574987,-82.549806,-12.811705,-1.37215,-86.900408,-0.687213,-1.416482,-90.848316,-0.599328,-6.255498,-53.374302,-7.532346,-6.950674,-58.696139,-7.439874,-2.903734,-81.554074,-14.551264,-4.886082,-88.765109,-11.821775,-5.085479,-88.941772,-1.689043,-4.911169,-83.568026,-2.038128,-4.207512,-54.115987,-1.131079,-4.403052,-63.977862,-1.141603,15.315452,-5.567046,-24.893164,15.315449,-5.567042,-24.893162,7.649656,-75.805615,2.007638,7.33472,-83.981738,4.551435,-6.953804,-89.107155,-7.517496,-5.325081,-77.317407,-8.24739,-4.352532,-53.463382,2.475042,-3.313598,-75.21517,2.940274,1
