Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-23.758689,18.988752,-6.130997,2.695836,-1.695893,-10.187801,441.345368,-41.329517,95.782427,-71.8909,-1.639311,61.098241,30.933364,-84.524599,-9.039417,-34.023107,-32.355236,64.028265,-45.664347,-24.897168,59.216879,-1.926606,-17.445908,35.149366,16.042773,-5.986516,29.733649,2.287407,-32.62061,-10.297068,2.060841,-33.87097,-10.257743,0.125667,-43.251779,8.345666,-3.850359,-18.535991,9.658299,7.521687,-13.008381,2.481895,12.329932,-18.577622,0.622563,-1.527408,-46.114248,-2.563633,-1.383413,-42.951617,-2.650381,1.914538,-27.485627,-2.491134,2.181115,-21.246199,-2.400016,4.497975,-66.14111,-10.58741,9.050174,-28.172946,-5.280886,-1.442536,-93.469558,-0.539371,-0.719521,-50.481543,-1.296811,-8.474383,-70.79486,-6.992047,-2.567667,-24.812683,-6.919246,-2.448598,-79.350321,-14.192262,6.970047,-34.347382,-11.097836,-4.960886,-85.00183,-1.946612,-2.93208,-46.214013,-3.824921,-4.554055,-71.618203,-1.126522,-3.697945,-26.219354,-0.925259,15.315442,-5.567039,-24.893162,15.315446,-5.567043,-24.893155,7.616719,-81.231526,2.053949,-0.101122,-41.064141,11.530368,-5.576137,-79.066542,-8.160557,2.405035,-24.137755,-7.097093,-3.632416,-68.902026,2.846524,-5.447714,-18.8932,1.056158,4
-27.798117,19.369362,-7.330217,9.102493,3.128895,-3.051404,667.501052,-58.907841,192.413167,-72.038147,-1.4882,61.037203,32.922787,-87.054168,-3.886133,-33.953723,-32.388272,64.04644,-45.577066,-24.972334,59.270598,-1.893675,-17.430044,35.173529,16.820424,-5.513704,29.827291,2.292448,-32.592755,-10.297887,2.066609,-33.839041,-10.258787,0.119998,-43.213044,8.349046,-3.866922,-18.438503,9.65999,7.511191,-13.003205,2.484248,12.377221,-18.604747,0.604326,-1.527909,-46.125393,-2.56333,-1.381748,-42.915555,-2.651325,1.916655,-27.437194,-2.490522,2.180787,-21.253902,-2.400153,4.496976,-66.099797,-10.567574,9.073071,-28.1593,-5.28895,-1.443006,-93.520604,-0.538214,-0.719043,-50.460346,-1.29703,-8.474375,-70.794879,-6.992034,-2.567535,-24.811597,-6.91919,-2.44316,-79.321883,-14.186656,6.99577,-34.33066,-11.109041,-4.964848,-85.119452,-1.939044,-2.929399,-46.173889,-3.826088,-4.553432,-71.586568,-1.126638,-3.697179,-26.173117,-0.924704,15.315437,-5.567042,-24.893156,15.315441,-5.567043,-24.893156,7.612174,-81.20271,2.079762,-0.074274,-40.976254,11.498161,-5.641829,-79.527512,-8.136402,2.406254,-24.128187,-7.096268,-3.634232,-68.865696,2.845887,-5.448155,-18.869644,1.055007,4
-30.93939,19.673903,-8.274282,4.449757,2.719952,-5.614763,434.763225,-38.998115,123.709835,-72.237593,-1.307844,60.882596,33.853715,-88.799572,-0.74887,-33.846959,-32.438289,64.073834,-44.418764,-25.935354,59.951602,-1.855399,-17.413691,35.212296,17.444277,-5.00678,30.403546,2.297767,-32.563495,-10.298748,2.073677,-33.800034,-10.260104,0.11417,-43.173339,8.352475,-3.989118,-17.719404,9.671676,7.501098,-12.996336,2.486678,12.427969,-18.625133,0.58628,-1.528213,-46.132137,-2.563124,-1.379875,-42.875086,-2.652388,1.919044,-27.381885,-2.489859,2.180412,-21.263219,-2.400319,4.495745,-66.057626,-10.54695,9.099735,-28.142188,-5.298083,-1.443474,-93.573036,-0.536993,-0.718592,-50.440821,-1.297227,-8.474375,-70.794899,-6.992025,-2.567109,-24.808035,-6.918988,-2.43738,-79.291938,-14.181015,7.025944,-34.31003,-11.12193,-4.967064,-85.18518,-1.934815,-2.926546,-46.131332,-3.827306,-4.552784,-71.553038,-1.126727,-3.696349,-26.120408,-0.924095,15.315441,-5.567043,-24.893155,15.315445,-5.567039,-24.893158,7.607246,-81.168107,2.107481,-0.042611,-40.904541,11.464142,-5.694164,-79.895843,-8.116732,2.407744,-24.116102,-7.095205,-3.63603,-68.829233,2.845253,-5.448547,-18.848023,1.053928,4
-33.532587,19.93949,-9.04148,-1.158564,-1.543715,-9.198723,341.257653,-36.612927,92.105116,-72.536775,-1.281904,60.816884,34.323706,-90.165829,1.502009,-33.701422,-32.506229,64.110912,-43.232213,-26.857226,60.589972,-1.811166,-17.396906,35.266103,17.940214,-4.560738,30.983426,2.303332,-32.532829,-10.299657,2.081977,-33.754075,-10.261628,0.108186,-43.132656,8.356,-4.230143,-16.302902,9.690191,7.491386,-12.987797,2.489186,12.482192,-18.638967,0.568406,-1.528329,-46.134607,-2.563056,-1.377804,-42.830216,-2.65355,1.921749,-27.319816,-2.489076,2.179957,-21.274118,-2.400503,4.494257,-66.014511,-10.525493,9.130098,-28.12167,-5.308258,-1.443999,-93.626897,-0.535752,-0.718185,-50.422915,-1.297417,-8.474376,-70.79491,-6.992037,-2.566392,-24.802073,-6.918676,-2.431244,-79.260433,-14.175368,7.060513,-34.285552,-11.136465,-4.969362,-85.253759,-1.930412,-2.923543,-46.086325,-3.828607,-4.552082,-71.517575,-1.126847,-3.695391,-26.061304,-0.923391,15.315449,-5.567046,-24.893162,15.315452,-5.567042,-24.893162,7.601933,-81.127727,2.137101,-0.010853,-40.825664,11.429373,-5.734485,-80.180296,-8.101299,2.409535,-24.101536,-7.093932,-3.63785,-68.79262,2.844604,-5.448888,-18.828275,1.052953,4
-36.611974,20.690768,-9.439908,0.942929,-7.961735,-9.168835,421.710351,-110.616331,45.272367,-72.878216,-1.174814,60.705854,37.352612,-90.416408,1.799789,-33.440423,-32.627202,64.176547,-42.488572,-27.404908,60.962409,-1.748947,-17.378603,35.364659,18.00458,-4.432261,31.32311,2.308548,-32.504137,-10.3005,2.09236,-33.696691,-10.263501,0.102719,-43.095475,8.359226,-4.692975,-13.587359,9.708956,7.48085,-12.979782,2.491793,12.544005,-18.726163,0.534852,-1.527813,-46.123225,-2.563383,-1.374478,-42.758779,-2.655417,1.924669,-27.252583,-2.488242,2.180955,-21.2502,-2.400094,4.493419,-65.970478,-10.504959,9.163689,-28.098648,-5.319421,-1.444433,-93.672754,-0.53468,-0.718083,-50.418599,-1.297466,-8.474393,-70.794925,-6.992036,-2.564152,-24.78363,-6.917694,-2.425025,-79.22873,-14.169828,7.095597,-34.239592,-11.146349,-4.97142,-85.314671,-1.926481,-2.921533,-46.056147,-3.82947,-4.551413,-71.48316,-1.126979,-3.690492,-25.755729,-0.919793,15.315446,-5.567044,-24.893164,15.315441,-5.567045,-24.893156,7.596738,-81.084718,2.165714,-0.199395,-39.920406,11.476046,-5.749421,-80.285711,-8.09553,2.409806,-24.099431,-7.093734,-3.639486,-68.759565,2.844006,-5.449452,-18.798226,1.051458,4
-39.236054,21.297456,-9.820684,-3.344114,-11.211761,-10.52067,367.367447,-96.920413,43.272792,-73.28118,-1.103779,60.58522,39.519072,-90.930063,2.477294,-33.18347,-32.74479,64.239822,-41.961551,-27.779434,61.213958,-1.685903,-17.359282,35.461489,18.068269,-4.328934,31.564652,2.313925,-32.47451,-10.301335,2.104061,-33.632048,-10.265644,0.097193,-43.057935,8.362451,-4.991158,-11.8385,9.709416,7.470497,-12.970442,2.494476,12.609631,-18.817503,0.499243,-1.527062,-46.106553,-2.563861,-1.370844,-42.680269,-2.65745,1.927855,-27.179075,-2.487338,2.182082,-21.223087,-2.399636,4.49245,-65.925555,-10.483875,9.200789,-28.072478,-5.331557,-1.44485,-93.718744,-0.533628,-0.718067,-50.41738,-1.297467,-8.47439,-70.794932,-6.992032,-2.561472,-24.761573,-6.916528,-2.418507,-79.195722,-14.164293,7.134396,-34.18766,-11.156958,-4.973501,-85.376972,-1.922452,-2.919498,-46.025848,-3.830344,-4.550712,-71.447279,-1.127077,-3.675646,-24.823799,-0.90865,15.315441,-5.567032,-24.893157,15.315452,-5.567047,-24.893154,7.591201,-81.03664,2.195765,-0.398599,-38.995219,11.524874,-5.761369,-80.370144,-8.090896,2.410128,-24.096851,-7.093521,-3.641119,-68.726838,2.843427,-5.449991,-18.768354,1.049997,4
-41.214998,22.251655,-9.656481,-0.871931,-6.233873,-1.523437,253.727116,-128.99547,-22.64888,-73.395573,-0.882228,60.368226,41.859667,-89.262728,4.789544,-33.060659,-32.800637,64.269704,-41.929095,-27.801781,61.228872,-1.641413,-17.339768,35.505932,18.070611,-4.323443,31.579331,2.31909,-32.44605,-10.302183,2.117213,-33.559398,-10.268021,0.09265,-43.026966,8.365125,-5.092012,-11.246733,9.707477,7.463325,-12.95423,2.49722,12.683125,-22.377723,-0.192389,-1.525226,-46.065553,-2.565037,-1.369948,-42.660882,-2.657948,1.943276,-26.823785,-2.482843,2.182141,-21.221781,-2.399611,4.492788,-65.877052,-10.463809,9.253677,-28.072784,-5.356266,-1.445309,-93.767391,-0.532495,-0.719253,-50.47019,-1.296914,-8.474395,-70.794938,-6.992037,-2.559746,-24.747273,-6.915767,-2.411983,-79.162158,-14.158288,7.186065,-34.141768,-11.1763,-4.975615,-85.440126,-1.918377,-2.919725,-46.029183,-3.830248,-4.550092,-71.415701,-1.127198,-3.671204,-24.54292,-0.905258,15.315446,-5.567042,-24.893165,15.315443,-5.567041,-24.893153,7.584919,-80.992191,2.230144,-0.557839,-38.2225,11.557294,-5.769945,-80.430842,-8.087538,2.406142,-24.128934,-7.09634,-3.642798,-68.69275,2.842821,-5.449735,-18.782192,1.050688,4
-43.116109,22.999554,-9.730459,4.606402,-5.910561,3.228428,283.269375,-115.536853,14.072054,-73.375678,-0.44344,59.955641,43.651518,-88.26603,6.771933,-32.990914,-32.831747,64.286253,-41.888316,-27.830721,61.248193,-1.602985,-17.318937,35.529534,18.07371,-4.316711,31.59779,2.324361,-32.417023,-10.303006,2.165984,-33.290078,-10.276632,0.0882,-42.996617,8.367762,-5.156796,-10.866505,9.705687,7.456769,-12.935983,2.500052,12.73334,-24.614084,-0.641056,-1.523051,-46.016866,-2.566428,-1.369163,-42.643946,-2.658388,1.965259,-26.315671,-2.476264,2.182152,-21.221435,-2.399612,4.493204,-65.827322,-10.443449,9.311592,-28.074255,-5.38354,-1.445768,-93.816515,-0.531369,-0.720676,-50.532937,-1.296267,-8.474378,-70.794957,-6.99204,-2.557782,-24.731109,-6.914891,-2.405206,-79.127438,-14.15222,7.242545,-34.091883,-11.197395,-4.97774,-85.504507,-1.914235,-2.920261,-46.037096,-3.830029,-4.549462,-71.383555,-1.127289,-3.669744,-24.450296,-0.904137,15.315443,-5.567039,-24.893146,15.315435,-5.567039,-24.893158,7.578228,-80.944118,2.266277,-0.679011,-37.654456,11.582486,-5.778955,-80.494577,-8.08401,2.401596,-24.16549,-7.099525,-3.644492,-68.658748,2.842221,-5.449377,-18.80224,1.051669,4
-44.503786,24.020062,-8.553856,8.755366,-5.900583,-1.070257,195.940533,-143.557875,-159.783358,-73.306073,-0.103421,59.656909,43.999276,-85.947097,10.670475,-32.933179,-32.857799,64.300121,-41.873885,-27.840877,61.254974,-1.567338,-17.299239,35.548583,18.074785,-4.314627,31.604439,2.329374,-32.389446,-10.303809,2.195866,-33.125191,-10.281787,0.081546,-42.951481,8.371632,-5.160875,-10.842426,9.70557,7.453115,-12.919436,2.502196,12.830482,-25.087719,-0.772756,-1.519418,-45.935931,-2.568746,-1.370964,-42.68273,-2.657377,1.993216,-25.667786,-2.467587,2.180718,-21.255712,-2.400201,4.4944,-65.775129,-10.423607,9.384187,-28.102257,-5.422967,-1.446267,-93.870889,-0.530086,-0.74519,-51.620633,-1.284611,-8.474393,-70.794984,-6.992043,-2.558265,-24.735074,-6.915113,-2.397456,-79.087079,-14.144686,7.301496,-34.079072,-11.228347,-4.979951,-85.570589,-1.909956,-2.926555,-46.131377,-3.827313,-4.54896,-71.357749,-1.127369,-3.669397,-24.428004,-0.903856,15.315441,-5.567044,-24.893168,15.315436,-5.567045,-24.893151,7.570924,-80.892167,2.305559,-0.667986,-37.635114,11.572435,-5.787586,-80.555677,-8.080623,2.388657,-24.269257,-7.108556,-3.645927,-68.629409,2.841697,-5.447505,-18.903876,1.056677,4
-45.981124,24.895813,-7.774555,1.52477,-10.569197,-5.312239,209.166172,-133.656892,-114.8438,-73.328068,0.123858,59.42827,44.414722,-84.228243,14.153087,-32.873664,-32.884693,64.314425,-41.856006,-27.853186,61.263176,-1.53098,-17.279211,35.568275,18.075618,-4.311649,31.612378,2.334433,-32.361652,-10.304596,2.226657,-32.955371,-10.287024,0.074656,-42.904712,8.375655,-5.16696,-10.806805,9.705372,7.450373,-12.901545,2.504316,12.988765,-25.180488,-0.855733,-1.503156,-45.574042,-2.579018,-1.373217,-42.731465,-2.656126,2.016239,-25.132454,-2.460178,2.179045,-21.295762,-2.400869,4.495765,-65.721673,-10.4036,9.89765,-28.179221,-5.678348,-1.446785,-93.926394,-0.528814,-0.785436,-53.430095,-1.264216,-8.474393,-70.794973,-6.992031,-2.558931,-24.74052,-6.915397,-2.389381,-79.04508,-14.136903,7.364492,-34.068577,-11.262141,-4.982183,-85.637827,-1.905617,-2.957591,-46.596719,-3.813811,-4.548461,-71.332415,-1.127455,-3.669045,-24.406303,-0.903606,15.315448,-5.567035,-24.89315,15.315437,-5.567042,-24.89316,7.563179,-80.836866,2.346658,-0.657283,-37.613273,11.562347,-5.796511,-80.618755,-8.077127,2.236112,-25.484529,-7.212794,-3.647346,-68.600841,2.841183,-5.42959,-19.858186,1.103639,4
