R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-0.083824,-0.264883,-0.018891,0.028089,-0.262946,0.002556,-64.412199,69.979483,21.1169,79.286021,137.727447,-124.490385,-45.202355,-25.29087,59.497364,-44.313531,-26.019481,60.010422,16.182917,-5.856817,29.952917,14.047029,-7.060472,30.231137,5.997757,-12.301455,-10.235982,4.496288,-20.560526,-10.420309,-7.820139,5.088175,9.245613,-7.231899,1.477995,9.414766,2.982634,-11.506037,3.298021,3.738847,-24.806665,2.923783,-0.569045,-26.464402,-2.966802,-0.506764,-25.264893,-2.980468,2.603531,-10.708731,-2.182311,2.656606,-9.303566,-2.147529,9.168717,-18.164207,-3.509745,4.865119,-35.142097,-4.105256,-0.224533,-29.87145,-1.425076,-0.122777,-25.787516,-1.428943,-0.805047,-9.136868,-5.837349,-0.651494,-7.617947,-5.707908,13.448283,-19.34072,-10.083946,7.203514,-30.569488,-10.405615,-1.975008,-32.464941,-4.107999,-1.552383,-26.618302,-4.157405,-3.528862,-14.839987,-0.774939,-3.509978,-13.421082,-0.753895,15.315452,-5.567043,-24.893159,15.315436,-5.567042,-24.893155,10.422308,-7.921049,8.813143,4.253556,-18.89476,8.808712,0.704916,-36.895315,-8.027359,1.303083,-32.581178,-7.755276,-5.551,-12.205406,0.719593,-5.553442,-12.008421,0.709505,0
0.121275,0.016673,0.118149,0.011485,-0.27213,0.007692,-64.668795,69.973128,21.146428,79.172253,137.516581,-124.699968,-45.232188,-25.265854,59.479608,-44.358015,-25.983972,59.985606,16.115219,-5.900455,29.934885,14.07387,-7.04777,30.21259,5.985499,-12.369722,-10.238391,4.496064,-20.561787,-10.420339,-7.794542,4.929539,9.253842,-7.219338,1.40165,9.417939,2.93507,-11.441957,3.305745,3.710693,-24.744833,2.935791,-0.578956,-26.655343,-2.964494,-0.51016,-25.330057,-2.979755,2.599781,-10.807377,-2.184703,2.65643,-9.308144,-2.14765,9.146211,-18.076377,-3.488642,4.833312,-35.271391,-4.101143,-0.229742,-30.079913,-1.424688,-0.122672,-25.783524,-1.428942,-0.821946,-9.302041,-5.851174,-0.64954,-7.598412,-5.706218,13.454583,-19.2935,-10.072871,7.17016,-30.712148,-10.418517,-1.989476,-32.666707,-4.105543,-1.554832,-26.651953,-4.157251,-3.530589,-14.966936,-0.776787,-3.509998,-13.422131,-0.753916,15.315444,-5.567035,-24.893156,15.315447,-5.567048,-24.893157,10.488216,-7.905226,8.805968,4.251856,-18.938287,8.806229,0.695011,-36.965487,-8.031415,1.283549,-32.724518,-7.765029,-5.549746,-12.303807,0.724617,-5.553064,-12.038235,0.711023,0
0.107062,0.004955,0.10962,-0.011543,0.032986,0.084215,-64.902757,69.948996,21.181295,79.243343,138.024658,-124.172454,-45.266644,-25.236924,59.459071,-44.356922,-25.984801,59.986188,16.049853,-5.943061,29.914944,14.097474,-7.033548,30.214193,5.973406,-12.436983,-10.240753,4.492468,-20.58138,-10.420522,-7.768027,4.765297,9.262274,-7.205883,1.319849,9.421324,2.882799,-11.380743,3.314012,3.702196,-24.707442,2.93965,-0.589049,-26.85026,-2.962112,-0.513476,-25.393871,-2.97906,2.595939,-10.908249,-2.187145,2.656203,-9.314374,-2.1478,9.119505,-17.987088,-3.466263,4.804063,-35.355884,-4.092965,-0.234931,-30.288977,-1.424266,-0.123585,-25.819861,-1.428956,-0.839483,-9.472985,-5.865456,-0.651426,-7.617455,-5.707859,13.461058,-19.247033,-10.06205,7.128121,-30.817813,-10.419242,-2.004601,-32.877594,-4.102896,-1.558412,-26.701222,-4.157015,-3.532493,-15.107654,-0.778827,-3.510395,-13.453164,-0.75439,15.315442,-5.567041,-24.893164,15.315442,-5.567045,-24.893153,10.558706,-7.889906,8.79799,4.242496,-19.017246,8.803856,0.683723,-37.045432,-8.036018,1.26202,-32.882303,-7.775698,-5.548362,-12.413984,0.730264,-5.552269,-12.102437,0.714314,0
0.099068,0.165349,0.021103,-0.019413,-0.021653,0.068152,-65.186371,69.923088,21.23812,79.285939,138.35429,-123.83126,-45.254854,-25.246738,59.466039,-44.35339,-25.98756,59.988118,15.968737,-5.990418,29.914975,14.118442,-7.020626,30.216712,5.963186,-12.493886,-10.242747,4.488143,-20.604981,-10.420728,-7.739601,4.589522,9.271199,-7.192175,1.23663,9.424753,2.843982,-11.340728,3.320022,3.695098,-24.669655,2.942946,-0.601673,-27.094563,-2.959083,-0.516957,-25.460745,-2.978324,2.590805,-11.042623,-2.190379,2.655927,-9.321584,-2.147981,9.09501,-17.975029,-3.45761,4.77554,-35.439681,-4.085064,-0.242291,-30.585172,-1.423654,-0.124599,-25.860743,-1.428946,-0.860372,-9.676163,-5.88234,-0.653665,-7.63971,-5.709791,13.465393,-19.264888,-10.068007,7.085169,-30.923862,-10.419453,-2.02582,-33.173601,-4.099088,-1.562221,-26.753751,-4.156765,-3.534775,-15.276104,-0.781292,-3.510843,-13.486566,-0.754879,15.315445,-5.567042,-24.893161,15.315443,-5.567042,-24.893156,10.652356,-7.898708,8.781333,4.232757,-19.097493,8.801571,0.665549,-37.174174,-8.043393,1.240188,-33.042106,-7.786466,-5.54656,-12.55544,0.737472,-5.551451,-12.167855,0.717665,0
0.083423,0.139843,0.016185,0.007234,0.003839,0.048266,-65.438151,69.883943,21.294938,79.354752,138.631905,-123.519082,-45.236593,-25.262242,59.477046,-44.349154,-25.990951,59.990487,15.885349,-6.038503,29.917854,14.168158,-6.990452,30.220926,5.953449,-12.548032,-10.244603,4.487867,-20.606505,-10.420752,-7.71058,4.410217,9.280235,-7.196655,1.263762,9.423632,2.806073,-11.306312,3.325803,3.68132,-24.660996,2.948489,-0.614844,-27.349506,-2.955856,-0.520273,-25.524425,-2.977617,2.585335,-11.185746,-2.193831,2.655209,-9.34093,-2.148477,9.069377,-17.974687,-3.45062,4.741825,-35.521681,-4.073516,-0.250055,-30.897401,-1.422954,-0.125426,-25.894163,-1.428943,-0.882209,-9.887773,-5.899843,-0.656677,-7.66974,-5.712371,13.470038,-19.292564,-10.076685,7.059088,-30.955218,-10.41268,-2.048458,-33.489914,-4.094909,-1.566063,-26.806517,-4.156487,-3.537237,-15.456845,-0.783913,-3.511385,-13.528456,-0.755523,15.315452,-5.567047,-24.893154,15.315438,-5.567037,-24.893157,10.754261,-7.916067,8.761531,4.18925,-19.064584,8.818647,0.644622,-37.322138,-8.05182,1.218626,-33.199693,-7.797017,-5.544572,-12.710332,0.745394,-5.550154,-12.271849,0.722984,0
0.074167,0.119942,0.013102,0.00587,0.04901,0.060759,-65.66168,69.835789,21.350839,79.453739,139.049933,-123.050692,-45.213129,-25.281957,59.491042,-44.343533,-25.995559,59.993709,15.800009,-6.087298,29.923072,14.22081,-6.958395,30.225909,5.944109,-12.59993,-10.246404,4.487815,-20.606732,-10.420766,-7.681214,4.229018,9.289257,-7.202,1.296358,9.422312,2.768955,-11.276315,3.331385,3.66739,-24.654458,2.954068,-0.628365,-27.611357,-2.952496,-0.523632,-25.589332,-2.976904,2.579593,-11.335541,-2.197394,2.65438,-9.363141,-2.149036,9.042878,-17.982689,-3.4448,4.707811,-35.602954,-4.061558,-0.258058,-31.219875,-1.422205,-0.126295,-25.928895,-1.428937,-0.904676,-10.10496,-5.917737,-0.660039,-7.703331,-5.715286,13.475886,-19.326836,-10.087469,7.034219,-30.980505,-10.405235,-2.071976,-33.818963,-4.090436,-1.570019,-26.86129,-4.156218,-3.539841,-15.646296,-0.786654,-3.511984,-13.573228,-0.75618,15.315441,-5.567046,-24.893154,15.315447,-5.567044,-24.893157,10.86283,-7.942018,8.738751,4.141864,-19.027672,8.837262,0.621528,-37.485343,-8.061067,1.196955,-33.35794,-7.807553,-5.542417,-12.875347,0.753824,-5.548768,-12.382529,0.728654,0
0.064103,0.102502,0.010317,0.005926,0.076586,0.066619,-65.86178,69.782298,21.405223,79.569224,139.56353,-122.477455,-45.181569,-25.3085,59.509877,-44.336752,-26.000891,59.99743,15.713472,-6.136095,29.931965,14.275587,-6.924869,30.231541,5.935116,-12.650006,-10.248138,4.487993,-20.605844,-10.420743,-7.651728,4.047133,9.298219,-7.207896,1.332102,9.420832,2.7325,-11.24981,3.336795,3.653332,-24.649546,2.959675,-0.642079,-27.87717,-2.948999,-0.52707,-25.655149,-2.976161,2.573677,-11.490106,-2.201093,2.653453,-9.387884,-2.149651,9.015757,-17.99665,-3.439811,4.673602,-35.683554,-4.049273,-0.266202,-31.547994,-1.421378,-0.127184,-25.964694,-1.428942,-0.927558,-10.325389,-5.935802,-0.6637,-7.739975,-5.718446,13.482717,-19.367782,-10.100332,7.010328,-31.001354,-10.397338,-2.095965,-34.154751,-4.085715,-1.574128,-26.917709,-4.155936,-3.542514,-15.84136,-0.789472,-3.512606,-13.620375,-0.756876,15.315442,-5.567042,-24.893154,15.315435,-5.567041,-24.893154,10.976548,-7.976167,8.713268,4.091597,-18.989404,8.856872,0.596812,-37.659746,-8.070857,1.17519,-33.516564,-7.81806,-5.54015,-13.047468,0.762598,-5.547292,-12.498102,0.734561,0
0.20414,0.123641,0.148491,-0.003687,-0.095034,0.121274,-66.039014,70.123604,21.122698,79.540081,139.737316,-122.245288,-45.126706,-25.354494,59.542483,-44.339589,-25.99868,59.995891,15.725991,-6.123338,29.957504,14.32521,-6.895312,30.232689,5.924473,-12.709143,-10.250153,4.492779,-20.57966,-10.420508,-7.626811,3.893621,9.305739,-7.218811,1.398444,9.41808,2.675627,-11.257279,3.344819,3.632061,-24.620919,2.96839,-0.654954,-28.127399,-2.945669,-0.528338,-25.679867,-2.975885,2.567971,-11.638429,-2.204594,2.653288,-9.391802,-2.149751,8.973689,-18.036184,-3.435016,4.656214,-35.71231,-4.041504,-0.271275,-31.752543,-1.420846,-0.127851,-25.991096,-1.428914,-0.940804,-10.452594,-5.946191,-0.667281,-7.775745,-5.721551,13.476965,-19.424342,-10.114112,7.003623,-30.974911,-10.388467,-2.105494,-34.288239,-4.08381,-1.579589,-26.992839,-4.15554,-3.54367,-15.92609,-0.790688,-3.513339,-13.67648,-0.757734,15.31545,-5.567047,-24.893157,15.31543,-5.56704,-24.893155,11.041903,-7.970749,8.703915,4.033537,-18.895387,8.882725,0.587802,-37.723324,-8.074408,1.159281,-33.632383,-7.825695,-5.539391,-13.105179,0.76555,-5.546112,-12.589817,0.739237,0
0.196147,-0.224602,0.240365,0.055545,-0.100982,0.084994,-66.067309,70.875948,20.52879,79.541612,139.639995,-122.295593,-45.101902,-25.37519,59.557149,-44.340926,-25.9977,59.995206,15.742147,-6.111272,29.969736,14.37825,-6.86354,30.234692,5.924829,-12.707179,-10.250096,4.505583,-20.509877,-10.419868,-7.621398,3.860357,9.307332,-7.233639,1.488557,9.414347,2.60801,-11.271914,3.354345,3.594302,-24.614361,2.983332,-0.65974,-28.220531,-2.944408,-0.529063,-25.69362,-2.975722,2.565903,-11.692347,-2.205876,2.653065,-9.39812,-2.149919,8.917274,-18.088959,-3.428445,4.644847,-35.747882,-4.038446,-0.272348,-31.795967,-1.420727,-0.128288,-26.00788,-1.42891,-0.944232,-10.485449,-5.948855,-0.66921,-7.795164,-5.723222,13.451875,-19.444233,-10.112819,6.999192,-30.970948,-10.385389,-2.106877,-34.30765,-4.083538,-1.582331,-27.030571,-4.155334,-3.543979,-15.947856,-0.791002,-3.513822,-13.713183,-0.758276,15.315447,-5.567041,-24.893158,15.31544,-5.567045,-24.893154,11.054399,-7.958118,8.704637,3.997479,-18.810533,8.900419,0.582297,-37.762099,-8.076571,1.14532,-33.733971,-7.832361,-5.539097,-13.127107,0.766659,-5.544999,-12.676142,0.743648,0
0.127121,-0.187895,0.264534,0.058993,-0.098751,0.087932,-66.117623,71.461242,20.065403,79.542936,139.562163,-122.332031,-45.079339,-25.39419,59.570604,-44.341984,-25.996759,59.994548,15.75988,-6.098563,29.981046,14.432131,-6.831158,30.23689,5.926766,-12.696407,-10.249721,4.521851,-20.421091,-10.419037,-7.618202,3.840722,9.308298,-7.251538,1.597353,9.409798,2.536639,-11.289586,3.364426,3.551589,-24.611273,3.00017,-0.663733,-28.298156,-2.943364,-0.529618,-25.704289,-2.97561,2.564292,-11.734163,-2.206871,2.652816,-9.40444,-2.150066,8.855533,-18.157005,-3.422824,4.63539,-35.782612,-4.036507,-0.273169,-31.829271,-1.420651,-0.128629,-26.022547,-1.428926,-0.946674,-10.508839,-5.950759,-0.670909,-7.812004,-5.724678,13.42011,-19.460689,-10.108827,6.99638,-30.968027,-10.383352,-2.107878,-34.321644,-4.083329,-1.584659,-27.062744,-4.155174,-3.544168,-15.962062,-0.791207,-3.514273,-13.747083,-0.758777,15.315443,-5.567037,-24.893154,15.315438,-5.567045,-24.893155,11.058749,-7.944268,8.70692,3.963508,-18.717031,8.917888,0.577395,-37.796591,-8.07848,1.131713,-33.832897,-7.838824,-5.538874,-13.143681,0.767495,-5.543904,-12.761388,0.748003,0
