R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-0.100359,0.057924,0.205309,-0.34856,0.13863,-0.167334,-59.570446,50.054858,7.209414,49.012589,165.446445,-150.886717,-33.080931,-32.791019,64.264523,-38.034654,-30.267576,62.811128,-10.892377,-24.17618,37.243618,-5.34815,-19.345865,33.999,2.487045,-31.522558,-10.327545,0.410799,-43.177066,-9.811761,-6.631745,-2.141114,9.546581,-0.472585,-39.254618,8.672178,0.926057,-25.393073,4.062357,11.83259,-32.983447,-1.818318,-1.788484,-52.163568,-2.376217,-1.579612,-47.288469,-2.529434,1.946088,-26.758874,-2.482015,2.030466,-24.800701,-2.455504,7.561263,-27.260433,-4.432898,3.502346,-75.740345,-13.80252,-0.776439,-53.02349,-1.268919,-1.483423,-98.325211,-0.425447,-3.30287,-30.752744,-7.197762,-8.392744,-70.123571,-7.02532,10.701868,-33.355754,-12.931845,-4.617138,-88.755231,-15.694568,-3.070384,-48.302648,-3.762175,-5.092233,-89.172335,-1.673711,-3.83958,-34.595879,-1.012933,-4.476099,-67.661077,-1.136862,15.315437,-5.567038,-24.893159,15.315449,-5.567041,-24.893156,13.151723,-45.494201,-1.037295,7.885021,-92.976044,1.9072,1.001816,-34.772878,-7.899103,-5.472911,-78.344883,-8.197314,-5.3413,-24.071694,1.30714,-3.976148,-61.799432,2.699833,5
-0.076802,0.055547,0.193807,-0.305549,0.093233,-0.157265,-59.535269,49.968874,7.236518,49.236687,165.288357,-151.025027,-33.062099,-32.799894,64.2693,-38.13635,-30.209259,62.775348,-10.753738,-24.072644,37.216308,-5.451748,-19.40283,33.973795,2.466282,-31.636491,-10.324554,0.391596,-43.288165,-9.804837,-6.611552,-2.261912,9.550301,-0.467655,-39.286962,8.669705,0.843212,-25.398824,4.096219,11.868879,-32.752704,-1.794697,-1.794376,-52.30559,-2.371504,-1.577778,-47.246684,-2.530669,1.942554,-26.840393,-2.483073,2.029709,-24.818555,-2.45575,7.508809,-27.282075,-4.412607,3.497647,-75.814958,-13.8492,-0.778503,-53.11624,-1.267848,-1.483498,-98.334187,-0.425235,-3.311369,-30.820116,-7.200491,-8.401344,-70.194104,-7.021858,10.685765,-33.393054,-12.934291,-4.635306,-88.81988,-15.68799,-3.073485,-48.349798,-3.760681,-5.090289,-89.106058,-1.678119,-3.84013,-34.627309,-1.013236,-4.477895,-67.751538,-1.136674,15.315445,-5.567038,-24.893154,15.315438,-5.567038,-24.893165,13.166386,-45.614214,-1.087427,7.887645,-93.023133,1.929558,1.000432,-34.78285,-7.899731,-5.460997,-78.261918,-8.20145,-5.341078,-24.080953,1.307594,-3.96995,-61.931307,2.702954,5
-0.310132,-0.081058,0.064178,0.200169,-0.214641,-0.178199,-59.435851,49.894169,7.321401,49.03839,164.923538,-151.184947,-33.073569,-32.794578,64.266449,-38.201571,-30.171904,62.752391,-10.680303,-24.013564,37.192935,-5.498917,-19.42627,33.954394,2.457146,-31.686695,-10.323251,0.3749,-43.384842,-9.798777,-6.594169,-2.365872,9.553505,-0.46362,-39.313446,8.667686,0.73498,-25.255802,4.133276,11.890153,-32.546275,-1.767016,-1.795439,-52.331405,-2.370628,-1.578672,-47.266971,-2.530071,1.939787,-26.904239,-2.48389,2.026677,-24.889048,-2.456744,7.474852,-27.237751,-4.390149,3.493059,-75.879423,-13.888192,-0.779533,-53.162498,-1.267302,-1.483437,-98.327391,-0.425402,-3.322177,-30.905787,-7.203941,-8.40955,-70.261548,-7.018549,10.66732,-33.391543,-12.923867,-4.652137,-88.878997,-15.678635,-3.07733,-48.408341,-3.758847,-5.0884,-89.041103,-1.68245,-3.841329,-34.694964,-1.013865,-4.479206,-67.818079,-1.13656,15.315439,-5.567037,-24.89315,15.315443,-5.567039,-24.893163,13.178773,-45.65403,-1.111813,7.890821,-93.078458,1.957968,0.996538,-34.810793,-7.901497,-5.451213,-78.193738,-8.204855,-5.340297,-24.115086,1.309207,-3.965241,-62.030851,2.705297,5
-0.293344,-0.076228,0.061357,0.100435,-0.166314,-0.221921,-59.347326,49.834207,7.38868,48.917873,164.614509,-151.357526,-33.088874,-32.787593,64.262709,-38.260957,-30.137471,62.73118,-10.614768,-23.959942,37.169977,-5.536718,-19.443815,33.935829,2.449602,-31.728168,-10.322135,0.358826,-43.477781,-9.792927,-6.577549,-2.465333,9.556516,-0.459083,-39.343137,8.665408,0.616869,-25.084081,4.172237,11.910178,-32.335647,-1.737764,-1.79596,-52.344137,-2.370216,-1.579831,-47.29347,-2.529283,1.937243,-26.962754,-2.484598,2.023103,-24.972345,-2.457934,7.442474,-27.181636,-4.36663,3.489339,-75.940971,-13.927721,-0.780391,-53.202121,-1.266857,-1.483388,-98.319229,-0.425584,-3.333432,-30.994937,-7.207511,-8.418136,-70.332006,-7.015082,10.648311,-33.382722,-12.910959,-4.668448,-88.936443,-15.669897,-3.081483,-48.471629,-3.756849,-5.086533,-88.977783,-1.686651,-3.842638,-34.76963,-1.014544,-4.480469,-67.881011,-1.136422,15.315453,-5.567044,-24.893164,15.315444,-5.567037,-24.893164,13.191935,-45.681935,-1.133533,7.894272,-93.139647,1.984814,0.991535,-34.846921,-7.903759,-5.441783,-78.128031,-8.208089,-5.339377,-24.155783,1.311149,-3.960867,-62.123987,2.70747,5
-0.286806,-0.032499,-0.099733,0.198419,-0.091324,0.180334,-59.246009,49.636695,7.579262,48.697741,164.317812,-151.474174,-33.116016,-32.775304,64.256146,-38.304368,-30.112409,62.715737,-10.545574,-23.901226,37.141193,-5.606141,-19.485101,33.929407,2.446739,-31.743913,-10.321711,0.339496,-43.589901,-9.785838,-6.566039,-2.53423,9.558583,-0.453614,-39.37908,8.662656,0.532043,-24.937584,4.198559,11.919498,-32.199876,-1.716842,-1.796886,-52.36639,-2.369465,-1.581302,-47.326751,-2.528293,1.9345,-27.026263,-2.48542,2.018832,-25.071956,-2.459331,7.424396,-27.116734,-4.348222,3.483341,-75.992722,-13.952097,-0.78139,-53.246977,-1.266337,-1.483327,-98.313928,-0.425733,-3.344907,-31.08591,-7.211124,-8.427595,-70.409789,-7.011226,10.634338,-33.377516,-12.901863,-4.682844,-88.98867,-15.667935,-3.08573,-48.536518,-3.75481,-5.085202,-88.9323,-1.689677,-3.843993,-34.845736,-1.015239,-4.482082,-67.963006,-1.136257,15.315447,-5.567047,-24.893158,15.315435,-5.567043,-24.893155,13.208971,-45.754308,-1.172406,7.897318,-93.203701,1.996153,0.988339,-34.87001,-7.905212,-5.433577,-78.070898,-8.210927,-5.338525,-24.1932,1.312914,-3.957768,-62.189364,2.709002,5
-0.288104,-0.035039,-0.102632,0.121921,-0.078519,0.144685,-59.136586,49.432323,7.774524,48.537413,164.038258,-151.616084,-33.151495,-32.759286,64.247579,-38.341764,-30.09051,62.702214,-10.479594,-23.843565,37.109774,-5.678639,-19.529059,33.926086,2.445385,-31.751357,-10.321513,0.319683,-43.704863,-9.778538,-6.555767,-2.595539,9.56042,-0.447354,-39.420106,8.659488,0.452228,-24.786231,4.222185,11.925491,-32.080301,-1.697183,-1.797647,-52.384941,-2.368856,-1.583152,-47.368442,-2.527061,1.931785,-27.08869,-2.48619,2.014086,-25.182465,-2.460895,7.410772,-27.042598,-4.330426,3.477027,-76.040978,-13.972665,-0.782349,-53.290189,-1.265816,-1.483312,-98.308627,-0.425843,-3.356668,-31.178927,-7.214822,-8.43568,-70.476251,-7.007949,10.621421,-33.369763,-12.892569,-4.696569,-89.03883,-15.667881,-3.090166,-48.60409,-3.752676,-5.084007,-88.891505,-1.692387,-3.845397,-34.925537,-1.015965,-4.483746,-68.048067,-1.136092,15.315445,-5.567044,-24.893157,15.315447,-5.567042,-24.89315,13.227568,-45.829935,-1.213955,7.900385,-93.271134,2.003312,0.985099,-34.893203,-7.906664,-5.425846,-78.017049,-8.213584,-5.33761,-24.232989,1.314805,-3.955048,-62.247089,2.71035,5
-0.299062,-0.039783,-0.113839,0.068821,-0.057988,0.133372,-59.024673,49.232089,7.963833,48.418026,163.769534,-151.776285,-33.194528,-32.739656,64.237059,-38.374502,-30.071373,62.690389,-10.416335,-23.786323,37.075832,-5.753702,-19.575198,33.925146,2.445151,-31.752648,-10.321468,0.299488,-43.822087,-9.771034,-6.546463,-2.651203,9.562064,-0.440452,-39.46549,8.655996,0.376727,-24.631702,4.243505,11.928745,-31.973233,-1.678426,-1.798311,-52.400828,-2.368321,-1.585323,-47.417869,-2.525609,1.929108,-27.150453,-2.486984,2.008963,-25.301681,-2.462554,7.400808,-26.960436,-4.31306,3.470397,-76.08654,-13.990077,-0.783281,-53.33225,-1.26535,-1.483247,-98.30333,-0.425977,-3.368628,-31.273573,-7.218533,-8.442326,-70.530981,-7.005222,10.609361,-33.359969,-12.883152,-4.709746,-89.087361,-15.669403,-3.094721,-48.673821,-3.750479,-5.082921,-88.854414,-1.694836,-3.846862,-35.008276,-1.016724,-4.485486,-68.135584,-1.135894,15.315447,-5.567038,-24.893161,15.315443,-5.567042,-24.893155,13.247448,-45.908534,-1.257868,7.903467,-93.341222,2.007092,0.98189,-34.916399,-7.908109,-5.418491,-77.965904,-8.216085,-5.336659,-24.274748,1.316781,-3.95259,-62.299138,2.711541,5
-0.225627,0.061034,-0.083592,0.354045,-0.243946,0.140431,-58.92789,49.008023,8.193051,48.088524,163.404875,-151.934343,-33.178063,-32.747218,64.241119,-38.436972,-30.035172,62.668014,-10.351815,-23.73999,37.066866,-5.816984,-19.609756,33.909804,2.44029,-31.779343,-10.320767,0.287481,-43.891859,-9.766559,-6.539969,-2.689905,9.563219,-0.442788,-39.450234,8.657186,0.322933,-24.495779,4.257024,11.940638,-31.84202,-1.659803,-1.800066,-52.443641,-2.366902,-1.587287,-47.462476,-2.524288,1.926994,-27.199097,-2.487573,2.00491,-25.39623,-2.463862,7.389287,-26.891021,-4.297051,3.478781,-76.090352,-14.019965,-0.784518,-53.388465,-1.264702,-1.483287,-98.306992,-0.425876,-3.377758,-31.345765,-7.221365,-8.447769,-70.575643,-7.003016,10.585647,-33.376035,-12.875089,-4.715271,-89.108994,-15.675892,-3.099508,-48.74672,-3.748154,-5.082331,-88.83483,-1.696142,-3.848194,-35.083587,-1.017416,-4.487375,-68.230847,-1.135697,15.315444,-5.567046,-24.893156,15.31545,-5.567045,-24.893155,13.224242,-46.081121,-1.285236,7.907118,-93.422056,2.01314,0.977184,-34.950272,-7.910248,-5.412524,-77.924408,-8.218129,-5.335058,-24.344616,1.320104,-3.949775,-62.358646,2.71294,5
-0.211426,0.058007,-0.0859,0.273927,-0.224567,0.108921,-58.836332,48.806826,8.396903,47.82902,163.063841,-152.10713,-33.156269,-32.757129,64.246427,-38.501971,-29.996869,62.644279,-10.288213,-23.695543,37.060493,-5.880319,-19.643476,33.893384,2.43531,-31.806714,-10.320037,0.276406,-43.956142,-9.762404,-6.534284,-2.723927,9.564203,-0.446164,-39.427923,8.658896,0.274731,-24.361907,4.268242,11.95257,-31.713705,-1.641709,-1.801962,-52.489388,-2.365362,-1.589387,-47.509977,-2.522855,1.924985,-27.245562,-2.488154,2.000877,-25.489694,-2.46516,7.379421,-26.820388,-4.281628,3.489074,-76.088028,-14.05068,-0.785809,-53.44675,-1.264015,-1.483328,-98.312187,-0.425767,-3.386546,-31.415145,-7.224082,-8.452177,-70.612016,-7.001198,10.560059,-33.396198,-12.867219,-4.719343,-89.125912,-15.684489,-3.10437,-48.821236,-3.745799,-5.081878,-88.819537,-1.697148,-3.849539,-35.158902,-1.018076,-4.489308,-68.328625,-1.135488,15.315436,-5.567045,-24.893159,15.315444,-5.567033,-24.893159,13.196249,-46.274297,-1.313613,7.910896,-93.506146,2.017777,0.972161,-34.986414,-7.912505,-5.406972,-77.885832,-8.220021,-5.333286,-24.421964,1.323762,-3.947029,-62.416661,2.714282,5
-0.032512,0.268133,-0.198105,0.398344,-0.368019,0.175546,-58.893616,48.542173,8.615748,47.32525,162.695571,-152.458668,-33.14929,-32.760156,64.248034,-38.540143,-29.974532,62.630436,-10.220767,-23.645084,37.046904,-5.934635,-19.674991,33.886752,2.434486,-31.811286,-10.319895,0.268925,-43.999613,-9.759604,-6.526187,-2.772261,9.565636,-0.454578,-39.372721,8.66314,0.239731,-24.244698,4.275128,11.944312,-31.623019,-1.619831,-1.802509,-52.502556,-2.364916,-1.591245,-47.552298,-2.521597,1.923958,-27.269202,-2.488465,1.997205,-25.575076,-2.46632,7.376311,-26.767248,-4.271978,3.49812,-76.07274,-14.066397,-0.786795,-53.491426,-1.263489,-1.483363,-98.318559,-0.425607,-3.392749,-31.464195,-7.225987,-8.455775,-70.641667,-6.99971,10.545526,-33.414775,-12.864855,-4.720162,-89.130668,-15.692231,-3.105856,-48.843941,-3.745077,-5.081725,-88.814666,-1.697479,-3.850163,-35.194068,-1.018406,-4.4913,-68.42948,-1.135271,15.315445,-5.567044,-24.893162,15.315436,-5.56704,-24.893146,13.182263,-46.379786,-1.330447,7.914551,-93.588924,2.02053,0.973875,-34.974214,-7.911735,-5.403618,-77.862477,-8.221154,-5.332887,-24.439411,1.324596,-3.945276,-62.453873,2.715132,5
