R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-0.502984,-1.684836,0.157447,0.176404,0.104974,-0.047212,-59.507709,65.199577,13.517847,5.63835,149.837375,-139.331807,-34.41176,-32.170154,63.925904,-47.462322,-23.254606,58.02413,-2.308577,-17.675102,35.040547,10.609854,-9.237124,28.733983,1.419088,-37.442386,-10.118301,4.01996,-23.15572,-10.433218,-2.423506,-27.031844,9.402337,-6.216704,-4.615162,9.614607,1.231208,-18.593845,3.717448,8.66829,-31.254421,0.210436,-1.431797,-44.002513,-2.622436,-1.366762,-42.592068,-2.659733,2.237887,-19.884111,-2.37631,2.234969,-19.954724,-2.377578,6.268469,-49.785626,-7.87441,7.697174,-45.318414,-8.138206,-1.477689,-97.570162,-0.443374,-0.447318,-38.917111,-1.390807,-8.283797,-69.232766,-7.067947,-1.464811,-15.326577,-6.321648,3.947339,-56.703786,-14.97012,7.922411,-43.163906,-14.146231,-5.305681,-98.139507,-1.059011,-2.092492,-34.106041,-4.086412,-4.547775,-71.298033,-1.127573,-3.6208,-21.273181,-0.864059,15.315438,-5.567041,-24.893163,15.315441,-5.567042,-24.893159,8.903932,-50.629453,2.530362,4.237636,-28.087941,8.276681,-7.102226,-90.247047,-7.429477,1.170782,-33.548706,-7.820175,-3.658024,-68.385301,2.837315,-5.460306,-18.195339,1.021624,2
-0.182118,-0.995497,0.45842,0.205824,0.232098,-0.199911,-59.165986,65.833686,13.436675,5.686034,149.884786,-139.349491,-34.382431,-32.184118,63.933656,-47.332529,-23.379333,58.115902,-2.284222,-17.661215,35.049413,10.659589,-9.203661,28.793157,1.443486,-37.305586,-10.12436,4.027237,-23.116166,-10.433181,-2.402767,-27.157261,9.396975,-6.211952,-4.643419,9.615266,1.20172,-17.962657,3.70802,8.671757,-31.37769,0.194027,-1.437414,-44.12526,-2.619127,-1.363474,-42.521708,-2.661545,2.232037,-20.025043,-2.378825,2.236857,-19.90884,-2.376751,6.298054,-49.542311,-7.84512,7.707807,-45.298241,-8.142573,-1.477064,-97.487303,-0.445357,-0.446904,-38.899113,-1.390905,-8.282334,-69.220971,-7.068504,-1.462629,-15.306934,-6.320225,3.948553,-56.677235,-14.960984,7.938918,-43.138105,-14.150802,-5.303389,-98.015937,-1.067684,-2.095998,-34.155168,-4.085707,-4.546912,-71.253365,-1.127698,-3.621023,-21.287788,-0.864256,15.315447,-5.56704,-24.893167,15.31545,-5.567046,-24.893159,8.911344,-50.742604,2.504473,4.235527,-28.080226,8.278146,-7.07829,-90.062313,-7.443937,1.157994,-33.641767,-7.826298,-3.662934,-68.285979,2.835512,-5.459466,-18.242489,1.023959,2
-0.224151,-1.155178,0.45824,0.219269,0.215296,-0.174783,-58.687851,66.371438,13.287077,5.710042,149.917291,-139.359944,-34.359281,-32.195242,63.939838,-47.191626,-23.51371,58.214559,-2.255937,-17.643644,35.055078,10.710918,-9.168821,28.857362,1.465905,-37.180149,-10.129885,4.03409,-23.078813,-10.43314,-2.383995,-27.270763,9.392096,-6.206168,-4.677691,9.616074,1.180547,-17.313371,3.695846,8.676834,-31.511811,0.175425,-1.4436,-44.260677,-2.615438,-1.360343,-42.454142,-2.663301,2.225182,-20.190028,-2.381753,2.238914,-19.859241,-2.375868,6.329188,-49.309153,-7.819975,7.720115,-45.277692,-8.148356,-1.476594,-97.427436,-0.446765,-0.446569,-38.885893,-1.390977,-8.282787,-69.224624,-7.068339,-1.460889,-15.291257,-6.319093,3.946955,-56.662458,-14.953018,7.956883,-43.108728,-14.15534,-5.30135,-97.906788,-1.075354,-2.100286,-34.215422,-4.084853,-4.54614,-71.214338,-1.127827,-3.621292,-21.305626,-0.864489,15.315444,-5.56705,-24.893161,15.315448,-5.567038,-24.893157,8.918579,-50.895178,2.472745,4.231443,-28.073851,8.280581,-7.056766,-89.896465,-7.456866,1.145302,-33.734033,-7.832355,-3.668012,-68.183161,2.833647,-5.45864,-18.288886,1.026262,2
-0.239736,-1.227247,0.440068,0.226127,0.206728,-0.161407,-58.149938,66.8637,13.115849,5.721329,149.942103,-139.366593,-34.340948,-32.204104,63.944768,-47.041232,-23.655745,58.318601,-2.225083,-17.623971,35.058499,10.763495,-9.13263,28.925759,1.487042,-37.061782,-10.135045,4.040635,-23.043188,-10.433098,-2.367356,-27.371496,9.387731,-6.199424,-4.717713,9.617034,1.166105,-16.666408,3.682195,8.683298,-31.655225,0.154915,-1.450314,-44.407769,-2.611433,-1.357278,-42.388272,-2.664988,2.217485,-20.375295,-2.385013,2.24112,-19.806166,-2.374913,6.361831,-49.082158,-7.797873,7.734046,-45.256742,-8.155457,-1.476253,-97.383043,-0.447813,-0.446343,-38.876336,-1.391029,-8.284568,-69.239109,-7.067659,-1.459505,-15.278714,-6.318197,3.943412,-56.65606,-14.945889,7.976239,-43.075964,-14.159835,-5.2995,-97.807513,-1.082315,-2.105327,-34.285942,-4.083838,-4.545458,-71.179658,-1.127939,-3.621625,-21.32721,-0.864767,15.315445,-5.567046,-24.893155,15.315446,-5.567038,-24.893164,8.927248,-51.119411,2.428334,4.225582,-28.068636,8.283887,-7.036816,-89.742939,-7.468782,1.132663,-33.825972,-7.838386,-3.673247,-68.077079,2.831697,-5.457825,-18.334769,1.028546,2
-0.316199,-0.603939,-0.153382,0.073653,0.177937,-0.214622,-57.748665,67.086906,13.533796,5.755867,149.943132,-139.373893,-34.321844,-32.213225,63.949827,-46.970017,-23.722496,58.367405,-2.148247,-17.572061,35.056181,10.801875,-9.10773,28.958184,1.492736,-37.029949,-10.136419,4.048509,-23.000282,-10.433058,-2.349524,-27.479489,9.383013,-6.196681,-4.734029,9.617419,1.179687,-16.153363,3.665778,8.696609,-31.797917,0.130662,-1.457664,-44.569127,-2.607015,-1.353965,-42.316886,-2.666814,2.207967,-20.603631,-2.388993,2.243504,-19.748689,-2.373885,6.398152,-48.925548,-7.796732,7.744311,-45.265188,-8.166818,-1.476374,-97.400458,-0.447411,-0.446841,-38.897155,-1.390921,-8.290478,-69.287355,-7.065387,-1.459283,-15.276695,-6.318032,3.935432,-56.671807,-14.941977,7.973132,-43.095534,-14.163769,-5.298323,-97.745597,-1.086655,-2.112091,-34.3806,-4.082472,-4.545207,-71.166035,-1.127967,-3.622329,-21.37467,-0.865384,15.315439,-5.56703,-24.893154,15.315442,-5.567042,-24.893156,8.925129,-51.396677,2.389037,4.205664,-28.104576,8.292614,-7.016827,-89.589465,-7.480627,1.124054,-33.888485,-7.842448,-3.675165,-68.038015,2.830986,-5.456275,-18.42153,1.032839,2
-0.220211,-0.727992,-0.147341,0.072032,0.179878,-0.225672,-57.260703,67.416584,13.676589,5.7991,149.943882,-139.383025,-34.30467,-32.221421,63.95437,-46.905099,-23.783415,58.411899,-2.048629,-17.50367,35.050071,10.838754,-9.084298,28.987854,1.496969,-37.006183,-10.137461,4.056439,-22.957141,-10.433004,-2.325669,-27.623953,9.376661,-6.194192,-4.748812,9.617764,1.200114,-15.66061,3.648946,8.712533,-31.944168,0.104416,-1.465365,-44.738446,-2.602361,-1.350628,-42.245407,-2.668653,2.197818,-20.847087,-2.393222,2.245999,-19.688556,-2.372793,6.435638,-48.777113,-7.798591,7.755043,-45.27764,-8.179635,-1.476565,-97.425728,-0.446808,-0.447444,-38.921854,-1.39078,-8.296797,-69.338759,-7.062959,-1.459376,-15.277588,-6.318096,3.926591,-56.692352,-14.93888,7.96757,-43.119542,-14.167246,-5.297303,-97.691177,-1.090479,-2.119597,-34.486112,-4.080933,-4.545015,-71.157161,-1.128009,-3.623196,-21.43133,-0.866119,15.315448,-5.567051,-24.893157,15.315446,-5.567044,-24.89316,8.921271,-51.716386,2.345411,4.181009,-28.152479,8.303333,-6.997483,-89.441209,-7.492013,1.116042,-33.94669,-7.846233,-3.676759,-68.006061,2.830404,-5.454576,-18.516113,1.037521,2
-0.616311,-0.714793,-0.214399,0.366405,-0.079923,-0.257353,-56.734195,67.105464,14.40337,5.804233,149.770987,-139.418276,-34.306483,-32.220581,63.953907,-46.827447,-23.855387,58.464411,-1.935267,-17.423884,35.034563,10.883516,-9.055369,29.023185,1.494661,-37.019187,-10.136889,4.062935,-22.921819,-10.432921,-2.302835,-27.762454,9.370507,-6.195325,-4.74212,9.617605,1.300309,-15.261411,3.618022,8.724338,-32.025917,0.088086,-1.470932,-44.861159,-2.598956,-1.34784,-42.185795,-2.670187,2.187277,-21.099011,-2.397527,2.247795,-19.644808,-2.372005,6.469273,-48.691548,-7.811772,7.779399,-45.251865,-8.194814,-1.47685,-97.460744,-0.445982,-0.4475,-38.924215,-1.390761,-8.310153,-69.447722,-7.057808,-1.456986,-15.255996,-6.316546,3.913345,-56.713001,-14.930164,7.971861,-43.112977,-14.168478,-5.2965,-97.649281,-1.093422,-2.124995,-34.56191,-4.079822,-4.545571,-71.185151,-1.127917,-3.623744,-21.468488,-0.8666,15.315442,-5.567039,-24.893158,15.315435,-5.567044,-24.893155,8.898894,-52.012734,2.328788,4.137712,-28.1871,8.324445,-6.983105,-89.33105,-7.500457,1.114796,-33.955764,-7.846822,-3.675851,-68.02418,2.830732,-5.452931,-18.606619,1.041993,2
-0.410337,-0.848872,-0.202458,0.398161,-0.145445,-0.278867,-56.187915,67.126955,14.755952,5.800629,149.533359,-139.464197,-34.311958,-32.218113,63.95255,-46.75036,-23.926709,58.516383,-1.807654,-17.333941,35.015906,10.929217,-9.025863,29.05828,1.491294,-37.038031,-10.13609,4.069144,-22.888002,-10.432878,-2.278443,-27.910469,9.363876,-6.19719,-4.731048,9.617326,1.440838,-14.874848,3.580685,8.736646,-32.098439,0.072525,-1.476285,-44.979193,-2.595682,-1.345148,-42.128144,-2.671638,2.176542,-21.355408,-2.401869,2.249509,-19.60329,-2.371261,6.506148,-48.615766,-7.830513,7.807444,-45.219256,-8.211487,-1.477134,-97.498684,-0.445081,-0.447531,-38.925365,-1.390761,-8.328206,-69.595146,-7.050798,-1.454263,-15.23133,-6.314742,3.898886,-56.735443,-14.920581,7.976639,-43.103364,-14.169083,-5.295802,-97.612145,-1.096026,-2.130229,-34.63513,-4.078727,-4.546223,-71.218559,-1.127815,-3.624302,-21.505155,-0.867085,15.315444,-5.567046,-24.893156,15.315436,-5.567037,-24.893161,8.868451,-52.313797,2.322241,4.08609,-28.224594,8.349871,-6.96955,-89.227433,-7.508362,1.114693,-33.956465,-7.846862,-3.674563,-68.050136,2.831211,-5.451257,-18.699484,1.04658,2
-0.333754,0.201902,-0.068397,0.288015,-0.31753,-0.146445,-56.430029,66.718572,15.205384,5.683147,149.187996,-139.619181,-34.344157,-32.202527,63.943892,-46.716087,-23.95841,58.539456,-1.71796,-17.267973,34.991354,10.957404,-9.008475,29.074025,1.479083,-37.106441,-10.13311,4.075186,-22.855117,-10.432831,-2.258985,-28.028562,9.358515,-6.200144,-4.713523,9.616933,1.569136,-14.472526,3.547662,8.74473,-32.239595,0.051012,-1.476651,-44.987335,-2.595455,-1.342718,-42.075837,-2.672981,2.169859,-21.514707,-2.404546,2.250843,-19.571303,-2.370678,6.544531,-48.554403,-7.85417,7.812455,-45.265094,-8.22781,-1.477255,-97.51364,-0.444719,-0.447613,-38.928914,-1.390729,-8.342008,-69.707987,-7.045405,-1.4515,-15.206356,-6.312924,3.883496,-56.775811,-14.916958,7.967205,-43.127877,-14.169684,-5.294616,-97.550468,-1.100335,-2.131912,-34.658914,-4.078379,-4.546531,-71.233912,-1.127763,-3.624499,-21.5179,-0.867246,15.315436,-5.567035,-24.893156,15.315444,-5.56704,-24.893165,8.84006,-52.654313,2.30786,4.044247,-28.233821,8.371423,-6.949107,-89.071222,-7.52022,1.116862,-33.940776,-7.845852,-3.673594,-68.070262,2.831573,-5.450736,-18.727644,1.047982,2
-0.344927,-0.215944,-0.127172,0.294677,-0.2924,-0.1357,-56.362944,66.603159,15.468328,5.561037,148.86214,-139.76022,-34.38349,-32.18366,63.933406,-46.689864,-23.982581,58.557048,-1.634044,-17.205419,34.964706,10.981781,-8.993555,29.086097,1.465207,-37.18396,-10.129706,4.081037,-22.823156,-10.43277,-2.240756,-28.139279,9.353476,-6.203933,-4.691003,9.616411,1.707283,-14.071882,3.514823,8.751834,-32.393419,0.028437,-1.476218,-44.977569,-2.595726,-1.340369,-42.025571,-2.674246,2.163919,-21.656205,-2.406896,2.252028,-19.542676,-2.370159,6.585466,-48.498994,-7.881748,7.812248,-45.333436,-8.24533,-1.477358,-97.526504,-0.444436,-0.447697,-38.932441,-1.39071,-8.356059,-69.82305,-7.039881,-1.448555,-15.179655,-6.310989,3.865637,-56.827919,-14.914818,7.95368,-43.162727,-14.170415,-5.293369,-97.485151,-1.104906,-2.132785,-34.670975,-4.0782,-4.546841,-71.249673,-1.127713,-3.624589,-21.524538,-0.867341,15.315444,-5.567052,-24.893156,15.315446,-5.567041,-24.893165,8.808454,-52.999873,2.297661,4.001831,-28.237111,8.393519,-6.927426,-88.905981,-7.532711,1.119817,-33.919401,-7.844455,-3.672487,-68.092602,2.831979,-5.450456,-18.743037,1.048745,2
