R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-0.038958,-0.039542,-0.031201,0.102485,-0.060655,0.115237,-55.715010,66.865275,20.571296,75.818066,-34.051591,33.839882,-36.618824,-31.050667,63.282836,-41.448125,-28.134234,61.449784,-4.227291,-18.759420,34.408427,20.911348,-2.386787,32.131040,0.357635,-43.484890,-9.792465,3.606286,-25.407783,-10.426852,-2.786656,-24.847018,9.488347,-7.473445,2.951785,9.350238,8.271059,-20.966871,1.514975,8.153543,-21.991948,1.448486,-1.367403,-42.606142,-2.659360,-0.442373,-24.030936,-2.993195,2.229496,-20.086124,-2.379906,2.682472,-8.610563,-2.129893,5.983608,-60.541883,-10.844911,7.177558,-35.496344,-5.628494,-1.464048,-95.881831,-0.483206,-0.349033,-34.898468,-1.410371,-8.288645,-69.272355,-7.066104,-1.334787,-14.144499,-6.234692,-0.301470,-72.450399,-15.429080,4.097899,-41.869759,-10.792975,-5.143651,-91.006675,-1.550796,-2.402148,-38.481275,-4.012478,-4.527352,-70.258008,-1.130678,-3.612174,-20.697040,-0.856515,15.315444,-5.567048,-24.893163,15.315437,-5.567041,-24.893152,8.034184,-74.205195,0.797778,-0.898256,-42.470826,12.381997,-5.944024,-81.667632,-8.017362,0.972162,-34.986454,-7.912510,-3.714722,-67.234398,2.815938,-5.396700,-21.512931,1.184333,3
-0.037611,-0.043978,-0.033573,0.077601,-0.067871,0.113869,-55.633688,66.865500,20.596472,75.708944,-33.478004,34.506518,-36.595205,-31.063168,63.290224,-41.451954,-28.131819,61.448194,-4.245773,-18.774934,34.421130,20.910593,-2.387942,32.129171,0.377770,-43.368133,-9.799827,3.617645,-25.345939,-10.427226,-2.794982,-24.797132,9.490135,-7.488667,3.045082,9.345940,8.276712,-21.159383,1.493012,8.171816,-22.020855,1.439213,-1.366278,-42.581883,-2.659999,-0.441930,-24.022331,-2.993269,2.231737,-20.032439,-2.378950,2.681862,-8.626845,-2.130316,5.968033,-60.610640,-10.847894,7.214252,-35.485201,-5.649798,-1.464235,-95.903951,-0.482694,-0.348214,-34.865097,-1.410498,-8.293782,-69.314312,-7.064119,-1.329115,-14.092519,-6.230787,-0.328839,-72.539138,-15.420451,4.145784,-41.745492,-10.804115,-5.143964,-91.018043,-1.550048,-2.387682,-38.275157,-4.016507,-4.527649,-70.272883,-1.130634,-3.610149,-20.561528,-0.854720,15.315434,-5.567044,-24.893162,15.315442,-5.567046,-24.893161,8.031527,-74.336271,0.788358,-0.977666,-42.109008,12.393781,-5.950369,-81.712988,-8.014726,1.006998,-34.735456,-7.896739,-3.714783,-67.233588,2.815947,-5.399752,-21.363788,1.177098,3
-0.030409,-0.038435,-0.031987,0.055133,-0.066369,0.101199,-55.556525,66.868184,20.618428,75.603638,-32.924247,35.139675,-36.573875,-31.074798,63.297110,-41.451082,-28.132111,61.448381,-4.263335,-18.789723,34.432716,20.907940,-2.389445,32.129201,0.397864,-43.251808,-9.807113,3.630104,-25.278074,-10.427650,-2.805155,-24.736189,9.492332,-7.508015,3.163669,9.340440,8.283214,-21.389703,1.466779,8.196105,-22.055634,1.427226,-1.364900,-42.552039,-2.660770,-0.441558,-24.015446,-2.993343,2.234487,-19.965763,-2.377756,2.681168,-8.645151,-2.130780,5.950092,-60.688296,-10.850687,7.257503,-35.475140,-5.675448,-1.464403,-95.923871,-0.482224,-0.347264,-34.826694,-1.410657,-8.299166,-69.358123,-7.062050,-1.322346,-14.030371,-6.226134,-0.358062,-72.634251,-15.411283,4.201575,-41.607098,-10.818166,-5.144253,-91.028875,-1.549305,-2.370334,-38.027821,-4.021252,-4.527935,-70.287833,-1.130608,-3.607602,-20.390265,-0.852442,15.315451,-5.567053,-24.893162,15.315445,-5.567043,-24.893153,8.029583,-74.470748,0.776137,-1.056486,-41.738853,12.403256,-5.957165,-81.761496,-8.011878,1.046462,-34.450558,-7.878670,-3.714958,-67.229846,2.815869,-5.403446,-21.182563,1.168300,3
-0.090291,-0.073666,-0.020341,-0.138766,-0.021380,0.221358,-55.460986,66.855906,20.600728,75.612605,-33.315834,34.788455,-36.547596,-31.088605,63.305256,-41.475930,-28.115355,61.437300,-4.272365,-18.799027,34.445022,20.915153,-2.388523,32.118973,0.408964,-43.187720,-9.811096,3.648069,-25.180197,-10.428238,-2.812666,-24.691259,9.493939,-7.537537,3.344881,9.331963,8.274716,-21.519599,1.456029,8.243523,-22.058201,1.410527,-1.364684,-42.547544,-2.660892,-0.439668,-23.979205,-2.993693,2.235859,-19.932985,-2.377170,2.681842,-8.627191,-2.130321,5.941847,-60.709314,-10.846192,7.290994,-35.468354,-5.695484,-1.464894,-95.982477,-0.480849,-0.345570,-34.757761,-1.410920,-8.303723,-69.395354,-7.060288,-1.312409,-13.939304,-6.219324,-0.368004,-72.661886,-15.404874,4.229857,-41.500727,-10.817493,-5.145364,-91.069594,-1.546563,-2.353833,-37.793137,-4.025683,-4.527964,-70.289662,-1.130607,-3.605157,-20.225190,-0.850245,15.315451,-5.567041,-24.893161,15.315445,-5.567043,-24.893153,8.023489,-74.527216,0.789199,-1.131984,-41.507699,12.430359,-5.967332,-81.834183,-8.007612,1.088312,-34.147751,-7.859251,-3.715916,-67.210443,2.815493,-5.407535,-20.980506,1.158473,3
-0.095905,-0.067315,-0.019628,-0.201582,-0.064901,0.244958,-55.371368,66.846979,20.584448,75.614074,-33.562980,34.569096,-36.521705,-31.102383,63.313387,-41.503618,-28.096498,61.424821,-4.279316,-18.806964,34.456869,20.923302,-2.387214,32.107511,0.418745,-43.131101,-9.814623,3.667767,-25.072983,-10.428836,-2.820531,-24.644161,9.495628,-7.571629,3.554223,9.322076,8.263002,-21.642118,1.447183,8.301545,-22.058785,1.390346,-1.364561,-42.544909,-2.660952,-0.437462,-23.936999,-2.994095,2.237186,-19.901233,-2.376622,2.682648,-8.605255,-2.129753,5.934252,-60.723081,-10.839865,7.325764,-35.462330,-5.716450,-1.465446,-96.048865,-0.479294,-0.343602,-34.677631,-1.411231,-8.308234,-69.432186,-7.058544,-1.301063,-13.835147,-6.211496,-0.375422,-72.680595,-15.398745,4.256215,-41.396047,-10.815624,-5.146630,-91.117009,-1.543365,-2.336592,-37.548125,-4.030244,-4.527965,-70.289249,-1.130606,-3.602527,-20.047130,-0.847867,15.315452,-5.567049,-24.893163,15.315428,-5.567039,-24.893153,8.017022,-74.572612,0.805223,-1.208831,-41.292449,12.460397,-5.978495,-81.914000,-8.002923,1.131402,-33.835068,-7.838964,-3.717108,-67.186147,2.815031,-5.411901,-20.762250,1.147853,3
-0.149908,0.077070,0.050350,-0.576515,-0.109942,0.584222,-55.385215,66.738818,20.711934,75.536569,-33.842336,34.299305,-36.516378,-31.105352,63.315150,-41.547830,-28.066042,61.404649,-4.277579,-18.806337,34.458758,20.902013,-2.408029,32.084484,0.418403,-43.133014,-9.814508,3.698435,-24.906031,-10.429668,-2.817250,-24.663733,9.494935,-7.596246,3.705629,9.314806,8.252189,-21.667621,1.448189,8.371791,-22.052351,1.366675,-1.363085,-42.513223,-2.661776,-0.432325,-23.838819,-2.995043,2.238300,-19.874150,-2.376123,2.684072,-8.567053,-2.128779,5.929718,-60.738711,-10.838997,7.372890,-35.487874,-5.751124,-1.465801,-96.090009,-0.478332,-0.341682,-34.599562,-1.411533,-8.313031,-69.471328,-7.056697,-1.292893,-13.759970,-6.205824,-0.376033,-72.677411,-15.394947,4.263574,-41.388346,-10.819654,-5.147328,-91.143583,-1.541568,-2.319748,-37.308819,-4.034619,-4.528137,-70.297933,-1.130567,-3.600278,-19.895750,-0.845854,15.315441,-5.567043,-24.893158,15.315433,-5.567039,-24.893152,8.015168,-74.568870,0.812134,-1.272190,-41.223976,12.501248,-5.983278,-81.948183,-8.000922,1.188459,-33.419923,-7.811678,-3.717261,-67.182808,2.814960,-5.417752,-20.467358,1.133452,3
-0.154860,0.067694,0.062765,-0.750507,-0.174372,0.739686,-55.392540,66.649684,20.817862,75.454128,-34.098871,34.052032,-36.515251,-31.105957,63.315505,-41.598520,-28.031409,61.381695,-4.273448,-18.803726,34.458604,20.872816,-2.435404,32.057517,0.416340,-43.145042,-9.813749,3.732473,-24.720740,-10.430504,-2.812494,-24.692350,9.493904,-7.619677,3.849784,9.307853,8.240256,-21.675650,1.451408,8.450551,-22.043810,1.340293,-1.361310,-42.474929,-2.662750,-0.426072,-23.719559,-2.996181,2.239351,-19.848835,-2.375675,2.685842,-8.519456,-2.127557,5.926257,-60.751113,-10.838496,7.423428,-35.522959,-5.789823,-1.466125,-96.128221,-0.477426,-0.339656,-34.517814,-1.411865,-8.317846,-69.510566,-7.054837,-1.285010,-13.687376,-6.200332,-0.374496,-72.667187,-15.391814,4.267066,-41.395868,-10.823937,-5.147985,-91.168211,-1.539902,-2.303039,-37.071846,-4.038874,-4.528320,-70.307435,-1.130552,-3.598105,-19.747897,-0.843881,15.315448,-5.567037,-24.893154,15.315441,-5.567040,-24.893159,8.014174,-74.554475,0.817575,-1.338776,-41.177273,12.547833,-5.987097,-81.975584,-7.999298,1.246975,-32.992452,-7.783117,-3.717316,-67.181691,2.814948,-5.423872,-20.154759,1.118169,3
-0.162754,0.061973,0.073803,-0.846406,-0.208380,0.823585,-55.395467,66.571346,20.911725,75.366037,-34.335457,33.824516,-36.517363,-31.104780,63.314807,-41.654575,-27.992683,61.355991,-4.267285,-18.799238,34.456783,20.835197,-2.468878,32.026908,0.412991,-43.164319,-9.812555,3.769108,-24.521268,-10.431299,-2.806677,-24.727048,9.492658,-7.642069,3.987627,9.301147,8.227312,-21.671068,1.456271,8.536909,-22.033495,1.311501,-1.359233,-42.430242,-2.663908,-0.418855,-23.581277,-2.997471,2.240335,-19.824982,-2.375251,2.687947,-8.462810,-2.126098,5.923687,-60.760828,-10.838350,7.477011,-35.567705,-5.832358,-1.466419,-96.163997,-0.476597,-0.337578,-34.433023,-1.412177,-8.322672,-69.550078,-7.052963,-1.277355,-13.616997,-6.195022,-0.371300,-72.651634,-15.389236,4.267651,-41.414232,-10.828300,-5.148616,-91.191149,-1.538349,-2.286422,-36.836606,-4.043047,-4.528517,-70.317730,-1.130530,-3.595986,-19.602746,-0.841926,15.315438,-5.567039,-24.893157,15.315432,-5.567043,-24.893154,8.013898,-74.532330,0.821568,-1.409487,-41.145535,12.599850,-5.990199,-81.997578,-7.998003,1.306224,-32.558051,-7.753685,-3.717277,-67.182600,2.814954,-5.430130,-19.830168,1.102265,3
-0.081187,0.125335,0.111771,-0.399077,-0.133709,0.163969,-55.430527,66.559146,20.854341,75.443312,-34.060861,34.191137,-36.523850,-31.101473,63.312861,-41.649177,-27.996556,61.358565,-4.246770,-18.784274,34.450831,20.833297,-2.469574,32.029167,0.405186,-43.209583,-9.809742,3.775689,-24.485456,-10.431427,-2.793413,-24.806500,9.489803,-7.658957,4.091792,9.296024,8.233062,-21.684227,1.452951,8.636127,-22.205512,1.257935,-1.359759,-42.441767,-2.663607,-0.409551,-23.403641,-2.999116,2.239961,-19.833949,-2.375411,2.690518,-8.393390,-2.124308,5.918729,-60.799741,-10.845949,7.498901,-35.764363,-5.883710,-1.466913,-96.222754,-0.475213,-0.335603,-34.353330,-1.412487,-8.329084,-69.602465,-7.050467,-1.270425,-13.553047,-6.190165,-0.373500,-72.661757,-15.390599,4.236862,-41.525539,-10.828189,-5.149262,-91.215463,-1.536717,-2.273469,-36.653188,-4.046251,-4.529041,-70.344514,-1.130445,-3.593992,-19.466970,-0.840089,15.315445,-5.567035,-24.893160,15.315444,-5.567046,-24.893161,8.015133,-74.514458,0.819770,-1.431607,-41.289599,12.640170,-5.995888,-82.038398,-7.995595,1.338555,-32.320338,-7.737394,-3.716128,-67.205889,2.815395,-5.433834,-19.636102,1.092744,3
-0.098391,0.125121,0.118083,-0.359808,-0.128466,0.145404,-55.459709,66.547369,20.805200,75.515586,-33.771188,34.573233,-36.532640,-31.096709,63.310049,-41.637688,-28.004497,61.363841,-4.220239,-18.764934,34.443066,20.833432,-2.467691,32.034361,0.396282,-43.261002,-9.806534,3.779829,-24.462957,-10.431503,-2.775997,-24.910853,9.486037,-7.674539,4.187740,9.291297,8.241260,-21.692820,1.449276,8.741552,-22.441714,1.194193,-1.360517,-42.457919,-2.663199,-0.399343,-23.209245,-3.000896,2.239397,-19.847709,-2.375664,2.693395,-8.316000,-2.122308,5.913752,-60.842794,-10.855174,7.513400,-36.021037,-5.942182,-1.467404,-96.284398,-0.473755,-0.333636,-34.273501,-1.412786,-8.335816,-69.657451,-7.047829,-1.263768,-13.491629,-6.185517,-0.375466,-72.672428,-15.392965,4.191078,-41.703841,-10.830580,-5.149891,-91.239050,-1.535126,-2.261003,-36.476898,-4.049295,-4.529657,-70.375356,-1.130345,-3.592055,-19.334486,-0.838299,15.315436,-5.567039,-24.893159,15.315442,-5.567042,-24.893158,8.016990,-74.493321,0.816300,-1.458241,-41.420276,12.682372,-6.001607,-82.079287,-7.993169,1.369135,-32.094887,-7.721805,-3.714633,-67.236169,2.815967,-5.437295,-19.452589,1.083713,3
