R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
0.021534,-0.300452,0.146146,-0.466814,0.040016,0.160794,-35.981703,108.665466,-26.058722,66.218425,-60.985765,-20.200930,-43.587149,-26.587663,60.404755,-24.975391,-35.871155,65.692630,-0.993014,-15.984727,31.044618,6.245929,-11.932336,38.167504,1.342744,-37.870759,-10.098884,3.074465,-28.306663,-10.394683,-0.346057,-40.087352,8.607603,-0.514458,-38.980422,8.693053,11.904832,-52.298481,-6.411344,7.996434,-45.079801,-0.964138,-2.919809,-107.959705,0.237856,-2.928657,-104.459826,0.052187,-0.106829,-73.848172,-2.227005,0.060777,-69.626875,-2.318063,4.636329,-65.965820,-10.777918,6.003201,-49.027265,-7.415666,-1.473640,-97.052623,-0.455636,-1.468765,-96.449105,-0.469873,-8.471577,-70.771821,-6.993191,-7.854763,-65.775808,-7.217126,-0.448448,-71.002302,-14.144175,4.793858,-48.433985,-13.059037,-5.236864,-94.775466,-1.293453,-5.250596,-95.396663,-1.250467,-4.580395,-72.964254,-1.121785,-4.471025,-67.404219,-1.137330,15.315442,-5.567037,-24.893162,15.315443,-5.567040,-24.893157,7.297988,-69.941584,3.303406,6.378637,-42.874549,5.983956,-6.733316,-87.438277,-7.640994,-6.042741,-82.374262,-7.975587,-3.500621,-71.537086,2.889934,-3.553659,-70.481671,2.873285,4
0.132798,0.018128,-0.091288,-0.722438,-0.141542,0.214628,-35.930111,108.697991,-26.294588,66.111530,-60.345320,-19.638816,-43.644465,-26.543993,60.374635,-24.970523,-35.872501,65.693097,-1.027429,-16.001057,31.023803,6.172342,-11.990447,38.171303,1.325658,-37.966782,-10.094457,3.091788,-28.212040,-10.396163,-0.307885,-40.339888,8.587639,-0.505622,-39.038190,8.688668,11.878020,-52.485475,-6.437066,7.998112,-45.281104,-0.990487,-2.919567,-108.017109,0.240889,-2.928649,-104.455933,0.051988,-0.107010,-73.852816,-2.226907,0.060266,-69.639248,-2.317809,4.638492,-65.989370,-10.792454,6.002417,-49.145921,-7.442493,-1.473860,-97.081594,-0.454950,-1.468337,-96.397408,-0.471092,-8.471957,-70.774892,-6.993040,-7.853430,-65.765229,-7.217545,-0.459525,-71.034077,-14.136274,4.778675,-48.532300,-13.073699,-5.236915,-94.777339,-1.293318,-5.249731,-95.356566,-1.253244,-4.581574,-73.024550,-1.121567,-4.471029,-67.404678,-1.137338,15.315443,-5.567044,-24.893157,15.315435,-5.567043,-24.893155,7.286098,-69.963687,3.334165,6.390237,-42.984671,5.966310,-6.740562,-87.492719,-7.637069,-6.041983,-82.368777,-7.975909,-3.497171,-71.605748,2.890985,-3.552595,-70.503039,2.873626,4
0.072017,-0.029026,-0.081066,-0.640480,-0.131201,0.153749,-35.853722,108.704031,-26.421745,66.045039,-59.887420,-19.262732,-43.691206,-26.507764,60.349619,-24.965379,-35.874272,65.693801,-1.067288,-16.021220,31.008125,6.087961,-12.057402,38.175495,1.307871,-38.066751,-10.089827,3.110675,-28.109041,-10.397722,-0.266155,-40.616507,8.565616,-0.497903,-39.088808,8.684836,11.847993,-52.686209,-6.463204,8.000475,-45.508906,-1.020905,-2.919373,-108.060325,0.243174,-2.928659,-104.447868,0.051550,-0.107156,-73.856721,-2.226817,0.059725,-69.652567,-2.317541,4.639727,-66.020032,-10.808364,5.999351,-49.294207,-7.474018,-1.474083,-97.108629,-0.454309,-1.467827,-96.336136,-0.472528,-8.472276,-70.777506,-6.992913,-7.851600,-65.750568,-7.218119,-0.472761,-71.076991,-14.129698,4.753805,-48.675029,-13.092274,-5.236934,-94.778470,-1.293242,-5.248797,-95.314049,-1.256193,-4.582802,-73.087972,-1.121328,-4.470889,-67.397448,-1.137342,15.315438,-5.567037,-24.893155,15.315441,-5.567041,-24.893160,7.274744,-69.992864,3.363460,6.403035,-43.112172,5.946389,-6.747694,-87.546191,-7.633206,-6.039820,-82.353258,-7.976847,-3.493742,-71.673857,2.892020,-3.551785,-70.519090,2.873885,4
0.093627,0.095315,0.002993,-0.523291,-0.156734,0.181412,-35.949685,108.714914,-26.586777,66.158946,-59.590379,-19.035193,-43.677186,-26.518792,60.357238,-24.961434,-35.875653,65.694345,-1.110266,-16.048062,31.018930,5.967199,-12.153099,38.180351,1.294628,-38.141101,-10.086341,3.147514,-27.907955,-10.400703,-0.232982,-40.837013,8.547885,-0.502050,-39.061648,8.686878,11.827447,-52.801943,-6.474509,7.998490,-45.725365,-1.046048,-2.919221,-108.093306,0.244926,-2.928702,-104.386692,0.048312,-0.107290,-73.860018,-2.226718,0.062069,-69.594792,-2.318692,4.643762,-66.026951,-10.819211,5.988758,-49.444837,-7.498400,-1.474394,-97.148322,-0.453376,-1.466301,-96.150404,-0.476907,-8.472542,-70.779762,-6.992802,-7.842592,-65.678819,-7.220941,-0.484661,-71.109632,-14.120278,4.732281,-48.833798,-13.118996,-5.236934,-94.778145,-1.293269,-5.246283,-95.198640,-1.264190,-4.583962,-73.147506,-1.121095,-4.469933,-67.349503,-1.137438,15.315441,-5.567040,-24.893167,15.315449,-5.567044,-24.893157,7.264338,-70.031985,3.390180,6.420936,-43.243546,5.921429,-6.748916,-87.555396,-7.632536,-6.031510,-82.293678,-7.980411,-3.490472,-71.738577,2.893000,-3.553767,-70.479499,2.873241,4
0.054513,0.044799,-0.004287,-0.512305,-0.146050,0.172661,-35.998475,108.714385,-26.690165,66.278874,-59.346412,-18.874534,-43.652675,-26.537578,60.370208,-24.957305,-35.876733,65.694705,-1.158999,-16.079524,31.035054,5.830240,-12.261234,38.185973,1.281754,-38.213512,-10.082940,3.190723,-27.672281,-10.404015,-0.198844,-41.064308,8.529486,-0.508000,-39.022713,8.689833,11.806264,-52.916521,-6.484693,7.995902,-45.941933,-1.070744,-2.919126,-108.118852,0.246267,-2.928775,-104.313255,0.044407,-0.107392,-73.862812,-2.226671,0.064558,-69.533186,-2.319937,4.647480,-66.034333,-10.829639,5.975891,-49.604670,-7.522657,-1.474732,-97.190405,-0.452381,-1.464211,-95.899980,-0.482792,-8.472780,-70.781718,-6.992692,-7.831264,-65.588681,-7.224462,-0.497386,-71.145598,-14.110800,4.708455,-49.012617,-13.149627,-5.236906,-94.777116,-1.293352,-5.242787,-95.041020,-1.275088,-4.585143,-73.207854,-1.120853,-4.468900,-67.296630,-1.137526,15.315440,-5.567047,-24.893169,15.315446,-5.567043,-24.893155,7.254375,-70.075265,3.415718,6.441632,-43.393571,5.892543,-6.749006,-87.556085,-7.632492,-6.020245,-82.212865,-7.985234,-3.487257,-71.802445,2.893968,-3.556111,-70.432674,2.872482,4
0.034937,0.019696,-0.007370,-0.517251,-0.138483,0.170921,-36.022547,108.706844,-26.764024,66.401336,-59.152360,-18.773397,-43.621367,-26.561612,60.386791,-24.953389,-35.877991,65.695183,-1.212783,-16.114273,31.054596,5.681637,-12.378888,38.192137,1.269093,-38.284767,-10.079594,3.238697,-27.410594,-10.407475,-0.163854,-41.297963,8.510456,-0.514950,-38.977245,8.693281,11.784230,-53.030995,-6.493756,7.992878,-46.155180,-1.094701,-2.919037,-108.138911,0.247334,-2.928845,-104.210785,0.038969,-0.107483,-73.865208,-2.226611,0.067884,-69.451165,-2.321576,4.650951,-66.041998,-10.839716,5.961467,-49.769243,-7.546492,-1.475082,-97.234555,-0.451337,-1.461630,-95.597617,-0.489884,-8.472990,-70.783409,-6.992618,-7.815491,-65.463069,-7.229336,-0.510709,-71.184086,-14.101257,4.683707,-49.204125,-13.183336,-5.236876,-94.775489,-1.293456,-5.238457,-94.846478,-1.288539,-4.586332,-73.268973,-1.120620,-4.467440,-67.222985,-1.137662,15.315436,-5.567045,-24.893156,15.315452,-5.567043,-24.893158,7.244835,-70.121845,3.440222,6.464281,-43.555336,5.860937,-6.748249,-87.550527,-7.632888,-6.004627,-82.100948,-7.991885,-3.484062,-71.865691,2.894914,-3.558594,-70.382820,2.871666,4
-0.114008,0.222646,0.150961,-0.315531,-0.230929,0.052323,-36.204429,108.671806,-26.901183,66.520953,-58.812630,-18.369056,-43.576647,-26.595881,60.410421,-24.964998,-35.874508,65.693910,-1.350987,-16.201369,31.089710,5.559836,-12.475136,38.191448,1.261647,-38.326686,-10.077612,3.314344,-26.998134,-10.412541,-0.140902,-41.451434,8.497856,-0.540544,-38.809850,8.705929,11.732172,-53.191390,-6.481601,8.008443,-46.199050,-1.114786,-2.918969,-108.154862,0.248171,-2.929019,-103.862766,0.020483,-0.107550,-73.867252,-2.226561,0.079606,-69.162213,-2.327312,4.648324,-66.077435,-10.850376,5.975394,-49.718866,-7.549210,-1.475312,-97.264035,-0.450634,-1.454593,-94.790176,-0.508744,-8.473159,-70.784877,-6.992540,-7.770965,-65.109016,-7.242880,-0.537368,-71.266051,-14.085061,4.727467,-49.080325,-13.189022,-5.236945,-94.779033,-1.293203,-5.225149,-94.261561,-1.328893,-4.587325,-73.319097,-1.120422,-4.462009,-66.948889,-1.138132,15.315443,-5.567057,-24.893166,15.315441,-5.567041,-24.893157,7.236684,-70.221253,3.460475,6.455472,-43.446521,5.876230,-6.747129,-87.542007,-7.633499,-5.934711,-81.601209,-8.021237,-3.482808,-71.890442,2.895288,-3.569000,-70.175220,2.868265,4
-0.208004,0.280312,0.205403,-0.286944,-0.220067,0.034650,-36.392569,108.625134,-27.044002,66.639298,-58.534410,-18.056244,-43.522584,-26.637396,60.439020,-24.978272,-35.870159,65.692241,-1.514596,-16.304661,31.131958,5.438295,-12.570442,38.190207,1.254838,-38.365012,-10.075783,3.396274,-26.551647,-10.417370,-0.118001,-41.604814,8.485225,-0.578412,-38.562934,8.724432,11.671189,-53.357081,-6.460109,8.027677,-46.223952,-1.135943,-2.918916,-108.167702,0.248862,-2.929093,-103.410706,-0.003530,-0.107635,-73.869058,-2.226532,0.095298,-68.776968,-2.334882,4.644791,-66.116186,-10.860787,5.990647,-49.655020,-7.550100,-1.475524,-97.292136,-0.449972,-1.446215,-93.865792,-0.530219,-8.473325,-70.786165,-6.992477,-7.714389,-64.660359,-7.259660,-0.566454,-71.355947,-14.067444,4.769579,-48.964608,-13.195379,-5.237042,-94.783183,-1.292923,-5.208648,-93.560118,-1.377108,-4.588270,-73.367936,-1.120234,-4.454786,-66.583983,-1.138716,15.315442,-5.567041,-24.893154,15.315447,-5.567042,-24.893157,7.229040,-70.331628,3.479509,6.446429,-43.337797,5.891715,-6.745555,-87.530141,-7.634368,-5.842818,-80.947175,-8.058702,-3.481835,-71.909715,2.895584,-3.583445,-69.886060,2.863451,4
0.154185,0.582227,0.434694,-0.192754,-0.118761,0.106777,-36.778234,108.993006,-27.549560,66.715984,-58.126017,-17.456202,-43.378037,-26.747129,60.514470,-24.979215,-35.870023,65.692227,-1.613130,-16.376415,31.205727,5.314058,-12.668643,38.194260,1.252774,-38.376560,-10.075234,3.472190,-26.138060,-10.421284,-0.089569,-41.795573,8.469419,-0.646737,-38.118500,8.757349,11.627070,-53.459633,-6.439012,8.032997,-46.176888,-1.134939,-2.918870,-108.178196,0.249415,-2.928768,-102.638909,-0.044520,-0.107692,-73.870580,-2.226487,0.124391,-68.065406,-2.348571,4.641886,-66.148976,-10.869800,6.002666,-49.517700,-7.530146,-1.476041,-97.355715,-0.448466,-1.434370,-92.619059,-0.558958,-8.473460,-70.787275,-6.992429,-7.607908,-63.818810,-7.289933,-0.598450,-71.476445,-14.060724,4.856720,-48.609395,-13.172863,-5.237349,-94.796932,-1.291968,-5.177021,-92.279887,-1.464549,-4.588365,-73.373121,-1.120224,-4.438705,-65.772675,-1.139867,15.315431,-5.567040,-24.893166,15.315451,-5.567043,-24.893158,7.229294,-70.535487,3.476608,6.386530,-43.053622,5.965311,-6.744146,-87.519570,-7.635127,-5.678796,-79.787582,-8.122547,-3.483543,-71.876000,2.895071,-3.617576,-69.200997,2.851763,4
0.088089,0.510858,0.453568,-0.166274,-0.118669,0.078579,-37.115628,109.325924,-28.008702,66.799643,-57.774010,-16.956670,-43.186117,-26.891778,60.613623,-24.978801,-35.869967,65.692165,-1.701258,-16.446501,31.298646,5.190673,-12.766237,38.199181,1.251685,-38.382801,-10.074943,3.547144,-25.729801,-10.424616,-0.060414,-41.991625,8.453085,-0.728607,-37.588159,8.795913,11.582849,-53.555779,-6.415584,8.036548,-46.120415,-1.131079,-2.918827,-108.186814,0.249875,-2.927781,-101.784826,-0.089883,-0.107746,-73.871895,-2.226461,0.157607,-67.258296,-2.363672,4.638623,-66.182416,-10.878375,6.023329,-49.294219,-7.498933,-1.476599,-97.427302,-0.446775,-1.421878,-91.369710,-0.587507,-8.473571,-70.788257,-6.992367,-7.489256,-62.885193,-7.321651,-0.632245,-71.607428,-14.055669,4.979042,-48.092600,-13.135072,-5.237727,-94.813531,-1.290832,-5.141595,-90.930389,-1.555957,-4.588313,-73.370752,-1.120223,-4.420057,-64.833650,-1.140916,15.315445,-5.567046,-24.893161,15.315450,-5.567044,-24.893157,7.231776,-70.767609,3.467698,6.301628,-42.648521,6.068221,-6.742549,-87.507650,-7.635980,-5.500807,-78.539658,-8.187518,-3.485586,-71.835489,2.894462,-3.658259,-68.380662,2.837234,4
