R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-0.145727,-0.049873,-0.111406,-0.098656,-0.016788,0.063918,42.817209,34.839271,10.528244,17.630897,63.070043,171.176920,-40.668628,-28.655013,61.791397,-24.610146,-35.985827,65.735382,-3.046508,-17.524187,32.542154,-0.280368,-17.140373,38.766708,3.078160,-28.286502,-10.394997,4.349054,-21.363273,-10.426616,-6.317839,-4.014124,9.599728,-4.621580,-14.006103,9.707502,-2.203709,-18.899142,4.678201,0.478521,-1.170370,3.390577,-0.881431,-32.579097,-2.876956,-1.541298,-46.425063,-2.554687,2.528767,-12.652490,-2.228265,2.218900,-20.341229,-2.384420,4.212187,-29.158147,-3.083776,10.714251,-17.076365,-3.715882,-0.528684,-42.293467,-1.369056,-1.100303,-68.999531,-1.039039,-2.229454,-21.991099,-6.760642,-4.414391,-39.395689,-7.463841,6.731285,-33.773501,-10.832866,7.298168,-44.745108,-14.156204,-2.936121,-46.274680,-3.823188,-4.866523,-82.332492,-2.115979,-3.751436,-29.473808,-0.961782,-4.132746,-50.299084,-1.117997,15.315445,-5.567045,-24.893152,15.315442,-5.567046,-24.893150,5.831586,-29.989988,7.289330,6.876017,-59.272363,4.513933,-1.430205,-51.426979,-8.600810,-2.734097,-59.996982,-8.680228,-5.282713,-26.540247,1.423181,-4.612705,-47.171381,2.270427,1
-0.143844,-0.051331,-0.116324,-0.081122,-0.022878,0.061030,42.864531,34.727373,10.452545,17.570353,63.094371,171.168649,-40.719196,-28.622068,61.769956,-24.614454,-35.984375,65.734821,-3.049807,-17.520968,32.521157,-0.243961,-17.110509,38.760776,3.077150,-28.291975,-10.394905,4.338105,-21.422990,-10.427016,-6.264819,-4.329312,9.607661,-4.605113,-14.102616,9.707090,-2.206911,-18.774015,4.667546,0.466054,-1.162666,3.389963,-0.886116,-32.672478,-2.875330,-1.543642,-46.477580,-2.553161,2.525259,-12.742447,-2.230323,2.220746,-20.296774,-2.383643,4.198404,-29.134179,-3.074641,10.728170,-17.078449,-3.719789,-0.528111,-42.269738,-1.369244,-1.097436,-68.840788,-1.041735,-2.230191,-21.997396,-6.761001,-4.387903,-39.192877,-7.459542,6.734827,-33.750932,-10.829990,7.264319,-44.912743,-14.182759,-2.936617,-46.282023,-3.822967,-4.864360,-82.273552,-2.119670,-3.751415,-29.472158,-0.961756,-4.130855,-50.201342,-1.117579,15.315441,-5.567040,-24.893155,15.315441,-5.567046,-24.893153,5.890968,-29.906801,7.261988,6.902033,-59.468107,4.463420,-1.442858,-51.510615,-8.602517,-2.714407,-59.867832,-8.680487,-5.282694,-26.541060,1.423196,-4.617509,-47.049396,2.266174,1
-0.316053,-0.142958,0.281516,-0.203009,-0.079956,0.128178,42.766344,34.691469,10.513548,17.453413,63.058615,171.116394,-40.717810,-28.622900,61.770495,-24.608745,-35.986236,65.735525,-3.059385,-17.527542,32.523171,-0.182668,-17.061829,38.756043,3.073694,-28.310906,-10.394626,4.333378,-21.448712,-10.427167,-6.221084,-4.589192,9.613983,-4.586339,-14.212679,9.706586,-2.203513,-18.622081,4.652668,0.486445,-1.193857,3.391356,-0.890137,-32.752344,-2.873924,-1.548148,-46.578706,-2.550234,2.522540,-12.812614,-2.231937,2.221036,-20.289923,-2.383519,4.189484,-29.151206,-3.071809,10.728912,-17.127186,-3.729576,-0.528363,-42.280357,-1.369161,-1.097313,-68.834113,-1.041874,-2.232079,-22.013203,-6.761944,-4.375744,-39.099821,-7.457524,6.726306,-33.786964,-10.832946,7.240465,-45.019292,-14.197676,-2.939109,-46.319407,-3.821890,-4.863068,-82.238650,-2.121846,-3.751780,-29.494297,-0.962003,-4.129327,-50.122895,-1.117272,15.315446,-5.567040,-24.893162,15.315437,-5.567043,-24.893147,5.923734,-29.931238,7.241426,6.913434,-59.546167,4.441429,-1.460856,-51.629548,-8.604943,-2.706205,-59.814007,-8.680577,-5.281945,-26.570557,1.424589,-4.620153,-46.982564,2.263837,1
-0.335329,-0.159508,0.284110,-0.222207,-0.092645,0.147073,42.683671,34.651545,10.564895,17.314068,63.018253,171.057132,-40.705909,-28.630560,61.775480,-24.599179,-35.989434,65.736749,-3.072687,-17.536974,32.529940,-0.110552,-17.005138,38.751776,3.069254,-28.335136,-10.394235,4.329828,-21.468117,-10.427295,-6.179821,-4.834152,9.619746,-4.567836,-14.321295,9.706054,-2.195865,-18.467874,4.636516,0.515808,-1.238403,3.393316,-0.893699,-32.823288,-2.872668,-1.553343,-46.695466,-2.546831,2.520042,-12.876454,-2.233397,2.221062,-20.289346,-2.383508,4.183989,-29.176633,-3.071463,10.726404,-17.194438,-3.742189,-0.528770,-42.297322,-1.369047,-1.097586,-68.849005,-1.041607,-2.234339,-22.032385,-6.763077,-4.366082,-39.025652,-7.455922,6.717045,-33.832248,-10.837470,7.218222,-45.115059,-14.210399,-2.942394,-46.368606,-3.820447,-4.862091,-82.212197,-2.123498,-3.752289,-29.524277,-0.962335,-4.127939,-50.051028,-1.116971,15.315451,-5.567041,-24.893162,15.315434,-5.567046,-24.893159,5.950196,-29.971728,7.223129,6.922755,-59.604662,4.423604,-1.479766,-51.754564,-8.607414,-2.700078,-59.773869,-8.680643,-5.280993,-26.609927,1.426406,-4.622321,-46.927532,2.261929,1
-0.376807,-0.123031,0.320239,-0.286884,-0.039802,0.037795,42.634213,34.684709,10.589058,17.195102,62.977166,170.898364,-40.691906,-28.639863,61.781541,-24.598906,-35.989574,65.736811,-3.098886,-17.555194,32.539442,-0.049633,-16.956308,38.745047,3.065516,-28.355541,-10.393903,4.331077,-21.461271,-10.427251,-6.138789,-5.077558,9.625308,-4.550910,-14.420528,9.705537,-2.178814,-18.353108,4.621543,0.538014,-1.256847,3.394467,-0.896965,-32.888425,-2.871523,-1.556828,-46.773885,-2.544557,2.517543,-12.940504,-2.234850,2.221374,-20.281735,-2.383370,4.191753,-29.151846,-3.072997,10.730279,-17.223583,-3.748921,-0.528851,-42.300400,-1.369019,-1.097069,-68.820670,-1.042098,-2.236760,-22.052831,-6.764295,-4.354185,-38.934537,-7.453910,6.722548,-33.835853,-10.841410,7.195245,-45.209108,-14.221929,-2.945169,-46.410249,-3.819247,-4.861736,-82.202689,-2.124104,-3.752803,-29.555616,-0.962663,-4.126772,-49.991610,-1.116716,15.315451,-5.567043,-24.893153,15.315435,-5.567041,-24.893158,5.984364,-29.988991,7.202241,6.927886,-59.685279,4.411779,-1.493785,-51.847201,-8.609249,-2.692039,-59.721232,-8.680715,-5.280062,-26.646889,1.428128,-4.624197,-46.879573,2.260251,1
-0.427216,-0.123042,0.349269,-0.316479,-0.045069,0.023615,42.595436,34.708096,10.607519,17.075155,62.938339,170.743641,-40.674396,-28.651294,61.788979,-24.599173,-35.989303,65.736675,-3.130578,-17.577349,32.551231,0.010759,-16.907660,38.738249,3.061618,-28.376739,-10.393564,4.333737,-21.446740,-10.427163,-6.099843,-5.308470,9.630413,-4.534845,-14.514764,9.705021,-2.153974,-18.249101,4.605596,0.561830,-1.272422,3.395606,-0.899946,-32.947852,-2.870469,-1.559975,-46.845127,-2.542477,2.515192,-13.000969,-2.236236,2.221636,-20.275120,-2.383256,4.203728,-29.116285,-3.075601,10.734564,-17.247438,-3.754721,-0.528906,-42.302907,-1.368990,-1.096549,-68.792517,-1.042567,-2.239389,-22.074961,-6.765593,-4.342969,-38.848522,-7.452004,6.731012,-33.834526,-10.845966,7.173146,-45.296579,-14.232004,-2.948062,-46.453704,-3.817975,-4.861625,-82.199753,-2.124273,-3.753400,-29.590670,-0.963037,-4.125749,-49.938512,-1.116498,15.315451,-5.567043,-24.893160,15.315441,-5.567050,-24.893166,6.017471,-30.007564,7.181842,6.931007,-59.761852,4.403481,-1.506581,-51.931789,-8.610883,-2.684529,-59.671948,-8.680785,-5.279073,-26.686985,1.429993,-4.625843,-46.838046,2.258795,1
-0.450431,-0.119262,0.362276,-0.321850,-0.046308,0.003726,42.562627,34.725528,10.622717,16.960452,62.903585,170.600613,-40.654001,-28.664682,61.797688,-24.600089,-35.988897,65.736500,-3.172127,-17.606049,32.565578,0.071266,-16.858917,38.731210,3.057581,-28.398814,-10.393210,4.337544,-21.426072,-10.427026,-6.061828,-5.533644,9.635265,-4.519292,-14.606052,9.704498,-2.121317,-18.152296,4.588366,0.587311,-1.285410,3.396735,-0.902735,-33.003522,-2.869488,-1.562892,-46.910590,-2.540561,2.512931,-13.059229,-2.237557,2.221879,-20.269286,-2.383154,4.219390,-29.069346,-3.078940,10.739299,-17.266555,-3.759709,-0.528953,-42.304953,-1.368979,-1.096029,-68.763901,-1.043049,-2.242228,-22.098837,-6.767007,-4.332096,-38.765092,-7.450136,6.742658,-33.828509,-10.851326,7.151390,-45.379782,-14.240952,-2.951080,-46.498906,-3.816664,-4.861716,-82.201996,-2.124130,-3.754052,-29.629450,-0.963460,-4.124794,-49.889835,-1.116295,15.315442,-5.567045,-24.893153,15.315441,-5.567049,-24.893171,6.050060,-30.027355,7.161591,6.932468,-59.836456,4.397997,-1.518542,-52.010761,-8.612410,-2.677273,-59.624366,-8.680845,-5.277997,-26.730110,1.431990,-4.627295,-46.800987,2.257494,1
-0.395916,0.007418,0.377575,-0.429458,0.023915,0.086211,42.501950,34.653611,10.566004,16.822357,62.785007,170.398326,-40.624533,-28.683687,61.810041,-24.597295,-35.990010,65.736958,-3.206452,-17.631023,32.582776,0.119286,-16.820742,38.727007,3.058551,-28.393581,-10.393293,4.336122,-21.433822,-10.427077,-6.046990,-5.621623,9.637099,-4.501643,-14.709578,9.703869,-2.095528,-18.201345,4.585996,0.597716,-1.303214,3.397431,-0.902607,-33.000917,-2.869530,-1.564636,-46.949596,-2.539404,2.512222,-13.077156,-2.237964,2.222526,-20.254246,-2.382908,4.241564,-29.059971,-3.089056,10.742542,-17.235009,-3.754301,-0.526772,-42.213629,-1.369640,-1.094177,-68.662240,-1.044786,-2.238316,-22.065894,-6.765052,-4.314402,-38.629363,-7.447073,6.765488,-33.823861,-10.863387,7.150103,-45.361018,-14.233654,-2.946611,-46.431771,-3.818630,-4.861297,-82.190439,-2.124875,-3.753546,-29.599878,-0.963124,-4.123546,-49.826292,-1.116024,15.315452,-5.567040,-24.893151,15.315446,-5.567044,-24.893153,6.094690,-30.049044,7.134259,6.924984,-59.827028,4.410900,-1.515186,-51.988610,-8.611981,-2.668302,-59.565556,-8.680894,-5.278104,-26.725870,1.431795,-4.630056,-46.730908,2.255046,1
-0.413877,0.015931,0.396901,-0.429379,0.021930,0.074298,42.439458,34.573987,10.504725,16.695568,62.683460,170.219316,-40.587963,-28.707791,61.825709,-24.594068,-35.990960,65.737294,-3.242966,-17.658316,32.603264,0.164293,-16.784970,38.723442,3.060388,-28.383494,-10.393453,4.334332,-21.443521,-10.427152,-6.034683,-5.694368,9.638615,-4.483842,-14.813919,9.703213,-2.070032,-18.261951,4.584682,0.605571,-1.320565,3.398024,-0.902048,-32.989696,-2.869729,-1.566020,-46.981014,-2.538487,2.511800,-13.087903,-2.238202,2.223203,-20.237539,-2.382588,4.269367,-29.052997,-3.102181,10.745503,-17.193851,-3.746926,-0.523769,-42.087878,-1.370524,-1.091980,-68.541761,-1.046824,-2.233039,-22.021401,-6.762437,-4.295510,-38.484469,-7.443765,6.793606,-33.816827,-10.877951,7.150301,-45.330149,-14.223631,-2.940273,-46.336823,-3.821391,-4.860880,-82.179218,-2.125560,-3.752909,-29.562208,-0.962727,-4.122299,-49.761993,-1.115749,15.315441,-5.567042,-24.893162,15.315435,-5.567045,-24.893152,6.142203,-30.075578,7.104835,6.914941,-59.807834,4.428479,-1.510000,-51.954342,-8.611318,-2.659116,-59.505250,-8.680947,-5.278381,-26.714403,1.431264,-4.632961,-46.656517,2.252428,1
-0.242434,0.018191,0.138353,-0.355242,0.031340,0.013814,42.468291,34.454651,10.251257,16.593741,62.595598,170.078058,-40.559405,-28.726381,61.837772,-24.584406,-35.994066,65.738465,-3.297276,-17.696262,32.622952,0.201582,-16.755980,38.723270,3.059754,-28.386970,-10.393414,4.326036,-21.488753,-10.427424,-6.032107,-5.709702,9.638932,-4.472029,-14.883297,9.702753,-2.018582,-18.354116,4.579225,0.622088,-1.356156,3.399243,-0.899767,-32.944302,-2.870529,-1.564438,-46.945643,-2.539529,2.512288,-13.075071,-2.237914,2.225178,-20.190021,-2.381755,4.311695,-29.093211,-3.127074,10.738621,-17.178438,-3.742133,-0.520583,-41.954954,-1.371455,-1.090205,-68.444443,-1.048487,-2.226239,-21.964008,-6.759033,-4.282768,-38.386611,-7.441486,6.825189,-33.864967,-10.906583,7.143914,-45.300339,-14.208380,-2.932185,-46.215524,-3.824889,-4.860350,-82.165059,-2.126435,-3.752116,-29.514562,-0.962218,-4.121339,-49.712068,-1.115548,15.315450,-5.567043,-24.893160,15.315440,-5.567051,-24.893165,6.204140,-30.143830,7.063498,6.908055,-59.785646,4.440896,-1.503977,-51.914512,-8.610561,-2.656830,-59.490262,-8.680962,-5.278813,-26.697373,1.430457,-4.635495,-46.591886,2.250149,1
