R_WristRoot_Relative_Loc_X,R_WristRoot_Relative_Loc_Y,R_WristRoot_Relative_Loc_Z,L_WristRoot_Relative_Loc_X,L_WristRoot_Relative_Loc_Y,L_WristRoot_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
1.037327,-1.318481,9.421299,1.729441,-3.447025,9.644632,1.441348,-9.550809,3.852706,0.346180,-1.975630,1.302731,-13.320099,71.279880,34.950233,68.490288,-178.787783,-88.409666,-46.519616,-24.138613,58.670400,-45.974119,-24.626768,59.022970,12.264363,-8.254593,29.182884,12.394475,-8.147174,29.431670,5.192340,-16.752622,-10.362359,3.956109,-23.503370,-10.433296,-7.447265,2.791558,9.357563,-1.777543,-30.974367,9.212419,4.487179,-30.864983,2.464525,6.043734,-64.230004,-0.598394,-0.822335,-31.406930,-2.896741,-2.871948,-92.348994,-0.587386,2.484151,-13.793404,-2.254041,0.569728,-57.591368,-2.507205,6.251667,-41.674413,-6.107444,1.832041,-76.010527,-8.628427,-0.325814,-33.956123,-1.413950,-1.341569,-84.444631,-0.740273,-1.129806,-12.245552,-6.089443,-7.741349,-64.874195,-7.251728,8.084329,-42.831223,-14.164403,-3.293858,-80.267815,-11.433615,-1.855779,-30.807886,-4.126379,-4.865135,-82.294907,-2.118329,-3.580450,-18.534722,-0.827396,-4.509111,-69.332065,-1.133158,15.315439,-5.567040,-24.893165,15.315451,-5.567053,-24.893151,9.101250,-25.264700,6.129595,5.975941,-74.063347,7.606944,0.893256,-35.552925,-7.947504,-5.806425,-80.689086,-8.073194,-5.529326,-13.843339,0.803106,-3.316704,-75.154846,2.939545,1
1.038356,-1.325363,9.424096,1.729689,-3.448436,9.645555,1.463748,-9.783177,3.977328,0.352486,-2.005187,1.310807,-13.292228,71.265483,34.859663,68.470197,-178.738074,-88.316775,-46.541468,-24.118950,58.656131,-45.940796,-24.655786,59.043831,12.302593,-8.234180,29.173879,12.419309,-8.130639,29.447210,5.170166,-16.874384,-10.364926,3.958512,-23.490270,-10.433287,-7.447470,2.792839,9.357507,-1.806420,-30.796378,9.221935,4.476359,-30.730073,2.473493,6.041760,-64.134453,-0.585976,-0.833550,-31.628823,-2.893091,-2.870673,-92.227055,-0.593733,2.479182,-13.919800,-2.256847,0.574550,-57.481068,-2.508430,6.233871,-41.687288,-6.095646,1.846959,-75.886504,-8.612467,-0.327073,-34.007525,-1.413770,-1.340114,-84.332827,-0.742650,-1.134594,-12.290438,-6.092956,-7.729840,-64.782859,-7.255133,8.057428,-42.867562,-14.155342,-3.250377,-80.053163,-11.448239,-1.857857,-30.836690,-4.126087,-4.862956,-82.235855,-2.122011,-3.580945,-18.568640,-0.827854,-4.507791,-69.264661,-1.133317,15.315447,-5.567041,-24.893153,15.315444,-5.567052,-24.893163,9.089521,-25.359325,6.120541,5.939107,-73.778912,7.646772,0.884084,-35.618662,-7.951527,-5.799130,-80.637493,-8.076077,-5.528416,-13.907153,0.806333,-3.316927,-75.150719,2.939501,1
1.044280,-1.336552,9.425632,1.732098,-3.449787,9.645375,8.684052,-16.403391,2.250996,3.531818,-1.980981,-0.263024,-13.114387,71.569404,34.791397,68.377949,-178.502936,-88.111944,-46.581593,-24.081875,58.629221,-45.918945,-24.675364,59.057893,12.411954,-8.174002,29.158259,12.422612,-8.127785,29.457236,5.154680,-16.959469,-10.366688,3.956070,-23.503643,-10.433283,-7.451787,2.819183,9.356296,-1.828112,-30.662818,9.229036,4.423821,-30.625722,2.503419,6.045486,-64.132782,-0.592539,-0.841006,-31.776151,-2.890630,-2.869905,-92.151675,-0.597665,2.475561,-14.011987,-2.258891,0.579613,-57.365847,-2.509719,6.192496,-41.618614,-6.049743,1.854893,-75.825424,-8.606532,-0.327034,-34.005490,-1.413766,-1.339299,-84.270054,-0.743985,-1.140692,-12.347662,-6.097429,-7.713148,-64.650624,-7.260023,8.045238,-42.803556,-14.125087,-3.219532,-79.899362,-11.457128,-1.859955,-30.865768,-4.125809,-4.861230,-82.189065,-2.124940,-3.581774,-18.626395,-0.828637,-4.506370,-69.192446,-1.133494,15.315446,-5.567047,-24.893159,15.315443,-5.567040,-24.893166,9.088615,-25.389876,6.116261,5.909557,-73.561582,7.681136,0.865863,-35.748980,-7.959449,-5.793226,-80.595616,-8.078416,-5.527451,-13.975880,0.809826,-3.316440,-75.159713,2.939600,1
1.050193,-1.347819,9.427229,1.734755,-3.451248,9.645147,7.781925,-14.827683,2.102216,3.496307,-1.921802,-0.299644,-12.934059,71.859368,34.716210,68.298708,-178.294492,-87.924398,-46.636449,-24.031960,58.592947,-45.894511,-24.696594,59.073141,12.538441,-8.105270,29.136522,12.425442,-8.124294,29.468142,5.140170,-17.039067,-10.368317,3.953063,-23.519928,-10.433276,-7.456974,2.850933,9.354854,-1.849172,-30.533202,9.235852,4.353613,-30.513845,2.542438,6.050481,-64.140829,-0.602282,-0.847978,-31.914621,-2.888316,-2.869167,-92.080521,-0.601375,2.472178,-14.097411,-2.260766,0.584823,-57.246745,-2.511020,6.140157,-41.547214,-5.994779,1.862575,-75.771119,-8.603355,-0.326814,-33.996725,-1.413801,-1.338534,-84.211961,-0.745226,-1.146998,-12.406559,-6.102019,-7.695409,-64.510112,-7.265183,8.030841,-42.735600,-14.091930,-3.189617,-79.751885,-11.466899,-1.862184,-30.896650,-4.125492,-4.859528,-82.143040,-2.127822,-3.582695,-18.689832,-0.829510,-4.504865,-69.116635,-1.133678,15.315448,-5.567044,-24.893158,15.315450,-5.567037,-24.893151,9.090174,-25.418195,6.111133,5.881078,-73.352113,7.713676,0.845167,-35.897030,-7.968411,-5.787015,-80.551650,-8.080861,-5.526468,-14.046817,0.813435,-3.315872,-75.171168,2.939749,1
1.065901,-1.364546,9.430231,1.736949,-3.452714,9.644230,22.185281,-23.622870,4.239317,3.098254,-2.070413,-1.295534,-12.658687,72.588156,34.718920,68.122893,-178.286116,-87.870762,-46.804971,-23.876104,58.479516,-45.896445,-24.695127,59.072086,12.642279,-8.056654,29.062730,12.429237,-8.122389,29.467417,5.126572,-17.113667,-10.369822,3.947655,-23.549363,-10.433274,-7.464600,2.897623,9.352708,-1.862297,-30.452334,9.240097,4.230132,-30.318563,2.610206,6.058858,-64.141279,-0.617443,-0.852567,-32.005858,-2.886788,-2.868244,-91.994374,-0.605860,2.468533,-14.189584,-2.262790,0.591750,-57.088698,-2.512730,6.070335,-41.353936,-5.903979,1.869792,-75.716374,-8.598444,-0.326010,-33.964489,-1.413927,-1.337439,-84.127138,-0.747032,-1.153652,-12.468765,-6.106861,-7.676080,-64.357167,-7.270753,8.056027,-42.457193,-14.021679,-3.163657,-79.615520,-11.468638,-1.861163,-30.882651,-4.125634,-4.857435,-82.086778,-2.131342,-3.583007,-18.711401,-0.829801,-4.503721,-69.058386,-1.133814,15.315446,-5.567044,-24.893156,15.315441,-5.567048,-24.893153,9.102831,-25.271017,6.127849,5.849670,-73.139587,7.753926,0.830021,-36.005167,-7.974905,-5.776198,-80.475083,-8.085100,-5.526428,-14.049104,0.813552,-3.314348,-75.200790,2.940101,1
1.081028,-1.380833,9.433195,1.739243,-3.454224,9.643237,21.572853,-23.227938,4.226546,3.271493,-2.154076,-1.417066,-12.408433,73.213810,34.709806,67.945399,-178.272149,-87.805560,-47.026292,-23.669924,58.328971,-45.902514,-24.689615,59.068130,12.746880,-8.011466,28.964728,12.432869,-8.120814,29.464878,5.113633,-17.184648,-10.371266,3.941273,-23.584153,-10.433258,-7.473413,2.951604,9.350256,-1.873893,-30.381147,9.243821,4.078562,-30.099660,2.691621,6.069373,-64.145389,-0.636811,-0.856802,-32.089453,-2.885364,-2.867337,-91.907402,-0.610390,2.464972,-14.280009,-2.264766,0.599133,-56.920977,-2.514555,5.992755,-41.086872,-5.794858,1.876834,-75.664890,-8.594667,-0.325118,-33.927951,-1.414049,-1.336300,-84.039350,-0.748888,-1.160444,-12.532341,-6.111818,-7.656053,-64.198798,-7.276475,8.105507,-42.057488,-13.931705,-3.138824,-79.483824,-11.469237,-1.859700,-30.862241,-4.125847,-4.855280,-82.028751,-2.134955,-3.583233,-18.726959,-0.830013,-4.502604,-69.002527,-1.133962,15.315438,-5.567044,-24.893157,15.315444,-5.567052,-24.893153,9.112183,-25.026583,6.161356,5.818007,-72.929988,7.794989,0.815229,-36.110748,-7.981224,-5.764018,-80.388922,-8.089845,-5.526542,-14.041599,0.813150,-3.312486,-75.237247,2.940543,1
1.094849,-1.395876,9.435967,1.741624,-3.455770,9.642173,18.216421,-19.827198,3.654617,3.138084,-2.037849,-1.402298,-12.197199,73.710654,34.691873,67.774240,-178.253485,-87.732107,-47.287775,-23.422011,58.147261,-45.911670,-24.681714,59.062455,12.850884,-7.969652,28.848042,12.436785,-8.119087,29.460832,5.101211,-17.252807,-10.372597,3.934012,-23.623744,-10.433230,-7.483266,3.012006,9.347446,-1.884298,-30.317222,9.247150,3.904164,-29.864410,2.783311,6.081905,-64.152381,-0.660081,-0.860760,-32.167961,-2.884028,-2.866386,-91.819676,-0.614947,2.461462,-14.369277,-2.266731,0.606785,-56.746251,-2.516395,5.908455,-40.760629,-5.671701,1.883764,-75.615957,-8.591821,-0.323924,-33.879911,-1.414221,-1.335114,-83.949077,-0.750802,-1.167368,-12.596986,-6.116839,-7.635545,-64.036932,-7.282242,8.172119,-41.566327,-13.826400,-3.114887,-79.355571,-11.468861,-1.857860,-30.836748,-4.126091,-4.853081,-81.969211,-2.138671,-3.583382,-18.737647,-0.830174,-4.501558,-68.948735,-1.134090,15.315447,-5.567038,-24.893158,15.315446,-5.567041,-24.893160,9.122703,-24.691478,6.208623,5.786024,-72.722394,7.836847,0.800784,-36.213738,-7.987373,-5.750686,-80.294772,-8.095038,-5.526742,-14.027012,0.812426,-3.310287,-75.279971,2.941060,1
1.107017,-1.410772,9.438524,1.744391,-3.458389,9.642834,16.502673,-20.203325,3.468035,3.753198,-3.551704,0.896515,-11.824965,74.556210,34.322786,67.688663,-178.324033,-87.841394,-47.761167,-22.963053,57.808899,-45.915953,-24.677937,59.059742,13.041843,-7.894767,28.636050,12.432402,-8.121507,29.458640,5.107566,-17.217955,-10.371933,3.921199,-23.693393,-10.433152,-7.507639,3.161369,9.340554,-1.889510,-30.285092,9.248807,3.759926,-29.696527,2.857547,6.089747,-64.215937,-0.680361,-0.858976,-32.132475,-2.884629,-2.865700,-91.755689,-0.618276,2.459890,-14.408542,-2.267576,0.610627,-56.658993,-2.517332,5.827101,-40.447114,-5.554977,1.882641,-75.630145,-8.595517,-0.320221,-33.730358,-1.414762,-1.334313,-83.887660,-0.752119,-1.166190,-12.585872,-6.115963,-7.626261,-63.963596,-7.284837,8.270145,-40.911238,-13.693866,-3.109851,-79.326587,-11.467259,-1.851967,-30.755153,-4.126919,-4.851184,-81.918418,-2.141839,-3.582749,-18.692946,-0.829554,-4.501283,-68.935149,-1.134124,15.315444,-5.567043,-24.893165,15.315442,-5.567044,-24.893160,9.101807,-23.964061,6.331833,5.776038,-72.658057,7.849910,0.794980,-36.255046,-7.989829,-5.744063,-80.247907,-8.097600,-5.527520,-13.972350,0.809661,-3.305728,-75.368731,2.942117,1
1.118006,-1.424250,9.440878,1.747271,-3.461098,9.643501,15.878993,-19.474858,3.400150,4.161480,-3.915168,0.963720,-11.535106,75.183829,34.069067,67.610802,-178.377528,-87.921288,-48.273190,-22.451033,57.428522,-45.922217,-24.672512,59.055845,13.247053,-7.816325,28.404801,12.426741,-8.125490,29.455807,5.114948,-17.177427,-10.371111,3.906672,-23.772620,-10.433076,-7.536039,3.335622,9.332412,-1.893754,-30.259115,9.250167,3.612274,-29.532113,2.932398,6.097679,-64.301964,-0.703060,-0.856989,-32.093240,-2.885298,-2.865040,-91.694206,-0.621473,2.458537,-14.442754,-2.268325,0.614184,-56.578120,-2.518168,5.742497,-40.118827,-5.435183,1.880991,-75.650205,-8.600534,-0.315515,-33.539690,-1.415417,-1.333513,-83.828520,-0.753368,-1.164312,-12.568397,-6.114610,-7.617938,-63.897894,-7.287153,8.371656,-40.218355,-13.553332,-3.106312,-79.305497,-11.465527,-1.844361,-30.649652,-4.127963,-4.849321,-81.868211,-2.144969,-3.581980,-18.640311,-0.828836,-4.501112,-68.927132,-1.134138,15.315443,-5.567044,-24.893155,15.315440,-5.567052,-24.893166,9.077237,-23.129750,6.473287,5.767199,-72.601085,7.861409,0.790312,-36.288363,-7.991805,-5.737881,-80.204268,-8.099982,-5.528542,-13.899207,0.805932,-3.300415,-75.472580,2.943339,1
1.123020,-1.438272,9.449763,1.750511,-3.463416,9.645983,6.858178,-19.178565,12.153368,4.430949,-3.169185,3.394595,-11.216263,75.170984,34.335464,67.642639,-178.550508,-88.062430,-48.700399,-22.010227,57.098714,-45.938224,-24.658254,59.045598,13.345411,-7.793092,28.208359,12.437058,-8.120541,29.448933,5.118151,-17.159857,-10.370766,3.894769,-23.837317,-10.433009,-7.578805,3.598299,9.319961,-1.896094,-30.244595,9.250914,3.419935,-29.387880,3.028159,6.101478,-64.380367,-0.717611,-0.853431,-32.022567,-2.886501,-2.864270,-91.623284,-0.625162,2.458571,-14.441953,-2.268306,0.616811,-56.518713,-2.518790,5.660759,-39.844257,-5.328270,1.879137,-75.680418,-8.610095,-0.308964,-33.274701,-1.416312,-1.333028,-83.790727,-0.754170,-1.158724,-12.516317,-6.110565,-7.612413,-63.854254,-7.288678,8.473507,-39.534697,-13.416984,-3.109608,-79.326695,-11.468278,-1.832492,-30.484858,-4.129555,-4.848013,-81.833342,-2.147128,-3.580435,-18.534513,-0.827391,-4.501352,-68.938447,-1.134110,15.315443,-5.567042,-24.893161,15.315441,-5.567041,-24.893154,9.044966,-22.206891,6.631824,5.768166,-72.602992,7.858997,0.793338,-36.266804,-7.990530,-5.732170,-80.163967,-8.102192,-5.529963,-13.797521,0.800770,-3.295536,-75.567428,2.944462,1
