R_WristRoot_Relative_Loc_X,R_WristRoot_Relative_Loc_Y,R_WristRoot_Relative_Loc_Z,L_WristRoot_Relative_Loc_X,L_WristRoot_Relative_Loc_Y,L_WristRoot_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-5.101112,-2.297383,7.519152,-4.104505,-5.142248,8.47057,-1.645195,-2.800984,1.423205,2.097398,3.665308,-3.181862,-81.117729,-40.418379,110.464863,73.863672,-120.757329,-89.411878,-37.300946,-30.680189,63.061772,-43.222357,-26.864557,60.594989,-10.687874,-23.194224,35.393393,-10.335347,-21.861419,32.735737,3.229445,-27.461001,-10.406845,-0.781137,-50.248916,-9.29819,-8.201028,7.468112,9.113869,-4.909101,-12.319787,9.710193,5.066218,-17.387038,2.712246,11.838158,-40.340242,-3.321527,-1.257168,-40.25849,-2.717873,-0.621365,-27.475687,-2.954238,2.159327,-21.765412,-2.40871,2.495153,-13.513335,-2.2478,10.840047,-20.932671,-4.53103,3.98885,-74.374792,-14.159572,-0.60835,-45.658489,-1.342682,-1.459162,-95.31026,-0.496595,-2.392752,-23.361588,-6.839748,-8.474457,-70.795449,-6.992015,12.661268,-27.531663,-12.130643,-3.932465,-85.996405,-15.150527,-2.56466,-40.814415,-3.963469,-5.114294,-89.942609,-1.622299,-3.671688,-24.572687,-0.905622,-4.611184,-74.546471,-1.115422,15.315446,-5.567045,-24.893162,15.315445,-5.567043,-24.893166,7.884368,-38.517596,5.095682,7.843455,-91.473914,3.967944,1.83305,-28.615056,-7.466239,-5.306619,-77.189418,-8.253447,-5.496043,-16.071986,0.91568,-3.492754,-71.693051,2.8923,6
-5.102185,-2.298061,7.520324,-4.102801,-5.139093,8.467556,-1.555413,-0.983799,1.698857,2.470514,4.574642,-4.368982,-81.178193,-40.906687,111.074377,73.848262,-120.089849,-89.095201,-37.272188,-30.696147,63.071375,-43.222492,-26.864804,60.595163,-10.734708,-23.233813,35.41705,-10.337415,-21.86304,32.736186,3.222609,-27.498312,-10.406347,-0.780916,-50.247673,-9.298286,-8.200572,7.465167,9.114049,-4.909415,-12.318004,9.710176,5.093591,-17.401024,2.704614,11.818836,-40.283679,-3.294664,-1.258649,-40.289617,-2.717144,-0.624681,-27.54008,-2.953403,2.157934,-21.798648,-2.409252,2.493026,-13.567387,-2.249007,10.867419,-20.927375,-4.53875,4.067048,-74.062472,-14.138374,-0.607879,-45.63852,-1.342844,-1.456957,-95.056489,-0.502523,-2.391173,-23.348426,-6.839003,-8.474437,-70.795442,-6.99202,12.688015,-27.568926,-12.15283,-3.884153,-85.836753,-15.204207,-2.5606,-40.755535,-3.964782,-5.114732,-89.958149,-1.621266,-3.671213,-24.543633,-0.905274,-4.610924,-74.532709,-1.115468,15.31544,-5.56704,-24.893155,15.315444,-5.56704,-24.89317,7.928324,-38.672957,5.042865,7.838558,-91.406605,3.922365,1.849378,-28.490287,-7.456559,-5.301817,-77.156269,-8.255001,-5.496922,-16.017142,0.912907,-3.498973,-71.569756,2.890421,6
-5.103247,-2.298719,7.521502,-4.100972,-5.135721,8.464319,-1.457393,-0.903813,1.61778,2.510955,4.629125,-4.444189,-81.234926,-41.416293,111.696043,73.825814,-119.401983,-88.781989,-37.233065,-30.717671,63.084312,-43.222735,-26.864106,60.594682,-10.780309,-23.274245,35.444808,-10.344816,-21.867306,32.737588,3.213968,-27.545483,-10.40573,-0.781049,-50.24849,-9.298228,-8.199331,7.457271,9.114515,-4.909692,-12.316395,9.710196,5.123635,-17.414201,2.696303,11.796622,-40.225172,-3.265257,-1.260464,-40.32797,-2.716207,-0.627669,-27.597797,-2.952665,2.156147,-21.841347,-2.409967,2.49135,-13.610144,-2.249948,10.895528,-20.919923,-4.54625,4.144841,-73.751427,-14.117038,-0.607583,-45.625454,-1.342956,-1.454521,-94.782877,-0.508914,-2.389415,-23.333672,-6.838188,-8.474443,-70.795448,-6.992,12.714003,-27.60655,-12.174871,-3.836155,-85.679418,-15.257745,-2.556458,-40.695667,-3.966111,-5.115157,-89.973192,-1.620253,-3.670629,-24.506589,-0.904828,-4.610552,-74.513894,-1.115561,15.315445,-5.567042,-24.893157,15.31545,-5.567043,-24.893162,7.967483,-38.831612,4.993124,7.834701,-91.353025,3.87411,1.868487,-28.344016,-7.445161,-5.296363,-77.118411,-8.256763,-5.497924,-15.953021,0.909679,-3.506314,-71.424372,2.888192,6
-5.104292,-2.299356,7.522677,-4.099127,-5.132334,8.461053,-1.441303,-0.878512,1.619719,2.544274,4.671697,-4.505614,-81.287123,-41.936544,112.317982,73.799456,-118.80252,-88.523411,-37.184075,-30.744456,63.10039,-43.224005,-26.863307,60.594135,-10.824411,-23.315456,35.476477,-10.355577,-21.87409,32.739377,3.203679,-27.601699,-10.404984,-0.781486,-50.251056,-9.298012,-8.197368,7.444897,9.115243,-4.909941,-12.31491,9.710182,5.156019,-17.426595,2.687446,11.771838,-40.165123,-3.2337,-1.262902,-40.37941,-2.714984,-0.630345,-27.649771,-2.951976,2.153962,-21.89289,-2.410812,2.490024,-13.644119,-2.250727,10.924328,-20.910111,-4.55348,4.221733,-73.443628,-14.095635,-0.607398,-45.618062,-1.343012,-1.451996,-94.497504,-0.515563,-2.387487,-23.317591,-6.837271,-8.474434,-70.795449,-6.992009,12.739334,-27.644521,-12.196766,-3.788613,-85.524737,-15.310983,-2.552273,-40.635275,-3.96745,-5.115577,-89.987811,-1.619291,-3.669937,-24.462184,-0.904283,-4.610094,-74.490596,-1.115667,15.315445,-5.567046,-24.893154,15.315443,-5.56704,-24.893167,8.002842,-38.991999,4.945904,7.831622,-91.310076,3.823873,1.889823,-28.180594,-7.432391,-5.290289,-77.076484,-8.258749,-5.499063,-15.880801,0.906061,-3.514515,-71.261413,2.885672,6
-5.104683,-2.299943,7.522498,-4.098416,-5.130161,8.458244,-0.549293,-0.823313,-0.249983,0.997841,3.04912,-3.939527,-81.335222,-42.742772,112.93791,73.951139,-118.236887,-87.983577,-37.109291,-30.785653,63.125102,-43.23237,-26.856981,60.589803,-10.862667,-23.35797,35.517924,-10.383365,-21.891053,32.741905,3.192863,-27.660595,-10.40418,-0.785329,-50.274547,-9.296057,-8.201333,7.469964,9.113764,-4.906706,-12.333904,9.710208,5.180151,-17.471458,2.679138,11.765765,-40.094915,-3.214057,-1.269517,-40.518783,-2.711619,-0.632966,-27.700567,-2.951321,2.15062,-21.972538,-2.412122,2.489437,-13.658863,-2.251053,10.946513,-20.928477,-4.564479,4.239172,-73.377769,-14.093724,-0.608209,-45.652886,-1.342732,-1.451545,-94.447206,-0.516737,-2.388303,-23.324468,-6.837659,-8.474446,-70.795442,-6.992011,12.749339,-27.71733,-12.222778,-3.77456,-85.488056,-15.344317,-2.551677,-40.626878,-3.96765,-5.116434,-90.018598,-1.617221,-3.669719,-24.447765,-0.904099,-4.609725,-74.470941,-1.115744,15.315436,-5.567046,-24.893149,15.315459,-5.567047,-24.893168,8.025137,-39.211872,4.90191,7.831458,-91.308697,3.795308,1.90541,-28.060893,-7.422976,-5.285636,-77.044268,-8.260246,-5.499327,-15.863756,0.905213,-3.520283,-71.146529,2.883878,6
-5.105019,-2.300452,7.522333,-4.097736,-5.128107,8.455579,-0.461955,-0.698871,-0.226882,0.934558,2.822512,-3.662877,-81.379126,-43.511914,113.550793,74.059275,-117.784829,-87.571861,-37.02137,-30.833632,63.153807,-43.24236,-26.849779,60.584872,-10.898399,-23.40098,35.564366,-10.419518,-21.912814,32.745382,3.181092,-27.724749,-10.403306,-0.790328,-50.305192,-9.293515,-8.206315,7.501303,9.111921,-4.902819,-12.356734,9.71023,5.203975,-17.523958,2.670503,11.762089,-40.02201,-3.195678,-1.278098,-40.700483,-2.707219,-0.635417,-27.747959,-2.950693,2.14673,-22.064743,-2.413618,2.489115,-13.667012,-2.251226,10.967751,-20.951981,-4.576275,4.252758,-73.328452,-14.093681,-0.609228,-45.696456,-1.34236,-1.451231,-94.415388,-0.517476,-2.389532,-23.334705,-6.838229,-8.47444,-70.795442,-6.991995,12.755857,-27.798391,-12.249875,-3.764354,-85.464553,-15.374575,-2.551613,-40.625961,-3.967679,-5.117417,-90.052643,-1.614929,-3.669514,-24.435805,-0.903951,-4.609279,-74.448119,-1.115853,15.315445,-5.567043,-24.893164,15.315443,-5.567043,-24.89316,8.04408,-39.441041,4.859335,7.831883,-91.316486,3.769857,1.92076,-27.942992,-7.41368,-5.280984,-77.012119,-8.261751,-5.499521,-15.852649,0.904653,-3.525924,-71.0343,2.882128,6
-5.105445,-2.300281,7.522412,-4.098226,-5.127731,8.454682,-0.589862,0.236564,0.108898,-0.677723,0.519739,-1.240773,-81.451346,-44.110944,114.175547,74.179254,-116.791833,-86.382976,-36.951931,-30.871258,63.176263,-43.23048,-26.858286,60.590694,-10.886863,-23.405984,35.591344,-10.457284,-21.939151,32.758901,3.170282,-27.783753,-10.402463,-0.800009,-50.364281,-9.288608,-8.213353,7.54564,9.109311,-4.8984,-12.382637,9.710243,5.233028,-17.56014,2.661264,11.743853,-40.010074,-3.17952,-1.284814,-40.842467,-2.703751,-0.636926,-27.777463,-2.950314,2.143645,-22.138043,-2.414808,2.490164,-13.640388,-2.250633,10.973545,-20.986372,-4.585375,4.254583,-73.316323,-14.0896,-0.610488,-45.750256,-1.341888,-1.451047,-94.393177,-0.51798,-2.392355,-23.358193,-6.839564,-8.474451,-70.795438,-6.992006,12.749268,-27.884408,-12.273013,-3.758542,-85.451131,-15.391693,-2.552764,-40.642526,-3.967297,-5.118247,-90.08295,-1.612907,-3.669583,-24.439927,-0.904009,-4.608797,-74.423569,-1.115927,15.31545,-5.567042,-24.893158,15.315449,-5.567046,-24.893167,8.064081,-39.64441,4.818733,7.833199,-91.33719,3.755567,1.920998,-27.941111,-7.413542,-5.277377,-76.987166,-8.26292,-5.499042,-15.882115,0.906127,-3.531143,-70.930573,2.880478,6
-5.105826,-2.30011,7.522483,-4.098632,-5.127409,8.453913,-0.532997,0.239139,0.099415,-0.569756,0.451126,-1.07769,-81.516468,-44.711559,114.798404,74.274393,-115.921488,-85.368396,-36.882275,-30.908932,63.198716,-43.215008,-26.870045,60.59875,-10.866989,-23.404785,35.61633,-10.499701,-21.970065,32.775287,3.159368,-27.843267,-10.401631,-0.811928,-50.437153,-9.282531,-8.221537,7.597254,9.106261,-4.893324,-12.412321,9.710271,5.262987,-17.595491,2.651781,11.723709,-40.007908,-3.164002,-1.291673,-40.987802,-2.700176,-0.638175,-27.801759,-2.949985,2.140549,-22.211376,-2.416023,2.491454,-13.60769,-2.249922,10.975592,-21.027069,-4.594612,4.253814,-73.312878,-14.084972,-0.612025,-45.815862,-1.341314,-1.450908,-94.379243,-0.518312,-2.395934,-23.388159,-6.841251,-8.474452,-70.795447,-6.991998,12.738413,-27.97523,-12.295819,-3.754962,-85.44422,-15.404807,-2.554263,-40.664378,-3.966822,-5.119121,-90.113795,-1.610839,-3.66972,-24.448207,-0.904105,-4.60828,-74.39703,-1.116061,15.315451,-5.567046,-24.89316,15.315453,-5.56704,-24.893171,8.082339,-39.843812,4.77985,7.834855,-91.362794,3.744999,1.919147,-27.955361,-7.414673,-5.274046,-76.964113,-8.263991,-5.498473,-15.918183,0.907941,-3.536139,-70.83085,2.878891,6
-5.106178,-2.299943,7.522548,-4.098972,-5.127135,8.453258,-0.497776,0.236675,0.091806,-0.480931,0.38744,-0.926488,-81.575182,-45.306345,115.412506,74.350836,-115.151962,-84.493971,-36.812781,-30.946492,63.221065,-43.195109,-26.885461,60.609306,-10.840903,-23.399168,35.639744,-10.546317,-22.004797,32.79463,3.148397,-27.903183,-10.400781,-0.825908,-50.522839,-9.275373,-8.230796,7.655519,9.102828,-4.887692,-12.445497,9.710285,5.293862,-17.630076,2.642051,11.701866,-40.013203,-3.148784,-1.298599,-41.134919,-2.69656,-0.639231,-27.822016,-2.949722,2.13747,-22.284726,-2.417187,2.492942,-13.569804,-2.249076,10.974482,-21.073731,-4.604074,4.25117,-73.315298,-14.07965,-0.613827,-45.892461,-1.340664,-1.450847,-94.37122,-0.518487,-2.400286,-23.424405,-6.843293,-8.474452,-70.795443,-6.99201,12.724044,-28.070257,-12.318411,-3.75309,-85.442099,-15.414696,-2.556065,-40.690102,-3.966244,-5.119995,-90.145212,-1.608731,-3.669898,-24.459929,-0.904252,-4.607736,-74.368661,-1.116183,15.315446,-5.567042,-24.893165,15.315447,-5.567043,-24.89315,8.099231,-40.040861,4.742209,7.836715,-91.391914,3.737479,1.915858,-27.980716,-7.416671,-5.270937,-76.942589,-8.264985,-5.497741,-15.965111,0.910296,-3.54101,-70.733918,2.877334,6
-5.106503,-2.299788,7.522608,-4.09925,-5.126911,8.452724,-0.442423,0.210252,0.08199,-0.37748,0.304419,-0.72736,-81.617581,-45.747234,115.867535,74.401462,-114.619193,-83.889202,-36.743661,-30.983731,63.243181,-43.169899,-26.904116,60.622065,-10.810556,-23.39043,35.661972,-10.596906,-22.041821,32.816909,3.137373,-27.963246,-10.399888,-0.841687,-50.619395,-9.267287,-8.240912,7.719485,9.099027,-4.881506,-12.481665,9.7103,5.325498,-17.663931,2.632141,11.678581,-40.024045,-3.133686,-1.305527,-41.28212,-2.692924,-0.640099,-27.838983,-2.949506,2.134376,-22.357819,-2.418376,2.49489,-13.519993,-2.247951,10.970747,-21.125672,-4.613809,4.247138,-73.321752,-14.073604,-0.615826,-45.9783,-1.339922,-1.450827,-94.367449,-0.518591,-2.405324,-23.46641,-6.845638,-8.47444,-70.795443,-6.992013,12.7068,-28.16848,-12.340756,-3.752489,-85.443484,-15.421971,-2.558316,-40.722571,-3.965507,-5.120889,-90.1771,-1.606591,-3.670124,-24.474598,-0.90442,-4.607148,-74.338707,-1.116315,15.315436,-5.567037,-24.893157,15.31545,-5.567044,-24.893158,8.114957,-40.23579,4.705609,7.839087,-91.428473,3.731527,1.911642,-28.013146,-7.419221,-5.268027,-76.922424,-8.265913,-5.496779,-16.02607,0.913365,-3.545763,-70.639242,2.875812,6
