R_WristRoot_Relative_Loc_X,R_WristRoot_Relative_Loc_Y,R_WristRoot_Relative_Loc_Z,L_WristRoot_Relative_Loc_X,L_WristRoot_Relative_Loc_Y,L_WristRoot_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
0.634348,3.111950,8.861219,0.231189,0.473358,9.012511,2.052142,0.145306,0.650142,1.552755,1.341178,2.624649,-10.686190,-84.442290,114.279661,10.882477,-101.282496,-65.143185,-60.605046,-0.404930,39.361327,-59.843549,-2.824087,41.442831,17.253431,-7.286536,21.579071,8.265457,-10.892561,22.166848,6.145431,-11.477755,-10.205707,4.684460,-19.533449,-10.409264,-10.209079,20.856396,8.086765,-7.767739,4.763624,9.262351,-1.894247,-19.544066,4.649311,-2.255203,-19.119548,4.712928,0.451171,-7.159516,-3.026242,-0.139323,-18.279346,-3.034043,3.004945,0.624121,-1.866283,2.748253,-6.819890,-2.082901,4.862565,-27.806662,-3.262495,3.919205,-27.106060,-2.759982,0.454975,-1.956966,-1.308495,0.189952,-13.152467,-1.395096,0.387691,3.855581,-4.608071,-0.192848,-2.850413,-5.276104,11.010805,-22.371028,-10.137278,8.009550,-22.742086,-9.210464,0.162952,-2.645009,-3.908827,-0.385545,-10.497980,-4.069262,-3.391120,-3.307029,-0.591511,-3.439205,-7.699014,-0.664607,15.315447,-5.567040,-24.893160,15.315437,-5.567035,-24.893156,12.162298,-8.240455,8.459086,7.865460,-9.487937,8.959430,4.228842,-7.533273,-5.372151,3.940966,-10.505340,-5.718264,-5.630529,-2.346077,0.206940,-5.631207,-2.152277,0.196770,0
0.634684,3.110844,8.862120,0.231082,0.474249,9.013804,0.806367,-2.649337,2.158878,-0.256117,2.134694,3.098390,-10.658812,-84.486542,114.127592,10.813726,-101.562129,-65.302525,-60.660902,-0.214278,39.196718,-59.839065,-2.836976,41.453903,17.311452,-7.273378,21.536480,8.273307,-10.888962,22.169622,6.162114,-11.384643,-10.202163,4.686870,-19.520357,-10.409112,-10.209093,20.856395,8.086758,-7.767738,4.763536,9.262362,-1.973852,-19.453400,4.664088,-2.223559,-19.142569,4.706252,0.459702,-6.998030,-3.025283,-0.140328,-18.298394,-3.033962,3.007437,0.701346,-1.863871,2.747704,-6.834940,-2.083304,4.799684,-27.800514,-3.232377,3.935995,-27.068435,-2.764420,0.455764,-1.922095,-1.308153,0.189589,-13.167182,-1.395172,0.388430,3.864747,-4.607116,-0.193349,-2.855870,-5.276626,10.974144,-22.330638,-10.115666,8.032287,-22.666101,-9.204140,0.162111,-2.657237,-3.909137,-0.385326,-10.495217,-4.069234,-3.391208,-3.315277,-0.591655,-3.439179,-7.696119,-0.664550,15.315453,-5.567045,-24.893157,15.315435,-5.567042,-24.893161,12.151852,-8.029521,8.510099,7.843205,-9.446668,8.969864,4.226419,-7.559098,-5.375218,3.936522,-10.549867,-5.723331,-5.630458,-2.361770,0.207760,-5.631166,-2.165373,0.197446,0
0.635038,3.109638,8.863072,0.230977,0.475075,9.015002,0.156576,-0.533459,0.421228,-0.046711,0.365624,0.529899,-10.621393,-84.538927,114.029638,10.758418,-101.795367,-65.429744,-60.714612,-0.028745,39.036480,-59.833161,-2.854953,41.469298,17.362735,-7.262862,21.495104,8.284700,-10.884082,22.173440,6.178776,-11.291441,-10.198583,4.689526,-19.505868,-10.408925,-10.209070,20.856394,8.086768,-7.767356,4.761179,9.262490,-2.071143,-19.334979,4.681100,-2.186913,-19.176747,4.699190,0.468769,-6.826398,-3.024236,-0.141468,-18.319860,-3.033871,3.010522,0.796060,-1.860893,2.747058,-6.852818,-2.083784,4.733768,-27.791724,-3.200575,3.950705,-27.021263,-2.767077,0.456684,-1.881535,-1.307739,0.189325,-13.177875,-1.395217,0.389177,3.873989,-4.606155,-0.193401,-2.856506,-5.276690,10.930575,-22.286669,-10.091009,8.051920,-22.571852,-9.193314,0.161571,-2.665273,-3.909327,-0.384867,-10.488664,-4.069128,-3.391297,-3.323168,-0.591795,-3.439088,-7.688869,-0.664437,15.315441,-5.567036,-24.893155,15.315449,-5.567050,-24.893159,12.134362,-7.790266,8.568899,7.812563,-9.395315,8.983320,4.224483,-7.579736,-5.377678,3.931574,-10.599321,-5.728954,-5.630436,-2.373339,0.208378,-5.631116,-2.181404,0.198284,0
0.635534,3.108708,8.864253,0.230211,0.475973,9.016072,0.740430,-1.389587,1.764032,-1.144094,1.341223,1.599294,-10.485219,-84.636738,113.903113,10.643036,-101.890146,-65.551955,-60.770513,0.163487,38.870242,-59.794007,-2.970429,41.568321,17.400043,-7.258789,21.451677,8.375667,-10.844702,22.197773,6.223746,-11.039811,-10.188768,4.695312,-19.474181,-10.408523,-10.209065,20.856391,8.086771,-7.759086,4.710064,9.265100,-2.307708,-18.933934,4.710040,-2.134418,-19.281638,4.694100,0.490557,-6.413854,-3.021625,-0.143155,-18.351551,-3.033719,3.018086,1.029532,-1.853545,2.746541,-6.867017,-2.084169,4.615409,-27.726223,-3.138537,3.947382,-26.948693,-2.759385,0.458719,-1.792806,-1.306841,0.188305,-13.220244,-1.395462,0.392588,3.916335,-4.601722,-0.193286,-2.855187,-5.276561,10.860893,-22.158437,-10.038048,8.058448,-22.348389,-9.154061,0.160546,-2.680272,-3.909721,-0.385626,-10.499250,-4.069293,-3.391169,-3.311071,-0.591585,-3.438718,-7.657287,-0.663927,15.315437,-5.567045,-24.893152,15.315443,-5.567050,-24.893161,11.994038,-7.216712,8.724509,7.700555,-9.266336,9.022983,4.222185,-7.604190,-5.380572,3.919331,-10.721459,-5.742836,-5.630316,-2.401612,0.209868,-5.630992,-2.213653,0.199971,0
0.635535,3.108707,8.864255,0.230210,0.475974,9.016074,0.001322,-0.002440,0.003254,-0.001830,0.002135,0.002440,-10.485030,-84.636874,113.902932,10.642875,-101.890277,-65.552131,-60.770486,0.164046,38.869792,-59.794145,-2.970583,41.568426,17.399926,-7.258825,21.451615,8.375944,-10.844780,22.197822,6.223824,-11.039402,-10.188758,4.695337,-19.474139,-10.408519,-10.209071,20.856381,8.086769,-7.759073,4.709984,9.265089,-2.308092,-18.933233,4.710077,-2.134343,-19.281796,4.694101,0.490583,-6.413186,-3.021612,-0.143151,-18.351574,-3.033732,3.018107,1.029911,-1.853545,2.746550,-6.867063,-2.084160,4.615234,-27.726124,-3.138436,3.947391,-26.948600,-2.759382,0.458720,-1.792683,-1.306846,0.188307,-13.220298,-1.395461,0.392576,3.916388,-4.601708,-0.193290,-2.855187,-5.276558,10.860785,-22.158228,-10.037971,8.058477,-22.348007,-9.153995,0.160547,-2.680293,-3.909715,-0.385638,-10.499272,-4.069287,-3.391165,-3.311058,-0.591584,-3.438713,-7.657228,-0.663924,15.315439,-5.567036,-24.893155,15.315444,-5.567042,-24.893160,11.993823,-7.215750,8.724785,7.700383,-9.266130,9.023047,4.222176,-7.604223,-5.380594,3.919319,-10.721645,-5.742866,-5.630332,-2.401654,0.209867,-5.630983,-2.213705,0.199986,0
0.635857,3.108085,8.865023,0.229756,0.476496,9.016693,0.423362,-0.815814,1.008714,-0.595989,0.685225,0.813075,-10.414523,-84.693078,113.854638,10.594842,-101.943321,-65.605920,-60.795569,0.251414,38.794233,-59.767649,-3.048289,41.635045,17.414014,-7.258093,21.431869,8.439875,-10.816851,22.214070,6.250215,-10.891634,-10.182906,4.698506,-19.456786,-10.408303,-10.209072,20.856404,8.086768,-7.753631,4.676269,9.266803,-2.455148,-18.660484,4.724129,-2.106803,-19.350297,4.692587,0.503557,-6.167524,-3.019979,-0.144067,-18.368886,-3.033645,3.022784,1.175158,-1.848946,2.746306,-6.873849,-2.084359,4.550784,-27.688709,-3.104609,3.942748,-26.907706,-2.753807,0.459889,-1.741499,-1.306330,0.187734,-13.243055,-1.395583,0.394610,3.941512,-4.599087,-0.193056,-2.852685,-5.276307,10.825100,-22.067893,-10.005209,8.064324,-22.197925,-9.128205,0.160115,-2.686486,-3.909859,-0.386067,-10.505441,-4.069399,-3.391081,-3.302839,-0.591447,-3.438493,-7.637343,-0.663599,15.315445,-5.567036,-24.893151,15.315435,-5.567039,-24.893158,11.906555,-6.864440,8.819222,7.622181,-9.187434,9.048691,4.221240,-7.614069,-5.381747,3.912119,-10.793299,-5.750999,-5.630268,-2.415290,0.210577,-5.630930,-2.231711,0.200935,0
0.635668,3.106941,8.865462,0.229107,0.476562,9.017506,-0.263422,-1.596332,0.612087,-0.904720,0.091272,1.134356,-10.494852,-84.642337,113.724068,10.550888,-101.895501,-65.547295,-60.816631,0.326184,38.729606,-59.751370,-3.097069,41.676794,17.416420,-7.261250,21.414737,8.473916,-10.802394,22.224591,6.274896,-10.753370,-10.177362,4.705224,-19.420117,-10.407838,-10.209077,20.856383,8.086782,-7.753145,4.673239,9.266949,-2.543028,-18.549262,4.736935,-2.119504,-19.368591,4.697848,0.509331,-6.057828,-3.019224,-0.144544,-18.377798,-3.033596,3.026356,1.285982,-1.845453,2.746417,-6.870620,-2.084260,4.473168,-27.691881,-3.068704,3.934063,-26.829405,-2.743254,0.461207,-1.683572,-1.305742,0.187395,-13.257510,-1.395660,0.396006,3.958884,-4.597267,-0.192377,-2.845340,-5.275635,10.772083,-21.990998,-9.970184,8.062486,-22.061648,-9.102478,0.160314,-2.683511,-3.909795,-0.385803,-10.501841,-4.069327,-3.391122,-3.306968,-0.591519,-3.438335,-7.624319,-0.663390,15.315442,-5.567040,-24.893164,15.315449,-5.567048,-24.893161,11.851662,-6.687142,8.868120,7.561630,-9.137684,9.066690,4.217709,-7.651803,-5.386238,3.908440,-10.829837,-5.755131,-5.630238,-2.426075,0.211147,-5.630879,-2.245459,0.201649,0
0.635463,3.105764,8.865892,0.228448,0.476621,9.018321,-0.282904,-1.624231,0.592947,-0.909595,0.081469,1.124214,-10.550300,-84.611396,113.619672,10.513749,-101.870701,-65.508234,-60.835462,0.391521,38.673040,-59.734209,-3.147089,41.719663,17.416033,-7.265416,21.399699,8.507375,-10.787579,22.235376,6.299594,-10.614970,-10.171757,4.712863,-19.378337,-10.407295,-10.209080,20.856398,8.086764,-7.752981,4.672305,9.267002,-2.624021,-18.453204,4.749075,-2.137950,-19.382122,4.704326,0.514308,-5.963551,-3.018577,-0.144927,-18.385236,-3.033581,3.029816,1.393308,-1.842049,2.746606,-6.865219,-2.084114,4.394014,-27.699216,-3.032450,3.923160,-26.734782,-2.730375,0.462598,-1.623019,-1.305144,0.187062,-13.270648,-1.395730,0.397384,3.976134,-4.595448,-0.191529,-2.836228,-5.274758,10.716244,-21.910761,-9.933651,8.055025,-21.923039,-9.074552,0.160643,-2.678434,-3.909661,-0.385464,-10.496927,-4.069249,-3.391162,-3.311989,-0.591603,-3.438173,-7.610410,-0.663173,15.315438,-5.567039,-24.893150,15.315439,-5.567045,-24.893159,11.794612,-6.529662,8.912457,7.497972,-9.091115,9.084625,4.213812,-7.693297,-5.391158,3.905203,-10.862087,-5.758791,-5.630189,-2.435894,0.211659,-5.630838,-2.258916,0.202356,0
0.634929,3.105601,8.865870,0.227392,0.476500,9.018288,-0.721902,-0.220357,-0.029005,-1.427866,-0.163304,-0.044313,-10.560617,-84.508576,113.640186,10.451806,-101.802975,-65.394956,-60.854077,0.457637,38.615857,-59.711305,-3.214389,41.777294,17.412063,-7.270652,21.384335,8.553662,-10.767121,22.249781,6.323681,-10.479801,-10.166218,4.716724,-19.357270,-10.407023,-10.209083,20.856390,8.086772,-7.748253,4.643079,9.268489,-2.693481,-18.267345,4.748882,-2.141788,-19.365277,4.703859,0.519647,-5.862347,-3.017864,-0.144851,-18.383598,-3.033576,3.033055,1.494915,-1.838819,2.746977,-6.855317,-2.083845,4.331968,-27.727958,-3.006207,3.911428,-26.640747,-2.717236,0.463516,-1.582581,-1.304712,0.187201,-13.264941,-1.395690,0.398428,3.989151,-4.594104,-0.190327,-2.823012,-5.273519,10.663531,-21.877876,-9.909235,8.033347,-21.870183,-9.057769,0.161028,-2.673091,-3.909529,-0.384849,-10.488412,-4.069115,-3.391195,-3.314682,-0.591658,-3.438011,-7.595300,-0.662913,15.315461,-5.567049,-24.893169,15.315442,-5.567042,-24.893165,11.761410,-6.427590,8.940550,7.444679,-9.138990,9.086483,4.210087,-7.732749,-5.395838,3.901181,-10.902023,-5.763322,-5.630158,-2.448885,0.212352,-5.630806,-2.267746,0.202825,0
0.634458,3.105469,8.865836,0.226294,0.476368,9.018239,-0.641993,-0.179632,-0.047037,-1.493041,-0.179734,-0.067311,-10.566262,-84.410835,113.660563,10.391013,-101.748617,-65.293654,-60.871590,0.519777,38.562090,-59.687128,-3.284868,41.837647,17.406236,-7.276594,21.369906,8.602463,-10.746044,22.265208,6.347497,-10.346222,-10.160701,4.720075,-19.338927,-10.406789,-10.209075,20.856390,8.086770,-7.742574,4.607909,9.270270,-2.757336,-18.072907,4.745967,-2.145762,-19.342296,4.702879,0.524675,-5.766929,-3.017190,-0.144628,-18.379289,-3.033593,3.036200,1.592857,-1.835703,2.747412,-6.842881,-2.083517,4.273128,-27.766376,-2.982267,3.897626,-26.540847,-2.702732,0.464345,-1.545752,-1.304345,0.187442,-13.255170,-1.395654,0.399401,4.001084,-4.592846,-0.188872,-2.807331,-5.272023,10.610912,-21.853993,-9.886969,8.006159,-21.832140,-9.041921,0.161475,-2.666668,-3.909380,-0.384115,-10.478028,-4.068963,-3.391233,-3.317305,-0.591680,-3.437823,-7.579449,-0.662657,15.315445,-5.567043,-24.893154,15.315442,-5.567044,-24.893156,11.731895,-6.339595,8.964793,7.390744,-9.197552,9.086922,4.206251,-7.773478,-5.400661,3.897225,-10.941328,-5.767774,-5.630108,-2.462083,0.213043,-5.630788,-2.275342,0.203223,0
