R_WristRoot_Relative_Loc_X,R_WristRoot_Relative_Loc_Y,R_WristRoot_Relative_Loc_Z,L_WristRoot_Relative_Loc_X,L_WristRoot_Relative_Loc_Y,L_WristRoot_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-1.131843,0.547911,7.909867,-0.860568,-2.223552,8.717000,-0.364496,-0.395180,0.837496,3.200224,0.123149,0.334173,-84.263741,-31.234817,90.261063,34.639394,130.846348,-140.541249,-39.540088,-29.372504,62.252587,-44.209937,-26.102338,60.068254,-1.210511,-16.452898,32.783872,14.080076,-7.032706,30.278657,2.534704,-31.260757,-10.334244,5.729433,-13.791354,-10.285266,-1.749709,-31.146198,9.203120,-8.449133,9.039340,9.018215,7.931777,-13.597821,2.350228,8.385360,-37.640644,-0.372393,-1.176445,-38.570070,-2.757149,-0.380102,-22.842008,-3.004134,2.234879,-19.956191,-2.377600,2.675701,-8.792342,-2.134550,6.271585,-55.514103,-9.483134,5.198649,-44.860101,-5.796006,-1.407188,-89.975029,-0.619028,-0.005300,-21.073787,-1.424403,-7.952209,-66.554457,-7.185806,-0.073354,-1.540773,-5.151002,0.892739,-67.585170,-15.141126,4.169801,-41.309188,-10.730814,-4.995117,-86.030689,-1.880188,-1.080079,-20.128989,-4.161493,-4.495142,-68.624225,-1.134829,-3.457915,-9.283745,-0.690050,15.315436,-5.567045,-24.893153,15.315433,-5.567047,-24.893155,7.678298,-68.507916,2.411903,-2.724549,-20.019533,11.144076,-5.321508,-77.292662,-8.248548,2.532728,-23.104561,-7.005687,-3.619810,-69.155981,2.850978,-5.609501,-6.256003,0.411825,3
-1.131725,0.547979,7.909996,-0.858296,-2.223924,8.717499,0.172857,0.099629,0.188610,3.313721,-0.543016,0.727498,-84.435454,-30.107553,89.133584,34.554438,130.534966,-140.779355,-39.621373,-29.322423,62.220775,-44.203435,-26.107140,60.071600,-1.213894,-16.448177,32.750250,14.070539,-7.038005,30.281156,2.534337,-31.262677,-10.334180,5.708343,-13.908089,-10.288820,-1.750953,-31.138501,9.203549,-8.440040,8.981422,9.021848,7.962849,-13.563468,2.347781,8.350131,-37.712059,-0.356564,-1.176319,-38.567302,-2.757211,-0.376901,-22.781252,-3.004658,2.235623,-19.938542,-2.377291,2.676250,-8.777417,-2.134172,6.274916,-55.500414,-9.483076,5.164593,-44.895597,-5.771649,-1.406962,-89.953018,-0.619523,-0.004510,-21.041950,-1.424340,-7.947819,-66.519337,-7.187258,-0.073226,-1.539390,-5.150861,0.898408,-67.561496,-15.139492,4.147841,-41.338118,-10.719982,-4.995793,-86.051224,-1.878854,-1.075370,-20.064390,-4.161275,-4.494807,-68.607452,-1.134880,-3.457742,-9.269554,-0.689809,15.315445,-5.567045,-24.893165,15.315442,-5.567047,-24.893160,7.676449,-68.438829,2.421869,-2.715572,-20.128862,11.148113,-5.327301,-77.332720,-8.246652,2.540928,-23.037803,-6.999701,-3.620497,-69.142215,2.850729,-5.609632,-6.239717,0.410969,3
-1.131614,0.548045,7.910106,-0.855811,-2.224327,8.718044,0.155718,0.092405,0.154044,3.490057,-0.565525,0.766033,-84.575203,-29.054737,88.067665,34.469651,130.251541,-140.998654,-39.703322,-29.271319,62.188243,-44.197534,-26.111982,60.074973,-1.218202,-16.443819,32.716474,14.063013,-7.041869,30.283315,2.534608,-31.261303,-10.334231,5.686622,-14.028434,-10.292465,-1.752932,-31.126422,9.204217,-8.430838,8.922915,9.025523,7.994008,-13.535158,2.344765,8.315879,-37.784912,-0.341445,-1.176568,-38.572342,-2.757097,-0.373660,-22.719398,-3.005184,2.236138,-19.926273,-2.377077,2.676633,-8.767364,-2.133910,6.278147,-55.489462,-9.483739,5.129742,-44.922622,-5.745036,-1.406778,-89.935061,-0.619923,-0.003582,-21.004124,-1.424261,-7.943874,-66.487781,-7.188558,-0.072894,-1.535945,-5.150542,0.902268,-67.543637,-15.137437,4.122978,-41.363128,-10.706044,-4.996467,-86.072215,-1.877492,-1.069954,-19.989855,-4.161000,-4.494523,-68.592971,-1.134904,-3.457524,-9.251372,-0.689518,15.315443,-5.567040,-24.893161,15.315451,-5.567035,-24.893156,7.674989,-68.379502,2.430090,-2.710269,-20.239365,11.153471,-5.332888,-77.371515,-8.244821,2.550905,-22.956417,-6.992388,-3.621042,-69.131233,2.850545,-5.609754,-6.220925,0.409979,3
-1.131508,0.548109,7.910206,-0.853310,-2.224730,8.718593,0.147445,0.088694,0.138772,3.465898,-0.558186,0.760769,-84.692102,-28.055803,87.046555,34.390164,130.007073,-141.190016,-39.786137,-29.219692,62.155321,-44.192773,-26.115495,60.077424,-1.222902,-16.439717,32.682341,14.056647,-7.045491,30.285224,2.535352,-31.257236,-10.334324,5.664384,-14.151458,-10.296126,-1.755406,-31.111028,9.205043,-8.421554,8.863784,9.029229,8.025331,-13.511630,2.341262,8.282366,-37.859133,-0.326879,-1.177088,-38.583280,-2.756864,-0.370364,-22.656468,-3.005714,2.236468,-19.918392,-2.376924,2.676865,-8.761207,-2.133760,6.281286,-55.481050,-9.485094,5.094077,-44.943139,-5.716492,-1.406608,-89.920495,-0.620256,-0.002498,-20.960679,-1.424166,-7.940305,-66.459152,-7.189725,-0.072419,-1.530640,-5.150033,0.904574,-67.530839,-15.135016,4.095204,-41.384953,-10.689175,-4.997177,-86.093618,-1.876092,-1.063874,-19.906284,-4.160695,-4.494267,-68.580415,-1.134936,-3.457254,-9.229385,-0.689171,15.315447,-5.567040,-24.893160,15.315436,-5.567046,-24.893165,7.673860,-68.328313,2.436858,-2.709019,-20.351341,11.160339,-5.338362,-77.409429,-8.243013,2.562521,-22.861530,-6.983850,-3.621465,-69.122530,2.850402,-5.609905,-6.199786,0.408892,3
-1.131301,0.548177,7.910278,-0.851156,-2.225426,8.720961,0.283981,0.093738,0.099168,2.961310,-0.958077,3.256151,-84.706574,-29.287857,88.248295,34.182199,129.918815,-141.393293,-39.827188,-29.193598,62.138649,-44.205088,-26.105975,60.070787,-1.248699,-16.452664,32.668206,14.066256,-7.040592,30.280139,2.538344,-31.240712,-10.334747,5.648532,-14.239072,-10.298694,-1.754521,-31.116479,9.204750,-8.414566,8.819366,9.032012,8.044811,-13.449287,2.343936,8.251718,-37.899352,-0.310247,-1.178417,-38.610976,-2.756231,-0.370418,-22.657642,-3.005712,2.235712,-19.936523,-2.377239,2.676479,-8.771579,-2.134019,6.290439,-55.441848,-9.484382,5.044635,-44.994172,-5.680744,-1.406428,-89.902895,-0.620652,-0.002046,-20.942791,-1.424132,-7.935070,-66.417213,-7.191430,-0.072262,-1.528746,-5.149845,0.909153,-67.522266,-15.139499,4.053682,-41.422853,-10.664987,-4.997806,-86.113536,-1.874807,-1.060337,-19.857498,-4.160502,-4.493351,-68.532725,-1.135045,-3.457129,-9.219208,-0.689022,15.315449,-5.567046,-24.893160,15.315446,-5.567044,-24.893161,7.673395,-68.346773,2.436561,-2.741513,-20.399011,11.174482,-5.340826,-77.426502,-8.242182,2.571858,-22.785103,-6.976954,-3.623961,-69.072556,2.849513,-5.610110,-6.171158,0.407391,3
-1.131053,0.548261,7.910357,-0.848916,-2.226148,8.723428,0.354508,0.119765,0.113170,3.198442,-1.030232,3.521041,-84.720696,-30.180918,89.109475,34.006592,129.830517,-141.570420,-39.863708,-29.171234,62.124376,-44.220924,-26.093246,60.061912,-1.278173,-16.468811,32.656392,14.078097,-7.034724,30.273696,2.541942,-31.221127,-10.335219,5.633471,-14.322403,-10.301131,-1.753535,-31.122622,9.204418,-8.407903,8.776954,9.034666,8.062537,-13.382863,2.347388,8.221952,-37.935395,-0.293671,-1.179916,-38.642049,-2.755530,-0.370828,-22.665442,-3.005639,2.234771,-19.959087,-2.377649,2.675953,-8.785607,-2.134376,6.300851,-55.397345,-9.483631,4.992256,-45.046328,-5.642354,-1.406237,-89.886763,-0.621022,-0.001648,-20.926417,-1.424094,-7.929737,-66.374663,-7.193163,-0.072022,-1.526268,-5.149615,0.913292,-67.517228,-15.145035,4.007374,-41.461617,-10.637189,-4.998453,-86.133391,-1.873533,-1.056883,-19.810208,-4.160333,-4.492267,-68.478982,-1.135151,-3.457016,-9.208999,-0.688846,15.315437,-5.567043,-24.893156,15.315443,-5.567044,-24.893156,7.672915,-68.374314,2.435549,-2.784528,-20.441377,11.191913,-5.342826,-77.440433,-8.241520,2.581591,-22.705489,-6.969769,-3.626801,-69.015356,2.848529,-5.610339,-6.139557,0.405739,3
-1.130969,0.548523,7.910154,-0.846459,-2.227808,8.725968,0.113513,0.356798,-0.277227,3.350813,-2.263549,3.464123,-84.643721,-30.743956,89.655691,33.864168,129.669565,-141.688153,-39.868683,-29.168004,62.122304,-44.263053,-26.059956,60.038687,-1.306708,-16.486373,32.657581,14.084424,-7.034223,30.255282,2.542494,-31.218019,-10.335317,5.619364,-14.400376,-10.303379,-1.747903,-31.157417,9.202519,-8.399688,8.724754,9.037897,8.070466,-13.332130,2.351093,8.193176,-37.998344,-0.280824,-1.181695,-38.679066,-2.754691,-0.370593,-22.660813,-3.005670,2.233650,-19.986061,-2.378121,2.676143,-8.780597,-2.134257,6.307643,-55.374012,-9.484913,4.943745,-45.124955,-5.611790,-1.406035,-89.867932,-0.621438,-0.000351,-20.874866,-1.424004,-7.926360,-66.347649,-7.194266,-0.070501,-1.509190,-5.147950,0.914770,-67.519468,-15.149202,3.965951,-41.512871,-10.615620,-4.998679,-86.139951,-1.873098,-1.053255,-19.760116,-4.160125,-4.491493,-68.439953,-1.135244,-3.456759,-9.188396,-0.688526,15.315443,-5.567048,-24.893169,15.315441,-5.567052,-24.893148,7.673507,-68.407053,2.431572,-2.814902,-20.462761,11.203676,-5.343772,-77.446918,-8.241211,2.588413,-22.649650,-6.964716,-3.628857,-68.973766,2.847785,-5.610645,-6.094815,0.403402,3
-1.130860,0.548876,7.909873,-0.843937,-2.229511,8.728577,0.149302,0.479233,-0.381402,3.425938,-2.313920,3.545177,-84.579585,-31.186414,90.077622,33.737518,129.526395,-141.799765,-39.868044,-29.168362,62.122531,-44.316520,-26.017236,60.008855,-1.338927,-16.507328,32.661707,14.091069,-7.034233,30.231806,2.542814,-31.216289,-10.335355,5.605786,-14.475427,-10.305538,-1.740981,-31.200096,9.200221,-8.391315,8.671571,9.041227,8.075769,-13.282716,2.355153,8.165027,-38.064622,-0.268729,-1.183826,-38.723491,-2.753689,-0.370419,-22.657687,-3.005708,2.232245,-20.020009,-2.378726,2.676373,-8.774212,-2.134080,6.314226,-55.353124,-9.486694,4.894792,-45.210207,-5.581744,-1.405832,-89.849293,-0.621855,0.001118,-20.815383,-1.423869,-7.923336,-66.323461,-7.195242,-0.068582,-1.487899,-5.145899,0.915544,-67.524798,-15.153678,3.923378,-41.567446,-10.593761,-4.998806,-86.143904,-1.872838,-1.049621,-19.710212,-4.159929,-4.490737,-68.401291,-1.135332,-3.456493,-9.165305,-0.688155,15.315447,-5.567042,-24.893155,15.315437,-5.567039,-24.893164,7.674167,-68.443203,2.427097,-2.846724,-20.478831,11.215612,-5.344306,-77.450637,-8.241032,2.594823,-22.597143,-6.959953,-3.630928,-68.932254,2.847051,-5.610997,-6.045063,0.400811,3
-1.130528,0.549486,7.909486,-0.843704,-2.231803,8.731592,0.470726,0.866628,-0.549938,0.330809,-3.253305,4.280208,-84.486187,-32.035321,90.916088,33.738409,129.492247,-141.805793,-39.838134,-29.187007,62.134440,-44.389563,-25.958416,59.967735,-1.363221,-16.525323,32.677090,14.071181,-7.051776,30.198472,2.540143,-31.230806,-10.334991,5.599081,-14.512461,-10.306610,-1.726930,-31.286896,9.195454,-8.387207,8.645518,9.042845,8.084189,-13.286201,2.353252,8.142446,-38.102009,-0.257162,-1.184562,-38.738654,-2.753339,-0.368538,-22.621900,-3.006006,2.231585,-20.035831,-2.379011,2.676734,-8.764507,-2.133839,6.318359,-55.321349,-9.481914,4.861257,-45.238754,-5.556003,-1.405692,-89.836413,-0.622137,0.003287,-20.727794,-1.423691,-7.921152,-66.305890,-7.195955,-0.065614,-1.454990,-5.142705,0.920154,-67.513926,-15.156927,3.893028,-41.571988,-10.571089,-4.998693,-86.140515,-1.873057,-1.044707,-19.642624,-4.159655,-4.490354,-68.381697,-1.135366,-3.455998,-9.125361,-0.687533,15.315448,-5.567034,-24.893154,15.315441,-5.567049,-24.893153,7.674315,-68.467301,2.424842,-2.888441,-20.476683,11.229651,-5.344205,-77.449941,-8.241080,2.600684,-22.549075,-6.955604,-3.631689,-68.916906,2.846791,-5.611312,-5.999706,0.398446,3
-1.130104,0.550269,7.908982,-0.843482,-2.234052,8.734553,0.598247,1.104763,-0.711122,0.313798,-3.175852,4.180048,-84.392031,-32.846924,91.711511,33.724308,129.449854,-141.827438,-39.803271,-29.208811,62.148372,-44.474912,-25.890176,59.919961,-1.387497,-16.543932,32.694536,14.043668,-7.074713,30.159161,2.536424,-31.251284,-10.334483,5.593962,-14.540804,-10.307401,-1.709634,-31.393897,9.189607,-8.384017,8.625175,9.044096,8.091964,-13.300144,2.350392,8.121528,-38.134180,-0.246117,-1.185052,-38.748694,-2.753104,-0.366214,-22.577524,-3.006377,2.231027,-20.049428,-2.379266,2.677160,-8.753152,-2.133544,6.321768,-55.287933,-9.475703,4.831260,-45.257439,-5.531803,-1.405579,-89.825103,-0.622393,0.005787,-20.627240,-1.423462,-7.919294,-66.291186,-7.196557,-0.062088,-1.415920,-5.138949,0.925395,-67.500412,-15.159986,3.865081,-41.567254,-10.548385,-4.998500,-86.134258,-1.873465,-1.039458,-19.570357,-4.159352,-4.490067,-68.366952,-1.135399,-3.455443,-9.078770,-0.686784,15.315444,-5.567045,-24.893168,15.315445,-5.567043,-24.893159,7.674508,-68.492700,2.422428,-2.932906,-20.469648,11.244300,-5.343794,-77.447071,-8.241207,2.606221,-22.503606,-6.951470,-3.632133,-68.907748,2.846614,-5.611631,-5.953271,0.396017,3
