R_WristRoot_Relative_Loc_X,R_WristRoot_Relative_Loc_Y,R_WristRoot_Relative_Loc_Z,L_WristRoot_Relative_Loc_X,L_WristRoot_Relative_Loc_Y,L_WristRoot_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-2.440153,0.048030,8.276211,1.042920,-1.904668,8.522608,1.305820,1.260338,-1.713620,1.840039,-0.982799,-0.819035,-75.806251,-9.517748,96.975272,30.039722,-57.278704,9.101861,-35.012155,-31.876935,63.761304,-44.261629,-26.060569,60.039107,-5.653623,-19.965243,35.311374,18.279283,-4.472133,30.549607,1.099554,-39.241010,-10.032999,3.112681,-28.098080,-10.397903,-2.358219,-27.426821,9.385320,-6.575922,-2.475065,9.556808,8.664799,-14.949571,2.059748,12.300921,-27.060763,-0.928077,-1.324785,-41.692577,-2.682679,-1.058351,-36.140827,-2.809440,2.249830,-19.595726,-2.371118,2.472412,-14.091338,-2.260624,5.728994,-56.810981,-9.177200,9.886865,-31.581557,-6.417604,-1.420196,-91.206061,-0.591219,-0.434777,-38.400183,-1.393686,-7.548791,-63.353188,-7.306003,-1.158249,-12.511832,-6.110228,-0.507583,-72.739197,-15.096536,8.354993,-33.075957,-11.579314,-5.167860,-91.921970,-1.488874,-1.902672,-31.458816,-4.119578,-4.450322,-66.359245,-1.139075,-3.505349,-13.068187,-0.748606,15.315446,-5.567043,-24.893162,15.315443,-5.567043,-24.893156,7.732576,-80.025467,1.428190,2.326597,-31.477555,9.269224,-5.915117,-81.461451,-8.029324,3.000721,-19.189795,-6.638986,-3.947561,-62.405344,2.714013,-5.605252,-6.829494,0.441732,4
-2.439523,0.048095,8.274921,1.043941,-1.905586,8.521873,0.886224,0.090657,-1.813921,1.434275,-1.291528,-1.033055,-75.778416,-9.689241,97.292241,30.007598,-57.350574,8.961409,-35.002888,-31.881664,63.763995,-44.296438,-26.032972,60.019848,-5.644913,-19.960393,35.313663,18.284201,-4.473416,30.534233,1.106969,-39.199058,-10.035108,3.143104,-27.932027,-10.400351,-2.360116,-27.415355,9.385827,-6.589806,-2.392038,9.554285,8.645137,-15.011255,2.057057,12.359697,-27.027713,-0.948040,-1.322743,-41.648539,-2.683775,-1.061545,-36.205816,-2.808113,2.250785,-19.572712,-2.370709,2.469536,-14.164433,-2.262237,5.704668,-56.854257,-9.157844,9.950818,-31.556957,-6.446447,-1.419758,-91.162250,-0.592222,-0.436598,-38.475543,-1.393283,-7.543584,-63.312314,-7.307393,-1.166644,-12.590165,-6.116307,-0.522606,-72.763141,-15.073823,8.414921,-33.069783,-11.610575,-5.166971,-91.887983,-1.491184,-1.909714,-31.556557,-4.118505,-4.449349,-66.309967,-1.139141,-3.506159,-13.129437,-0.749532,15.315446,-5.567038,-24.893153,15.315444,-5.567045,-24.893160,7.727665,-80.077970,1.451262,2.400523,-31.489104,9.225745,-5.911315,-81.434401,-8.030886,2.997387,-19.218484,-6.641795,-3.950011,-62.353365,2.712813,-5.605159,-6.841224,0.442348,4
-2.438882,0.048150,8.273568,1.044987,-1.906536,8.521110,0.890191,0.076291,-1.878879,1.453027,-1.318940,-1.059456,-75.755541,-9.842343,97.558376,29.987861,-57.404946,8.860103,-34.997505,-31.884252,63.765450,-44.337212,-26.000612,59.997240,-5.641650,-19.958682,35.315307,18.294011,-4.472107,30.516458,1.112823,-39.165981,-10.036772,3.173806,-27.764486,-10.402746,-2.362282,-27.402266,9.386396,-6.603805,-2.308261,9.551738,8.626760,-15.093981,2.051783,12.410783,-26.982448,-0.962162,-1.320517,-41.601475,-2.684959,-1.063802,-36.251872,-2.807158,2.252019,-19.542591,-2.370151,2.467096,-14.226246,-2.263589,5.677779,-56.903046,-9.136648,10.018255,-31.523708,-6.475095,-1.419299,-91.118569,-0.593199,-0.437800,-38.524945,-1.393010,-7.538109,-63.269103,-7.308855,-1.173272,-12.652004,-6.121091,-0.541009,-72.792569,-15.045946,8.480335,-33.053593,-11.642303,-5.165837,-91.844202,-1.494159,-1.915011,-31.630194,-4.117697,-4.448288,-66.256960,-1.139224,-3.506758,-13.176251,-0.750232,15.315444,-5.567033,-24.893156,15.315448,-5.567041,-24.893155,7.721470,-80.139201,1.481122,2.480803,-31.492003,9.178405,-5.906545,-81.400471,-8.032833,2.994902,-19.239851,-6.643877,-3.952175,-62.308018,2.711761,-5.605163,-6.840760,0.442319,4
-2.438184,0.048191,8.272023,1.046108,-1.907564,8.520278,0.992156,0.058448,-2.196598,1.594483,-1.461221,-1.183044,-75.727799,-10.052156,97.893124,29.973675,-57.460519,8.763048,-34.995629,-31.885271,63.766032,-44.383836,-25.963569,59.971338,-5.642473,-19.959677,35.316244,18.307316,-4.469774,30.496515,1.117457,-39.139804,-10.038055,3.204484,-27.597124,-10.405035,-2.364739,-27.387388,9.387031,-6.617804,-2.224467,9.549147,8.609666,-15.196041,2.044148,12.455757,-26.925594,-0.971243,-1.318201,-41.551898,-2.686204,-1.065427,-36.285212,-2.806476,2.253557,-19.505737,-2.369490,2.464976,-14.279691,-2.264755,5.647646,-56.963207,-9.114477,10.089540,-31.473365,-6.501778,-1.418846,-91.075018,-0.594201,-0.438591,-38.557218,-1.392834,-7.532359,-63.223950,-7.310378,-1.178589,-12.701679,-6.124948,-0.564133,-72.833110,-15.013205,8.549850,-33.031235,-11.674649,-5.164457,-91.791286,-1.497749,-1.919109,-31.687024,-4.117061,-4.447187,-66.200856,-1.139295,-3.507222,-13.212146,-0.750778,15.315458,-5.567044,-24.893160,15.315434,-5.567044,-24.893158,7.714096,-80.208147,1.517335,2.566485,-31.487993,9.127833,-5.900883,-81.360096,-8.035151,2.993089,-19.255419,-6.645396,-3.954063,-62.268008,2.710835,-5.605236,-6.831449,0.441832,4
-2.437599,0.048026,8.271628,1.047634,-1.908396,8.518800,0.803535,-0.225790,-0.542371,2.094427,-1.142006,-2.028778,-75.800665,-10.058976,97.975336,29.981261,-57.514348,8.765030,-34.996816,-31.884619,63.765661,-44.360047,-25.982405,59.984514,-5.624957,-19.946718,35.312598,18.349600,-4.440613,30.511411,1.118375,-39.134588,-10.038329,3.214406,-27.543009,-10.405783,-2.363104,-27.397277,9.386605,-6.617874,-2.224085,9.549155,8.603478,-15.233671,2.041327,12.507793,-26.890145,-0.987485,-1.315710,-41.498733,-2.687527,-1.065532,-36.287050,-2.806437,2.254639,-19.479586,-2.369005,2.464115,-14.301662,-2.265239,5.619211,-57.034390,-9.097893,10.152775,-31.429922,-6.525597,-1.418527,-91.045546,-0.594864,-0.439569,-38.597717,-1.392614,-7.530536,-63.209558,-7.310848,-1.181800,-12.731529,-6.127257,-0.589564,-72.889353,-14.984940,8.608969,-33.018808,-11.703753,-5.163348,-91.748647,-1.500622,-1.925203,-31.771755,-4.116102,-4.446853,-66.183819,-1.139320,-3.507626,-13.242188,-0.751235,15.315436,-5.567037,-24.893149,15.315446,-5.567045,-24.893160,7.706793,-80.292406,1.553045,2.632016,-31.491390,9.089145,-5.895906,-81.324630,-8.037194,2.986681,-19.310440,-6.650760,-3.954806,-62.252223,2.710458,-5.605219,-6.832289,0.441864,4
-2.437075,0.047866,8.271278,1.049319,-1.909312,8.517149,0.707323,-0.216706,-0.471683,2.274902,-1.237362,-2.228821,-75.870776,-10.079690,98.064787,29.994126,-57.571383,8.771415,-35.000735,-31.882678,63.764562,-44.331001,-26.005630,60.000749,-5.606675,-19.933429,35.307833,18.407009,-4.401265,30.530082,1.118312,-39.134951,-10.038304,3.222128,-27.500967,-10.406314,-2.360882,-27.410673,9.386033,-6.616375,-2.233106,9.549413,8.599768,-15.267085,2.038430,12.557573,-26.852647,-1.002259,-1.313125,-41.443626,-2.688900,-1.065301,-36.282206,-2.806534,2.255778,-19.452027,-2.368514,2.463518,-14.316853,-2.265565,5.588397,-57.120717,-9.082617,10.216609,-31.377453,-6.547517,-1.418254,-91.018462,-0.595476,-0.440375,-38.631111,-1.392427,-7.529193,-63.198899,-7.311218,-1.184194,-12.753915,-6.128988,-0.618662,-72.957338,-14.954900,8.669216,-33.000403,-11.731905,-5.162162,-91.703460,-1.503701,-1.930910,-31.851189,-4.115210,-4.446602,-66.171395,-1.139337,-3.507935,-13.266198,-0.751582,15.315451,-5.567039,-24.893163,15.315440,-5.567040,-24.893158,7.698948,-80.384066,1.592267,2.696710,-31.492273,9.050919,-5.890566,-81.286647,-8.039390,2.979846,-19.369186,-6.656488,-3.955276,-62.242105,2.710237,-5.605258,-6.829609,0.441739,4
-2.436593,0.047377,8.271536,1.051021,-1.909877,8.515498,0.723491,-0.734118,0.387473,2.554703,-0.848324,-2.479647,-75.900682,-9.987087,98.006701,29.971592,-57.617464,8.720577,-34.989345,-31.888301,63.767743,-44.310795,-26.021625,60.011920,-5.576115,-19.913143,35.307163,18.430215,-4.384277,30.541522,1.123814,-39.103849,-10.039853,3.225074,-27.484922,-10.406544,-2.364809,-27.386964,9.387037,-6.610383,-2.268957,9.550530,8.581785,-15.309964,2.037639,12.610762,-26.808800,-1.017225,-1.313687,-41.455615,-2.688610,-1.066914,-36.315278,-2.805857,2.254836,-19.474629,-2.368912,2.462829,-14.334055,-2.265947,5.558050,-57.217304,-9.070977,10.271393,-31.318840,-6.563040,-1.417961,-90.990290,-0.596115,-0.442815,-38.731002,-1.391854,-7.530167,-63.206691,-7.310950,-1.189166,-12.800215,-6.132572,-0.652054,-73.040139,-14.923390,8.717884,-32.981654,-11.753612,-5.160370,-91.635238,-1.508328,-1.939669,-31.973166,-4.113819,-4.446600,-66.171492,-1.139341,-3.508592,-13.315990,-0.752338,15.315435,-5.567040,-24.893156,15.315447,-5.567041,-24.893153,7.690993,-80.458821,1.633279,2.725305,-31.494813,9.034000,-5.881228,-81.220174,-8.043189,2.972647,-19.430755,-6.662449,-3.954378,-62.261070,2.710669,-5.604977,-6.864606,0.443548,4
-2.436134,0.046890,8.271805,1.052753,-1.910445,8.513804,0.597574,-0.634401,0.350349,2.258237,-0.739928,-2.206966,-75.928054,-9.915765,97.963768,29.952838,-57.662822,8.674108,-34.975765,-31.894869,63.771449,-44.286329,-26.041128,60.025540,-5.542286,-19.890577,35.306805,18.451433,-4.368022,30.554732,1.129879,-39.069578,-10.041569,3.226566,-27.476736,-10.406655,-2.370012,-27.355405,9.388440,-6.603570,-2.309742,9.551787,8.562023,-15.352457,2.037307,12.663528,-26.762394,-1.031419,-1.314657,-41.476429,-2.688091,-1.068629,-36.350432,-2.805123,2.253637,-19.503726,-2.369441,2.462262,-14.348397,-2.266254,5.526774,-57.323200,-9.060788,10.324708,-31.254138,-6.576230,-1.417688,-90.963142,-0.596728,-0.445452,-38.839490,-1.391238,-7.531739,-63.218932,-7.310542,-1.194193,-12.846996,-6.136186,-0.688314,-73.132773,-14.890618,8.764898,-32.959690,-11.773549,-5.158399,-91.559896,-1.513410,-1.948815,-32.100543,-4.112352,-4.446691,-66.175800,-1.139340,-3.509276,-13.367645,-0.753106,15.315444,-5.567034,-24.893153,15.315439,-5.567040,-24.893156,7.682809,-80.533152,1.676334,2.747572,-31.496251,9.020832,-5.870621,-81.144768,-8.047488,2.965191,-19.494695,-6.668674,-3.953214,-62.285730,2.711249,-5.604655,-6.906232,0.445728,4
-2.435787,0.046656,8.271970,1.054892,-1.911138,8.513066,0.480741,-0.324606,0.227687,2.959825,-0.958801,-1.021291,-75.950127,-9.589180,97.639942,29.934836,-57.719604,8.543952,-34.961290,-31.902056,63.775513,-44.262623,-26.060323,60.038944,-5.531339,-19.884919,35.310929,18.440037,-4.372267,30.564411,1.138682,-39.019875,-10.044029,3.219548,-27.515077,-10.406115,-2.376858,-27.313933,9.390223,-6.593991,-2.367024,9.553524,8.551201,-15.390029,2.035573,12.707481,-26.742648,-1.046888,-1.315858,-41.502000,-2.687456,-1.072342,-36.426136,-2.803568,2.251967,-19.544019,-2.370181,2.461261,-14.374128,-2.266829,5.504653,-57.410780,-9.057397,10.360510,-31.197692,-6.581967,-1.417410,-90.937159,-0.597321,-0.449359,-39.001078,-1.390314,-7.532853,-63.227741,-7.310237,-1.200563,-12.906228,-6.140747,-0.718852,-73.209337,-14.861769,8.801411,-32.936002,-11.787291,-5.156684,-91.495289,-1.517794,-1.962584,-32.291930,-4.110075,-4.446721,-66.177330,-1.139344,-3.510155,-13.435585,-0.754135,15.315443,-5.567040,-24.893161,15.315434,-5.567044,-24.893158,7.674138,-80.604758,1.722802,2.767941,-31.498113,9.008780,-5.859141,-81.063229,-8.052135,2.953451,-19.595231,-6.678424,-3.951632,-62.319290,2.712028,-5.604114,-6.976056,0.449365,4
-2.435446,0.046417,8.272146,1.057018,-1.911821,8.512343,0.477666,-0.334571,0.247076,2.977743,-0.956375,-1.013345,-75.971316,-9.287812,97.339984,29.919025,-57.778796,8.413088,-34.945393,-31.909986,63.780001,-44.236895,-26.080279,60.052865,-5.524542,-19.882434,35.316361,18.420575,-4.381080,30.574291,1.148593,-38.963926,-10.046805,3.211222,-27.560503,-10.405539,-2.385009,-27.264720,9.392363,-6.581544,-2.441485,9.555799,8.541900,-15.426070,2.033676,12.749164,-26.728288,-1.062393,-1.317264,-41.531779,-2.686713,-1.076675,-36.514578,-2.801715,2.249854,-19.595409,-2.371111,2.460180,-14.401285,-2.267416,5.484706,-57.496114,-9.056256,10.391642,-31.141295,-6.585171,-1.417142,-90.911906,-0.597883,-0.453741,-39.181472,-1.389279,-7.534160,-63.238009,-7.309904,-1.207332,-12.969081,-6.145573,-0.748805,-73.284858,-14.833462,8.834759,-32.910506,-11.798820,-5.154986,-91.430828,-1.522149,-1.977693,-32.502359,-4.107546,-4.446782,-66.180272,-1.139328,-3.511123,-13.509049,-0.755228,15.315442,-5.567045,-24.893162,15.315444,-5.567045,-24.893157,7.665292,-80.675287,1.770970,2.785121,-31.499480,8.998609,-5.846884,-80.976006,-8.057078,2.940312,-19.707598,-6.689305,-3.949546,-62.363308,2.713041,-5.603477,-7.058848,0.453687,4
