R_WristRoot_Relative_Loc_X,R_WristRoot_Relative_Loc_Y,R_WristRoot_Relative_Loc_Z,L_WristRoot_Relative_Loc_X,L_WristRoot_Relative_Loc_Y,L_WristRoot_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-2.533430,1.429204,7.364673,-1.526173,-0.697596,7.270383,-5.268588,-0.125175,1.823150,-5.698384,4.512754,-9.871793,-70.182289,147.009182,-68.018347,28.876802,-40.255687,10.148046,-42.950440,-27.067438,60.733547,-48.935590,-21.762271,56.912276,-2.322568,-16.847205,31.476119,6.026698,-11.774637,28.148421,3.217445,-27.526448,-10.405997,2.445295,-31.751878,-10.321495,-7.470253,2.932188,9.351139,-6.071021,-5.479260,9.634101,5.065843,-19.078671,2.637046,8.057334,-16.980673,1.984664,-1.043014,-35.828298,-2.815797,-1.548187,-46.579576,-2.550209,2.458558,-14.442187,-2.268318,2.140159,-22.221105,-2.416175,9.055844,-32.628690,-6.189069,9.114050,-27.122539,-5.106827,-0.566891,-43.898777,-1.357053,-0.566729,-43.892137,-1.357105,-2.062145,-20.569772,-6.674503,-2.116322,-21.032125,-6.702992,10.822115,-39.454370,-14.989906,10.782442,-28.272478,-11.538803,-2.632027,-41.790255,-3.941000,-2.461410,-39.328893,-3.995460,-3.667032,-24.277237,-0.902022,-3.631891,-22.005482,-0.873533,15.315444,-5.567045,-24.893167,15.315440,-5.567047,-24.893157,13.217765,-42.235353,-0.173118,7.672836,-25.315868,6.803224,0.646024,-37.312258,-8.051256,1.695235,-29.661413,-7.546036,-5.514886,-14.845879,0.853893,-5.504925,-15.505183,0.887161,5
-2.539150,1.431285,7.364698,-1.532147,-0.693652,7.266905,-8.286627,3.015046,0.036263,-8.653794,5.713757,-5.038027,-70.424270,147.674297,-68.653615,28.860268,-40.265018,10.161730,-42.930792,-27.081621,60.743203,-48.986695,-21.707462,56.870985,-2.293020,-16.830871,31.480840,6.032114,-11.771484,28.124653,3.212537,-27.553179,-10.405628,2.451515,-31.717691,-10.322419,-7.437935,2.734502,9.360136,-6.063958,-5.521090,9.634998,5.209699,-19.281758,2.586254,7.983738,-17.361525,1.965322,-1.041939,-35.806523,-2.816253,-1.565832,-46.976791,-2.538614,2.458295,-14.449192,-2.268464,2.130762,-22.443631,-2.419761,9.033605,-33.076147,-6.271783,9.060317,-27.386254,-5.133385,-0.574803,-44.233192,-1.354417,-0.580536,-44.476236,-1.352480,-2.084378,-20.759713,-6.686253,-2.159698,-21.400609,-6.725355,10.702893,-39.849907,-15.050187,10.745556,-28.402543,-11.557225,-2.650061,-42.052635,-3.934760,-2.493617,-39.790887,-3.985786,-3.669657,-24.445085,-0.904078,-3.636433,-22.303094,-0.877351,15.315441,-5.567030,-24.893150,15.315441,-5.567041,-24.893158,13.128676,-42.669338,-0.211593,7.644915,-25.348538,6.812424,0.624475,-37.464550,-8.059884,1.660742,-29.921525,-7.565464,-5.512406,-15.012593,0.862314,-5.501381,-15.733615,0.898662,5
-2.545152,1.433472,7.364715,-1.537820,-0.689820,7.263308,-8.495732,3.094669,0.024469,-8.030192,5.424055,-5.092883,-70.627889,148.283300,-69.237659,28.833777,-40.264983,10.172625,-42.915884,-27.092832,60.750840,-49.037188,-21.654108,56.830742,-2.255736,-16.809282,31.482462,6.046423,-11.763828,28.100846,3.206389,-27.586757,-10.405184,2.459128,-31.675854,-10.323515,-7.402208,2.515958,9.369972,-6.058795,-5.551696,9.635656,5.359662,-19.500925,2.531745,7.908428,-17.791102,1.942722,-1.041578,-35.799471,-2.816393,-1.584444,-47.397921,-2.526187,2.457700,-14.463902,-2.268765,2.121225,-22.669246,-2.423368,9.002476,-33.583154,-6.362627,9.005724,-27.712642,-5.171245,-0.583106,-44.585355,-1.351591,-0.595139,-45.095865,-1.347412,-2.108060,-20.961695,-6.698667,-2.204894,-21.783607,-6.748331,10.574650,-40.277055,-15.114909,10.699677,-28.587749,-11.586257,-2.669112,-42.330134,-3.928089,-2.527558,-40.279208,-3.975305,-3.672470,-24.622729,-0.906232,-3.641089,-22.606991,-0.881202,15.315446,-5.567040,-24.893148,15.315445,-5.567044,-24.893153,13.046276,-43.101076,-0.254145,7.613578,-25.402730,6.820609,0.600374,-37.634634,-8.069455,1.624878,-30.191338,-7.585481,-5.509798,-15.185605,0.871052,-5.497712,-15.966906,0.910386,5
-2.549599,1.436645,7.362889,-1.543488,-0.685610,7.261285,-6.053184,4.318633,-2.484710,-7.713511,5.729312,-2.753217,-70.994382,148.249662,-69.235452,28.878247,-40.078730,10.278021,-42.899293,-27.105228,60.759277,-49.085002,-21.602454,56.791777,-2.166814,-16.756488,31.478508,6.068520,-11.751593,28.077803,3.189614,-27.678276,-10.403955,2.469283,-31.620073,-10.325004,-7.365987,2.294781,9.379794,-6.052920,-5.586451,9.636366,5.509121,-19.708982,2.476741,7.851018,-17.975349,1.940161,-1.043724,-35.842751,-2.815516,-1.598275,-47.712132,-2.516841,2.456306,-14.499329,-2.269548,2.113879,-22.842813,-2.426094,8.948829,-34.171854,-6.458209,8.960772,-28.044380,-5.214236,-0.590477,-44.898102,-1.349045,-0.611494,-45.792952,-1.341518,-2.132314,-21.167990,-6.711262,-2.256225,-22.216976,-6.773950,10.419463,-40.777990,-15.186527,10.647203,-28.837781,-11.629491,-2.683273,-42.536532,-3.923050,-2.561205,-40.764351,-3.964594,-3.675172,-24.794039,-0.908311,-3.645537,-22.896822,-0.884876,15.315446,-5.567043,-24.893151,15.315436,-5.567039,-24.893151,12.984578,-43.582879,-0.328882,7.566337,-25.493502,6.831984,0.582003,-37.764189,-8.076694,1.594271,-30.420989,-7.602374,-5.507315,-15.349243,0.879308,-5.494167,-16.189731,0.921583,5
-2.554000,1.439772,7.361094,-1.548993,-0.681465,7.259064,-6.146819,4.367838,-2.507682,-7.689767,5.790585,-3.101300,-71.291794,148.269525,-69.279776,28.914641,-39.877671,10.388579,-42.884224,-27.116040,60.766627,-49.132002,-21.552511,56.754048,-2.052462,-16.687596,31.470738,6.094821,-11.737561,28.055073,3.167761,-27.797435,-10.402287,2.481344,-31.553804,-10.326728,-7.328728,2.067488,9.389719,-6.047668,-5.617592,9.637023,5.658763,-19.918267,2.420431,7.798214,-18.132631,1.939318,-1.046272,-35.894795,-2.814451,-1.611980,-48.024463,-2.507451,2.454587,-14.542264,-2.270474,2.106794,-23.010050,-2.428712,8.887554,-34.784316,-6.554536,8.917767,-28.399278,-5.262371,-0.597789,-45.208580,-1.346468,-0.628336,-46.513683,-1.335220,-2.157251,-21.379880,-6.724103,-2.309562,-22.665455,-6.800049,10.256733,-41.297092,-15.258209,10.587722,-29.134167,-11.681804,-2.696789,-42.734101,-3.918181,-2.595749,-41.263810,-3.953254,-3.677918,-24.967611,-0.910401,-3.650064,-23.190404,-0.888581,15.315441,-5.567044,-24.893159,15.315441,-5.567043,-24.893156,12.929212,-44.070240,-0.410495,7.513889,-25.624251,6.841183,0.564108,-37.890274,-8.083693,1.563440,-30.651729,-7.619212,-5.504806,-15.512816,0.887558,-5.490529,-16.415231,0.932883,5
-2.558366,1.442863,7.359321,-1.554396,-0.677347,7.256665,-5.942935,4.207838,-2.412708,-7.354337,5.604434,-3.266160,-71.536831,148.327519,-69.357041,28.943664,-39.652057,10.509349,-42.870820,-27.126154,60.773514,-49.177669,-21.502973,56.716620,-1.915146,-16.604688,31.459595,6.122711,-11.722428,28.032827,3.141409,-27.941321,-10.400213,2.497351,-31.465853,-10.329023,-7.290957,1.837289,9.399620,-6.042819,-5.646213,9.637616,5.807451,-20.127246,2.363250,7.749303,-18.271097,1.939492,-1.048997,-35.950350,-2.813331,-1.625625,-48.336924,-2.497994,2.452316,-14.599757,-2.271718,2.099868,-23.173334,-2.431260,8.821292,-35.403122,-6.649245,8.876533,-28.768310,-5.313883,-0.605022,-45.516783,-1.343884,-0.645462,-47.250469,-1.328565,-2.182691,-21.595611,-6.737089,-2.364515,-23.125729,-6.826429,10.089775,-41.822902,-15.327986,10.523171,-29.464277,-11.740653,-2.709857,-42.925105,-3.913439,-2.630979,-41.775083,-3.941361,-3.680699,-25.142632,-0.912514,-3.654690,-23.488224,-0.892295,15.315441,-5.567042,-24.893152,15.315439,-5.567039,-24.893158,12.878374,-44.560524,-0.496749,7.458897,-25.805710,6.845836,0.546627,-38.013223,-8.090477,1.532273,-30.884652,-7.636114,-5.502276,-15.676035,0.895764,-5.486805,-16.643854,0.944327,5
-2.562998,1.445646,7.356426,-1.557611,-0.675063,7.252537,-6.503571,3.906913,-4.065935,-4.514753,3.206694,-5.795924,-71.560771,147.743672,-68.767015,28.936276,-39.414272,10.820929,-42.876828,-27.121639,60.770440,-49.233779,-21.442157,56.670637,-1.853070,-16.566398,31.449596,6.178173,-11.692774,28.004682,3.127848,-28.015279,-10.399130,2.525543,-31.311073,-10.332978,-7.251787,1.598935,9.409728,-6.049782,-5.605030,9.636750,6.009710,-20.227635,2.294830,7.700318,-18.458437,1.935371,-1.051062,-35.992174,-2.812480,-1.644375,-48.768130,-2.484827,2.450415,-14.647731,-2.272762,2.092905,-23.337330,-2.433784,8.793368,-35.830975,-6.726154,8.813207,-29.274011,-5.380853,-0.609381,-45.702754,-1.342280,-0.666020,-48.139377,-1.320244,-2.201000,-21.750703,-6.746367,-2.425807,-23.637205,-6.855184,9.971988,-42.202716,-15.379657,10.448172,-29.846214,-11.808366,-2.718404,-43.050239,-3.910302,-2.671604,-42.366439,-3.927203,-3.683128,-25.294936,-0.914342,-3.659256,-23.780502,-0.895908,15.315446,-5.567046,-24.893148,15.315438,-5.567040,-24.893157,12.831016,-44.959846,-0.560702,7.410076,-25.969357,6.850052,0.535629,-38.090607,-8.094747,1.490455,-31.196239,-7.658493,-5.500003,-15.821168,0.903066,-5.482858,-16.883380,0.956317,5
-2.567617,1.448422,7.353568,-1.560788,-0.672762,7.248459,-6.454491,3.880274,-3.993971,-4.439181,3.215688,-5.699010,-71.598578,147.343864,-68.363855,28.919236,-39.177255,11.116148,-42.886032,-27.114962,60.765896,-49.291052,-21.380019,56.623603,-1.795989,-16.530618,31.438707,6.249883,-11.654367,27.975294,3.114950,-28.085756,-10.398073,2.559595,-31.124196,-10.337651,-7.212530,1.360251,9.419662,-6.057457,-5.559604,9.635806,6.219967,-20.315196,2.223928,7.653356,-18.642785,1.931306,-1.053543,-36.042838,-2.811436,-1.663512,-49.210412,-2.471166,2.448299,-14.700865,-2.273915,2.085974,-23.500413,-2.436284,8.768019,-36.244665,-6.801963,8.747996,-29.796569,-5.449716,-0.613503,-45.878176,-1.340786,-0.686558,-49.033869,-1.311554,-2.218642,-21.899834,-6.755242,-2.488413,-24.157232,-6.883876,9.857605,-42.572513,-15.429599,10.370574,-30.244429,-11.878998,-2.726302,-43.166158,-3.907390,-2.712741,-42.967436,-3.912389,-3.685522,-25.444493,-0.916103,-3.663867,-24.076041,-0.899560,15.315439,-5.567050,-24.893168,15.315431,-5.567034,-24.893154,12.786129,-45.355041,-0.625523,7.361098,-26.149846,6.852725,0.525734,-38.160164,-8.098549,1.447084,-31.518357,-7.681408,-5.497763,-15.963388,0.910207,-5.478770,-17.126783,0.968461,5
-2.573612,1.452314,7.351484,-1.562194,-0.670965,7.246243,-8.233643,5.345360,-2.861064,-1.930707,2.467923,-3.043615,-71.644260,146.629766,-67.688587,28.844446,-38.863359,10.943926,-42.915932,-27.092665,60.750724,-49.326506,-21.341620,56.594520,-1.721386,-16.482297,31.416937,6.437713,-11.554063,27.951557,3.104160,-28.144565,-10.397192,2.586722,-30.975281,-10.341307,-7.185184,1.194148,9.426497,-6.065935,-5.509321,9.634741,6.411998,-20.398934,2.158287,7.572314,-18.952924,1.925780,-1.060840,-36.191336,-2.808415,-1.685024,-49.710620,-2.455536,2.444131,-14.806141,-2.276166,2.077801,-23.692747,-2.439215,8.768425,-36.476114,-6.854101,8.669536,-30.224238,-5.492880,-0.618562,-46.095047,-1.338908,-0.696331,-49.461526,-1.307290,-2.238387,-22.066550,-6.765095,-2.522247,-24.437443,-6.899115,9.788870,-42.784573,-15.455579,10.303588,-30.508238,-11.918123,-2.738195,-43.340482,-3.902965,-2.728938,-43.204764,-3.906421,-3.688056,-25.603724,-0.918006,-3.666174,-24.223285,-0.901363,15.315443,-5.567040,-24.893158,15.315435,-5.567041,-24.893160,12.751961,-45.708752,-0.689388,7.306674,-26.204013,6.873187,0.509896,-38.271446,-8.104629,1.419359,-31.723786,-7.695894,-5.494768,-16.152486,0.919708,-5.476318,-17.272435,0.975740,5
-2.579624,1.456214,7.349392,-1.563606,-0.669209,7.244058,-8.488614,5.506048,-2.953952,-1.993707,2.479300,-3.085238,-71.698367,146.028417,-67.120820,28.772394,-38.572826,10.812297,-42.957677,-27.062288,60.730042,-49.357853,-21.307662,56.568781,-1.645639,-16.432586,31.390018,6.677036,-11.426345,27.928140,3.094160,-28.199172,-10.396349,2.613878,-30.826417,-10.344867,-7.159808,1.040120,9.432760,-6.077205,-5.442586,9.633324,6.601981,-20.477184,2.093031,7.483718,-19.286030,1.921384,-1.070231,-36.382973,-2.804445,-1.706794,-50.220143,-2.439423,2.439191,-14.930587,-2.278849,2.069380,-23.890485,-2.442176,8.772688,-36.690407,-6.905202,8.586417,-30.638954,-5.530326,-0.623686,-46.314565,-1.336982,-0.705833,-49.878614,-1.303052,-2.258263,-22.234100,-6.774944,-2.554374,-24.702913,-6.913400,9.725423,-42.981239,-15.479708,10.236557,-30.753701,-11.951965,-2.750526,-43.521627,-3.898344,-2.744055,-43.426564,-3.900780,-3.690608,-25.763615,-0.919900,-3.668279,-24.357422,-0.902999,15.315441,-5.567045,-24.893158,15.315453,-5.567042,-24.893158,12.720543,-46.058279,-0.754747,7.251464,-26.239152,6.896337,0.493318,-38.387794,-8.110953,1.393043,-31.918461,-7.709525,-5.491590,-16.349555,0.929595,-5.474017,-17.407523,0.982470,5
