R_WristRoot_Relative_Loc_X,R_WristRoot_Relative_Loc_Y,R_WristRoot_Relative_Loc_Z,L_WristRoot_Relative_Loc_X,L_WristRoot_Relative_Loc_Y,L_WristRoot_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-1.22043,-1.938399,8.245739,-2.002251,-3.73621,7.372928,-4.816626,3.955012,-2.857601,-5.760025,-3.098071,0.827625,7.19227,41.455505,12.407477,45.437956,88.089,-161.247749,-44.686631,-25.718446,59.79942,-43.152115,-26.917117,60.630956,-4.530392,-18.008538,31.026972,-4.254683,-18.015238,31.653744,2.969388,-28.880587,-10.385126,3.613664,-25.367624,-10.42711,-8.69497,10.614837,8.915459,-6.707889,-1.684954,9.532064,-4.334717,-8.227118,3.965906,4.607793,-11.756642,3.047585,-0.091512,-17.377993,-3.037685,-1.092361,-36.835669,-2.794998,2.909251,-2.248426,-1.953813,2.423749,-15.3179,-2.287086,3.996564,-16.613064,-1.966534,8.917128,-18.178035,-3.443181,0.141279,-15.143963,-1.405003,-0.497291,-40.983911,-1.378048,-0.05122,-1.29473,-5.127201,-1.844004,-18.687607,-6.554127,9.696048,-17.694437,-8.741518,11.347396,-21.360017,-10.000786,-0.871856,-17.262244,-4.14628,-2.924666,-46.102986,-3.82813,-3.456218,-9.142791,-0.687795,-3.702003,-26.471327,-0.928184,15.315443,-5.567042,-24.893158,15.315434,-5.56704,-24.89316,9.051509,-11.70613,8.357309,5.698416,-14.167865,8.805485,2.512716,-23.267446,-7.020249,-1.248011,-50.220068,-8.573983,-5.61975,-4.660762,0.328403,-5.341979,-24.04078,1.305688,2
-1.223919,-1.936455,8.243984,-2.0063,-3.738485,7.373549,-4.981837,2.775537,-2.507623,-5.7826,-3.249015,0.886946,7.210162,41.438973,12.232981,45.378875,87.962993,-161.379914,-44.650705,-25.747168,59.819614,-43.110522,-26.948387,60.652331,-4.540275,-18.018868,31.044342,-4.337996,-18.071503,31.684002,2.972258,-28.86481,-10.385401,3.581509,-25.542671,-10.425943,-8.691606,10.593247,8.916919,-6.684421,-1.825647,9.536617,-4.331557,-8.256437,3.968945,4.55758,-11.6885,3.058002,-0.091214,-17.372285,-3.0377,-1.077912,-36.539914,-2.801195,2.909434,-2.242694,-1.953645,2.429572,-15.172088,-2.283994,3.964489,-16.686754,-1.963852,8.91782,-18.154594,-3.439469,0.138823,-15.244061,-1.405452,-0.488366,-40.613472,-1.380484,-0.054687,-1.333281,-5.130934,-1.819903,-18.47742,-6.540236,9.647874,-17.676352,-8.726082,11.340293,-21.5166,-10.036404,-0.876192,-17.321865,-4.146698,-2.907993,-45.853742,-3.835252,-3.456252,-9.145913,-0.687849,-3.700902,-26.402991,-0.927401,15.315438,-5.567041,-24.893159,15.315447,-5.567039,-24.893163,8.959107,-11.454307,8.420902,5.759693,-14.294604,8.776052,2.512621,-23.268142,-7.020307,-1.230265,-50.102337,-8.571156,-5.620016,-4.617673,0.326148,-5.344641,-23.923495,1.300099,2
-1.22722,-1.93504,8.242467,-2.010095,-3.740666,7.374151,-4.621626,1.981427,-2.123926,-5.313571,-3.053196,0.843729,7.234778,41.418991,12.058993,45.340022,87.825009,-161.500617,-44.603948,-25.785679,59.846671,-43.072574,-26.976596,60.671595,-4.554805,-18.032898,31.0669,-4.419952,-18.126469,31.712558,2.973871,-28.855972,-10.385558,3.546796,-25.731704,-10.42458,-8.687405,10.566094,8.918739,-6.660392,-1.96955,9.541178,-4.323097,-8.289155,3.971931,4.497868,-11.620246,3.069735,-0.09164,-17.379953,-3.037672,-1.061448,-36.203772,-2.808148,2.909329,-2.246508,-1.953758,2.436937,-14.987271,-2.280069,3.938617,-16.76715,-1.963127,8.915786,-18.13439,-3.435568,0.136553,-15.335723,-1.405857,-0.47907,-40.22787,-1.382932,-0.058623,-1.37731,-5.135205,-1.791824,-18.232257,-6.523936,9.601894,-17.665383,-8.7126,11.329326,-21.690377,-10.075045,-0.880707,-17.38426,-4.147139,-2.889372,-45.575842,-3.843104,-3.456399,-9.157519,-0.688033,-3.699417,-26.310984,-0.926321,15.315441,-5.567043,-24.893158,15.315451,-5.567042,-24.893151,8.865221,-11.218536,8.481339,5.823994,-14.414782,8.746281,2.512455,-23.269542,-7.020429,-1.206854,-49.947055,-8.567387,-5.620228,-4.580037,0.324179,-5.348307,-23.761219,1.292378,2
-1.230387,-1.933556,8.238111,-2.01307,-3.741726,7.375983,-4.416063,2.069432,-6.074268,-4.148838,-1.47867,2.553387,7.441392,41.588249,12.062991,45.05867,87.613934,-161.790478,-44.616615,-25.775251,59.839346,-43.029152,-27.008911,60.693648,-4.596561,-18.05679,31.067634,-4.534397,-18.202597,31.748531,2.969896,-28.877742,-10.385165,3.498177,-25.996456,-10.42249,-8.688897,10.575698,8.918096,-6.63273,-2.135213,9.546382,-4.323768,-8.332385,3.976841,4.430736,-11.489218,3.084819,-0.093045,-17.406841,-3.037576,-1.048183,-35.933537,-2.813661,2.908481,-2.270787,-1.954476,2.443909,-14.811546,-2.276296,3.908086,-16.861441,-1.962146,8.89714,-18.081224,-3.421681,0.133658,-15.454431,-1.40639,-0.470871,-39.888649,-1.385023,-0.063158,-1.427623,-5.140068,-1.761416,-17.965737,-6.506069,9.54576,-17.660656,-8.697845,11.300122,-21.80783,-10.094342,-0.886986,-17.470847,-4.147736,-2.86937,-45.278225,-3.85142,-3.456754,-9.187673,-0.688512,-3.697172,-26.171544,-0.9247,15.315446,-5.567042,-24.893159,15.315453,-5.567042,-24.893164,8.744653,-11.124657,8.522611,5.831504,-14.467656,8.738515,2.508715,-23.29995,-7.023149,-1.16938,-49.698086,-8.56118,-5.620116,-4.598548,0.325149,-5.353643,-23.522288,1.280981,2
-1.233817,-1.932533,8.233879,-2.01605,-3.742888,7.377755,-4.704725,1.40316,-5.803952,-4.087457,-1.593859,2.430645,7.606921,41.708569,12.022743,44.829885,87.397204,-162.051257,-44.634126,-25.760846,59.829224,-42.98678,-27.040331,60.715074,-4.652636,-18.088568,31.068343,-4.652805,-18.281101,31.784766,2.964878,-28.905161,-10.384701,3.446419,-26.278399,-10.420013,-8.690698,10.587267,8.917318,-6.604353,-2.305033,9.551637,-4.322536,-8.37981,3.982068,4.356933,-11.34634,3.101013,-0.094785,-17.43951,-3.037457,-1.034963,-35.664833,-2.8191,2.90749,-2.299914,-1.95534,2.451366,-14.623604,-2.27224,3.880173,-16.961347,-1.962132,8.873646,-18.024687,-3.40596,0.129939,-15.605495,-1.407047,-0.462803,-39.55521,-1.38706,-0.068272,-1.48448,-5.145571,-1.729517,-17.685512,-6.48713,9.489381,-17.66012,-8.683837,11.267849,-21.921005,-10.111564,-0.895394,-17.586623,-4.148522,-2.848773,-44.972137,-3.859849,-3.457152,-9.221852,-0.689053,-3.694511,-26.006326,-0.922759,15.315446,-5.567041,-24.893165,15.315448,-5.567035,-24.893162,8.613989,-11.044459,8.563271,5.833001,-14.511924,8.733252,2.504061,-23.337694,-7.026507,-1.125945,-49.409393,-8.55381,-5.619973,-4.62393,0.326484,-5.359793,-23.244157,1.267689,2
-1.235174,-1.932677,8.227627,-2.018329,-3.742397,7.378235,-1.881022,-0.198567,-8.660175,-3.155816,0.680743,0.665469,8.160937,41.835804,12.101801,44.531386,87.232848,-162.288653,-44.680795,-25.723037,59.802651,-42.930845,-27.081705,60.743262,-4.708212,-18.116676,31.0562,-4.730315,-18.335684,31.820655,2.960605,-28.928484,-10.384275,3.396173,-26.552188,-10.417366,-8.687356,10.565765,8.918764,-6.577161,-2.467613,9.55658,-4.314067,-8.442823,3.988437,4.301634,-11.203962,3.114179,-0.095994,-17.462431,-3.037377,-1.022581,-35.413647,-2.824111,2.906525,-2.328507,-1.956185,2.45815,-14.452226,-2.268521,3.866894,-17.02481,-1.963222,8.838374,-17.985702,-3.389988,0.125473,-15.787912,-1.407841,-0.457727,-39.345333,-1.388295,-0.075047,-1.559694,-5.15283,-1.702825,-17.450337,-6.471121,9.448029,-17.670796,-8.675694,11.22283,-22.059337,-10.130718,-0.906319,-17.737656,-4.149529,-2.835033,-44.768339,-3.865401,-3.457681,-9.263505,-0.689715,-3.691912,-25.844729,-0.920857,15.315444,-5.567043,-24.893158,15.315452,-5.567047,-24.893158,8.492365,-11.066511,8.584814,5.816435,-14.560347,8.732267,2.497061,-23.394503,-7.031559,-1.082854,-49.122676,-8.546262,-5.61977,-4.661387,0.328439,-5.36648,-22.939504,1.253106,2
-1.236797,-1.933186,8.22151,-2.020567,-3.742061,7.37872,-2.290168,-0.718385,-8.634081,-3.158708,0.473596,0.683896,8.632508,41.939528,12.124873,44.290593,87.058265,-162.504196,-44.742781,-25.672718,59.767251,-42.873039,-27.12445,60.772356,-4.772389,-18.148158,31.038637,-4.80204,-18.387424,31.856657,2.955329,-28.957359,-10.38377,3.345633,-26.827596,-10.414447,-8.682783,10.536303,8.920739,-6.549999,-2.630002,9.561431,-4.303325,-8.511961,3.995286,4.247731,-11.057278,3.127031,-0.097299,-17.486899,-3.037286,-1.010504,-35.168921,-2.828951,2.90545,-2.360148,-1.957123,2.4649,-14.281919,-2.264813,3.857319,-17.082934,-1.964865,8.795711,-17.948108,-3.372301,0.120489,-15.990016,-1.408688,-0.453024,-39.15183,-1.389448,-0.083193,-1.649915,-5.161536,-1.676916,-17.221492,-6.455434,9.40953,-17.684988,-8.668909,11.172525,-22.199196,-10.148389,-0.918971,-17.911951,-4.150647,-2.822281,-44.579423,-3.870506,-3.458303,-9.316703,-0.69056,-3.689196,-25.675643,-0.91888,15.315442,-5.567044,-24.893161,15.315451,-5.567041,-24.893165,8.366172,-11.098923,8.605677,5.794775,-14.605609,8.732996,2.488848,-23.461146,-7.037491,-1.038704,-48.828745,-8.538315,-5.6195,-4.705727,0.330764,-5.373363,-22.621413,1.237856,2
-1.235934,-1.935888,8.215338,-2.022152,-3.741625,7.379642,1.183605,-3.703912,-8.460599,-2.172343,0.597267,1.2648,9.373892,41.969592,12.151601,44.068936,87.09298,-162.398878,-44.79682,-25.628042,59.735783,-42.795702,-27.181136,60.81088,-4.823747,-18.172817,31.022706,-4.830783,-18.414581,31.894477,2.956597,-28.950422,-10.383875,3.292826,-27.115402,-10.411154,-8.675786,10.491187,8.923761,-6.534514,-2.722502,9.564169,-4.315759,-8.570989,4.002995,4.201504,-10.918929,3.13829,-0.097517,-17.490881,-3.037268,-1.003837,-35.033969,-2.831592,2.904515,-2.387429,-1.957926,2.470595,-14.137334,-2.261637,3.845958,-17.090881,-1.962488,8.743887,-17.938413,-3.356732,0.1172,-16.123963,-1.409251,-0.450647,-39.053543,-1.390007,-0.089781,-1.722863,-5.168561,-1.65609,-17.037275,-6.442744,9.37128,-17.684928,-8.659431,11.107727,-22.320089,-10.156596,-0.928766,-18.046743,-4.151476,-2.811961,-44.426919,-3.8746,-3.458882,-9.364003,-0.691306,-3.686551,-25.509179,-0.916889,15.315446,-5.567042,-24.893158,15.315443,-5.567043,-24.893153,8.236492,-11.15104,8.624215,5.744285,-14.621395,8.744534,2.480935,-23.52529,-7.043185,-0.998523,-48.560992,-8.530866,-5.619246,-4.750355,0.333099,-5.379372,-22.340868,1.224351,2
-1.235324,-1.938804,8.20932,-2.023756,-3.741289,7.380552,0.840861,-4.023018,-8.299671,-2.213657,0.464107,1.255433,9.950181,41.995614,12.134824,43.888984,87.077779,-162.351619,-44.855327,-25.580056,59.701957,-42.712039,-27.242337,60.852405,-4.874312,-18.19646,31.004689,-4.848962,-18.435982,31.933366,2.959059,-28.937049,-10.384108,3.23998,-27.403665,-10.407582,-8.667188,10.435852,8.927475,-6.521271,-2.801649,9.566488,-4.333477,-8.629864,4.011176,4.158112,-10.781598,3.148912,-0.097548,-17.491519,-3.037264,-0.998165,-34.919355,-2.833827,2.903499,-2.416818,-1.958794,2.476016,-14.000152,-2.258629,3.835849,-17.087238,-1.959614,8.685806,-17.934883,-3.340486,0.114212,-16.245097,-1.409746,-0.448676,-38.972945,-1.390485,-0.096371,-1.795711,-5.175574,-1.636669,-16.864993,-6.4308,9.334244,-17.683705,-8.650033,11.033876,-22.435868,-10.160375,-0.938214,-18.176991,-4.152272,-2.802476,-44.286712,-3.878352,-3.459482,-9.414419,-0.692114,-3.683884,-25.342787,-0.914907,15.315446,-5.567046,-24.893162,15.315446,-5.567039,-24.89316,8.104335,-11.208179,8.642673,5.678273,-14.632407,8.760697,2.472578,-23.593024,-7.049183,-0.959567,-48.301066,-8.523456,-5.618947,-4.801415,0.335771,-5.38512,-22.069148,1.211241,2
-1.234925,-1.941846,8.20352,-2.025385,-3.741025,7.381457,0.600431,-4.576103,-8.728003,-2.450603,0.397298,1.361396,10.40873,42.018118,12.08873,43.732794,87.028422,-162.342424,-44.917225,-25.528715,59.665724,-42.623109,-27.307298,60.896417,-4.924267,-18.219302,30.985131,-4.859184,-18.452989,31.973218,2.962729,-28.916849,-10.3845,3.187271,-27.691009,-10.403764,-8.657171,10.371298,8.931798,-6.509644,-2.871022,9.568527,-4.356053,-8.688491,4.019807,4.117134,-10.645428,3.15897,-0.097423,-17.48924,-3.037273,-0.993196,-34.818998,-2.835772,2.902446,-2.447834,-1.959709,2.48118,-13.869001,-2.255725,3.826719,-17.075177,-1.956403,8.622577,-17.936074,-3.323611,0.111511,-16.355291,-1.410197,-0.447023,-38.90428,-1.39087,-0.102906,-1.867703,-5.182485,-1.618267,-16.701625,-6.419433,9.298231,-17.681381,-8.640674,10.951854,-22.547169,-10.160122,-0.947317,-18.302305,-4.153005,-2.793581,-44.155322,-3.88182,-3.460112,-9.46711,-0.692951,-3.681252,-25.177519,-0.912932,15.315446,-5.567043,-24.893155,15.315445,-5.567041,-24.893166,7.970712,-11.268128,8.661222,5.598246,-14.640392,8.780867,2.463856,-23.663485,-7.055411,-0.921754,-48.048631,-8.516093,-5.618614,-4.857866,0.338725,-5.390626,-21.805919,1.198517,2
