R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
0.832295,-2.279986,-0.910870,0.259825,0.845901,-0.381333,-13.448671,76.516845,22.824701,74.734010,-158.262625,-62.639175,-41.745707,-27.929982,61.314325,-37.252217,-30.707243,63.078053,17.606583,-4.602149,31.616088,12.964774,-7.271548,33.226433,5.353477,-15.866806,-10.342215,4.418726,-20.983623,-10.423909,-7.757282,4.698835,9.265661,-1.348802,-33.641145,9.059016,8.438820,-32.920832,0.144585,8.932822,-60.273102,-4.709032,-2.253891,-64.552333,-1.912464,-2.926211,-100.979295,-0.132645,1.577359,-35.118856,-2.562344,0.146942,-67.516930,-2.358871,8.277718,-34.136209,-6.048032,3.087613,-76.704584,-13.263302,-0.917674,-59.610529,-1.185142,-1.405190,-89.789865,-0.623196,-3.550739,-32.708430,-7.272626,-8.124502,-67.940262,-7.126787,10.551927,-30.244059,-11.965594,-3.327421,-83.528204,-14.935313,-3.428944,-53.903855,-3.569381,-4.943942,-84.506113,-1.978387,-3.782051,-31.282487,-0.980749,-4.518342,-69.800051,-1.131936,15.315445,-5.567041,-24.893157,15.315451,-5.567051,-24.893161,6.885711,-19.106974,7.885433,7.426774,-81.634343,3.229401,-1.359218,-50.957129,-8.590819,-5.592917,-79.184147,-8.154449,-5.264082,-27.283690,1.457596,-3.249866,-76.455097,2.954529,1
0.824017,-2.219596,-0.865743,0.209934,0.741459,-0.330994,-13.982490,76.351180,22.785972,74.856826,-158.661425,-62.952343,-41.745766,-27.929658,61.314104,-37.271787,-30.696562,63.071636,17.617634,-4.595115,31.617181,12.970125,-7.269088,33.218398,5.386464,-15.685302,-10.337762,4.398911,-21.091606,-10.424723,-7.788706,4.893359,9.255696,-1.385445,-33.411328,9.073016,8.513157,-33.066405,0.084887,8.908978,-60.282446,-4.674855,-2.232517,-63.916337,-1.938643,-2.926079,-100.927887,-0.135369,1.602389,-34.558514,-2.558663,0.147195,-67.510668,-2.358991,8.305303,-34.408815,-6.119885,3.083318,-76.678933,-13.227675,-0.919343,-59.691041,-1.184018,-1.404715,-89.746500,-0.624162,-3.549288,-32.697023,-7.272226,-8.126190,-67.953888,-7.126182,10.502696,-30.612962,-12.043199,-3.319062,-83.471868,-14.899869,-3.434033,-53.985308,-3.566315,-4.943305,-84.487548,-1.979567,-3.782281,-31.297008,-0.980898,-4.518897,-69.828087,-1.131863,15.315438,-5.567046,-24.893161,15.315445,-5.567044,-24.893167,6.924993,-19.450050,7.830445,7.414987,-81.511158,3.280458,-1.360189,-50.963564,-8.590950,-5.603264,-79.256743,-8.150660,-5.263800,-27.295178,1.458137,-3.246293,-76.524285,2.955279,1
0.737643,-1.969035,-0.757257,0.170834,0.631601,-0.279513,-14.422144,76.217161,22.747956,74.974036,-159.025296,-63.237003,-41.741160,-27.932931,61.316283,-37.290580,-30.685744,63.065104,17.627807,-4.588006,31.620143,12.976428,-7.265608,33.210761,5.421057,-15.494670,-10.332990,4.378874,-21.200758,-10.425522,-7.821085,5.094041,9.245310,-1.423054,-33.175878,9.087201,8.591339,-33.244565,0.018582,8.886277,-60.291493,-4.642324,-2.210052,-63.256528,-1.965549,-2.925976,-100.880252,-0.137894,1.629180,-33.958792,-2.554425,0.147488,-67.503504,-2.359132,8.333411,-34.704174,-6.197430,3.080418,-76.651148,-13.195058,-0.920985,-59.770939,-1.182896,-1.404284,-89.706387,-0.625066,-3.547418,-32.682313,-7.271686,-8.127434,-67.963888,-7.125727,10.451934,-31.005599,-12.126789,-3.310315,-83.413303,-14.863882,-3.439441,-54.072424,-3.563045,-4.942730,-84.470722,-1.980655,-3.782507,-31.310069,-0.981031,-4.519424,-69.854770,-1.131799,15.315443,-5.567044,-24.893162,15.315449,-5.567050,-24.893166,6.971040,-19.820693,7.769376,7.402911,-81.382633,3.331302,-1.361887,-50.974843,-8.591211,-5.613820,-79.330855,-8.146768,-5.263590,-27.303641,1.458525,-3.242402,-76.599950,2.956099,1
1.130983,-1.320823,-1.062369,-0.370018,-0.100043,0.532444,-14.614726,76.402882,22.664392,75.120959,-160.190292,-64.185117,-41.692488,-27.966348,61.338490,-37.317172,-30.671112,63.056301,17.638512,-4.575462,31.642772,12.958411,-7.279507,33.198768,5.445340,-15.360895,-10.329602,4.361596,-21.294973,-10.426168,-7.851200,5.280857,9.235551,-1.447960,-33.020276,9.096505,8.673496,-33.452062,-0.054278,8.870213,-60.337698,-4.629070,-2.198932,-62.933614,-1.978632,-2.926060,-100.917176,-0.135937,1.644364,-33.617975,-2.551893,0.147381,-67.506056,-2.359093,8.346571,-35.017850,-6.270288,3.072581,-76.654006,-13.171383,-0.925062,-59.968730,-1.180130,-1.404484,-89.725011,-0.624658,-3.554548,-32.738263,-7.273706,-8.131166,-67.994161,-7.124399,10.405395,-31.375191,-12.206288,-3.309597,-83.386377,-14.828018,-3.450632,-54.252682,-3.556219,-4.943041,-84.479842,-1.980066,-3.783671,-31.378258,-0.981713,-4.519825,-69.875788,-1.131742,15.315448,-5.567040,-24.893152,15.315445,-5.567052,-24.893157,7.020518,-20.237970,7.701014,7.391616,-81.339993,3.390894,-1.370756,-51.033592,-8.592491,-5.621791,-79.386776,-8.143834,-5.261354,-27.391786,1.462595,-3.241608,-76.615243,2.956261,1
1.068871,-1.246210,-0.984779,-0.368889,-0.098705,0.520641,-14.780406,76.528607,22.596191,75.256781,-161.259867,-65.056704,-41.632100,-28.008219,61.366306,-37.344393,-30.656185,63.047314,17.649054,-4.561836,31.670495,12.936240,-7.295811,33.186150,5.468854,-15.231218,-10.326223,4.344575,-21.387749,-10.426803,-7.881166,5.467022,9.225727,-1.471486,-32.873320,9.105229,8.757646,-33.678675,-0.131508,8.855437,-60.392814,-4.619921,-2.188375,-62.628391,-1.990918,-2.926166,-100.959741,-0.133685,1.658824,-33.293223,-2.549420,0.147247,-67.509721,-2.359028,8.357719,-35.338420,-6.343987,3.064800,-76.660099,-13.150550,-0.929562,-60.187441,-1.177045,-1.404757,-89.750056,-0.624092,-3.563077,-32.805301,-7.276115,-8.135083,-68.025732,-7.122996,10.360510,-31.744655,-12.286811,-3.309846,-83.362983,-14.792036,-3.463174,-54.454925,-3.548538,-4.943491,-84.493103,-1.979220,-3.785007,-31.456656,-0.982518,-4.520222,-69.895233,-1.131674,15.315446,-5.567048,-24.893163,15.315442,-5.567043,-24.893166,7.072256,-20.664585,7.630189,7.380019,-81.305068,3.453134,-1.382721,-51.112686,-8.594187,-5.629487,-79.440720,-8.141006,-5.258728,-27.494461,1.467322,-3.241117,-76.624826,2.956368,1
1.749482,-2.472864,-1.623019,-0.248432,-0.490082,0.943061,-14.767164,76.635387,22.752256,75.370980,-162.069611,-65.816407,-41.580123,-28.043992,61.390038,-37.365884,-30.644520,63.040300,17.649220,-4.555777,31.693521,12.908464,-7.315905,33.175805,5.499019,-15.064930,-10.321828,4.326648,-21.485386,-10.427416,-7.907402,5.630169,9.217021,-1.500102,-32.694739,9.115729,8.818094,-33.849832,-0.188621,8.849477,-60.410924,-4.615199,-2.188018,-62.618230,-1.991320,-2.926227,-100.983488,-0.132425,1.666342,-33.124083,-2.548089,0.147226,-67.510234,-2.358997,8.363878,-35.610345,-6.404936,3.062796,-76.640417,-13.127708,-0.933600,-60.383657,-1.174276,-1.404797,-89.754569,-0.623979,-3.575098,-32.899607,-7.279494,-8.136424,-68.036617,-7.122515,10.342304,-31.982580,-12.344301,-3.307109,-83.336294,-14.768797,-3.474403,-54.636516,-3.541591,-4.943729,-84.499617,-1.978806,-3.786878,-31.565357,-0.983619,-4.520595,-69.914513,-1.131640,15.315444,-5.567044,-24.893155,15.315447,-5.567037,-24.893163,7.121627,-20.901268,7.582706,7.373639,-81.271917,3.484683,-1.402270,-51.242157,-8.596943,-5.632725,-79.463514,-8.139794,-5.255450,-27.623142,1.473241,-3.240271,-76.641240,2.956541,1
1.928514,-2.722612,-1.768145,-0.336858,-0.658448,1.259648,-14.783532,76.712849,22.855898,75.468833,-162.748581,-66.447675,-41.521419,-28.084119,61.416626,-37.386450,-30.632816,63.033219,17.647256,-4.550505,31.719426,12.876269,-7.338691,33.165711,5.529914,-14.894459,-10.317238,4.308702,-21.583285,-10.427986,-7.932880,5.788827,9.208498,-1.528889,-32.515471,9.126195,8.874700,-34.015300,-0.243231,8.845799,-60.424720,-4.612914,-2.188100,-62.620611,-1.991233,-2.926276,-101.008091,-0.131110,1.673136,-32.971451,-2.546863,0.147193,-67.510740,-2.358996,8.368176,-35.874359,-6.463458,3.062007,-76.617007,-13.105875,-0.937675,-60.582795,-1.171415,-1.404859,-89.759675,-0.623869,-3.588835,-33.007317,-7.283333,-8.137370,-68.044236,-7.122173,10.328069,-32.204501,-12.399545,-3.304255,-83.310788,-14.748062,-3.485833,-54.821745,-3.534480,-4.943979,-84.507258,-1.978313,-3.788957,-31.687114,-0.984867,-4.520958,-69.932977,-1.131583,15.315435,-5.567044,-24.893153,15.315444,-5.567052,-24.893168,7.171881,-21.117768,7.536981,7.368190,-81.242370,3.511233,-1.425996,-51.399124,-8.600241,-5.635129,-79.480436,-8.138910,-5.251799,-27.765347,1.479795,-3.239508,-76.655930,2.956709,1
1.533974,-3.501865,-1.111365,-0.397554,-0.774647,1.479311,-14.873355,76.895609,22.907270,75.548775,-163.296123,-66.953408,-41.534470,-28.075468,61.410902,-37.406026,-30.621891,63.026627,17.658230,-4.544824,31.714623,12.840640,-7.363411,33.155740,5.549351,-14.787172,-10.314284,4.290675,-21.681454,-10.428572,-7.954020,5.920514,9.201361,-1.557764,-32.335765,9.136600,8.911257,-34.086090,-0.274181,8.843928,-60.434872,-4.612537,-2.185707,-62.551826,-1.994007,-2.926335,-101.036324,-0.129622,1.679835,-32.821098,-2.545641,0.147170,-67.511156,-2.358973,8.364149,-36.009192,-6.489493,3.062278,-76.590184,-13.084847,-0.940271,-60.710364,-1.169605,-1.404915,-89.765260,-0.623746,-3.598907,-33.086231,-7.286105,-8.137978,-68.049155,-7.121961,10.324424,-32.302576,-12.425404,-3.301296,-83.286172,-14.729361,-3.493422,-54.945023,-3.529733,-4.944292,-84.516047,-1.977757,-3.790234,-31.761326,-0.985605,-4.521307,-69.950787,-1.131525,15.315446,-5.567041,-24.893156,15.315448,-5.567044,-24.893166,7.193199,-21.174572,7.521759,7.363497,-81.215482,3.533750,-1.444631,-51.522337,-8.602766,-5.636891,-79.492824,-8.138251,-5.250010,-27.834278,1.482961,-3.238816,-76.669242,2.956848,1
1.580740,-3.610632,-1.126514,-0.788712,-1.053119,1.670898,-14.966348,77.047039,22.946121,75.620982,-163.317748,-67.067273,-41.559719,-28.058067,61.399367,-37.386060,-30.633272,63.033511,17.671431,-4.539102,31.704692,12.857509,-7.351271,33.164955,5.566823,-14.690670,-10.311618,4.283476,-21.720631,-10.428765,-7.974027,6.045197,9.194568,-1.583256,-32.177130,9.145699,8.941952,-34.137225,-0.299203,8.854309,-60.382768,-4.615701,-2.183213,-62.480216,-1.996869,-2.926353,-101.041673,-0.129332,1.686252,-32.676197,-2.544458,0.147289,-67.508566,-2.359029,8.356826,-36.121293,-6.508623,3.069954,-76.556115,-13.082424,-0.942598,-60.824478,-1.167963,-1.405167,-89.788077,-0.623233,-3.608680,-33.162761,-7.288808,-8.137817,-68.047873,-7.122012,10.321581,-32.379773,-12.445810,-3.298477,-83.271100,-14.723775,-3.500274,-55.056221,-3.525418,-4.944713,-84.528300,-1.976966,-3.791390,-31.828653,-0.986292,-4.521025,-69.936377,-1.131589,15.315459,-5.567039,-24.893155,15.315449,-5.567054,-24.893159,7.212451,-21.207680,7.510196,7.363794,-81.234922,3.535540,-1.463220,-51.645226,-8.605243,-5.635640,-79.484006,-8.138703,-5.248543,-27.891097,1.485559,-3.239713,-76.651917,2.956647,1
1.533342,-3.503877,-1.078868,-0.868177,-1.152205,1.817942,-15.063084,77.176543,22.975885,75.687149,-163.397126,-67.207862,-41.594431,-28.034290,61.383607,-37.362191,-30.646160,63.041262,17.687049,-4.533031,31.690820,12.877662,-7.336121,33.175944,5.582842,-14.602192,-10.309128,4.277301,-21.754417,-10.428934,-7.993165,6.164764,9.187992,-1.608518,-32.020362,9.154620,8.968070,-34.174137,-0.319709,8.867745,-60.311108,-4.618717,-2.180614,-62.405929,-1.999866,-2.926365,-101.045089,-0.129147,1.692553,-32.534501,-2.543265,0.147415,-67.505479,-2.359101,8.346768,-36.217600,-6.522619,3.079299,-76.518344,-13.082511,-0.944723,-60.928513,-1.166471,-1.405458,-89.815847,-0.622602,-3.618158,-33.237067,-7.291412,-8.137398,-68.044419,-7.122166,10.318697,-32.442829,-12.462205,-3.295619,-83.257738,-14.720895,-3.506544,-55.158236,-3.521464,-4.945187,-84.542130,-1.976084,-3.792439,-31.890252,-0.986908,-4.520669,-69.918588,-1.131626,15.315442,-5.567044,-24.893160,15.315452,-5.567047,-24.893163,7.230593,-21.225369,7.500945,7.364914,-81.258312,3.533257,-1.481597,-51.766601,-8.607661,-5.633820,-79.471283,-8.139378,-5.247320,-27.938397,1.487728,-3.240791,-76.631352,2.956441,1
