R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
1.355115,-1.685165,-4.625219,0.471559,0.740199,0.86425,-80.938805,-154.521401,-166.530802,46.523337,142.356395,-178.198522,-36.186461,-31.279374,63.417356,-32.451545,-33.072242,64.413266,-3.065341,-18.011694,34.414883,0.849011,-15.616443,35.4768,1.478489,-37.109729,-10.132959,-0.205268,-46.783892,-9.568111,-4.180004,-16.597407,9.686839,-1.262943,-34.180697,9.025583,4.018466,-17.569605,2.974936,2.821856,-41.870548,3.577036,-2.23972,-64.129423,-1.929906,-0.33232,-21.932851,-3.011617,1.342923,-40.332515,-2.584917,2.633244,-9.925032,-2.163069,10.552565,-25.161324,-5.319217,2.888742,-71.156679,-9.283943,-1.156338,-72.173296,-0.983117,-1.39065,-88.483447,-0.652349,-6.085222,-52.080303,-7.544999,-8.089733,-67.659644,-7.139069,11.078156,-30.482962,-12.284287,-3.636483,-84.023784,-13.779007,-4.419393,-71.777025,-2.737462,-4.869871,-82.423579,-2.110257,-4.262881,-56.919373,-1.137496,-4.518777,-69.82208,-1.131882,15.31545,-5.567041,-24.893156,15.31545,-5.567045,-24.893155,6.844396,-32.952126,6.420806,7.786738,-89.803263,1.435987,-2.470393,-58.267924,-8.679929,-5.024396,-75.246403,-8.340186,-4.252575,-55.750796,2.542155,-3.6926,-67.684647,2.824432,6
2.393352,-0.574341,-2.935166,-0.487678,2.303732,1.390246,-80.954072,-155.653468,-165.305188,45.535228,141.492763,-179.140231,-36.150247,-31.298126,63.428305,-32.291619,-33.142322,64.449842,-3.071753,-18.019957,34.430761,0.831584,-15.64052,35.54334,1.479086,-37.10636,-10.133119,-0.165819,-46.550013,-9.585088,-4.179583,-16.599751,9.686816,-1.277029,-34.092109,9.03112,4.004167,-17.592767,2.978034,2.741091,-41.739036,3.637157,-2.233505,-63.94555,-1.93745,-0.322357,-21.743607,-3.01309,1.347162,-40.238654,-2.584695,2.63483,-9.883053,-2.162027,10.576279,-25.133237,-5.322747,2.962906,-70.562437,-9.202009,-1.156286,-72.170339,-0.983174,-1.387916,-88.243632,-0.657655,-6.090437,-52.119845,-7.544667,-8.039605,-67.255888,-7.156461,11.090751,-30.542495,-12.307363,-3.559636,-83.716117,-13.810192,-4.425909,-71.913815,-2.729946,-4.870066,-82.428921,-2.109932,-4.265045,-57.028938,-1.137709,-4.514052,-69.582908,-1.132502,15.31545,-5.567048,-24.893154,15.31545,-5.567043,-24.893167,6.92356,-33.115332,6.354044,7.782177,-89.597482,1.448147,-2.495513,-58.432687,-8.680321,-5.033312,-75.307567,-8.337612,-4.248344,-55.846139,2.544865,-3.702079,-67.491823,2.82083,6
2.553091,-1.067339,-0.914804,-0.534574,3.362589,2.014498,-80.984863,-156.11559,-164.835565,44.687883,140.4049,179.79308,-36.058307,-31.346218,63.456379,-32.05307,-33.245433,64.503249,-3.0541,-18.017841,34.46619,0.788799,-15.688684,35.64433,1.481863,-37.090809,-10.133776,-0.108913,-46.213411,-9.609209,-4.186008,-16.562194,9.687254,-1.310217,-33.883288,9.044097,3.990288,-17.64125,2.980426,2.651668,-41.639822,3.704738,-2.22464,-63.683667,-1.948165,-0.306588,-21.444319,-3.01533,1.354947,-40.066183,-2.584281,2.639883,-9.748796,-2.158683,10.591798,-25.14242,-5.330994,3.111718,-69.483174,-9.092676,-1.156722,-72.196362,-0.9827,-1.378071,-87.398288,-0.676299,-6.093871,-52.145929,-7.544445,-7.935827,-66.423334,-7.191183,11.083357,-30.666649,-12.33941,-3.44326,-83.264135,-13.872985,-4.436372,-72.13436,-2.717802,-4.868696,-82.39146,-2.112274,-4.267709,-57.162872,-1.137941,-4.507484,-69.249236,-1.133354,15.315445,-5.567042,-24.893154,15.315436,-5.567042,-24.893159,6.98289,-33.294588,6.298032,7.779078,-89.376245,1.399329,-2.531685,-58.669845,-8.680712,-5.041297,-75.362165,-8.335288,-4.242164,-55.985835,2.548834,-3.713547,-67.258565,2.8164,6
2.445208,-1.059454,-0.884272,-0.59672,3.915595,2.347726,-80.991135,-156.439684,-164.508754,44.055957,139.713247,179.051188,-35.955993,-31.39913,63.487162,-31.801462,-33.353783,64.558985,-3.032133,-18.014006,34.505359,0.725284,-15.753213,35.75246,1.484852,-37.074065,-10.134517,-0.048806,-45.858888,-9.634268,-4.193239,-16.519684,9.687737,-1.351968,-33.621124,9.060253,3.974899,-17.69596,2.983056,2.550546,-41.54435,3.781217,-2.214454,-63.3852,-1.960323,-0.283384,-21.003822,-3.018492,1.364403,-39.856658,-2.583741,2.647169,-9.55532,-2.15386,10.605649,-25.157095,-5.339757,3.259341,-68.380881,-8.976441,-1.157183,-72.223015,-0.982226,-1.36571,-86.367936,-0.698821,-6.096817,-52.16831,-7.54424,-7.823023,-65.522969,-7.227013,11.070644,-30.808275,-12.373992,-3.320979,-82.795096,-13.940933,-4.44725,-72.364759,-2.7051,-4.867156,-82.349496,-2.114902,-4.270393,-57.299114,-1.138163,-4.500538,-68.89726,-1.134217,15.315451,-5.567036,-24.893154,15.315444,-5.567046,-24.893163,7.038183,-33.475776,6.244004,7.777143,-89.152555,1.328829,-2.56928,-58.916318,-8.680979,-5.048687,-75.412877,-8.333132,-4.2357,-56.131018,2.552924,-3.725544,-67.013912,2.811725,6
3.286369,2.059017,0.382184,-1.157769,4.932668,0.196077,-81.116567,-157.687019,-163.313939,43.633115,138.970787,177.420481,-35.860831,-31.448549,63.515864,-31.571433,-33.451554,64.608841,-3.01605,-18.013348,34.542299,0.640329,-15.831797,35.853964,1.482177,-37.089093,-10.133868,-0.007981,-45.618622,-9.651051,-4.193315,-16.519203,9.687748,-1.40873,-33.265549,9.081824,3.961007,-17.769679,2.984888,2.42843,-41.356083,3.869772,-2.211445,-63.297214,-1.963898,-0.256374,-20.491864,-3.021934,1.368807,-39.758606,-2.58348,2.65687,-9.296664,-2.147349,10.603564,-25.183603,-5.344635,3.48401,-66.743136,-8.823496,-1.158231,-72.284227,-0.98111,-1.322997,-83.036073,-0.770081,-6.104322,-52.225203,-7.543763,-7.489157,-62.884459,-7.32168,11.035264,-30.989263,-12.408894,-3.159451,-82.180895,-14.028322,-4.460887,-72.655254,-2.68902,-4.8702,-82.432784,-2.109675,-4.273962,-57.478583,-1.138456,-4.495044,-68.618851,-1.134842,15.315446,-5.567041,-24.893162,15.315442,-5.567037,-24.893155,7.086208,-33.657665,6.19426,7.777222,-88.830734,1.182979,-2.608746,-59.174989,-8.681081,-5.058366,-75.479258,-8.330298,-4.227518,-56.314989,2.558079,-3.738339,-66.752465,2.806655,6
3.508262,2.205514,0.417878,-1.208267,5.227639,0.176474,-81.243361,-159.161895,-161.903774,43.245759,138.470139,176.337374,-35.762647,-31.499046,63.545095,-31.343259,-33.547224,64.657202,-2.999337,-18.012292,34.580339,0.539682,-15.922092,35.956439,1.478505,-37.109708,-10.132952,0.029825,-45.396487,-9.666412,-4.192415,-16.524459,9.687697,-1.47235,-32.867872,9.105567,3.946828,-17.852411,2.986619,2.296349,-41.144436,3.9638,-2.209605,-63.243373,-1.966083,-0.227388,-19.942931,-3.025346,1.372447,-39.678308,-2.583259,2.668559,-8.984245,-2.139461,10.59674,-25.218887,-5.349484,3.700618,-65.106407,-8.662534,-1.159443,-72.355197,-0.979819,-1.273821,-79.541015,-0.842029,-6.112674,-52.288645,-7.543203,-7.134715,-60.11958,-7.404152,10.991854,-31.188978,-12.445201,-2.989815,-81.545474,-14.121252,-4.475246,-72.962749,-2.671889,-4.874625,-82.553331,-2.102128,-4.277732,-57.669532,-1.138761,-4.489797,-68.353391,-1.135443,15.315446,-5.56704,-24.893159,15.315445,-5.567044,-24.893159,7.130913,-33.841653,6.146126,7.780726,-88.48647,0.99741,-2.649097,-59.439517,-8.681002,-5.068366,-75.547781,-8.327357,-4.218777,-56.510938,2.563556,-3.751317,-66.486983,2.801454,6
3.790656,2.390624,0.462794,-1.215038,5.331939,0.147178,-81.354891,-160.719623,-160.417269,42.88369,138.094408,175.535157,-35.662573,-31.549903,63.574433,-31.117449,-33.641676,64.704641,-2.982214,-18.011355,34.619251,0.428375,-16.020697,36.058983,1.473911,-37.135379,-10.131848,0.065368,-45.187942,-9.680686,-4.190794,-16.533988,9.687592,-1.540003,-32.446241,9.130216,3.932393,-17.942711,2.988278,2.15726,-40.914884,4.060856,-2.208591,-63.213956,-1.967277,-0.198032,-19.387922,-3.028534,1.375415,-39.612483,-2.583085,2.68146,-8.637527,-2.130594,10.585988,-25.262615,-5.354564,3.903148,-63.511229,-8.497134,-1.1608,-72.434815,-0.978388,-1.22316,-76.222247,-0.907453,-6.121774,-52.357895,-7.542588,-6.788698,-57.44924,-7.467368,10.942246,-31.402308,-12.48229,-2.815898,-80.904535,-14.217757,-4.49005,-73.282142,-2.654025,-4.88035,-82.709992,-2.092283,-4.281708,-57.869464,-1.139065,-4.484767,-68.098659,-1.135969,15.31544,-5.567042,-24.893164,15.315438,-5.567043,-24.893164,7.173023,-34.027733,6.099151,7.788171,-88.12714,0.78113,-2.690037,-59.707998,-8.680729,-5.078654,-75.618331,-8.324329,-4.2096,-56.716169,2.569261,-3.76431,-66.220813,2.796195,6
2.563373,-0.081414,-1.771026,0.83081,4.467739,-3.976262,-81.24894,-159.834482,-161.336352,42.859736,137.43012,174.050132,-35.654974,-31.55397,63.576791,-30.935716,-33.716194,64.741699,-2.981858,-18.01172,34.622213,0.263124,-16.155943,36.14972,1.472174,-37.14508,-10.131419,0.080048,-45.101953,-9.686537,-4.189287,-16.542867,9.687471,-1.60002,-32.073127,9.151624,3.932887,-17.970587,2.98749,1.953758,-40.397235,4.190248,-2.208125,-63.200405,-1.967845,-0.175187,-18.956162,-3.03082,1.378368,-39.547103,-2.582874,2.694704,-8.280468,-2.121395,10.585162,-25.318575,-5.366309,4.436414,-59.462772,-8.132243,-1.162143,-72.513071,-0.976951,-1.074546,-67.593835,-1.06279,-6.133858,-52.449599,-7.541777,-6.026812,-51.636982,-7.548438,10.90885,-31.579546,-12.516934,-2.290003,-78.932379,-14.420242,-4.501529,-73.531179,-2.640054,-4.888625,-82.937871,-2.077944,-4.2861,-58.091982,-1.139389,-4.478498,-67.782185,-1.136626,15.31545,-5.567054,-24.893168,15.315442,-5.567043,-24.893153,7.235133,-34.23237,6.036412,7.808205,-86.978983,0.443219,-2.73532,-60.004924,-8.680204,-5.088317,-75.684689,-8.321472,-4.19691,-56.999092,2.577069,-3.78517,-65.792011,2.787568,6
2.426189,-0.086825,-1.686646,0.824937,4.340826,-3.897918,-81.159957,-159.184122,-162.016634,42.689896,136.94838,172.98678,-35.657372,-31.552873,63.576169,-30.760087,-33.787898,64.777156,-2.983412,-18.013008,34.621591,0.08479,-16.300759,36.239563,1.470349,-37.155269,-10.130987,0.092247,-45.030523,-9.691396,-4.187427,-16.553801,9.687335,-1.659446,-31.70459,9.172396,3.935921,-17.991499,2.986199,1.734481,-39.821127,4.322843,-2.208082,-63.199009,-1.967887,-0.153568,-18.548209,-3.032828,1.380969,-39.489279,-2.582719,2.708047,-7.918811,-2.111982,10.583699,-25.382557,-5.379531,4.879904,-55.791566,-7.759667,-1.163551,-72.595853,-0.975452,-0.937496,-60.574686,-1.17155,-6.14698,-52.549269,-7.540855,-5.366124,-46.631901,-7.555695,10.875408,-31.755226,-12.551067,-1.747169,-76.950558,-14.616172,-4.512802,-73.77708,-2.626185,-4.898147,-83.202624,-2.061247,-4.29066,-58.321617,-1.139693,-4.472228,-67.465024,-1.137219,15.315446,-5.567036,-24.89315,15.315445,-5.56704,-24.89316,7.299386,-34.440813,5.971217,7.850704,-85.729498,0.065866,-2.781252,-60.306123,-8.679438,-5.098068,-75.75164,-8.318551,-4.183483,-57.297895,2.585244,-3.806934,-65.343601,2.778374,6
4.776149,-1.13544,-1.886416,0.988391,7.05187,-7.118032,-81.077764,-159.000257,-162.340022,43.56316,135.887014,170.79828,-35.689723,-31.53665,63.566834,-30.674546,-33.822918,64.794425,-2.965736,-17.997299,34.605703,-0.026283,-16.389743,36.286106,1.464225,-37.18958,-10.129474,0.091953,-45.032229,-9.691256,-4.181222,-16.590269,9.686922,-1.676355,-31.599856,9.17823,3.954133,-17.994493,2.981282,1.570443,-39.184408,4.405764,-2.209874,-63.251634,-1.965744,-0.145568,-18.397277,-3.03351,1.379885,-39.513102,-2.582777,2.719732,-7.601208,-2.103655,10.599762,-25.448258,-5.400327,5.017181,-54.337303,-7.568521,-1.166213,-72.753024,-0.972579,-0.880075,-57.81182,-1.209615,-6.171361,-52.734582,-7.539082,-5.071848,-44.402059,-7.540271,10.841071,-31.980484,-12.599169,-1.469724,-75.994693,-14.740359,-4.529988,-74.154571,-2.604835,-4.909264,-83.51445,-2.041522,-4.297044,-58.643067,-1.140102,-4.467415,-67.222076,-1.137654,15.31544,-5.567048,-24.893168,15.315441,-5.567044,-24.893161,7.36115,-34.683486,5.903534,7.89711,-84.802311,-0.225463,-2.843631,-60.715285,-8.677997,-5.112055,-75.847738,-8.314372,-4.166326,-57.678417,2.595568,-3.822517,-65.020993,2.771669,6
