R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
0.529941,0.416999,0.142360,-1.844919,-0.369478,0.816307,-16.003272,-95.070367,126.158898,12.353672,-104.055834,-57.335588,-57.694872,-8.370951,46.152227,-56.986994,-9.899169,47.430644,5.592005,-11.982738,23.671867,8.847372,-10.518720,23.964976,5.195790,-16.733680,-10.361929,3.953983,-23.514929,-10.433285,-9.262975,14.336444,8.646013,-7.902019,5.596725,9.218802,-2.264500,-19.182433,4.721428,0.526918,-16.000079,3.809103,-0.188545,-19.208586,-3.029514,-0.549837,-26.093566,-2.971165,2.720645,-7.576274,-2.102993,2.577766,-11.383364,-2.198544,6.336179,-24.470059,-3.507761,4.586651,-27.434627,-3.096025,0.160339,-14.365785,-1.401336,0.036587,-19.386836,-1.420426,-0.294445,-3.939829,-5.378085,-0.512796,-6.215095,-5.584799,11.451317,-23.840394,-10.649619,5.947661,-25.442693,-8.905461,-0.546508,-12.751693,-4.101307,-0.743910,-15.494013,-4.131691,-3.458909,-9.366548,-0.691355,-3.466065,-9.956642,-0.700687,15.315450,-5.567042,-24.893160,15.315445,-5.567043,-24.893156,14.512481,-15.709121,6.046421,3.207802,-17.406638,9.237756,3.772012,-12.169037,-5.905405,3.670234,-13.145910,-6.012995,-5.625197,-3.623986,0.274059,-5.622506,-4.160345,0.302173,0
-0.133102,-0.010665,0.301185,-1.340403,0.683213,0.610903,-16.087354,-94.988655,126.025701,12.288512,-104.133570,-57.336056,-57.705454,-8.347163,46.132257,-56.990610,-9.891458,47.424228,5.599032,-11.979670,23.665155,8.879717,-10.504172,23.961973,5.188275,-16.774933,-10.362826,3.930589,-23.642299,-10.433216,-9.269264,14.378305,8.642784,-7.887167,5.504327,9.223749,-2.253646,-19.348753,4.734000,0.520288,-15.830429,3.804297,-0.191701,-19.268427,-3.029184,-0.546080,-26.021097,-2.971997,2.720030,-7.592872,-2.103438,2.579695,-11.333073,-2.197353,6.308441,-24.547202,-3.506658,4.562506,-27.432222,-3.084648,0.160030,-14.378012,-1.401378,0.038497,-19.309959,-1.420214,-0.295642,-3.952809,-5.379298,-0.507361,-6.159467,-5.579867,11.432346,-23.931276,-10.666091,5.904922,-25.505132,-8.898037,-0.549958,-12.799654,-4.101917,-0.738921,-15.425049,-4.131053,-3.459448,-9.411710,-0.692063,-3.465621,-9.919923,-0.700102,15.315444,-5.567037,-24.893159,15.315441,-5.567040,-24.893160,14.589649,-15.839484,5.987999,3.169050,-17.488436,9.245195,3.767829,-12.209493,-5.909895,3.671512,-13.133716,-6.011668,-5.625069,-3.648933,0.275362,-5.622599,-4.141026,0.301169,0
-0.127913,-0.014385,0.274040,-1.274574,0.659020,0.571261,-16.177822,-94.903158,125.882248,12.232900,-104.207926,-57.337308,-57.713829,-8.328120,46.116273,-56.995089,-9.881884,47.416265,5.606627,-11.976115,23.659612,8.910116,-10.490616,23.958545,5.179652,-16.822285,-10.363821,3.909166,-23.758847,-10.433096,-9.275362,14.418995,8.639610,-7.873750,5.420999,9.228168,-2.244145,-19.518287,4.747266,0.510872,-15.656798,3.799960,-0.194212,-19.315554,-3.028936,-0.541654,-25.935757,-2.972994,2.719743,-7.600893,-2.103654,2.581849,-11.277057,-2.196010,6.275626,-24.622147,-3.503146,4.540220,-27.422962,-3.073466,0.160017,-14.378935,-1.401395,0.040503,-19.228724,-1.419987,-0.296192,-3.958512,-5.379822,-0.501971,-6.104394,-5.574961,11.411739,-24.019925,-10.681378,5.867119,-25.563758,-8.891940,-0.552913,-12.840865,-4.102432,-0.733998,-15.356756,-4.130411,-3.459951,-9.452915,-0.692722,-3.465162,-9.883975,-0.699537,15.315440,-5.567044,-24.893159,15.315438,-5.567046,-24.893159,14.662217,-15.968366,5.931059,3.134692,-17.573626,9.251198,3.763384,-12.252399,-5.914656,3.673068,-13.119051,-6.010067,-5.624948,-3.673934,0.276666,-5.622700,-4.123626,0.300269,0
-0.268880,0.094953,-0.074231,0.206196,0.448271,-0.005773,-16.257998,-94.871251,125.838930,12.155171,-104.145151,-57.315319,-57.712430,-8.331234,46.118890,-56.995705,-9.881013,47.415511,5.599085,-11.979498,23.660864,8.905068,-10.493051,23.958402,5.166636,-16.893768,-10.365321,3.888386,-23.871988,-10.432962,-9.279325,14.445456,8.637574,-7.855464,5.307410,9.234165,-2.227790,-19.623623,4.752493,0.481131,-15.553576,3.802604,-0.196411,-19.357203,-3.028713,-0.537930,-25.864091,-2.973806,2.719520,-7.607069,-2.103809,2.582955,-11.248033,-2.195319,6.251095,-24.712445,-3.504856,4.521916,-27.360672,-3.058922,0.159343,-14.406081,-1.401521,0.042637,-19.142242,-1.419741,-0.297236,-3.969567,-5.380850,-0.497587,-6.059382,-5.570941,11.385753,-24.109863,-10.695050,5.856399,-25.561008,-8.887160,-0.555921,-12.882652,-4.102963,-0.728464,-15.280099,-4.129671,-3.460210,-9.475498,-0.693092,-3.464796,-9.853487,-0.699053,15.315447,-5.567040,-24.893158,15.315445,-5.567039,-24.893156,14.684162,-16.039857,5.905009,3.148935,-17.673245,9.241518,3.758562,-12.299173,-5.919840,3.677075,-13.080836,-6.005882,-5.624905,-3.685048,0.277269,-5.622843,-4.095757,0.298794,0
-0.334530,0.115294,-0.097485,0.178722,0.342237,-0.017497,-16.327414,-94.846973,125.803426,12.090633,-104.095997,-57.297372,-57.708241,-8.340844,46.126952,-56.995453,-9.881347,47.415799,5.587685,-11.984516,23.663989,8.891793,-10.498973,23.958845,5.151630,-16.976182,-10.367026,3.868468,-23.980384,-10.432755,-9.282725,14.468073,8.635806,-7.836697,5.190957,9.240264,-2.210443,-19.712318,4.755827,0.446207,-15.465068,3.806825,-0.198278,-19.392521,-3.028516,-0.534108,-25.790575,-2.974643,2.719439,-7.608984,-2.103873,2.583899,-11.223383,-2.194723,6.226645,-24.805107,-3.506829,4.505078,-27.289344,-3.044230,0.158686,-14.433261,-1.401661,0.044873,-19.052537,-1.419487,-0.298059,-3.978462,-5.381668,-0.493475,-6.017246,-5.567177,11.357177,-24.198478,-10.707408,5.852854,-25.547868,-8.883665,-0.558723,-12.921757,-4.103455,-0.722810,-15.201719,-4.128900,-3.460427,-9.492284,-0.693347,-3.464459,-9.824840,-0.698616,15.315441,-5.567043,-24.893157,15.315435,-5.567044,-24.893153,14.694440,-16.098969,5.885898,3.173952,-17.779305,9.228098,3.753495,-12.348017,-5.925246,3.682213,-13.031929,-6.000539,-5.624855,-3.692563,0.277654,-5.622991,-4.065992,0.297240,0
-0.512036,0.172890,-0.155891,0.159623,0.276955,-0.023218,-16.387348,-94.829047,125.774579,12.033565,-104.055187,-57.281806,-57.701846,-8.355200,46.139008,-56.994725,-9.882839,47.417047,5.572501,-11.991136,23.668601,8.872839,-10.507559,23.959779,5.134931,-17.067769,-10.368901,3.849213,-24.085300,-10.432547,-9.285631,14.487518,8.634310,-7.817560,5.072184,9.246449,-2.192101,-19.787517,4.757554,0.402419,-15.388265,3.813282,-0.199874,-19.423031,-3.028352,-0.530238,-25.715947,-2.975475,2.719497,-7.607540,-2.103825,2.584703,-11.202353,-2.194239,6.202444,-24.899154,-3.509001,4.490732,-27.188218,-3.027838,0.158006,-14.460596,-1.401791,0.047153,-18.960524,-1.419238,-0.298739,-3.985594,-5.382321,-0.489616,-5.977523,-5.563610,11.326146,-24.285596,-10.718441,5.854756,-25.527754,-8.881298,-0.561357,-12.958795,-4.103936,-0.717063,-15.122150,-4.128124,-3.460574,-9.504535,-0.693533,-3.464137,-9.797770,-0.698173,15.315438,-5.567041,-24.893159,15.315443,-5.567043,-24.893160,14.696065,-16.148702,5.872017,3.206756,-17.890553,9.211893,3.748268,-12.398403,-5.930808,3.688350,-12.973200,-5.994095,-5.624839,-3.697040,0.277880,-5.623157,-4.034558,0.295597,0
-0.038877,1.567853,-0.356846,-0.392449,1.079951,0.268453,-16.396125,-94.787247,125.856343,12.010141,-104.050415,-57.391711,-57.706875,-8.344243,46.129790,-56.967596,-9.939014,47.463863,5.564849,-11.994768,23.666099,8.886490,-10.500373,23.975291,5.128274,-17.104301,-10.369646,3.837920,-24.146743,-10.432410,-9.293687,14.541259,8.630135,-7.804235,4.989567,9.250742,-2.165514,-19.733056,4.744723,0.362304,-15.352586,3.820456,-0.198739,-19.401281,-3.028461,-0.527853,-25.669944,-2.975997,2.720003,-7.593714,-2.103461,2.585874,-11.171868,-2.193495,6.181727,-24.866927,-3.496483,4.471414,-27.117854,-3.012242,0.158887,-14.424542,-1.401611,0.048309,-18.913869,-1.419089,-0.295779,-3.954309,-5.379435,-0.487439,-5.955353,-5.561653,11.311485,-24.248479,-10.703726,5.837285,-25.556556,-8.878705,-0.558109,-12.913292,-4.103363,-0.716529,-15.114716,-4.128063,-3.460164,-9.471350,-0.693010,-3.464261,-9.808877,-0.698351,15.315441,-5.567047,-24.893161,15.315441,-5.567042,-24.893152,14.664032,-16.103644,5.894163,3.227432,-17.981690,9.200483,3.748242,-12.398665,-5.930852,3.690638,-12.951525,-5.991725,-5.624917,-3.680106,0.276998,-5.623192,-4.026893,0.295194,0
-0.047250,2.435328,-0.565357,-0.516874,1.456123,0.352526,-16.404638,-94.753965,125.925326,11.986591,-104.047214,-57.497600,-57.712331,-8.331649,46.119229,-56.932006,-10.012674,47.525221,5.556322,-11.998624,23.663275,8.902713,-10.491423,23.995535,5.122569,-17.135656,-10.370280,3.827767,-24.201987,-10.432279,-9.302543,14.600342,8.625510,-7.791489,4.910593,9.254810,-2.133618,-19.668032,4.729451,0.317410,-15.326897,3.828992,-0.197263,-19.373208,-3.028619,-0.525683,-25.628384,-2.976474,2.720634,-7.576767,-2.103013,2.587026,-11.141631,-2.192768,6.160983,-24.824218,-3.482648,4.452231,-27.041725,-2.996224,0.159875,-14.384129,-1.401419,0.049316,-18.873218,-1.418969,-0.292377,-3.918044,-5.376070,-0.485682,-5.937136,-5.560008,11.295417,-24.200855,-10.685867,5.819750,-25.588791,-8.876632,-0.554478,-12.862773,-4.102720,-0.716609,-15.115807,-4.128063,-3.459707,-9.433156,-0.692409,-3.464455,-9.825606,-0.698617,15.315446,-5.567042,-24.893159,15.315449,-5.567048,-24.893161,14.626514,-16.051491,5.919857,3.250420,-18.071589,9.188378,3.748922,-12.392151,-5.930121,3.692618,-12.932572,-5.989648,-5.625015,-3.659057,0.275895,-5.623208,-4.022445,0.294947,0
-0.891024,2.207130,-0.506075,-0.170904,1.390462,-0.221511,-16.367106,-94.723778,125.816045,11.987708,-104.007967,-57.514150,-57.713458,-8.329102,46.117093,-56.924577,-10.027868,47.537881,5.541258,-12.005005,23.663264,8.911902,-10.486871,23.999572,5.121755,-17.140100,-10.370359,3.832506,-24.176215,-10.432343,-9.316155,14.691338,8.618386,-7.789427,4.897891,9.255460,-2.103335,-19.594122,4.713916,0.278271,-15.239358,3.833750,-0.197383,-19.375553,-3.028614,-0.527062,-25.655183,-2.976180,2.721145,-7.562860,-2.102641,2.586317,-11.160122,-2.193205,6.152227,-24.766323,-3.471795,4.446545,-26.936116,-2.983546,0.159847,-14.385515,-1.401422,0.048631,-18.900512,-1.419051,-0.290382,-3.896892,-5.374116,-0.486496,-5.945580,-5.560766,11.272388,-24.139869,-10.662171,5.820416,-25.590470,-8.877160,-0.554112,-12.857789,-4.102661,-0.719645,-15.158124,-4.128486,-3.459439,-9.410456,-0.692038,-3.464705,-9.843024,-0.698884,15.315446,-5.567045,-24.893155,15.315438,-5.567045,-24.893157,14.580950,-15.994453,5.949294,3.295197,-18.203030,9.166963,3.746822,-12.412454,-5.932384,3.691687,-12.941510,-5.990640,-5.625075,-3.649193,0.275392,-5.623172,-4.033399,0.295538,0
-1.021573,2.516606,-0.588803,-0.169491,1.538037,-0.267485,-16.330680,-94.694637,125.708619,11.987740,-103.974521,-57.529818,-57.714101,-8.327304,46.115600,-56.920466,-10.036630,47.545163,5.524018,-12.012557,23.663725,8.920792,-10.482775,24.001784,5.122146,-17.137916,-10.370318,3.839011,-24.140749,-10.432419,-9.331395,14.793334,8.610412,-7.789040,4.895547,9.255595,-2.072617,-19.490843,4.695665,0.238800,-15.144076,3.838143,-0.197584,-19.379551,-3.028596,-0.528954,-25.691503,-2.975761,2.721725,-7.546762,-2.102222,2.585320,-11.185942,-2.193822,6.146609,-24.694207,-3.460445,4.443836,-26.820691,-2.971312,0.159710,-14.391370,-1.401460,0.047735,-18.937233,-1.419163,-0.288306,-3.874740,-5.372050,-0.487877,-5.959793,-5.562037,11.247038,-24.067843,-10.634936,5.824504,-25.588029,-8.878441,-0.554030,-12.856345,-4.102633,-0.723080,-15.205608,-4.128943,-3.459125,-9.385013,-0.691650,-3.464923,-9.862989,-0.699199,15.315450,-5.567037,-24.893160,15.315438,-5.567038,-24.893150,14.522881,-15.917540,5.987788,3.347043,-18.342202,9.142675,3.744502,-12.434844,-5.934847,3.690123,-12.956387,-5.992273,-5.625119,-3.638867,0.274832,-5.623085,-4.048316,0.296312,0
