R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-1.811317,-14.60965,5.995796,-141.449094,197.588043,-22.657911,-78.980443,33.769938,42.087125,15.160779,140.830528,-131.709342,-30.872751,-33.742131,64.75457,-53.2712,-16.359349,52.710974,-1.850535,-17.713575,36.423579,11.825192,-8.908848,25.952771,2.512931,-31.38032,-10.331213,3.696022,-24.91915,-10.4296,-0.266411,-40.614864,8.565744,-5.979345,-6.022036,9.645205,6.611692,-16.764182,2.362106,3.319884,-35.260802,3.09734,-1.635071,-48.553715,-2.491381,-0.82948,-31.548204,-2.894427,2.039673,-24.58572,-2.452416,2.534751,-12.498282,-2.224712,4.398507,-63.390166,-9.322581,4.874954,-38.010326,-4.483431,-1.424272,-91.603692,-0.58218,-0.340176,-34.538618,-1.411784,-7.94043,-66.460196,-7.189674,-1.320932,-14.017496,-6.225185,-2.307044,-78.112311,-13.61814,7.816855,-33.260486,-11.327505,-4.839635,-81.60916,-2.161098,-2.343629,-37.648072,-4.028377,-4.493288,-68.531054,-1.135062,-3.617221,-21.034372,-0.860946,15.315439,-5.567046,-24.89315,15.315439,-5.567045,-24.893155,7.695833,-79.095871,1.657035,5.204502,-17.37089,8.624285,-4.962473,-74.822968,-8.357821,0.30265,-39.719925,-8.180886,-3.626212,-69.027053,2.848733,-5.487668,-16.591909,0.941722,3
-2.171902,-15.205565,6.323089,-76.308203,114.84349,-16.43283,-78.757184,33.908946,41.9922,13.395033,142.426043,-131.771487,-30.951768,-33.70983,64.738565,-53.339682,-16.259233,52.630964,-1.830952,-17.690839,36.388839,11.930483,-8.861026,25.918259,2.534602,-31.261329,-10.334233,3.763169,-24.553637,-10.431197,-0.270376,-40.588488,8.567853,-6.03489,-5.693223,9.638603,6.423972,-16.828933,2.403603,3.35722,-35.303886,3.074189,-1.641565,-48.70334,-2.486806,-0.845214,-31.859722,-2.889247,2.036905,-24.650266,-2.453332,2.533031,-12.542728,-2.225739,4.383784,-63.300301,-9.26514,4.867145,-38.139646,-4.495347,-1.424606,-91.637673,-0.581404,-0.343988,-34.693251,-1.411184,-7.948692,-66.52624,-7.186962,-1.341052,-14.201858,-6.238972,-2.313102,-78.093528,-13.579809,7.803726,-33.286115,-11.326308,-4.84008,-81.621382,-2.160317,-2.361574,-37.903288,-4.02361,-4.493265,-68.528862,-1.135053,-3.621045,-21.289165,-0.864272,15.31545,-5.567042,-24.893167,15.315436,-5.567047,-24.893156,7.684238,-79.149854,1.710927,5.200128,-17.32653,8.629723,-4.966587,-74.851044,-8.35668,0.260631,-40.011902,-8.195622,-3.629239,-68.966081,2.847666,-5.483722,-16.83059,0.953679,3
0.65834,-15.880854,9.335225,-252.666072,219.127721,28.708539,-78.823212,35.311522,40.613138,11.87067,144.249682,-132.062077,-31.027852,-33.678589,64.723042,-53.504452,-16.015251,52.435728,-1.810818,-17.668428,36.355359,12.040422,-8.817769,25.834165,2.546013,-31.198695,-10.335804,3.784902,-24.435314,-10.431608,-0.279807,-40.525923,8.572847,-6.052739,-5.587539,9.636388,6.132056,-16.886792,2.471762,3.413275,-35.25334,3.038715,-1.648832,-48.870677,-2.481663,-0.839576,-31.747985,-2.891108,2.033297,-24.734796,-2.454544,2.534482,-12.505334,-2.224885,4.417578,-62.756615,-9.133738,4.891644,-38.220272,-4.523662,-1.425344,-91.71027,-0.579742,-0.345498,-34.754727,-1.410938,-7.958997,-66.60875,-7.183576,-1.35193,-14.301355,-6.246381,-2.240018,-77.759306,-13.568525,7.802411,-33.442608,-11.362768,-4.843487,-81.712136,-2.154692,-2.37087,-38.03544,-4.021093,-4.492711,-68.501373,-1.135103,-3.6234,-21.445971,-0.866332,15.315441,-5.567045,-24.893158,15.31544,-5.567037,-24.893158,7.67926,-79.100075,1.736746,5.292935,-17.614542,8.574003,-4.978336,-74.931349,-8.353362,0.224388,-40.263297,-8.208138,-3.638252,-68.784289,2.844446,-5.480697,-17.012875,0.962774,3
0.308943,-15.409246,9.097923,-143.885111,139.88108,8.60068,-78.827886,36.276676,39.671713,10.188225,146.251032,-132.488152,-31.114179,-33.642898,64.705239,-53.67571,-15.756886,52.228605,-1.791952,-17.645634,36.317819,12.157203,-8.772205,25.74644,2.555549,-31.146354,-10.33712,3.803644,-24.333295,-10.431934,-0.290694,-40.453674,8.578608,-6.066446,-5.506356,9.634692,5.821105,-16.946307,2.545095,3.466721,-35.203407,3.005008,-1.656429,-49.046445,-2.476243,-0.833762,-31.63303,-2.893031,2.029388,-24.825975,-2.455847,2.536257,-12.459645,-2.223813,4.4618,-62.09898,-8.98533,4.925241,-38.296681,-4.558004,-1.426163,-91.792131,-0.57789,-0.346928,-34.812822,-1.410712,-7.970109,-66.697849,-7.179888,-1.362287,-14.39595,-6.253411,-2.144611,-77.334537,-13.563607,7.804289,-33.581375,-11.396942,-4.84779,-81.827722,-2.147488,-2.380186,-38.168239,-4.01857,-4.491997,-68.46507,-1.135188,-3.625735,-21.599733,-0.868303,15.31544,-5.567039,-24.893163,15.315442,-5.567045,-24.893157,7.674788,-79.027514,1.760899,5.38096,-17.886063,8.520537,-4.992302,-75.026789,-8.3494,0.187703,-40.517474,-8.22064,-3.650194,-68.543357,2.840145,-5.477645,-17.194465,0.971839,3
6.145307,-15.354764,9.287015,-349.900904,202.725023,20.018179,-79.059945,38.057679,37.828089,8.670917,149.298865,-133.2111,-31.119689,-33.640437,64.703983,-53.787688,-15.586404,52.091672,-1.752132,-17.615311,36.3103,12.152278,-8.782431,25.688097,2.563036,-31.105229,-10.338123,3.804424,-24.329048,-10.431928,-0.315149,-40.291741,8.591454,-6.058257,-5.554873,9.635711,5.523117,-17.023366,2.614866,3.479903,-34.836634,2.995655,-1.660281,-49.135358,-2.473478,-0.813095,-31.224192,-2.89972,2.026903,-24.883858,-2.456683,2.540486,-12.350549,-2.221288,4.48105,-61.65305,-8.869996,4.961111,-38.230406,-4.574433,-1.426541,-91.828268,-0.577064,-0.340903,-34.568154,-1.41166,-7.972658,-66.718356,-7.179057,-1.345682,-14.244177,-6.242125,-2.074418,-77.018567,-13.55736,7.848743,-33.608467,-11.428407,-4.851963,-81.93914,-2.140541,-2.359982,-37.880701,-4.02404,-4.491075,-68.418003,-1.135297,-3.62349,-21.45181,-0.866391,15.315449,-5.567052,-24.893156,15.315445,-5.567039,-24.893156,7.667663,-78.891291,1.799489,5.476957,-18.118428,8.467445,-5.006922,-75.126857,-8.345219,0.215358,-40.325939,-8.211232,-3.660082,-68.343585,2.836557,-5.479828,-17.064978,0.965374,3
5.228391,-14.187327,8.606405,-199.904441,137.854744,6.009588,-79.213852,39.589043,36.252536,8.039339,150.555251,-133.559771,-31.112811,-33.643288,64.705411,-53.892563,-15.425609,51.962343,-1.708021,-17.583574,36.307364,12.131406,-8.800011,25.633184,2.569394,-31.070311,-10.338979,3.803444,-24.334338,-10.4319,-0.346935,-40.08149,8.608058,-6.048169,-5.614602,9.636954,5.227246,-17.104881,2.684653,3.487722,-34.358022,2.989729,-1.663645,-49.213659,-2.471061,-0.777079,-30.514552,-2.911002,2.024585,-24.93789,-2.457443,2.546844,-12.186394,-2.217482,4.496743,-61.224696,-8.757321,5.00123,-38.131882,-4.5893,-1.426855,-91.858573,-0.576378,-0.332606,-34.231558,-1.41295,-7.973915,-66.728331,-7.178643,-1.33058,-14.106028,-6.231823,-2.004049,-76.703895,-13.552893,7.899465,-33.626138,-11.461155,-4.85644,-82.059752,-2.133022,-2.344314,-37.657801,-4.028213,-4.489983,-68.362894,-1.13542,-3.621366,-21.310695,-0.864546,15.315436,-5.567044,-24.893163,15.315437,-5.567042,-24.893157,7.659782,-78.71968,1.842135,5.579949,-18.388704,8.407632,-5.022631,-75.234352,-8.340719,0.240663,-40.150445,-8.202538,-3.670226,-68.138178,2.832821,-5.481969,-16.936269,0.958957,3
4.277489,-12.240682,7.439327,-112.452936,86.00034,1.297865,-79.318458,40.988541,34.820302,7.106792,152.399069,-134.128895,-31.096363,-33.649902,64.708689,-53.993229,-15.26895,51.836219,-1.660642,-17.550407,36.307991,12.098894,-8.82344,25.580431,2.574933,-31.039926,-10.339708,3.80134,-24.345782,-10.431885,-0.384834,-39.831477,8.62763,-6.037171,-5.679683,9.638317,4.933148,-17.190399,2.754651,3.491085,-33.7968,2.986828,-1.666717,-49.284607,-2.468848,-0.730188,-29.594671,-2.924971,2.0224,-24.98913,-2.458177,2.555184,-11.970379,-2.21242,4.509513,-60.809686,-8.646715,5.045468,-38.000533,-4.602338,-1.42711,-91.884197,-0.575781,-0.319516,-33.701445,-1.414861,-7.974129,-66.730162,-7.178566,-1.311433,-13.930371,-6.218641,-1.933886,-76.391765,-13.549718,7.955911,-33.636124,-11.495287,-4.861188,-82.187871,-2.125019,-2.314653,-37.236742,-4.035923,-4.488739,-68.300387,-1.135549,-3.61954,-21.188777,-0.862954,15.315446,-5.567035,-24.893165,15.315443,-5.567042,-24.893158,7.651146,-78.517022,1.888467,5.687414,-18.678359,8.343488,-5.039213,-75.348036,-8.335896,0.261665,-40.004722,-8.19526,-3.680488,-67.930411,2.82901,-5.483921,-16.818973,0.953087,3
3.919488,-9.217087,5.718097,-453.321769,127.033289,14.479157,-79.379175,43.411527,32.370456,6.618488,156.25657,-135.920844,-31.047541,-33.670254,64.718864,-53.998474,-15.261187,51.829945,-1.567255,-17.48684,36.315854,11.832052,-8.954273,25.576178,2.569203,-31.071428,-10.338942,3.78313,-24.445024,-10.431554,-0.439029,-39.47483,8.655282,-6.037936,-5.675289,9.638224,4.680985,-17.223092,2.816901,3.528601,-33.494202,2.96456,-1.664808,-49.240341,-2.47023,-0.67957,-28.606373,-2.939112,2.020858,-25.024869,-2.458675,2.571898,-11.536276,-2.202193,4.483349,-60.594228,-8.539027,5.117974,-37.935528,-4.644278,-1.42766,-91.941586,-0.574473,-0.291062,-32.550556,-1.418587,-7.978403,-66.764321,-7.177137,-1.25306,-13.392742,-6.178005,-1.889197,-76.142987,-13.510844,8.004103,-33.503257,-11.490017,-4.863441,-82.249132,-2.12119,-2.237326,-36.142382,-4.05494,-4.487824,-68.253577,-1.135645,-3.612959,-20.749478,-0.857201,15.315444,-5.567048,-24.893169,15.315443,-5.56704,-24.893156,7.633716,-78.266742,1.974819,5.676815,-18.556237,8.359029,-5.050161,-75.422906,-8.332702,0.374979,-39.215911,-8.154941,-3.684143,-67.856133,2.82762,-5.491185,-16.375801,0.930916,3
3.333788,-8.600376,5.341374,-267.438037,108.383433,5.262433,-79.397846,45.518254,30.245087,6.320274,158.689317,-137.082603,-30.976721,-33.699453,64.733397,-53.997333,-15.262716,51.831194,-1.460984,-17.41589,36.331174,11.403713,-9.163358,25.575641,2.562573,-31.107851,-10.338051,3.766462,-24.535686,-10.431233,-0.498286,-39.086276,8.685018,-6.038656,-5.670858,9.638126,4.434539,-17.250111,2.878137,3.570371,-33.195925,2.940456,-1.662639,-49.19009,-2.471794,-0.627848,-27.601355,-2.952622,2.019471,-25.057208,-2.459123,2.59133,-11.028955,-2.190054,4.453682,-60.392742,-8.43151,5.199327,-37.865472,-4.691468,-1.428287,-92.001845,-0.573104,-0.258918,-31.254514,-1.422115,-7.982677,-66.798722,-7.175717,-1.177182,-12.688561,-6.123931,-1.848692,-75.902938,-13.465992,8.060168,-33.316266,-11.475804,-4.86546,-82.303664,-2.117777,-2.145272,-34.846535,-4.075571,-4.486886,-68.206288,-1.135738,-3.60384,-20.135973,-0.849059,15.315439,-5.567038,-24.893148,15.315437,-5.567043,-24.893154,7.613773,-77.995048,2.070024,5.661129,-18.432555,8.376396,-5.06055,-75.494176,-8.329681,0.534388,-38.099432,-8.09523,-3.687082,-67.796437,2.826524,-5.501439,-15.730293,0.898497,3
-3.618417,3.795358,6.68177,-254.501905,94.389088,35.255829,-79.546289,46.697618,29.122297,5.846568,159.685814,-137.21285,-31.015889,-33.68339,64.725414,-54.007929,-15.246829,51.818363,-1.352104,-17.331884,36.301573,11.387568,-9.172003,25.570152,2.55478,-31.150596,-10.336991,3.756594,-24.589424,-10.431044,-0.560744,-38.678102,8.715841,-6.046254,-5.625973,9.637197,4.297539,-17.269462,2.91212,3.745846,-33.157857,2.839127,-1.656044,-49.037451,-2.476519,-0.607553,-27.208271,-2.957653,2.022446,-24.987854,-2.458146,2.60745,-10.606144,-2.179814,4.398298,-60.431283,-8.357032,5.210065,-38.187786,-4.745202,-1.428804,-92.054674,-0.571886,-0.232705,-30.19936,-1.424444,-7.984291,-66.811551,-7.175178,-1.102678,-11.99085,-6.069448,-1.839527,-75.772392,-13.4015,7.978361,-33.418735,-11.455175,-4.865457,-82.303306,-2.117798,-2.055216,-33.584428,-4.093638,-4.486596,-68.191652,-1.135781,-3.593291,-19.419021,-0.839445,15.315449,-5.567048,-24.893157,15.31544,-5.567038,-24.893156,7.595604,-77.718472,2.154743,5.574102,-18.364858,8.411868,-5.061792,-75.502764,-8.329309,0.705173,-36.893517,-8.027267,-3.68383,-67.862604,2.827755,-5.512429,-15.010825,0.862224,3
