R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-0.073226,-4.581601,-1.863928,555.15091,-48.704682,150.628661,-77.05065,-0.332121,77.166926,30.439361,-46.759717,12.205567,-37.499901,-30.569909,62.995235,-49.989604,-20.601273,56.030983,-5.198209,-19.313621,34.197747,8.688442,-10.36801,27.579105,1.246897,-38.409734,-10.073675,1.69199,-35.917663,-10.182708,0.111322,-43.153984,8.354172,-3.415174,-21.105388,9.603271,6.023159,-17.664655,2.449769,12.764423,-26.927817,-1.108743,-1.342427,-42.069811,-2.673147,-1.498198,-45.464067,-2.582123,2.260431,-19.339071,-2.366424,2.084122,-23.543807,-2.436952,4.127751,-61.694939,-8.306929,9.455275,-34.844973,-6.916475,-1.449583,-94.232116,-0.521724,-0.91281,-59.375777,-1.188406,-8.060891,-67.427127,-7.149117,-3.535927,-32.592147,-7.268413,-1.349579,-74.337513,-13.882319,7.484129,-38.387172,-12.415692,-5.15845,-91.562098,-1.513271,-3.446457,-54.185219,-3.558776,-4.505413,-69.144802,-1.133618,-3.818526,-33.396841,-1.001678,15.315441,-5.567046,-24.893154,15.315447,-5.567042,-24.893158,7.858109,-76.402537,1.164071,2.282483,-44.393527,9.773563,-6.235412,-83.764812,-7.889817,0.356393,-39.3455,-8.161678,-3.765398,-66.19853,2.795743,-5.191398,-30.033393,1.582798,4
3.770154,-1.520934,1.815099,-325.537322,5.152428,-66.53665,-77.411248,-1.123358,78.183409,30.592338,-46.993068,11.682947,-37.523842,-30.556384,62.987042,-49.781454,-20.837381,56.211281,-5.217159,-19.323425,34.190923,8.907773,-10.246181,27.673317,1.27371,-38.25878,-10.080811,1.612103,-36.362954,-10.164648,0.083476,-42.964595,8.370515,-3.364002,-21.408513,9.595461,5.949866,-17.830225,2.458793,12.805695,-26.94936,-1.131367,-1.339924,-42.015889,-2.674499,-1.486158,-45.197187,-2.589597,2.264799,-19.233315,-2.364506,2.085326,-23.515393,-2.436519,4.097739,-61.75888,-8.277266,9.465289,-34.841635,-6.921833,-1.450167,-94.296052,-0.52025,-0.90851,-59.168655,-1.191264,-8.062481,-67.440055,-7.148578,-3.530775,-32.551624,-7.266936,-1.379023,-74.385188,-13.829643,7.491214,-38.359846,-12.413123,-5.160751,-91.6495,-1.507351,-3.440985,-54.097234,-3.562105,-4.505749,-69.161997,-1.133571,-3.817577,-33.341845,-1.001145,15.315438,-5.567031,-24.893161,15.315446,-5.567043,-24.893153,7.835765,-76.410693,1.250731,2.249516,-44.287226,9.796553,-6.249726,-83.868823,-7.883208,0.364954,-39.285765,-8.158573,-3.763212,-66.243265,2.796628,-5.191409,-30.033162,1.582775,4
0.075522,-2.27921,-1.469399,-66.611784,1.054437,-13.614513,-77.139093,-0.503647,77.690675,30.748809,-47.2368,11.140123,-37.556678,-30.538006,62.975911,-49.614208,-21.024207,56.353574,-5.246307,-19.339178,34.182115,9.119668,-10.128845,27.748805,1.307371,-38.069535,-10.089695,1.557033,-36.670441,-10.151819,0.071426,-42.882694,8.377563,-3.333839,-21.587232,9.590776,5.86433,-17.966459,2.473311,12.835255,-26.964883,-1.147619,-1.33689,-41.95086,-2.67614,-1.478211,-45.021662,-2.594501,2.269796,-19.112415,-2.362287,2.086269,-23.493454,-2.436184,4.061089,-61.807968,-8.231962,9.472867,-34.839517,-6.925985,-1.450765,-94.362346,-0.518694,-0.905071,-59.003068,-1.193534,-8.064967,-67.459912,-7.147724,-3.526742,-32.519946,-7.2658,-1.403157,-74.400808,-13.770351,7.496003,-38.341845,-12.411508,-5.163614,-91.75961,-1.499892,-3.436625,-54.027052,-3.564755,-4.5063,-69.189417,-1.133502,-3.816701,-33.291586,-1.000668,15.315439,-5.567052,-24.89316,15.315441,-5.567043,-24.893156,7.809633,-76.372546,1.356461,2.225709,-44.214015,9.813328,-6.278034,-84.074668,-7.870076,0.372897,-39.230434,-8.1557,-3.760534,-66.298232,2.797733,-5.191423,-30.032968,1.582775,4
-0.3063,-2.281519,-1.751703,906.716522,-118.221733,312.552309,-76.885193,0.042395,77.225267,29.868078,-53.318948,9.895363,-37.589274,-30.519588,62.964742,-49.313326,-21.355556,56.605088,-5.276826,-19.355563,34.173561,9.940119,-9.679191,27.881746,1.338155,-37.896522,-10.0977,1.413976,-37.471044,-10.116999,0.065509,-42.84252,8.380997,-3.240383,-22.141665,9.575535,5.786814,-18.072326,2.487866,12.822632,-27.044174,-1.157879,-1.334149,-41.892221,-2.677629,-1.463536,-44.697987,-2.603464,2.274134,-19.006889,-2.360328,2.090797,-23.387296,-2.434556,4.026143,-61.845906,-8.185932,9.40775,-34.93267,-6.90763,-1.451309,-94.422515,-0.517308,-0.895754,-58.557476,-1.199621,-8.067581,-67.481096,-7.146804,-3.508459,-32.376209,-7.260515,-1.422998,-74.405051,-13.715688,7.472779,-38.229593,-12.365974,-5.166322,-91.863618,-1.49284,-3.43092,-53.935379,-3.5682,-4.506866,-69.218483,-1.133432,-3.814718,-33.178065,-0.999585,15.315442,-5.567043,-24.893157,15.315445,-5.567046,-24.89316,7.785381,-76.313257,1.4561,2.101967,-43.703975,9.889693,-6.307688,-84.29061,-7.856186,0.380818,-39.175162,-8.152832,-3.757947,-66.350865,2.798763,-5.193418,-29.960125,1.579512,4
-0.595849,-2.219066,-1.921142,481.192324,-60.371306,162.938064,-76.646562,0.529257,76.785406,29.234328,-57.115746,9.218767,-37.62192,-30.50141,62.953722,-49.029034,-21.662821,56.837313,-5.308295,-19.372625,34.165113,10.835082,-9.184652,28.013928,1.366669,-37.736401,-10.105025,1.282936,-38.206895,-10.083268,0.063536,-42.829099,8.382145,-3.158409,-22.628681,9.561434,5.715269,-18.156571,2.502334,12.804912,-27.11576,-1.164276,-1.331603,-41.837894,-2.679027,-1.450615,-44.414141,-2.611248,2.27805,-18.911958,-2.358553,2.097037,-23.240103,-2.432298,3.992457,-61.875526,-8.139295,9.345069,-35.016824,-6.888435,-1.451804,-94.47729,-0.516016,-0.886251,-58.104602,-1.20572,-8.070356,-67.503354,-7.145841,-3.485082,-32.192336,-7.253703,-1.439581,-74.400732,-13.664673,7.449959,-38.120654,-12.321793,-5.168889,-91.962493,-1.486122,-3.42569,-53.85143,-3.571358,-4.507481,-69.248938,-1.133358,-3.812586,-33.055023,-0.998388,15.315445,-5.567042,-24.893161,15.315448,-5.567043,-24.893161,7.762336,-76.232688,1.551937,1.974973,-43.169474,9.964868,-6.338181,-84.513175,-7.841732,0.387954,-39.125306,-8.150213,-3.755482,-66.401571,2.799758,-5.195403,-29.887681,1.576254,4
-0.592667,-1.213064,-2.898771,454.600956,-141.968617,148.374554,-76.812442,0.352417,77.089199,29.735571,-59.958534,9.794694,-37.640132,-30.491313,62.947602,-48.679722,-22.031941,57.115006,-5.313402,-19.373935,34.158388,12.023418,-8.518419,28.188324,1.386873,-37.623088,-10.110168,1.278004,-38.234631,-10.081947,0.078607,-42.931517,8.373347,-3.212356,-22.308115,9.570809,5.675938,-18.159484,2.512804,12.828479,-26.909043,-1.133427,-1.330349,-41.811295,-2.679682,-1.438405,-44.146687,-2.61854,2.278701,-18.895853,-2.358265,2.096734,-23.24734,-2.432413,3.974446,-61.847311,-8.101226,9.343212,-34.747851,-6.825467,-1.45236,-94.53845,-0.514612,-0.880636,-57.838082,-1.209265,-8.076001,-67.548913,-7.143877,-3.478786,-32.142743,-7.251859,-1.442019,-74.3687,-13.63617,7.459001,-37.851537,-12.256715,-5.171309,-92.056327,-1.479762,-3.429277,-53.90892,-3.569199,-4.508203,-69.286362,-1.133255,-3.812726,-33.063258,-0.998465,15.315447,-5.567036,-24.893164,15.315442,-5.567042,-24.893158,7.745618,-76.11971,1.6249,1.834439,-42.74065,10.057362,-6.364288,-84.704172,-7.829238,0.399459,-39.04496,-8.146007,-3.754651,-66.418832,2.800123,-5.195438,-29.886148,1.576184,4
-0.950154,-1.195589,-3.261086,290.353227,-71.699511,93.090361,-76.893893,0.289957,77.231206,30.073699,-62.195073,10.205955,-37.655576,-30.482525,62.942262,-48.341432,-22.38146,57.376611,-5.314709,-19.372879,34.152185,13.157694,-7.870749,28.370482,1.404975,-37.52154,-10.114744,1.279321,-38.227294,-10.082299,0.093554,-43.033172,8.364609,-3.257242,-22.041616,9.578367,5.643475,-18.14843,2.522203,12.854541,-26.60977,-1.085028,-1.329335,-41.789536,-2.680218,-1.427068,-43.899333,-2.62522,2.278958,-18.889861,-2.358158,2.095757,-23.270234,-2.432755,3.958864,-61.811578,-8.064934,9.345765,-34.39369,-6.746175,-1.452883,-94.597406,-0.513234,-0.875692,-57.604376,-1.21237,-8.082433,-67.600863,-7.141625,-3.474506,-32.109033,-7.250583,-1.441513,-74.331591,-13.612853,7.46273,-37.556998,-12.182022,-5.173628,-92.14625,-1.473643,-3.433416,-53.975504,-3.566693,-4.508987,-69.326017,-1.133174,-3.813138,-33.087269,-0.9987,15.315445,-5.567046,-24.893162,15.315445,-5.567039,-24.893156,7.730023,-75.986227,1.694059,1.679418,-42.331018,10.161282,-6.389865,-84.891331,-7.816908,0.41132,-38.962136,-8.141638,-3.754097,-66.430007,2.800335,-5.195293,-29.89202,1.576447,4
0.675165,-2.406439,-2.387797,270.105603,-83.531574,-18.37291,-77.047775,-0.085145,77.683424,30.178112,-63.644675,12.480918,-37.675737,-30.471261,62.935424,-47.988747,-22.737541,57.64174,-5.299456,-19.359715,34.141141,14.324379,-7.192298,28.574549,1.414315,-37.469159,-10.117091,1.317198,-38.014166,-10.092257,0.124874,-43.246338,8.346149,-3.307407,-21.743914,9.586553,5.634772,-18.053137,2.529831,12.895939,-26.293724,-1.039722,-1.328249,-41.76609,-2.680824,-1.404724,-43.413017,-2.638223,2.278059,-18.91171,-2.35856,2.099868,-23.173454,-2.431257,3.953423,-61.753627,-8.038862,9.350582,-34.018568,-6.664093,-1.453696,-94.688163,-0.511117,-0.860521,-56.890078,-1.22171,-8.091098,-67.670648,-7.138593,-3.435217,-31.799462,-7.238886,-1.427948,-74.262074,-13.605824,7.477819,-37.139915,-12.08365,-5.176812,-92.27107,-1.465163,-3.427913,-53.887,-3.57001,-4.50985,-69.369982,-1.133065,-3.810258,-32.921628,-0.99709,15.315447,-5.567039,-24.893155,15.31545,-5.567045,-24.893155,7.7187,-75.805385,1.749281,1.458233,-41.777742,10.307154,-6.417985,-85.097765,-7.803234,0.442568,-38.743579,-8.130063,-3.752962,-66.453385,2.800813,-5.19887,-29.761271,1.570579,4
0.446261,-2.411528,-2.599105,223.7995,-54.576712,22.774045,-77.183671,-0.431264,78.10392,30.27336,-64.968879,14.25773,-37.695739,-30.460018,62.928591,-47.647563,-23.074597,57.891363,-5.279902,-19.343882,34.129531,15.406615,-6.549262,28.783672,1.421613,-37.428251,-10.118912,1.350419,-37.827681,-10.100853,0.172503,-43.57162,8.317771,-3.407512,-21.150712,9.602112,5.632737,-17.954926,2.535777,12.941491,-25.940455,-0.988367,-1.327229,-41.744557,-2.68136,-1.381237,-42.904595,-2.651615,2.276918,-18.939416,-2.359081,2.105113,-23.049694,-2.429324,3.952505,-61.677869,-8.015097,9.356841,-33.611437,-6.576315,-1.454545,-94.784856,-0.50886,-0.843995,-56.118154,-1.231577,-8.100735,-67.748302,-7.135206,-3.386086,-31.41155,-7.223935,-1.407224,-74.169804,-13.60436,7.489854,-36.693587,-11.976979,-5.180103,-92.400696,-1.456334,-3.420332,-53.765473,-3.574565,-4.510774,-69.415841,-1.132949,-3.806522,-32.706008,-0.99499,15.315441,-5.567045,-24.893164,15.315444,-5.567038,-24.893155,7.708338,-75.604717,1.801317,1.216608,-41.227766,10.464759,-6.446018,-85.303864,-7.789471,0.479533,-38.484473,-8.116161,-3.751856,-66.476135,2.801244,-5.203827,-29.579112,1.562352,4
0.310354,-2.398422,-2.705365,159.916248,-35.249895,26.003224,-77.321473,-0.798412,78.553821,30.344785,-65.983123,15.45049,-37.715411,-30.448948,62.921858,-47.314901,-23.396474,58.128494,-5.253114,-19.323042,34.116796,16.432468,-5.927383,28.998755,1.427444,-37.395555,-10.120369,1.383854,-37.639942,-10.109404,0.233305,-43.9883,8.281034,-3.54355,-20.345978,9.621563,5.633566,-17.805309,2.543843,12.990768,-25.56151,-0.932991,-1.326283,-41.724356,-2.681878,-1.356943,-42.381374,-2.665184,2.275619,-18.971039,-2.359651,2.11141,-22.901132,-2.427002,3.956377,-61.579317,-7.992578,9.363658,-33.183038,-6.484825,-1.455457,-94.886727,-0.506501,-0.826737,-55.318789,-1.241563,-8.111204,-67.832877,-7.131501,-3.329695,-30.965297,-7.206325,-1.379945,-74.056039,-13.607399,7.498354,-36.227141,-11.864349,-5.183473,-92.534667,-1.447211,-3.410727,-53.611607,-3.580306,-4.511703,-69.463435,-1.13281,-3.802032,-32.446438,-0.992439,15.315442,-5.56704,-24.89316,15.315444,-5.567039,-24.893159,7.69868,-75.388983,1.850962,0.958658,-40.681603,10.629907,-6.474089,-85.510487,-7.775559,0.520925,-38.193951,-8.100408,-3.75077,-66.4985,2.801687,-5.210024,-29.350095,1.552012,4
