R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
0.332027,-0.151110,1.538420,2.174322,-0.142416,-2.151139,-46.393526,154.423899,-70.628881,31.763282,-20.081130,24.108719,-34.743445,-32.009209,63.835908,-46.025404,-24.581475,58.990391,0.194739,-15.903690,34.608884,0.886832,-14.713782,29.793778,3.658621,-25.122819,-10.428551,3.340325,-26.856606,-10.414130,-4.836517,-12.745608,9.710332,-2.498085,-26.581599,9.421187,11.997740,-41.087744,-3.609080,8.829038,-40.035107,-0.997005,-2.226375,-63.735247,-1.946048,-2.837285,-89.359246,-0.742341,1.606066,-34.476239,-2.558092,0.770940,-53.037557,-2.550304,9.939103,-43.787955,-9.650890,5.958700,-47.150075,-6.951173,-1.208477,-75.304339,-0.925013,-1.474412,-97.149980,-0.453332,-5.567035,-48.153057,-7.559633,-7.933527,-66.404881,-7.191926,7.531330,-46.835608,-15.073733,5.953412,-42.995793,-12.534831,-4.576207,-75.185373,-2.545921,-5.379726,-102.929919,-0.719073,-4.269739,-57.265412,-1.138106,-4.534071,-70.599400,-1.129707,15.315444,-5.567031,-24.893156,15.315436,-5.567043,-24.893159,5.112449,-49.042336,7.059417,3.992461,-24.031860,8.594047,-1.630857,-52.752048,-8.625831,-7.713724,-95.107935,-7.021612,-3.855823,-64.329791,2.756993,-3.489049,-71.766891,2.893437,5
0.358390,-0.153379,1.627940,2.279637,-0.151426,-2.261414,-46.423927,154.471598,-70.609188,31.854459,-20.139515,24.086760,-34.731656,-32.014534,63.838867,-46.060911,-24.549806,58.967598,0.189169,-15.908311,34.614328,0.803311,-14.759264,29.785669,3.652506,-25.156082,-10.428364,3.338658,-26.865594,-10.414041,-4.835304,-12.752666,9.710320,-2.497545,-26.584782,9.421067,12.033184,-40.798123,-3.571297,8.827517,-39.909080,-0.978805,-2.229369,-63.823233,-1.942475,-2.837687,-89.390358,-0.740740,1.606018,-34.477800,-2.558095,0.770473,-53.047800,-2.550229,9.964723,-43.666660,-9.635041,5.968383,-46.994906,-6.927121,-1.209934,-75.394924,-0.923294,-1.474372,-97.144930,-0.453452,-5.563033,-48.122683,-7.559607,-7.935489,-66.420595,-7.191288,7.553917,-46.807470,-15.083689,5.970376,-42.881311,-12.517295,-4.576809,-75.198861,-2.545152,-5.379405,-102.904357,-0.720896,-4.267674,-57.161783,-1.137932,-4.534220,-70.606833,-1.129675,15.315442,-5.567040,-24.893159,15.315449,-5.567042,-24.893155,5.148358,-49.095349,7.019224,3.958849,-23.934655,8.613721,-1.621813,-52.692372,-8.624792,-7.699326,-94.990137,-7.032104,-3.865132,-64.136025,2.752801,-3.489070,-71.766289,2.893427,5
-0.349988,-3.468651,3.647161,0.830706,-1.606389,-0.996185,-46.439694,154.726542,-70.757476,31.921397,-20.040466,24.112512,-34.698835,-32.031288,63.848334,-46.091283,-24.523521,58.948664,0.187835,-15.912314,34.627875,0.736434,-14.796040,29.778492,3.650604,-25.166433,-10.428310,3.330138,-26.912057,-10.413519,-4.841884,-12.714043,9.710319,-2.492313,-26.616358,9.419748,12.042991,-40.655006,-3.546680,8.839258,-39.712791,-0.961047,-2.229668,-63.832225,-1.942088,-2.837823,-89.400631,-0.740226,1.606811,-34.459838,-2.557976,0.768314,-53.096470,-2.549846,9.953839,-43.636233,-9.616633,6.005225,-46.759032,-6.911833,-1.210625,-75.437489,-0.922492,-1.474771,-97.194613,-0.452285,-5.560058,-48.100293,-7.559574,-7.941692,-66.470139,-7.189262,7.547189,-46.814809,-15.080354,6.017096,-42.658970,-12.494200,-4.577074,-75.204835,-2.544805,-5.379574,-102.918522,-0.719881,-4.266021,-57.078120,-1.137788,-4.534746,-70.633995,-1.129594,15.315445,-5.567043,-24.893162,15.315444,-5.567043,-24.893158,5.169174,-49.198331,6.995791,3.916201,-23.743153,8.642031,-1.617095,-52.661236,-8.624263,-7.695422,-94.958128,-7.034945,-3.874095,-63.948727,2.748720,-3.487910,-71.789363,2.893776,5
-0.401304,-4.105693,4.306951,0.758198,-1.518010,-0.922111,-46.458288,155.008271,-70.926421,31.979707,-19.960941,24.128626,-34.661653,-32.048840,63.858129,-46.122978,-24.494574,58.927811,0.186204,-15.915624,34.643145,0.659488,-14.837925,29.771614,3.648765,-25.176439,-10.428252,3.320439,-26.964961,-10.412918,-4.850548,-12.663218,9.710338,-2.487207,-26.647257,9.418488,12.052018,-40.515123,-3.522189,8.853909,-39.461121,-0.937902,-2.229692,-63.832655,-1.942081,-2.837910,-89.408139,-0.739826,1.607821,-34.436979,-2.557813,0.766086,-53.146331,-2.549455,9.940408,-43.608552,-9.596960,6.051497,-46.462630,-6.892364,-1.211238,-75.475321,-0.921765,-1.475291,-97.262097,-0.450689,-5.556666,-48.074529,-7.559553,-7.948438,-66.524330,-7.187045,7.538603,-46.821200,-15.075017,6.080438,-42.363851,-12.464447,-4.577215,-75.208076,-2.544614,-5.379824,-102.937388,-0.718543,-4.264278,-56.990228,-1.137628,-4.535347,-70.664870,-1.129514,15.315451,-5.567041,-24.893157,15.315442,-5.567040,-24.893156,5.187199,-49.301980,6.975385,3.861923,-23.489498,8.678225,-1.612153,-52.628672,-8.623696,-7.692258,-94.932248,-7.037251,-3.883166,-63.759313,2.744579,-3.486533,-71.816656,2.894180,5
-0.590950,-2.680222,6.811526,0.814673,-1.342785,-2.208710,-46.399219,155.377163,-71.260660,32.052768,-19.978387,24.030574,-34.614731,-32.071822,63.871014,-46.149116,-24.471664,58.911292,0.166962,-15.932633,34.664275,0.605375,-14.867605,29.765238,3.652662,-25.155274,-10.428367,3.317334,-26.981835,-10.412722,-4.864570,-12.581097,9.710334,-2.489761,-26.631745,9.419113,12.034162,-40.467720,-3.498042,8.876575,-39.318992,-0.935361,-2.228954,-63.810940,-1.942957,-2.838024,-89.416691,-0.739390,1.609398,-34.401917,-2.557578,0.763400,-53.206822,-2.548988,9.919329,-43.564287,-9.565915,6.083491,-46.331251,-6.894436,-1.211680,-75.503442,-0.921224,-1.475738,-97.316712,-0.449400,-5.558416,-48.087661,-7.559571,-7.956436,-66.588357,-7.184430,7.540410,-46.796800,-15.067856,6.114907,-42.204783,-12.448585,-4.577879,-75.223044,-2.543751,-5.380411,-102.984760,-0.715148,-4.263631,-56.957715,-1.137584,-4.536261,-70.711324,-1.129371,15.315446,-5.567044,-24.893158,15.315442,-5.567039,-24.893155,5.215498,-49.330168,6.943371,3.838058,-23.342051,8.695847,-1.611777,-52.626183,-8.623649,-7.695380,-94.957727,-7.034983,-3.890017,-63.616180,2.741410,-3.484530,-71.856255,2.894775,5
-0.519690,-2.390036,6.124203,0.715437,-1.215552,-1.989714,-46.346336,155.718937,-71.573318,32.125266,-20.001114,23.928335,-34.563663,-32.096575,63.884857,-46.174849,-24.449454,58.895267,0.143387,-15.953088,34.687631,0.551976,-14.896735,29.758876,3.657780,-25.127416,-10.428520,3.314934,-26.994953,-10.412561,-4.881420,-12.482277,9.710290,-2.493306,-26.610353,9.419997,12.009577,-40.431231,-3.471271,8.904090,-39.183509,-0.937129,-2.228062,-63.784567,-1.944041,-2.838115,-89.423874,-0.739004,1.611252,-34.360519,-2.557291,0.760123,-53.280249,-2.548410,9.894765,-43.518399,-9.531547,6.117848,-46.213504,-6.901487,-1.212088,-75.528058,-0.920756,-1.476195,-97.376903,-0.447964,-5.560723,-48.105318,-7.559596,-7.966092,-66.665654,-7.181234,7.543091,-46.765912,-15.059139,6.148320,-42.053135,-12.433835,-4.578570,-75.238432,-2.542870,-5.381193,-103.048090,-0.710609,-4.263111,-56.932229,-1.137527,-4.537411,-70.769530,-1.129194,15.315443,-5.567051,-24.893166,15.315442,-5.567043,-24.893160,5.244592,-49.349055,6.910416,3.816311,-23.198492,8.712296,-1.612107,-52.628415,-8.623693,-7.699307,-94.989976,-7.032124,-3.896549,-63.479181,2.738378,-3.482007,-71.906248,2.895531,5
-2.585125,-2.446724,5.675465,0.492913,-0.162390,-0.775866,-46.260648,155.804156,-71.627193,32.033060,-19.976325,23.773372,-34.556640,-32.099928,63.886724,-46.185604,-24.439720,58.888252,0.119141,-15.970318,34.692995,0.556879,-14.893134,29.753631,3.663731,-25.094998,-10.428685,3.313139,-27.004708,-10.412455,-4.903186,-12.354652,9.710211,-2.503098,-26.551355,9.422442,11.962047,-40.429099,-3.434777,8.924248,-39.140701,-0.946019,-2.227132,-63.757123,-1.945155,-2.837808,-89.399142,-0.740292,1.613689,-34.305889,-2.556916,0.758518,-53.316732,-2.548131,9.849775,-43.514263,-9.492929,6.131396,-46.177320,-6.906407,-1.212138,-75.531077,-0.920703,-1.476535,-97.421334,-0.446912,-5.565760,-48.143467,-7.559634,-7.971326,-66.707587,-7.179489,7.528291,-46.766574,-15.046256,6.169354,-41.968382,-12.427388,-4.578813,-75.244159,-2.542537,-5.381899,-103.105945,-0.706463,-4.263240,-56.938033,-1.137541,-4.538163,-70.807887,-1.129075,15.315450,-5.567045,-24.893161,15.315446,-5.567041,-24.893156,5.271402,-49.370708,6.879984,3.797506,-23.106352,8.724829,-1.612858,-52.633302,-8.623776,-7.708014,-95.061090,-7.025799,-3.903703,-63.329159,2.735027,-3.480099,-71.944006,2.896091,5
-2.548657,-2.392984,5.590175,0.431667,-0.136860,-0.686368,-46.192792,155.886339,-71.685469,31.949277,-19.958223,23.620784,-34.555701,-32.100642,63.887149,-46.193364,-24.432306,58.882904,0.094191,-15.987969,34.696010,0.569183,-14.885425,29.749008,3.670431,-25.058449,-10.428897,3.311785,-27.012079,-10.412363,-4.926381,-12.218503,9.710083,-2.516018,-26.473429,9.425638,11.906781,-40.433141,-3.393767,8.944353,-39.114975,-0.957154,-2.226187,-63.729408,-1.946292,-2.837403,-89.368823,-0.741856,1.616324,-34.246890,-2.556491,0.757112,-53.348231,-2.547868,9.800586,-43.515190,-9.452347,6.142008,-46.157176,-6.912013,-1.212096,-75.529987,-0.920712,-1.476860,-97.462853,-0.445925,-5.571911,-48.189949,-7.559657,-7.975976,-66.744834,-7.177954,7.510321,-46.769893,-15.031498,6.187217,-41.900713,-12.423054,-4.579003,-75.248316,-2.542298,-5.382645,-103.167166,-0.702088,-4.263479,-56.949632,-1.137564,-4.538894,-70.844931,-1.128962,15.315441,-5.567048,-24.893163,15.315439,-5.567037,-24.893163,5.297283,-49.388499,6.850601,3.780839,-23.028793,8.735702,-1.613929,-52.640278,-8.623887,-7.719626,-95.156352,-7.017296,-3.910487,-63.186843,2.731831,-3.478195,-71.981893,2.896662,5
-2.484723,-2.316985,5.442161,0.390541,-0.119873,-0.628593,-46.136494,155.966994,-71.747098,31.874101,-19.946299,23.472452,-34.560013,-32.098666,63.886049,-46.198551,-24.427757,58.879622,0.067497,-16.006110,34.696993,0.589238,-14.873579,29.744809,3.678169,-25.016363,-10.429108,3.310826,-27.017294,-10.412310,-4.951702,-12.069983,9.709861,-2.532771,-26.372406,9.429748,11.841702,-40.442849,-3.346530,8.964973,-39.103354,-0.970565,-2.225111,-63.697447,-1.947602,-2.836882,-89.328186,-0.743949,1.619241,-34.181544,-2.556025,0.755906,-53.375300,-2.547653,9.745492,-43.520944,-9.408277,6.150158,-46.150189,-6.918114,-1.212022,-75.524954,-0.920815,-1.477181,-97.502673,-0.444983,-5.579451,-48.247108,-7.559689,-7.980118,-66.778164,-7.176571,7.488164,-46.776749,-15.014280,6.203159,-41.845277,-12.420478,-4.579129,-75.250978,-2.542153,-5.383466,-103.233355,-0.697352,-4.263813,-56.967091,-1.137597,-4.539601,-70.881486,-1.128861,15.315440,-5.567046,-24.893161,15.315444,-5.567043,-24.893162,5.323268,-49.403517,6.821049,3.765415,-22.961072,8.745525,-1.615353,-52.649748,-8.624053,-7.734733,-95.280276,-7.006199,-3.917316,-63.043449,2.728608,-3.476238,-72.020835,2.897242,5
-0.353774,-2.558026,4.621432,-0.222041,-0.292464,-3.234505,-46.039254,155.720731,-71.447599,31.838808,-19.858617,23.665842,-34.566889,-32.094991,63.883970,-46.238809,-24.391781,58.853649,0.015820,-16.041304,34.699652,0.582761,-14.874770,29.727620,3.674062,-25.038705,-10.428993,3.310808,-27.017408,-10.412308,-4.956657,-12.040920,9.709824,-2.571769,-26.137535,9.439217,11.814169,-40.320813,-3.299193,8.972074,-39.101327,-0.975458,-2.224435,-63.677983,-1.948389,-2.836696,-89.314154,-0.744680,1.620993,-34.141940,-2.555755,0.754874,-53.398399,-2.547474,9.730762,-43.410248,-9.362971,6.147397,-46.189462,-6.923949,-1.212433,-75.550135,-0.920338,-1.477319,-97.520732,-0.444560,-5.585690,-48.294218,-7.559720,-7.986033,-66.825581,-7.174593,7.506410,-46.689140,-14.999175,6.207077,-41.834547,-12.420607,-4.579873,-75.268117,-2.541163,-5.383860,-103.266491,-0.694969,-4.263466,-56.949374,-1.137558,-4.540558,-70.929881,-1.128707,15.315448,-5.567048,-24.893167,15.315442,-5.567040,-24.893155,5.343980,-49.355310,6.797867,3.758221,-22.904415,8.751360,-1.616312,-52.656034,-8.624179,-7.745658,-95.370035,-6.998152,-3.926065,-62.859141,2.724430,-3.473783,-72.069210,2.897960,5
