R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
10.44921,-23.142392,-38.612693,-0.322673,1.251383,5.977646,20.9122,22.25609,8.874436,32.83883,72.993988,178.596284,-35.448234,-31.659044,63.637193,-50.67475,-19.798946,55.414436,0.12545,-15.897182,34.327778,0.207073,-14.807528,27.738857,3.16478,-27.813693,-10.402051,3.990517,-23.316041,-10.433291,-3.827002,-18.673627,9.655835,-4.40241,-15.291726,9.699762,7.083607,-33.805995,0.850605,6.316362,-57.960686,-0.461251,-2.829356,-88.758737,-0.773247,-2.918863,-98.774069,-0.249531,0.973682,-48.511653,-2.57718,0.432948,-60.739183,-2.468125,7.022749,-44.472877,-7.335391,4.694963,-60.747394,-8.918563,-1.427733,-91.947041,-0.574355,-1.477211,-97.507479,-0.444879,-6.711009,-56.852734,-7.479255,-8.172369,-68.327507,-7.109535,5.206638,-51.414293,-14.448194,1.965648,-64.320465,-15.4254,-5.117767,-90.065678,-1.614063,-5.204701,-93.395633,-1.388375,-4.334609,-60.534848,-1.141765,-4.511642,-69.459795,-1.132827,15.315439,-5.567041,-24.893162,15.31545,-5.567045,-24.893162,7.808636,-45.929598,4.343577,7.842844,-60.269423,2.824198,-5.680331,-79.798437,-8.121954,-6.893951,-88.651369,-7.551869,-4.226123,-56.346354,2.558968,-3.872427,-63.983668,2.749499,2
8.859343,-21.278175,-35.318807,-0.440384,1.632809,7.892192,21.207629,21.572299,9.164266,33.276515,72.345552,177.961797,-35.342727,-31.712189,63.667607,-50.647071,-19.83262,55.440413,0.370748,-15.738008,34.346132,0.307311,-14.756927,27.742547,3.054571,-28.415238,-10.392959,3.998902,-23.270444,-10.433268,-3.696005,-19.445745,9.641049,-4.457032,-14.971227,9.702144,7.043278,-35.692314,0.717916,6.29972,-57.732347,-0.417247,-2.864537,-91.646781,-0.623941,-2.91813,-98.608118,-0.25831,0.895346,-50.254818,-2.568733,0.438698,-60.605498,-2.469924,6.645994,-47.289747,-7.64714,4.696191,-60.776892,-8.929983,-1.443604,-93.584529,-0.53673,-1.477078,-97.489395,-0.445309,-6.899408,-58.300924,-7.448964,-8.178995,-68.381129,-7.10712,4.319916,-54.589688,-14.608921,1.927335,-64.425074,-15.411569,-5.148914,-91.202882,-1.537554,-5.203812,-93.358786,-1.390899,-4.363662,-61.995364,-1.142195,-4.513069,-69.532434,-1.132645,15.315445,-5.567042,-24.893161,15.315447,-5.567037,-24.893157,7.824056,-49.538031,3.946004,7.844889,-60.444622,2.803141,-6.070592,-82.57423,-7.963546,-6.892493,-88.640213,-7.55271,-4.142008,-58.214482,2.609909,-3.871742,-63.997744,2.749802,2
8.12671,-22.124098,-36.456667,-0.5664,1.975329,9.712795,21.684091,20.710699,9.706148,33.822774,71.603193,177.185742,-35.248454,-31.759459,63.694581,-50.620509,-19.864038,55.464672,0.604606,-15.584797,34.361479,0.407568,-14.705399,27.745505,2.942486,-29.027486,-10.382507,4.007762,-23.222175,-10.433258,-3.566241,-20.211767,9.624602,-4.513094,-14.64234,9.704293,6.98825,-37.535254,0.600481,6.282102,-57.506068,-0.372631,-2.891453,-94.451326,-0.477445,-2.917387,-98.445744,-0.266911,0.819295,-51.953395,-2.5582,0.444153,-60.479141,-2.471629,6.273603,-49.969715,-7.9258,4.697642,-60.811877,-8.943569,-1.458419,-95.224633,-0.498608,-1.476971,-97.475935,-0.445631,-7.084572,-59.731002,-7.414358,-8.186172,-68.439331,-7.104494,3.464296,-57.611547,-14.702733,1.886474,-64.539917,-15.398274,-5.179448,-92.374858,-1.458098,-5.203004,-93.32531,-1.393193,-4.392366,-63.439495,-1.141891,-4.514546,-69.607317,-1.132448,15.315442,-5.567044,-24.89316,15.31543,-5.567041,-24.893152,7.819302,-52.938423,3.60016,7.846368,-60.635523,2.781405,-6.435941,-85.229663,-7.79444,-6.891546,-88.632936,-7.55325,-4.058455,-60.035668,2.656894,-3.87104,-64.012752,2.750119,2
42.713917,-31.225399,-32.631449,-1.421134,3.652713,12.000142,21.546805,19.786729,9.020811,34.333003,70.933929,176.881437,-35.163811,-31.801548,63.718528,-50.548878,-19.949622,55.530655,0.599563,-15.594238,34.396593,0.417273,-14.704484,27.77842,2.846847,-29.550504,-10.372619,3.997368,-23.278826,-10.433272,-3.46431,-20.814522,9.61046,-4.51872,-14.609476,9.704479,6.917033,-39.234341,0.509611,6.261833,-57.32063,-0.328369,-2.90357,-96.046544,-0.393589,-2.91683,-98.327421,-0.273173,0.768845,-53.084738,-2.549943,0.446777,-60.418326,-2.472449,5.920807,-52.323149,-8.138036,4.695272,-60.839292,-8.948685,-1.465366,-96.0391,-0.479515,-1.477022,-97.482007,-0.445478,-7.22636,-60.831323,-7.384569,-8.19699,-68.527082,-7.100526,2.705073,-60.332618,-14.762191,1.834089,-64.668862,-15.371651,-5.191068,-92.838221,-1.426512,-5.202658,-93.310495,-1.394215,-4.407247,-64.188983,-1.141453,-4.516412,-69.702239,-1.132207,15.315443,-5.56704,-24.893158,15.315451,-5.567043,-24.893158,7.856996,-56.311103,3.202772,7.831238,-60.84583,2.786885,-6.552669,-86.091123,-7.73596,-6.893078,-88.64467,-7.552375,-4.031815,-60.609592,2.671152,-3.870701,-64.019708,2.750266,2
35.222248,-27.624241,-30.084588,-1.485255,3.770521,12.463412,21.59396,19.114609,8.811649,34.734405,70.405242,176.547167,-35.086032,-31.840437,63.740627,-50.469664,-20.043189,55.602746,0.586172,-15.608984,34.429665,0.420044,-14.708218,27.81572,2.75267,-30.065848,-10.362052,3.984436,-23.349094,-10.433298,-3.363698,-21.410274,9.595431,-4.521554,-14.592731,9.704568,6.83752,-40.940952,0.428681,6.240531,-57.143639,-0.283838,-2.914568,-97.873757,-0.297158,-2.916297,-98.217001,-0.279004,0.71613,-54.270567,-2.540211,0.448949,-60.368118,-2.473124,5.557013,-54.679983,-8.331601,4.692277,-60.868647,-8.953482,-1.472992,-96.972662,-0.457528,-1.477104,-97.49274,-0.445235,-7.370449,-61.954712,-7.351332,-8.20887,-68.623515,-7.096131,1.94585,-63.059034,-14.784844,1.778403,-64.805416,-15.342636,-5.2048,-93.399819,-1.388098,-5.202405,-93.300036,-1.394927,-4.423505,-65.007405,-1.140741,-4.518361,-69.80173,-1.131943,15.315446,-5.567045,-24.89316,15.315445,-5.567044,-24.893155,7.882763,-59.591404,2.825527,7.811308,-61.066054,2.800311,-6.707753,-87.246607,-7.654764,-6.895146,-88.660393,-7.5512,-3.997773,-61.339032,2.68888,-3.870409,-64.025719,2.750405,2
28.37692,-17.344364,8.221573,-1.779497,6.864829,10.855589,21.300322,17.610448,7.2194,35.680226,69.721556,176.491384,-35.103487,-31.83184,63.735755,-50.415618,-20.106702,55.65163,0.547552,-15.634456,34.426361,0.402938,-14.720172,27.842701,2.705114,-30.326312,-10.356386,3.963671,-23.462207,-10.433294,-3.292444,-21.832717,9.584156,-4.522769,-14.58568,9.704619,6.790335,-41.418214,0.426682,6.222189,-56.918882,-0.239845,-2.915349,-98.025081,-0.289161,-2.915837,-98.122548,-0.284004,0.697998,-54.679759,-2.536609,0.450347,-60.335988,-2.473556,5.411948,-55.636616,-8.411515,4.686307,-60.902764,-8.955101,-1.475953,-97.344967,-0.448725,-1.477357,-97.525643,-0.444447,-7.430158,-62.421881,-7.336682,-8.218187,-68.699109,-7.092676,1.609871,-64.205949,-14.753004,1.725705,-64.936657,-15.315772,-5.206431,-93.467346,-1.383473,-5.202846,-93.318262,-1.39368,-4.428828,-65.275825,-1.140458,-4.519935,-69.881164,-1.131724,15.315446,-5.567045,-24.893162,15.315435,-5.567045,-24.893158,7.84792,-61.051353,2.736987,7.790471,-61.279131,2.816723,-6.690101,-87.114429,-7.664216,-6.900662,-88.702326,-7.548046,-3.995845,-61.379889,2.689863,-3.870105,-64.032456,2.750555,2
23.119464,-15.607285,2.929453,-1.702673,6.492057,10.380705,21.201992,16.526527,6.376845,36.346072,69.156757,176.28995,-35.131203,-31.817637,63.727656,-50.36389,-20.168332,55.699007,0.505229,-15.661318,34.419267,0.382135,-14.734394,27.869038,2.660121,-30.572771,-10.350804,3.93713,-23.606702,-10.433235,-3.221956,-22.251058,9.572442,-4.522787,-14.585541,9.704621,6.750426,-42.049877,0.407427,6.203838,-56.691312,-0.19614,-2.917664,-98.509843,-0.263515,-2.915395,-98.033942,-0.288688,0.675781,-55.181562,-2.531998,0.451426,-60.31083,-2.473887,5.23287,-56.829736,-8.512565,4.679349,-60.939111,-8.955909,-1.479539,-97.809628,-0.437702,-1.477691,-97.569518,-0.443406,-7.497099,-62.946824,-7.319626,-8.227405,-68.773955,-7.089242,1.196225,-65.660205,-14.719689,1.672217,-65.069919,-15.28813,-5.209589,-93.599272,-1.374433,-5.203409,-93.341856,-1.392062,-4.435421,-65.607672,-1.140073,-4.521456,-69.958478,-1.131518,15.315445,-5.567042,-24.893155,15.315444,-5.567053,-24.893165,7.833846,-62.856038,2.583301,7.76706,-61.494111,2.838242,-6.706687,-87.238536,-7.655345,-6.908011,-88.758191,-7.543855,-3.988681,-61.532524,2.693506,-3.869787,-64.038813,2.75069,2
37.953935,-30.858318,5.248649,-2.785172,5.696631,8.401593,21.096722,15.304013,5.774421,37.54911,68.482595,176.304655,-35.146499,-31.810525,63.723654,-50.286462,-20.258325,55.768172,0.464706,-15.687944,34.416884,0.355839,-14.752958,27.90795,2.621281,-30.785826,-10.345823,3.890572,-23.860204,-10.432967,-3.200388,-22.379236,9.568751,-4.507479,-14.675401,9.704078,6.715294,-42.362433,0.410886,6.175871,-56.497955,-0.14276,-2.917879,-98.552288,-0.261282,-2.914894,-97.936238,-0.293855,0.665873,-55.405737,-2.529887,0.452732,-60.280548,-2.474285,5.180361,-57.200839,-8.548206,4.668481,-60.958862,-8.945109,-1.479535,-97.809903,-0.437697,-1.478016,-97.611663,-0.442397,-7.52542,-63.169272,-7.31221,-8.239033,-68.868482,-7.084896,1.027736,-66.187749,-14.668756,1.618272,-65.175036,-15.244871,-5.208053,-93.535082,-1.378821,-5.20407,-93.369399,-1.390174,-4.438805,-65.778343,-1.139867,-4.523244,-70.049169,-1.131268,15.315446,-5.567044,-24.893155,15.315447,-5.567046,-24.893174,7.770503,-63.60381,2.6341,7.73295,-61.686504,2.882021,-6.684329,-87.071171,-7.667292,-6.915921,-88.818365,-7.539343,-3.98568,-61.596611,2.695034,-3.868797,-64.059345,2.751147,2
32.943007,-27.680762,1.491491,-2.472909,5.070247,7.576117,21.089286,14.333243,5.408679,38.378658,67.904578,176.144615,-35.164334,-31.801671,63.718627,-50.203623,-20.355248,55.842541,0.424037,-15.714558,34.413668,0.323572,-14.775444,27.950026,2.5836,-30.992408,-10.340873,3.834667,-24.164441,-10.43237,-3.181412,-22.491972,9.565444,-4.492381,-14.763864,9.703524,6.685127,-42.736992,0.405863,6.14512,-56.310912,-0.086758,-2.918571,-98.711835,-0.252819,-2.914398,-97.838902,-0.299005,0.654409,-55.665017,-2.527377,0.453963,-60.25218,-2.474663,5.108488,-57.713753,-8.598518,4.655601,-60.975457,-8.930116,-1.47983,-97.847323,-0.436806,-1.47838,-97.659277,-0.441272,-7.556508,-63.41389,-7.303942,-8.251217,-68.967603,-7.080308,0.811006,-66.906044,-14.617939,1.563502,-65.274408,-15.196713,-5.206984,-93.490028,-1.38192,-5.204922,-93.404967,-1.387736,-4.442587,-65.969122,-1.139618,-4.525069,-70.142024,-1.131008,15.31543,-5.567042,-24.893158,15.315439,-5.567052,-24.893171,7.720749,-64.582821,2.645168,7.694873,-61.874598,2.934376,-6.672824,-86.985328,-7.673395,-6.924917,-88.88688,-7.534179,-3.981111,-61.693942,2.697353,-3.867619,-64.083906,2.751669,2
27.745089,-23.907795,-0.774694,-2.208649,4.536795,6.847056,21.128335,13.487147,5.155009,39.027862,67.373847,175.905449,-35.183834,-31.791847,63.713032,-50.115567,-20.456427,55.920123,0.378407,-15.744414,34.410291,0.280511,-14.803449,27.995366,2.546559,-31.195709,-10.335874,3.772246,-24.50428,-10.43137,-3.163975,-22.595587,9.562419,-4.469081,-14.900558,9.702642,6.658803,-43.149253,0.395158,6.111946,-56.128738,-0.028504,-2.919546,-98.933126,-0.24111,-2.913896,-97.741712,-0.304138,0.642004,-55.946559,-2.524619,0.455135,-60.225221,-2.475025,5.026281,-58.302863,-8.656983,4.640816,-60.989361,-8.911192,-1.48026,-97.904823,-0.43544,-1.478795,-97.711497,-0.440035,-7.589435,-63.673203,-7.295005,-8.263829,-69.070231,-7.075553,0.570021,-67.724627,-14.564868,1.507962,-65.369222,-15.144335,-5.206166,-93.455989,-1.384247,-5.205975,-93.44802,-1.384794,-4.446639,-66.173499,-1.13934,-4.526924,-70.236594,-1.130749,15.315442,-5.567043,-24.893156,15.315436,-5.567046,-24.893161,7.679433,-65.680856,2.63793,7.653819,-62.059303,2.993604,-6.667005,-86.941771,-7.676489,-6.934812,-88.96228,-7.528481,-3.975572,-61.811554,2.700129,-3.866275,-64.112118,2.752282,2
