Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-0.646085,23.671335,-12.649655,0.594606,-0.838284,-0.687064,1.867236,3.569281,-4.322914,-71.494126,31.256105,31.466782,20.888679,141.199328,-174.530125,-38.082662,-30.240165,62.794325,-43.368252,-26.754673,60.519652,-6.397526,-20.053036,34.161455,-2.210392,-16.739978,31.282483,2.827841,-29.654384,-10.370564,1.177161,-38.802688,-10.054690,-5.491841,-8.897640,9.689547,-1.091580,-35.263998,8.955974,6.830477,-17.439632,2.255754,3.802458,-29.803271,2.835171,-1.686998,-49.756657,-2.454090,-0.799855,-30.963387,-2.903928,1.940995,-26.876208,-2.483525,2.362391,-16.845326,-2.318578,8.783493,-28.367094,-5.192671,7.585045,-43.694713,-7.638410,-0.844890,-56.159778,-1.231046,-0.807996,-54.457222,-1.252069,-3.548984,-32.694615,-7.272137,-4.721246,-41.738279,-7.506785,7.902684,-35.748070,-11.991380,1.739023,-66.850565,-16.382410,-3.154862,-49.596166,-3.720776,-5.009049,-86.459976,-1.852290,-3.874589,-36.563659,-1.030465,-4.421845,-64.924032,-1.140832,15.315443,-5.567044,-24.893161,15.315443,-5.567043,-24.893158,3.739898,-38.257484,8.336752,8.243520,-70.955859,0.645752,0.649273,-37.289286,-8.049946,-5.820398,-80.788075,-8.067654,-5.174546,-30.641316,1.609984,-4.007484,-61.131338,2.683872,6
-0.655556,23.630336,-12.605625,-0.374389,0.227536,-1.124448,0.982291,6.100364,-7.431430,-71.483861,31.330602,31.422523,21.057643,141.065082,-174.831138,-38.071476,-30.246570,62.798253,-43.416122,-26.718350,60.494704,-6.405642,-20.060299,34.167684,-2.265686,-16.769226,31.268790,2.814034,-29.729931,-10.369053,1.186829,-38.748246,-10.057366,-5.450572,-9.140369,9.692176,-1.109900,-35.147726,8.963623,6.874891,-17.484377,2.240771,3.833706,-29.855067,2.818909,-1.689305,-49.810681,-2.452403,-0.799483,-30.955811,-2.904040,1.939331,-26.914698,-2.483995,2.360321,-16.896295,-2.319602,8.792557,-28.407668,-5.204661,7.508383,-44.473413,-7.760313,-0.845382,-56.182749,-1.230776,-0.838552,-55.864989,-1.234767,-3.546641,-32.676195,-7.271455,-4.848313,-42.705022,-7.520825,7.907309,-35.798358,-12.007114,1.636662,-67.186254,-16.382095,-3.151092,-49.537978,-3.722675,-5.006665,-86.386097,-1.857092,-3.873771,-36.518229,-1.030086,-4.423166,-64.990479,-1.140769,15.315444,-5.567041,-24.893161,15.315436,-5.567043,-24.893161,3.764539,-38.261335,8.317910,8.222458,-71.051153,0.689813,0.666235,-37.169336,-8.043128,-5.831070,-80.863883,-8.063391,-5.177707,-30.528102,1.604941,-3.999284,-61.306691,2.688110,6
-0.665402,23.588264,-12.563837,-0.410149,0.262818,-1.220256,0.992679,6.256680,-7.173783,-71.460485,31.448462,31.325429,21.168024,140.937637,-175.102580,-38.054659,-30.256108,62.804099,-43.456648,-26.687471,60.473477,-6.415140,-20.069220,34.176497,-2.328824,-16.803788,31.259275,2.800348,-29.804839,-10.367510,1.195900,-38.697034,-10.059857,-5.409251,-9.383275,9.694600,-1.127481,-35.036230,8.970900,6.916997,-17.533817,2.225920,3.866899,-29.928025,2.801346,-1.692291,-49.880489,-2.450173,-0.799036,-30.947071,-2.904180,1.937626,-26.953911,-2.484499,2.358326,-16.945450,-2.320591,8.802142,-28.449027,-5.217091,7.428828,-45.250341,-7.880312,-0.845969,-56.209667,-1.230414,-0.867851,-57.234276,-1.217237,-3.544671,-32.660707,-7.270911,-4.974224,-43.661414,-7.532597,7.912239,-35.851079,-12.023712,1.531750,-67.530643,-16.381252,-3.147618,-49.484706,-3.724422,-5.004184,-86.309447,-1.862088,-3.873028,-36.476684,-1.029708,-4.424550,-65.059989,-1.140688,15.315443,-5.567041,-24.893158,15.315444,-5.567040,-24.893162,3.790726,-38.267040,8.297840,8.202554,-71.152631,0.730221,0.684122,-37.042772,-8.035863,-5.842746,-80.946706,-8.058728,-5.180791,-30.417221,1.599985,-3.990866,-61.486173,2.692406,6
-0.682336,23.498246,-12.491208,-0.233433,-0.311654,-0.572525,2.093526,12.058249,-10.552811,-71.565276,30.910743,31.754042,21.072378,140.493971,-176.011124,-38.030421,-30.270308,62.812821,-43.496859,-26.657216,60.452664,-6.401326,-20.063434,34.184223,-2.368939,-16.824441,31.246975,2.785792,-29.884554,-10.365860,1.206675,-38.636280,-10.062819,-5.371285,-9.606577,9.696693,-1.148442,-34.903532,8.979515,6.929909,-17.569830,2.219701,3.938074,-29.973348,2.764796,-1.695983,-49.966960,-2.447458,-0.800851,-30.982767,-2.903606,1.935203,-27.009966,-2.485200,2.353621,-17.061781,-2.322916,8.810299,-28.468171,-5.224620,7.340521,-46.086467,-8.008168,-0.846281,-56.224918,-1.230226,-0.902517,-58.880757,-1.195212,-3.544085,-32.656128,-7.270738,-5.129042,-44.835850,-7.544167,7.919943,-35.888530,-12.038068,1.433085,-67.844445,-16.373655,-3.144598,-49.438093,-3.725926,-5.000717,-86.202221,-1.869055,-3.872489,-36.446367,-1.029466,-4.426265,-65.146938,-1.140606,15.315449,-5.567051,-24.893167,15.315438,-5.567039,-24.893152,3.821389,-38.278786,8.274374,8.187590,-71.208329,0.764046,0.694162,-36.971580,-8.031763,-5.850246,-80.999900,-8.055723,-5.183082,-30.334743,1.596303,-3.980798,-61.700604,2.697509,6
-0.699571,23.405454,-12.419039,-0.232133,-0.300990,-0.559099,2.152285,12.536852,-10.543721,-71.638553,30.519302,32.059964,20.985670,140.131730,-176.747532,-38.003177,-30.285540,62.822133,-43.533838,-26.628378,60.432803,-6.384872,-20.055717,34.192663,-2.408364,-16.844668,31.235992,2.771155,-29.964653,-10.364192,1.217476,-38.575468,-10.065728,-5.333632,-9.827893,9.698607,-1.169582,-34.769721,8.988161,6.937843,-17.605129,2.214841,4.019601,-30.021871,2.722792,-1.700241,-50.066197,-2.444328,-0.803246,-31.030068,-2.902859,1.932596,-27.069959,-2.485956,2.348352,-17.191845,-2.325505,8.818425,-28.484067,-5.231501,7.251868,-46.906910,-8.132944,-0.846649,-56.241064,-1.230014,-0.934973,-60.450804,-1.173313,-3.543879,-32.654636,-7.270702,-5.280063,-45.980183,-7.552375,7.928315,-35.924557,-12.052505,1.334713,-68.155577,-16.364227,-3.141759,-49.394648,-3.727330,-4.996971,-86.087517,-1.876499,-3.872022,-36.419632,-1.029242,-4.428102,-65.238935,-1.140501,15.315436,-5.567044,-24.893167,15.315437,-5.567039,-24.893157,3.853866,-38.293119,8.249459,8.173813,-71.259223,0.795513,0.703209,-36.907406,-8.028076,-5.857457,-81.051252,-8.052811,-5.185206,-30.257843,1.592858,-3.970401,-61.921501,2.702734,6
-0.723422,23.285758,-12.317312,-2.870438,0.285401,-0.411470,0.415988,16.778304,-14.428570,-71.960219,30.104667,32.414684,20.808937,139.445521,-178.292128,-37.960720,-30.310118,62.837195,-43.583125,-26.590926,60.407000,-6.330779,-20.024997,34.200783,-2.474575,-16.880332,31.223146,2.758878,-30.031912,-10.362764,1.217150,-38.577296,-10.065630,-5.294020,-10.060662,9.700493,-1.190412,-34.638143,8.996594,6.925183,-17.587339,2.219549,4.066336,-30.022724,2.699060,-1.702937,-50.129595,-2.442289,-0.806918,-31.102489,-2.901691,1.929933,-27.131148,-2.486752,2.342911,-17.325912,-2.328152,8.821095,-28.467799,-5.229684,7.268890,-46.786109,-8.118256,-0.847124,-56.264202,-1.229717,-0.927565,-60.090203,-1.178424,-3.545977,-32.671041,-7.271277,-5.281720,-45.992691,-7.552449,7.934584,-35.983616,-12.071650,1.377307,-67.991214,-16.350421,-3.142185,-49.401314,-3.727128,-4.990329,-85.884720,-1.889646,-3.872258,-36.432679,-1.029351,-4.428963,-65.282217,-1.140451,15.315448,-5.567050,-24.893171,15.315450,-5.567041,-24.893165,3.897023,-38.359914,8.216016,8.177206,-71.123169,0.806372,0.703828,-36.903057,-8.027802,-5.851358,-81.007976,-8.055261,-5.185667,-30.241327,1.592108,-3.964006,-62.057428,2.705928,6
-0.755519,23.170787,-12.222636,-3.995428,0.419350,-0.542835,0.467418,16.405207,-13.706780,-72.329898,29.637635,32.808640,20.668318,138.955847,-179.381618,-37.907365,-30.340192,62.855563,-43.632915,-26.552995,60.380850,-6.262820,-19.985577,34.210928,-2.546742,-16.919196,31.210776,2.747109,-30.096272,-10.361384,1.215232,-38.588048,-10.065113,-5.254521,-10.292641,9.702180,-1.211259,-34.506527,9.004976,6.907614,-17.561292,2.226215,4.109043,-30.015185,2.677516,-1.705449,-50.188442,-2.440427,-0.811309,-31.189263,-2.900291,1.927209,-27.194126,-2.487523,2.337218,-17.465422,-2.330892,8.822371,-28.445604,-5.226031,7.280730,-46.668258,-8.099426,-0.847707,-56.291037,-1.229385,-0.922471,-59.842637,-1.181901,-3.548551,-32.691323,-7.272013,-5.284431,-46.013312,-7.552567,7.940696,-36.047205,-12.091893,1.419312,-67.828711,-16.336594,-3.143153,-49.415984,-3.726631,-4.982819,-85.657307,-1.904351,-3.872604,-36.452700,-1.029526,-4.429670,-65.317597,-1.140409,15.315436,-5.567051,-24.893155,15.315440,-5.567044,-24.893163,3.944129,-38.445618,8.179262,8.182515,-70.916586,0.822487,0.702835,-36.910034,-8.028209,-5.844033,-80.955775,-8.058218,-5.185814,-30.235835,1.591869,-3.958177,-62.180633,2.708794,6
-0.792193,23.071948,-12.142897,-4.698653,0.507274,-0.617914,0.439220,14.353979,-11.788801,-72.667775,29.221863,33.153463,20.557394,138.597995,179.831999,-37.844934,-30.375627,62.877198,-43.684456,-26.513472,60.353566,-6.180969,-19.938575,34.222616,-2.624343,-16.961929,31.198689,2.735725,-30.158613,-10.360046,1.212148,-38.605353,-10.064298,-5.214819,-10.525806,9.703711,-1.232334,-34.373531,9.013422,6.886305,-17.529186,2.234282,4.148433,-30.001037,2.657774,-1.707775,-50.243344,-2.438697,-0.816363,-31.289138,-2.898672,1.924403,-27.258714,-2.488316,2.331369,-17.609459,-2.333716,8.822361,-28.418995,-5.220948,7.288279,-46.554203,-8.077564,-0.848364,-56.321318,-1.229008,-0.918537,-59.652392,-1.184577,-3.551710,-32.716100,-7.272913,-5.287738,-46.038372,-7.552702,7.946644,-36.115031,-12.113191,1.455363,-67.686311,-16.323030,-3.144490,-49.436498,-3.725977,-4.974608,-85.410502,-1.920294,-3.873049,-36.477792,-1.029731,-4.430246,-65.346809,-1.140379,15.315449,-5.567033,-24.893153,15.315442,-5.567045,-24.893157,3.994916,-38.549170,8.139332,8.188400,-70.608000,0.852379,0.700690,-36.925234,-8.029096,-5.835125,-80.892693,-8.061767,-5.185749,-30.238403,1.591990,-3.952770,-62.295106,2.711463,6
-0.840423,23.007789,-12.041140,-4.565540,0.893754,-1.265044,2.155476,9.834620,-15.445503,-72.920823,28.565612,33.671458,20.409001,137.992255,179.082044,-37.791465,-30.406198,62.895849,-43.786145,-26.434561,60.299017,-6.084875,-19.880454,34.227983,-2.709778,-17.003394,31.165611,2.728123,-30.200188,-10.359138,1.210144,-38.616754,-10.063737,-5.194271,-10.646454,9.704466,-1.284260,-34.046453,9.033970,6.867255,-17.458906,2.244745,4.117747,-29.949372,2.674216,-1.708997,-50.271899,-2.437775,-0.827155,-31.502134,-2.895177,1.923163,-27.287239,-2.488690,2.324784,-17.771126,-2.336876,8.812495,-28.397658,-5.212212,7.320179,-46.113664,-7.996213,-0.849174,-56.359436,-1.228527,-0.907572,-59.123816,-1.191893,-3.555332,-32.744615,-7.273934,-5.226895,-45.577443,-7.549829,7.934619,-36.182340,-12.123323,1.724595,-66.741304,-16.291440,-3.146163,-49.462253,-3.725136,-4.960344,-84.986288,-1.947596,-3.873373,-36.495673,-1.029888,-4.429189,-65.293852,-1.140437,15.315442,-5.567046,-24.893159,15.315446,-5.567042,-24.893157,4.021765,-38.668574,8.117599,8.195760,-69.260841,1.030612,0.694859,-36.966607,-8.031483,-5.793311,-80.596163,-8.078370,-5.185425,-30.250318,1.592515,-3.953271,-62.284607,2.711212,6
-0.888634,22.947010,-11.951005,-4.669018,0.936639,-1.263977,1.884622,9.198673,-13.516451,-73.127145,28.058687,34.065430,20.286333,137.552663,178.450944,-37.735023,-30.437902,62.915145,-43.898506,-26.347324,60.238596,-5.978735,-19.815356,34.232886,-2.798917,-17.046698,31.128681,2.721233,-30.238024,-10.358310,1.207624,-38.630922,-10.063053,-5.174954,-10.759895,9.705106,-1.341441,-33.687209,9.056190,6.844197,-17.367814,2.257826,4.080026,-29.877738,2.694471,-1.709959,-50.294488,-2.437056,-0.839652,-31.749534,-2.891091,1.922108,-27.311273,-2.488985,2.318026,-17.936772,-2.340075,8.800026,-28.372314,-5.201480,7.411442,-45.158605,-7.842125,-0.850073,-56.401231,-1.227977,-0.879547,-57.785930,-1.209967,-3.559588,-32.777973,-7.275140,-5.173283,-45.171219,-7.546893,7.919747,-36.251938,-12.132271,2.110580,-65.391535,-16.244243,-3.148034,-49.491134,-3.724188,-4.944730,-84.528765,-1.976934,-3.873762,-36.517127,-1.030076,-4.428065,-65.237085,-1.140514,15.315443,-5.567048,-24.893153,15.315444,-5.567044,-24.893164,4.046995,-38.799848,8.096896,8.207863,-67.652871,1.229309,0.688314,-37.012985,-8.034153,-5.735507,-80.187479,-8.100902,-5.184977,-30.266692,1.593243,-3.954230,-62.264590,2.710752,6
