Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-48.650596,10.966390,-9.899235,5.497880,-4.098979,1.071606,15.396734,-36.483481,-94.151408,-78.075411,28.737346,57.268643,41.272308,-65.984992,25.095389,-32.523589,-33.040163,64.396425,-42.100684,-27.681613,61.148506,-0.497008,-16.571846,35.587771,19.529504,-3.396688,31.660058,1.748393,-35.603631,-10.195084,3.129674,-28.005285,-10.399271,0.131848,-43.293885,8.342012,-6.471455,-3.098974,9.575055,9.069595,-16.288840,1.813267,13.582141,-21.933136,-0.418272,-1.450006,-44.401159,-2.611615,-1.586371,-47.441656,-2.524900,2.111749,-22.892924,-2.426881,2.108440,-22.971236,-2.428108,3.870984,-68.946706,-10.560696,11.069038,-27.109909,-5.972751,-1.416910,-90.888971,-0.598411,-0.973008,-62.330040,-1.145938,-8.062305,-67.438626,-7.148645,-3.017130,-28.471303,-7.099828,-3.302973,-82.145260,-13.238235,9.442714,-31.585262,-11.776018,-4.831775,-81.401274,-2.173996,-3.675034,-57.945921,-3.408977,-4.527857,-70.284127,-1.130626,-3.721582,-27.673355,-0.941935,15.315439,-5.567052,-24.893159,15.315438,-5.567036,-24.893154,7.447305,-80.825836,2.997753,0.202365,-34.761533,10.715837,-5.206085,-76.494919,-8.285542,1.400972,-31.859761,-7.705430,-3.462833,-72.285708,2.901151,-5.312971,-25.290986,1.364777,4
-46.695779,10.836861,-9.268188,7.614189,-4.082675,0.505557,-277.273028,14.794485,-91.460607,-78.370265,27.576910,59.265885,38.811284,-65.289008,24.204126,-32.625191,-32.995294,64.372854,-42.160414,-27.639055,61.119970,-0.547926,-16.598896,35.552040,19.429880,-3.469450,31.621425,1.729492,-35.708809,-10.190970,3.194711,-27.650505,-10.404316,0.146407,-43.393199,8.333378,-6.510089,-2.868419,9.568431,9.009058,-16.203520,1.837788,13.517345,-22.398474,-0.491766,-1.456257,-44.538187,-2.607859,-1.614933,-48.092277,-2.505406,2.110212,-22.929531,-2.427461,2.101288,-23.139709,-2.430736,3.854516,-68.966994,-10.533882,10.998548,-27.361086,-5.999633,-1.417469,-90.944349,-0.597152,-0.971161,-62.237851,-1.147312,-8.062151,-67.437305,-7.148679,-3.005010,-28.373797,-7.095368,-3.321132,-82.211245,-13.219771,9.338333,-31.758496,-11.767526,-4.831870,-81.403645,-2.173848,-3.687731,-58.159555,-3.400022,-4.527510,-70.266013,-1.130666,-3.725496,-27.911768,-0.944635,15.315445,-5.567028,-24.893145,15.315439,-5.567037,-24.893153,7.448295,-80.915349,3.002524,0.016414,-34.967146,10.853060,-5.198002,-76.439179,-8.288065,1.374185,-32.057693,-7.719218,-3.467613,-72.191210,2.899753,-5.296220,-25.989074,1.397486,4
-45.483972,10.746717,-8.801079,6.461617,-4.014796,0.608057,-158.368450,8.246466,-62.928201,-78.600492,26.558477,60.859328,37.316833,-65.229957,24.061123,-32.736701,-32.946044,64.346915,-42.216048,-27.599292,61.093276,-0.594675,-16.622841,35.512025,19.334877,-3.538951,31.585552,1.709933,-35.817743,-10.186681,3.259433,-27.297487,-10.408932,0.160788,-43.491374,8.324814,-6.554967,-2.600280,9.560565,8.946425,-16.094211,1.865433,13.456217,-22.927807,-0.578903,-1.463676,-44.701168,-2.603371,-1.645931,-48.803610,-2.483735,2.108503,-22.969664,-2.428104,2.091319,-23.375017,-2.434368,3.839115,-68.988145,-10.509791,10.932304,-27.557144,-6.015220,-1.418089,-91.001364,-0.595854,-0.969279,-62.143594,-1.148708,-8.061654,-67.433372,-7.148875,-2.993574,-28.281877,-7.091182,-3.341619,-82.288991,-13.202586,9.241206,-31.899978,-11.753984,-4.831791,-81.401842,-2.173961,-3.698981,-58.349623,-3.392006,-4.527098,-70.245422,-1.130725,-3.728680,-28.104804,-0.946779,15.315442,-5.567043,-24.893152,15.315443,-5.567035,-24.893159,7.449999,-81.014637,3.004671,-0.178122,-35.123781,10.993755,-5.190012,-76.384084,-8.290556,1.345251,-32.271030,-7.733998,-3.473266,-72.079456,2.898112,-5.276763,-26.779464,1.434283,4
-40.663954,10.056666,-8.006132,10.123180,-0.422962,-0.876281,-653.376450,94.566153,-110.304752,-78.733418,27.236685,60.838675,37.633864,-62.999816,19.890709,-32.820432,-32.908832,64.327252,-42.256157,-27.571206,61.074417,-0.639909,-16.648372,35.483261,19.185104,-3.641963,31.550551,1.702782,-35.857580,-10.185098,3.258321,-27.303503,-10.408849,0.158056,-43.472800,8.326416,-6.501950,-2.916946,9.569834,8.884437,-15.978883,1.893346,13.439169,-24.196882,-0.834798,-1.469793,-44.836086,-2.599653,-1.678581,-49.560386,-2.460242,2.107070,-23.003471,-2.428617,2.079108,-23.661985,-2.438750,3.821172,-69.021905,-10.485978,10.819337,-28.571316,-6.198183,-1.418756,-91.066732,-0.594386,-0.967846,-62.072501,-1.149755,-8.063703,-67.449851,-7.148154,-2.993838,-28.283864,-7.091276,-3.365678,-82.382780,-13.185051,9.058142,-32.415223,-11.791059,-4.831979,-81.406651,-2.173658,-3.708935,-58.518139,-3.384870,-4.526598,-70.220068,-1.130791,-3.733630,-28.404616,-0.950116,15.315445,-5.567044,-24.893157,15.315443,-5.567047,-24.893164,7.454364,-81.152240,2.996296,-0.319541,-35.526670,11.122157,-5.184708,-76.347627,-8.292210,1.289356,-32.681919,-7.762126,-3.480240,-71.941218,2.896063,-5.250282,-27.824204,1.482498,4
-38.392874,9.701511,-7.606888,9.903685,-0.684452,-0.764583,-308.136118,49.050994,-56.674286,-78.860876,27.467196,61.073693,37.788060,-61.650610,17.130234,-32.896718,-32.874024,64.308730,-42.291160,-27.546189,61.057601,-0.681894,-16.670732,35.456951,19.025687,-3.749790,31.516998,1.697384,-35.887597,-10.183921,3.257294,-27.309177,-10.408774,0.154019,-43.445167,8.328845,-6.462009,-3.155357,9.576611,8.824372,-15.858598,1.921137,13.421514,-25.469525,-1.092978,-1.475733,-44.966791,-2.596027,-1.707903,-50.246420,-2.438598,2.105686,-23.036269,-2.429136,2.066300,-23.962398,-2.443260,3.802879,-69.062452,-10.464472,10.673904,-29.873370,-6.432113,-1.419430,-91.131479,-0.592910,-0.966098,-61.985567,-1.151053,-8.065928,-67.467811,-7.147382,-2.994769,-28.291494,-7.091617,-3.391840,-82.486840,-13.168099,8.805941,-33.208357,-11.859762,-4.832123,-81.410550,-2.173418,-3.717714,-58.666911,-3.378553,-4.526026,-70.190979,-1.130878,-3.741579,-28.883568,-0.955381,15.315442,-5.567046,-24.893163,15.315445,-5.567045,-24.893156,7.460038,-81.309486,2.982873,-0.439511,-35.954385,11.241905,-5.179710,-76.313118,-8.293760,1.222560,-33.171037,-7.795109,-3.487514,-71.797003,2.893885,-5.224734,-28.800609,1.527109,4
-37.301534,9.504330,-7.394147,9.367041,-0.900014,-0.636575,-142.793050,26.591959,-30.297972,-78.984031,27.452504,61.447403,37.814762,-60.653140,14.825174,-32.971191,-32.840425,64.290856,-42.325091,-27.521896,61.041255,-0.721534,-16.692459,35.431250,18.782971,-3.911443,31.475491,1.693342,-35.910135,-10.183012,3.256210,-27.315102,-10.408706,0.148604,-43.408257,8.332053,-6.429231,-3.350840,9.582074,8.763552,-15.729789,1.949807,13.402485,-26.783788,-1.361453,-1.481708,-45.099052,-2.592344,-1.736302,-50.916263,-2.417107,2.104271,-23.069420,-2.429642,2.052717,-24.280738,-2.447960,3.783440,-69.111470,-10.444253,10.504949,-31.352921,-6.695236,-1.420131,-91.199409,-0.591372,-0.963872,-61.874452,-1.152669,-8.068490,-67.488378,-7.146484,-2.996375,-28.304419,-7.092213,-3.420650,-82.603274,-13.151261,8.496202,-34.211692,-11.945604,-4.832243,-81.413740,-2.173232,-3.726201,-58.811200,-3.372402,-4.525347,-70.156887,-1.130961,-3.752123,-29.515128,-0.962218,15.315447,-5.567041,-24.893148,15.315445,-5.567043,-24.893162,7.467003,-81.488416,2.964491,-0.512423,-36.628398,11.357103,-5.173931,-76.273339,-8.295535,1.146403,-33.726121,-7.831846,-3.495358,-71.641554,2.891530,-5.198223,-29.785023,1.571634,4
-32.038638,8.796087,-6.557655,8.318514,2.229435,-0.214425,-725.518681,100.984051,-116.851477,-78.752746,27.817557,61.150880,38.942608,-55.487489,12.702686,-33.027752,-32.815289,64.277500,-42.422659,-27.452316,60.994393,-0.735385,-16.697376,35.409750,18.258813,-4.261288,31.377520,1.686866,-35.946221,-10.181583,3.225596,-27.481996,-10.406572,0.142262,-43.364888,8.335850,-6.375622,-3.670134,9.590739,8.735628,-15.562216,1.975159,13.366553,-28.289410,-1.665470,-1.489628,-45.273914,-2.587443,-1.775442,-51.849785,-2.386631,2.101051,-23.145174,-2.430837,2.027739,-24.864750,-2.456401,3.772793,-69.152905,-10.440032,10.129027,-34.152769,-7.158505,-1.421223,-91.306064,-0.588943,-0.964350,-61.899264,-1.152316,-8.074537,-67.537046,-7.144391,-3.021234,-28.504164,-7.101316,-3.446523,-82.710899,-13.139538,7.846792,-36.659086,-12.193264,-4.832693,-81.425536,-2.172489,-3.752796,-59.264781,-3.352928,-4.524794,-70.127779,-1.131047,-3.772608,-30.728992,-0.975055,15.315441,-5.567047,-24.893148,15.315441,-5.567041,-24.893160,7.471736,-81.644211,2.956509,-0.293937,-38.495602,11.391940,-5.169022,-76.239582,-8.297046,0.880265,-35.646073,-7.953208,-3.501812,-71.513533,2.889577,-5.144190,-31.709558,1.657339,4
-29.518113,8.437315,-6.130552,7.634417,1.892400,-0.123070,-339.318443,51.277764,-58.914232,-78.639409,27.947641,61.132430,39.632709,-52.347279,11.407955,-33.080030,-32.791388,64.264717,-42.573533,-27.343174,60.920688,-0.745062,-16.699475,35.389604,17.627940,-4.682261,31.249670,1.680701,-35.980534,-10.180195,3.199765,-27.622911,-10.404695,0.134905,-43.314699,8.340215,-6.286534,-4.200291,9.604443,8.712405,-15.383997,2.000494,13.326044,-29.757020,-1.961915,-1.497847,-45.456307,-2.582326,-1.813622,-52.772103,-2.355872,2.097407,-23.231212,-2.432161,2.000906,-25.489320,-2.465150,3.763064,-69.196501,-10.438847,9.738841,-36.833980,-7.576189,-1.422421,-91.422548,-0.586308,-0.965096,-61.935526,-1.151783,-8.081597,-67.594065,-7.141919,-3.067331,-28.874456,-7.117966,-3.472651,-82.820757,-13.128971,7.173849,-39.123280,-12.401110,-4.833167,-81.438361,-2.171691,-3.781867,-59.763770,-3.331235,-4.524190,-70.097209,-1.131139,-3.794930,-32.033921,-0.988345,15.315440,-5.567050,-24.893162,15.315443,-5.567043,-24.893166,7.476490,-81.801624,2.948886,-0.028566,-40.563984,11.413813,-5.164033,-76.205239,-8.298582,0.593432,-37.683596,-8.072197,-3.508223,-71.386495,2.887621,-5.088679,-33.588773,1.739233,4
-23.165584,9.591964,-3.782248,3.803197,5.729300,4.192727,-896.743840,-157.956057,-328.707453,-78.258766,28.918100,60.106440,41.291086,-48.436087,9.496754,-33.085063,-32.789115,64.263508,-42.695411,-27.254213,60.860455,-0.764481,-16.712671,35.389742,17.155144,-4.995994,31.153522,1.679266,-35.988554,-10.179876,3.127721,-28.016034,-10.399122,0.117181,-43.193902,8.350708,-6.210789,-4.650352,9.615429,8.710649,-15.314157,2.008778,13.202128,-31.552648,-2.288452,-1.502235,-45.553529,-2.579592,-1.868858,-54.129087,-2.309534,2.095207,-23.283140,-2.432957,1.952470,-26.611300,-2.480114,3.755594,-69.235083,-10.440305,9.246738,-39.828222,-7.992419,-1.422843,-91.463124,-0.585375,-0.969665,-62.163196,-1.148420,-8.084332,-67.616027,-7.140969,-3.201156,-29.944157,-7.164362,-3.494244,-82.911833,-13.120326,6.428709,-41.975210,-12.628845,-4.832702,-81.425657,-2.172477,-3.824524,-60.501767,-3.298736,-4.523877,-70.082103,-1.131191,-3.825855,-33.815304,-1.005666,15.315454,-5.567041,-24.893155,15.315445,-5.567041,-24.893156,7.480650,-81.913365,2.938731,0.508358,-42.846506,11.226003,-5.156573,-76.153871,-8.300857,0.311716,-39.656801,-8.177660,-3.510404,-71.343149,2.886957,-5.066674,-34.310499,1.770192,4
-20.081966,9.970054,-2.715790,3.407483,5.094694,3.868694,-413.735186,-46.052216,-140.398602,-77.998494,29.531962,59.500507,43.035679,-44.399305,7.610744,-33.081277,-32.791090,64.264584,-42.824229,-27.160379,60.796777,-0.783865,-16.726787,35.393487,16.701942,-5.295606,31.058694,1.678791,-35.991191,-10.179767,3.016933,-28.620850,-10.389578,0.093666,-43.033863,8.364536,-6.133133,-5.111105,9.626060,8.714718,-15.260875,2.013898,13.043857,-33.289563,-2.581495,-1.506027,-45.637628,-2.577207,-1.922646,-55.476994,-2.262215,2.093162,-23.331307,-2.433710,1.901450,-27.786709,-2.494787,3.749121,-69.273072,-10.443707,8.749033,-42.587359,-8.326436,-1.423157,-91.493365,-0.584687,-0.976712,-62.515716,-1.143161,-8.086526,-67.633828,-7.140192,-3.368583,-31.273120,-7.218522,-3.514699,-82.998650,-13.112806,5.728285,-44.603520,-12.794671,-4.832066,-81.409073,-2.173513,-3.869221,-61.283055,-3.263722,-4.523663,-70.070079,-1.131202,-3.856525,-35.552545,-1.021624,15.315453,-5.567039,-24.893162,15.315450,-5.567045,-24.893155,7.484620,-82.015084,2.928241,1.012314,-44.987312,11.017983,-5.148407,-76.097665,-8.303364,0.044212,-41.507796,-8.267776,-3.511853,-71.314124,2.886499,-5.044721,-35.017470,1.800258,4
