Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-6.380889,16.824386,1.141417,-1.268482,-0.969055,-1.728721,1.391603,-0.051929,-4.961696,-67.623745,153.786029,-84.629168,59.261366,-49.583238,2.954724,-36.901530,-30.899158,63.192930,-43.448986,-26.693726,60.477784,-1.669747,-16.991305,33.934528,-2.069246,-16.646841,31.230181,4.174445,-22.314545,-10.431407,3.091607,-28.213120,-10.396145,-3.498212,-20.613939,9.615291,-4.446594,-15.032485,9.701712,13.682576,-38.448122,-4.216819,11.516246,-26.016144,-0.396852,-2.065505,-59.207444,-2.124840,-2.704416,-81.310777,-1.148321,1.474403,-37.414397,-2.574912,0.774763,-52.951494,-2.550957,11.141681,-45.063314,-11.095782,10.610935,-30.602641,-6.572373,-1.148918,-71.743263,-0.990869,-1.280524,-80.000548,-0.832744,-5.989598,-51.354474,-7.550387,-7.035333,-59.349942,-7.424029,7.971925,-47.843310,-15.846176,11.672521,-28.470647,-11.982812,-4.412524,-71.633123,-2.745342,-4.778312,-80.015277,-2.259294,-4.308882,-59.239728,-1.140757,-4.331741,-60.390541,-1.141678,15.315445,-5.567040,-24.893165,15.315444,-5.567036,-24.893152,5.226191,-49.212710,6.931588,6.550789,-26.057140,7.259314,-1.504789,-51.919924,-8.610656,-3.509582,-65.094191,-8.634779,-3.872486,-63.982618,2.749479,-4.052597,-60.161967,2.660068,5
-6.400496,16.818091,1.167452,-1.344662,-0.990939,-1.754394,1.489856,-0.080999,-5.518240,-67.558186,154.684432,-85.509564,59.796227,-49.437976,3.096626,-36.860912,-30.920799,63.205799,-43.527966,-26.633532,60.436361,-1.760914,-17.056312,33.962635,-2.076494,-16.644543,31.197200,4.174984,-22.311658,-10.431397,3.101762,-28.157675,-10.396998,-3.491165,-20.655664,9.614297,-4.442079,-15.059007,9.701530,13.663763,-38.536285,-4.226207,11.587678,-25.949388,-0.415705,-2.062680,-59.131711,-2.127726,-2.706054,-81.392761,-1.144273,1.480915,-37.269571,-2.574240,0.771144,-53.032661,-2.550339,11.139771,-45.038723,-11.085433,10.679884,-30.486706,-6.580259,-1.149237,-71.761310,-0.990559,-1.284217,-80.254435,-0.827579,-5.978215,-51.268145,-7.550942,-7.061095,-59.549217,-7.419023,7.988939,-47.822706,-15.853730,11.734085,-28.336001,-11.971308,-4.413672,-71.657093,-2.744027,-4.785285,-80.192845,-2.248451,-4.307302,-59.159775,-1.140686,-4.333244,-60.465878,-1.141724,15.315446,-5.567037,-24.893157,15.315453,-5.567044,-24.893157,5.245212,-49.189670,6.910225,6.536009,-26.003081,7.271921,-1.498659,-51.879483,-8.609880,-3.524709,-65.193945,-8.633195,-3.879610,-63.833915,2.746216,-4.049381,-60.231447,2.661791,5
-6.404513,16.803625,1.180601,0.255284,-1.164243,-1.674399,0.811217,0.837612,-3.493967,-67.339312,156.378983,-87.149922,60.200782,-49.761151,2.725710,-36.804036,-30.951885,63.224314,-43.627316,-26.556734,60.383423,-1.845850,-17.119211,33.996785,-2.094488,-16.645788,31.156429,4.170073,-22.338346,-10.431493,3.113981,-28.090911,-10.398008,-3.482570,-20.706446,9.613096,-4.445475,-15.039035,9.701662,13.678147,-38.551894,-4.240337,11.642754,-25.851713,-0.422065,-2.060417,-59.070936,-2.130028,-2.706578,-81.418431,-1.143020,1.483316,-37.215747,-2.573983,0.769805,-53.063162,-2.550115,11.145885,-45.014115,-11.081989,10.751600,-30.354298,-6.585332,-1.148980,-71.746316,-0.990822,-1.287413,-80.475561,-0.823092,-5.967376,-51.185958,-7.551463,-7.082361,-59.713920,-7.414797,8.014475,-47.803439,-15.869528,11.803143,-28.229333,-11.970812,-4.412884,-71.640688,-2.744916,-4.792516,-80.378484,-2.237067,-4.305532,-59.070593,-1.140590,-4.334694,-60.538708,-1.141768,15.315441,-5.567050,-24.893166,15.315447,-5.567038,-24.893162,5.264307,-49.161893,6.888883,6.531331,-25.949991,7.279519,-1.482475,-51.772449,-8.607776,-3.538135,-65.282571,-8.631764,-3.888889,-63.639498,2.741919,-4.046577,-60.291916,2.663290,5
-6.408438,16.789576,1.193380,0.208245,-1.147819,-1.644563,0.750260,0.792238,-3.409299,-67.137439,157.740097,-88.455590,60.529429,-49.976938,2.478317,-36.734325,-30.988810,63.246203,-43.731395,-26.476776,60.328207,-1.929736,-17.182114,34.036160,-2.110638,-16.646142,31.113485,4.164396,-22.369294,-10.431594,3.129901,-28.004053,-10.399292,-3.470972,-20.775075,9.611427,-4.449890,-15.013193,9.701857,13.698139,-38.559082,-4.256273,11.695498,-25.750833,-0.426673,-2.058129,-59.009068,-2.132363,-2.706906,-81.436095,-1.142143,1.485170,-37.174752,-2.573795,0.768823,-53.085098,-2.549927,11.154926,-44.987278,-11.080300,10.824088,-30.223800,-6.590912,-1.148660,-71.728247,-0.991142,-1.290537,-80.695088,-0.818609,-5.956420,-51.102853,-7.551968,-7.103211,-59.875429,-7.410595,8.043848,-47.784036,-15.888748,11.873558,-28.130148,-11.972786,-4.411900,-71.620134,-2.746044,-4.799913,-80.568958,-2.225376,-4.303719,-58.979195,-1.140483,-4.336164,-60.612428,-1.141807,15.315445,-5.567047,-24.893162,15.315445,-5.567035,-24.893156,5.286220,-49.133677,6.864386,6.524984,-25.894036,7.288201,-1.464363,-51.652748,-8.605401,-3.552300,-65.376104,-8.630228,-3.898320,-63.442075,2.737553,-4.043586,-60.356484,2.664900,5
-6.397036,16.776145,1.194739,-0.111062,-0.442997,-1.062190,-1.708523,1.438800,-1.252583,-67.113019,159.032425,-89.706782,60.410757,-50.113590,2.299792,-36.632982,-31.042973,63.278280,-43.802496,-26.422004,60.290324,-1.994364,-17.235326,34.086170,-2.078859,-16.620967,31.078982,4.161035,-22.387560,-10.431654,3.149199,-27.898815,-10.400836,-3.452947,-20.881811,9.608813,-4.466711,-14.914523,9.702544,13.730304,-38.500712,-4.263882,11.729879,-25.662791,-0.425654,-2.056804,-58.973604,-2.133724,-2.706327,-81.406410,-1.143611,1.486449,-37.146227,-2.573652,0.769265,-53.075361,-2.550022,11.169953,-44.970034,-11.087141,10.870241,-30.141757,-6.594545,-1.148782,-71.735497,-0.991011,-1.291858,-80.786904,-0.816733,-5.945589,-51.020712,-7.552453,-7.114061,-59.959543,-7.408401,8.062871,-47.809165,-15.915799,11.916231,-28.075333,-11.975400,-4.411355,-71.608497,-2.746687,-4.804260,-80.681648,-2.218442,-4.301854,-58.885371,-1.140389,-4.336961,-60.652683,-1.141823,15.315447,-5.567043,-24.893155,15.315444,-5.567037,-24.893152,5.322211,-49.197907,6.823502,6.508805,-25.859239,7.299483,-1.454769,-51.589403,-8.604110,-3.562245,-65.441799,-8.629150,-3.904194,-63.319047,2.734811,-4.042201,-60.386375,2.665643,5
-6.386584,16.763750,1.195908,-0.132205,-0.410898,-0.982564,-1.563207,1.286146,-1.142516,-67.064099,160.026556,-90.659628,60.384043,-50.210317,2.174220,-36.515785,-31.105723,63.315369,-43.867098,-26.371899,60.255631,-2.052809,-17.286798,34.142106,-2.038992,-16.590988,31.046090,4.157442,-22.407199,-10.431717,3.171199,-27.778797,-10.402532,-3.430963,-21.011940,9.605599,-4.485724,-14.802973,9.703272,13.771179,-38.437540,-4.276293,11.759057,-25.576340,-0.422630,-2.055726,-58.944689,-2.134806,-2.705547,-81.367574,-1.145518,1.487376,-37.125553,-2.573558,0.770083,-53.056905,-2.550157,11.187562,-44.954656,-11.096869,10.910754,-30.068395,-6.597299,-1.148980,-71.746792,-0.990817,-1.292826,-80.855613,-0.815313,-5.934767,-50.938685,-7.552927,-7.122781,-60.027058,-7.406608,8.081794,-47.843843,-15.946521,11.953371,-28.030622,-11.978471,-4.410799,-71.596933,-2.747316,-4.808034,-80.779179,-2.212444,-4.299965,-58.790285,-1.140280,-4.337609,-60.685172,-1.141848,15.315451,-5.567040,-24.893164,15.315458,-5.567044,-24.893158,5.365437,-49.305162,6.773944,6.490270,-25.828995,7.311445,-1.446377,-51.533852,-8.602989,-3.571309,-65.501573,-8.628151,-3.909438,-63.208936,2.732331,-4.041156,-60.408702,2.666188,5
-6.376487,16.751829,1.197195,-0.151172,-0.400916,-0.957559,-1.554376,1.255760,-1.136480,-67.001055,160.839790,-91.431274,60.407392,-50.288666,2.073314,-36.385173,-31.174723,63.355989,-43.927335,-26.325035,60.223140,-2.106831,-17.336318,34.202993,-1.979815,-16.550359,31.012953,4.153616,-22.427916,-10.431788,3.195251,-27.647510,-10.404355,-3.405714,-21.161294,9.601849,-4.513730,-14.638667,9.704305,13.822409,-38.357786,-4.291516,11.784084,-25.491170,-0.418017,-2.054858,-58.921185,-2.135689,-2.704577,-81.318939,-1.147914,1.488049,-37.110764,-2.573491,0.771163,-53.032404,-2.550342,11.208779,-44.941280,-11.110372,10.946776,-30.001225,-6.599179,-1.149235,-71.761280,-0.990566,-1.293571,-80.907867,-0.814254,-5.923968,-50.856872,-7.553371,-7.129920,-60.082340,-7.405134,8.099301,-47.891308,-15.980985,11.986166,-27.993176,-11.981708,-4.410244,-71.585475,-2.747944,-4.811334,-80.865187,-2.207143,-4.298062,-58.694348,-1.140162,-4.338120,-60.711490,-1.141848,15.315453,-5.567043,-24.893164,15.315443,-5.567038,-24.893160,5.415542,-49.456829,6.715841,6.469414,-25.802672,7.324119,-1.438898,-51.484442,-8.601987,-3.579592,-65.556301,-8.627225,-3.914217,-63.108289,2.730077,-4.040414,-60.424779,2.666597,5
-6.382662,16.744408,1.205158,-2.175684,-0.326809,-1.401794,-1.316359,0.705874,-2.509958,-66.930998,160.454182,-91.168181,60.112022,-50.378506,1.999150,-36.303652,-31.217355,63.381000,-43.892223,-26.351689,60.241617,-2.156535,-17.377850,34.243015,-1.866409,-16.484723,31.014313,4.147065,-22.463644,-10.431888,3.209547,-27.569545,-10.405418,-3.373344,-21.353070,9.596920,-4.550997,-14.420053,9.705539,13.865179,-38.385396,-4.328634,11.821426,-25.474419,-0.430542,-2.056678,-58.970057,-2.133854,-2.701759,-81.178289,-1.154836,1.487053,-37.132949,-2.573594,0.775487,-52.935314,-2.551090,11.225519,-44.964271,-11.132942,10.964788,-30.044170,-6.618606,-1.149511,-71.777101,-0.990276,-1.293236,-80.883961,-0.814738,-5.911516,-50.762436,-7.553875,-7.123037,-60.029069,-7.406557,8.109724,-47.937362,-16.008499,12.002810,-28.022524,-11.997261,-4.409411,-71.568120,-2.748882,-4.812057,-80.884069,-2.205978,-4.296133,-58.596514,-1.140047,-4.337815,-60.695898,-1.141846,15.315436,-5.567040,-24.893153,15.315444,-5.567038,-24.893156,5.438436,-49.559672,6.688775,6.443579,-25.747199,7.342016,-1.416139,-51.333902,-8.598882,-3.583946,-65.585070,-8.626737,-3.920783,-62.970511,2.726950,-4.040451,-60.424009,2.666567,5
-6.390858,16.736367,1.212811,-2.581020,-0.379402,-1.632933,-1.431950,0.747940,-2.705955,-66.864478,160.335695,-91.119898,59.922556,-50.446433,1.940769,-36.226853,-31.258300,63.405036,-43.850497,-26.384056,60.264042,-2.202950,-17.417629,34.280763,-1.727554,-16.404889,31.015734,4.139720,-22.503601,-10.432008,3.222749,-27.497552,-10.406376,-3.338196,-21.561351,9.591457,-4.594802,-14.163170,9.706824,13.911665,-38.424249,-4.371358,11.858742,-25.466345,-0.444602,-2.058746,-59.025860,-2.131740,-2.697943,-80.990458,-1.164050,1.485796,-37.160701,-2.573732,0.781607,-52.797919,-2.552133,11.244179,-44.993100,-11.159252,10.979114,-30.094381,-6.637971,-1.149846,-71.796138,-0.989937,-1.292758,-80.849892,-0.815434,-5.898791,-50.666036,-7.554373,-7.115210,-59.968346,-7.408165,8.117501,-47.991047,-16.036646,12.016058,-28.058850,-12.013396,-4.408517,-71.549617,-2.749887,-4.812353,-80.891791,-2.205493,-4.294173,-58.498215,-1.139908,-4.337374,-60.673326,-1.141839,15.315443,-5.567041,-24.893166,15.315445,-5.567031,-24.893151,5.459321,-49.671170,6.663844,6.414437,-25.688167,7.361797,-1.390704,-51.165570,-8.595325,-3.587331,-65.607418,-8.626359,-3.927348,-62.832030,2.723812,-4.040741,-60.417725,2.666411,5
-6.391650,16.727561,1.221395,-2.057139,-1.339640,-2.041596,-1.945398,-0.098299,-3.251431,-66.917143,160.092047,-90.938930,59.805902,-50.337052,2.067938,-36.130733,-31.308578,63.434428,-43.805487,-26.419355,60.288491,-2.241213,-17.453068,34.325294,-1.538534,-16.294870,31.012733,4.137397,-22.516348,-10.432044,3.236603,-27.422093,-10.407348,-3.297178,-21.804644,9.584910,-4.612623,-14.058696,9.707291,13.991530,-38.386520,-4.417363,11.891028,-25.482292,-0.460836,-2.059196,-59.037626,-2.131278,-2.696879,-80.937348,-1.166667,1.485924,-37.157891,-2.573726,0.784595,-52.731302,-2.552636,11.276244,-44.977077,-11.181162,11.003810,-30.137590,-6.660919,-1.150486,-71.834172,-0.989254,-1.293304,-80.889551,-0.814637,-5.885699,-50.566746,-7.554855,-7.114506,-59.962837,-7.408305,8.142764,-48.008489,-16.066613,12.029895,-28.116444,-12.035950,-4.408384,-71.546748,-2.750058,-4.814048,-80.935772,-2.202791,-4.292205,-58.398542,-1.139793,-4.337257,-60.667882,-1.141831,15.315437,-5.567042,-24.893155,15.315444,-5.567038,-24.893157,5.478612,-49.708116,6.641312,6.406356,-25.675638,7.366906,-1.374832,-51.060562,-8.593072,-3.601983,-65.704265,-8.624709,-3.931383,-62.747022,2.721876,-4.040114,-60.431252,2.666758,5
