Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
3.251733,30.796286,-1.49442,0.752373,0.386805,0.07127,1.386033,3.042642,0.997778,-9.738558,-77.507403,114.914446,7.611905,-110.728298,-69.331834,-58.943229,-5.34229,43.592987,-56.752603,-10.379473,47.830438,9.017664,-10.534096,22.754863,9.841134,-10.058626,24.079672,5.766016,-13.588732,-10.278974,4.44791,-20.824398,-10.422623,-10.209075,20.856371,8.08677,-8.881502,11.823844,8.832009,-5.263533,-19.056835,5.533955,-4.741243,-6.68078,3.815515,-0.091319,-17.374245,-3.037692,-0.403645,-23.291211,-3.000146,2.91379,-2.114859,-1.949848,2.75949,-6.509847,-2.074558,6.004107,-26.103687,-3.578505,2.816284,-21.300844,-1.919486,0.279967,-9.426147,-1.372046,0.085349,-17.416332,-1.414228,0.139739,0.878729,-4.912902,-0.310403,-4.10917,-5.393763,11.414649,-20.230305,-9.750356,6.885332,-19.067776,-8.241611,-0.217094,-8.1189,-4.028638,-0.735847,-15.382323,-4.130647,-3.413036,-5.371993,-0.626331,-3.449021,-8.537914,-0.678141,15.315441,-5.567046,-24.893155,15.315446,-5.567034,-24.893159,9.02052,-5.998723,9.38328,4.41949,-7.294445,9.775306,4.398647,-5.684012,-5.149527,3.71386,-12.729326,-5.967341,-5.632289,-1.8262,0.179612,-5.622641,-4.133259,0.300767,0
3.260929,30.772169,-1.489782,0.943592,0.015263,0.390378,-0.383069,3.494482,-0.278595,-9.792579,-77.60943,114.826374,7.63133,-110.404435,-69.28168,-58.975652,-5.257359,43.520757,-56.739772,-10.404825,47.851539,9.034573,-10.528844,22.733279,9.639732,-10.149289,24.090666,5.760367,-13.620074,-10.279951,4.511174,-20.479356,-10.419578,-10.209078,20.856381,8.086771,-8.902463,11.960321,8.822345,-5.280528,-19.137283,5.55062,-4.813748,-6.736483,3.826001,-0.089153,-17.333539,-3.037847,-0.407308,-23.360862,-2.999509,2.914181,-2.1033,-1.949503,2.757696,-6.559727,-2.075912,5.980369,-26.11756,-3.570006,2.862864,-20.966985,-1.916663,0.282348,-9.326379,-1.37134,0.070141,-18.031476,-1.416336,0.143987,0.928196,-4.907937,-0.345069,-4.475291,-5.427515,11.413415,-20.161626,-9.73371,6.973937,-18.718499,-8.213142,-0.213303,-8.064911,-4.027621,-0.764762,-15.7827,-4.134351,-3.412734,-5.343268,-0.625842,-3.451582,-8.753996,-0.681591,15.315432,-5.567038,-24.893153,15.315448,-5.567041,-24.893163,9.033368,-5.858866,9.407626,4.543328,-7.331368,9.755286,4.401295,-5.654563,-5.145939,3.707799,-12.787389,-5.973717,-5.632273,-1.829639,0.179797,-5.621993,-4.256723,0.307243,0
3.269942,30.747874,-1.485121,0.904051,-0.004933,0.369965,-0.339135,3.346129,-0.272952,-9.839652,-77.685584,114.7359,7.648932,-110.223162,-69.253986,-59.017576,-5.145847,43.425947,-56.72767,-10.42973,47.872214,9.054761,-10.522271,22.70496,9.41686,-10.250054,24.102182,5.756126,-13.64356,-10.280695,4.578725,-20.110762,-10.415888,-10.209079,20.856383,8.086765,-8.925217,12.10892,8.811747,-5.290201,-19.235233,5.567971,-4.888564,-6.798851,3.837553,-0.08697,-17.292223,-3.037991,-0.412385,-23.458015,-2.998629,2.914486,-2.094767,-1.949267,2.755332,-6.624575,-2.077655,5.956003,-26.135612,-3.561731,2.90659,-20.637728,-1.912672,0.284804,-9.224516,-1.370642,0.05436,-18.66949,-1.418363,0.148305,0.978567,-4.90288,-0.382018,-4.862915,-5.462994,11.408349,-20.095175,-9.716512,7.05836,-18.369935,-8.182914,-0.209394,-8.009448,-4.026587,-0.79551,-16.207844,-4.138062,-3.412381,-5.311422,-0.625323,-3.454394,-8.989627,-0.685366,15.315435,-5.567045,-24.893149,15.315449,-5.567045,-24.893167,9.039512,-5.707273,9.435054,4.677843,-7.391558,9.731167,4.404629,-5.61743,-5.141415,3.698934,-12.872256,-5.983041,-5.63226,-1.83242,0.17994,-5.621193,-4.40523,0.315016,0
3.274629,30.746302,-1.480174,0.695589,0.972222,0.511097,0.032471,1.194667,-0.18892,-9.898983,-77.698718,114.471198,7.666555,-109.762497,-69.043256,-59.070012,-5.006624,43.307465,-56.713965,-10.457946,47.895637,9.103297,-10.50451,22.669036,9.201274,-10.347063,24.114695,5.744183,-13.709698,-10.282741,4.647499,-19.735376,-10.411707,-10.20909,20.856384,8.086789,-8.953691,12.294948,8.798415,-5.284087,-19.342856,5.582449,-4.955714,-6.923743,3.85642,-0.082074,-17.199768,-3.038301,-0.421726,-23.636185,-2.99696,2.915081,-2.077141,-1.948736,2.75155,-6.729245,-2.080471,5.932861,-26.141539,-3.552473,2.908606,-20.467632,-1.903783,0.288727,-9.060131,-1.369466,0.041712,-19.180347,-1.419861,0.15405,1.045519,-4.896161,-0.416377,-5.221049,-5.495552,11.398973,-19.99762,-9.690773,7.10043,-18.068119,-8.14811,-0.204947,-7.946309,-4.025416,-0.824769,-16.612319,-4.141383,-3.412022,-5.278039,-0.624772,-3.457122,-9.218383,-0.688996,15.315442,-5.567042,-24.893149,15.31545,-5.567033,-24.893155,9.034324,-5.447276,9.484059,4.73231,-7.383401,9.724818,4.406563,-5.595852,-5.138778,3.686233,-12.993548,-5.996338,-5.632263,-1.83191,0.179907,-5.620445,-4.538935,0.322025,0
3.279469,30.746228,-1.475072,0.733027,1.039761,0.545117,0.049843,1.050276,-0.174976,-9.95389,-77.702596,114.220082,7.694344,-109.241511,-68.800184,-59.129974,-4.84555,43.170346,-56.700177,-10.48541,47.918474,9.169865,-10.479495,22.627405,8.982563,-10.445719,24.127698,5.731317,-13.780966,-10.28495,4.71598,-19.36131,-10.407078,-10.209076,20.856399,8.08676,-8.98381,12.492139,8.784198,-5.272056,-19.460534,5.596792,-5.019216,-7.10173,3.8819,-0.076373,-17.09255,-3.038668,-0.433662,-23.864383,-2.994811,2.915698,-2.059057,-1.948196,2.746995,-6.854716,-2.083835,5.909748,-26.147527,-3.543221,2.902829,-20.317303,-1.893519,0.293019,-8.880743,-1.368181,0.029617,-19.667779,-1.42117,0.160132,1.116576,-4.88903,-0.450366,-5.573289,-5.527378,11.38468,-19.894277,-9.662381,7.133609,-17.777544,-8.11256,-0.200381,-7.881288,-4.024182,-0.853679,-17.01127,-4.144453,-3.411627,-5.242926,-0.624185,-3.4599,-9.449075,-0.692662,15.315441,-5.56704,-24.893154,15.315446,-5.567044,-24.893169,9.022792,-5.156742,9.539582,4.775623,-7.36942,9.720606,4.408426,-5.574968,-5.13623,3.67063,-13.142107,-6.012583,-5.632255,-1.830378,0.179828,-5.619664,-4.677488,0.329275,0
3.284378,30.74726,-1.469982,0.72261,1.033722,0.541348,0.053241,0.892899,-0.152813,-10.002787,-77.69896,113.990932,7.727042,-108.784678,-68.582099,-59.19648,-4.665958,43.017337,-56.686292,-10.513838,47.942067,9.254218,-10.447657,22.580879,8.762726,-10.544864,24.141175,5.717581,-13.85701,-10.287277,4.78389,-18.990237,-10.402047,-10.209079,20.856391,8.086777,-9.015084,12.697122,8.769276,-5.255327,-19.586334,5.611023,-5.078106,-7.348515,3.916049,-0.069981,-16.972443,-3.03908,-0.44772,-24.133214,-2.99218,2.916323,-2.040543,-1.947637,2.741759,-6.998301,-2.087691,5.88658,-26.153688,-3.533963,2.891212,-20.179359,-1.882136,0.297584,-8.689632,-1.366802,0.017892,-20.140143,-1.42235,0.166498,1.191185,-4.881512,-0.484094,-5.920783,-5.558555,11.365657,-19.785661,-9.631518,7.160253,-17.493628,-8.0763,-0.195707,-7.81468,-4.022917,-0.882233,-17.405264,-4.147286,-3.411238,-5.206294,-0.623582,-3.462712,-9.680706,-0.696331,15.315442,-5.567037,-24.893161,15.315445,-5.567049,-24.893154,9.006484,-4.843651,9.599925,4.810413,-7.350779,9.718039,4.410237,-5.554805,-5.133779,3.652576,-13.313706,-6.031311,-5.632261,-1.827937,0.179701,-5.618857,-4.819453,0.33672,0
3.29332,30.762534,-1.471627,1.230943,2.568836,-0.042453,0.006123,0.476784,0.182876,-10.037234,-77.68848,114.090997,7.917612,-108.337452,-68.418654,-59.255604,-4.505549,42.880559,-56.656387,-10.57276,47.991058,9.309979,-10.427911,22.540076,8.546638,-10.641491,24.163896,5.712562,-13.884804,-10.288128,4.826037,-18.759739,-10.398689,-10.209075,20.856388,8.086779,-9.05031,12.92872,8.752311,-5.207408,-19.856077,5.637954,-5.138507,-7.664031,3.959501,-0.069829,-16.969454,-3.039089,-0.456278,-24.296941,-2.990563,2.915639,-2.060656,-1.948244,2.741015,-7.018932,-2.088232,5.875338,-26.208852,-3.535908,2.876571,-19.919725,-1.863208,0.300092,-8.584627,-1.366042,0.016677,-20.188855,-1.422455,0.169845,1.230265,-4.877575,-0.489409,-5.975415,-5.56344,11.357057,-19.757087,-9.62242,7.171021,-17.199473,-8.034612,-0.193708,-7.786206,-4.022374,-0.884148,-17.431735,-4.147467,-3.41111,-5.195986,-0.623408,-3.46315,-9.717159,-0.696901,15.315442,-5.567046,-24.893152,15.315443,-5.567043,-24.893151,9.03475,-4.689246,9.626085,4.824901,-7.434016,9.706978,4.411799,-5.537471,-5.131663,3.651805,-13.320944,-6.032102,-5.632263,-1.830916,0.179858,-5.618549,-4.870466,0.339391,0
3.303476,30.781162,-1.473308,1.430675,3.021618,-0.068093,0.015778,0.42641,0.16608,-10.065605,-77.677045,114.140403,8.066483,-107.991502,-68.284834,-59.31491,-4.341364,42.740582,-56.623667,-10.638906,48.04595,9.367313,-10.406859,22.498365,8.333142,-10.73738,24.188767,5.708327,-13.908348,-10.288836,4.865951,-18.541469,-10.395369,-10.209085,20.856382,8.08677,-9.086225,13.165163,8.73481,-5.153023,-20.159243,5.667697,-5.196806,-8.020061,4.008748,-0.070134,-16.97536,-3.03907,-0.464647,-24.457147,-2.988958,2.91482,-2.084779,-1.948954,2.740607,-7.030455,-2.088532,5.865516,-26.278398,-3.54025,2.85671,-19.653596,-1.842508,0.302423,-8.486605,-1.36531,0.015528,-20.235222,-1.422574,0.172838,1.265369,-4.874035,-0.493619,-6.018643,-5.567303,11.348785,-19.735702,-9.615107,7.17546,-16.907454,-7.991871,-0.192058,-7.762828,-4.021943,-0.885399,-17.44909,-4.147596,-3.411048,-5.189198,-0.62328,-3.463437,-9.740397,-0.697265,15.315442,-5.567041,-24.893159,15.315457,-5.567042,-24.893163,9.06739,-4.543998,9.650309,4.836219,-7.53923,9.69392,4.413249,-5.521187,-5.129676,3.652278,-13.316572,-6.031629,-5.63225,-1.834271,0.180039,-5.618302,-4.911467,0.34153,0
3.327937,30.80301,-1.480818,3.397505,3.440777,-1.25284,0.014836,0.419537,-0.214302,-10.09406,-77.700135,114.185796,8.014792,-107.975824,-68.110016,-59.343719,-4.261518,42.672454,-56.570802,-10.744115,48.133266,9.443091,-10.376775,22.477007,8.198699,-10.796964,24.223064,5.707648,-13.912015,-10.288961,4.904963,-18.327937,-10.39195,-10.209079,20.856399,8.086771,-9.115057,13.355316,8.720642,-5.12163,-20.295809,5.678946,-5.244979,-8.281782,4.045943,-0.068913,-16.952037,-3.039147,-0.47256,-24.608573,-2.987409,2.914499,-2.094205,-1.949232,2.739339,-7.06503,-2.089454,5.86538,-26.318015,-3.545082,2.835907,-19.501205,-1.827911,0.304146,-8.414858,-1.364783,0.013972,-20.297754,-1.422728,0.175792,1.300094,-4.870541,-0.498814,-6.072022,-5.572061,11.355926,-19.697805,-9.608212,7.160499,-16.746238,-7.964246,-0.190558,-7.741754,-4.021544,-0.889204,-17.501365,-4.147945,-3.410926,-5.178184,-0.623089,-3.464026,-9.789203,-0.698047,15.315435,-5.567045,-24.893155,15.315452,-5.567046,-24.893166,9.09744,-4.415626,9.671766,4.825282,-7.643922,9.683951,4.413147,-5.522405,-5.129813,3.649958,-13.338598,-6.034031,-5.632225,-1.843809,0.180536,-5.618072,-4.950601,0.343578,0
3.354836,30.82746,-1.489472,3.767842,3.807482,-1.422877,0.021584,0.402208,-0.217499,-10.119797,-77.715872,114.209863,7.993965,-107.934176,-67.973096,-59.367534,-4.195311,42.615953,-56.510302,-10.863608,48.23239,9.523513,-10.344541,22.458895,8.075646,-10.85075,24.261133,5.707852,-13.910945,-10.288921,4.943131,-18.119071,-10.38849,-10.209071,20.85639,8.086774,-9.142798,13.538569,8.706893,-5.089889,-20.414345,5.687276,-5.290966,-8.533782,4.082215,-0.067671,-16.928662,-3.03921,-0.480239,-24.756104,-2.985887,2.914161,-2.103987,-1.949532,2.738095,-7.098831,-2.090351,5.867807,-26.356594,-3.550914,2.811391,-19.35996,-1.812922,0.305693,-8.349867,-1.364305,0.012427,-20.360236,-1.422872,0.17857,1.332755,-4.867227,-0.503677,-6.121748,-5.576498,11.366053,-19.660694,-9.602315,7.137806,-16.5969,-7.936738,-0.189296,-7.723615,-4.0212,-0.892873,-17.552087,-4.148295,-3.410814,-5.168266,-0.622939,-3.464586,-9.835051,-0.698766,15.315438,-5.567042,-24.89316,15.315446,-5.567036,-24.89316,9.12866,-4.292911,9.692218,4.811442,-7.757387,9.673502,4.412699,-5.527418,-5.130432,3.647838,-13.358684,-6.036215,-5.632185,-1.855028,0.181126,-5.617874,-4.984899,0.345376,0
