Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-18.469996,24.595665,-10.086995,0.089356,-0.38247,-1.965413,0.555877,1.919886,-0.470341,-77.634432,6.684311,65.092269,14.883334,143.07402,-142.848433,-32.112897,-33.219761,64.490002,-47.43956,-23.276433,58.040206,-1.560741,-17.375464,35.881862,17.429019,-5.363731,29.010068,2.691768,-30.399439,-10.354734,4.719988,-19.339464,-10.406802,-0.662973,-38.01315,8.76506,-8.480275,9.237811,9.005634,10.897799,-19.073653,0.950007,7.531605,-37.61537,0.219184,-1.249185,-40.09011,-2.721909,-0.403255,-23.283601,-3.000216,2.25289,-19.521923,-2.369774,2.694101,-8.296613,-2.121812,4.042649,-71.373111,-12.250655,4.327256,-46.393974,-5.246767,-1.438387,-93.033235,-0.549443,0.043905,-19.091672,-1.419594,-8.451109,-70.603228,-7.001629,-0.046854,-1.246058,-5.122491,-3.216535,-81.715463,-13.193201,3.107222,-44.371212,-10.499475,-4.828617,-81.31765,-2.17919,-1.111166,-20.556368,-4.162883,-4.578553,-72.870106,-1.122127,-3.474934,-10.677588,-0.711979,15.315446,-5.567045,-24.893155,15.31545,-5.567045,-24.893155,6.872765,-75.97107,4.916731,-2.423089,-21.809044,11.154944,-5.354717,-77.522851,-8.237584,2.299549,-24.981466,-7.170043,-3.136523,-78.646226,2.97631,-5.597138,-7.829179,0.493767,3
-18.474143,24.574111,-10.100877,0.145532,-0.48817,-2.549842,0.72667,2.532016,-0.604679,-77.653824,5.066965,66.61837,14.489812,143.197667,-142.882347,-32.105984,-33.222928,64.491656,-47.480984,-23.23696,58.011129,-1.556015,-17.372798,35.884066,17.415425,-5.376403,28.989511,2.690738,-30.405026,-10.354612,4.739233,-19.234254,-10.4054,-0.683031,-37.883128,8.774554,-8.484609,9.26552,9.003884,10.926299,-19.086049,0.939808,7.571275,-37.638266,0.189571,-1.247599,-40.056769,-2.722701,-0.403038,-23.279423,-3.000252,2.253172,-19.515092,-2.369661,2.694919,-8.274758,-2.121248,4.039436,-71.386251,-12.250623,4.330413,-46.42937,-5.255351,-1.438457,-93.040548,-0.54928,0.045137,-19.042166,-1.419468,-8.453874,-70.625979,-7.000497,-0.044533,-1.220312,-5.119985,-3.21855,-81.71129,-13.178462,3.110631,-44.418778,-10.512181,-4.82851,-81.314918,-2.179346,-1.108598,-20.521097,-4.162787,-4.578764,-72.881003,-1.122106,-3.474887,-10.673642,-0.711909,15.315445,-5.567041,-24.893159,15.315443,-5.567041,-24.893163,6.86512,-75.968938,4.944905,-2.399218,-21.873097,11.150375,-5.355415,-77.527762,-8.237351,2.30373,-24.948215,-7.167192,-3.135075,-78.674046,2.976571,-5.597493,-7.788163,0.491641,3
-18.479612,24.545557,-10.117167,0.206039,-0.578485,-3.0634,0.967635,3.397513,-0.795106,-77.662932,3.43532,68.1537,14.160469,143.283898,-142.91815,-32.093531,-33.228091,64.494303,-47.502757,-23.215525,57.995339,-1.551843,-17.370906,35.888628,17.409559,-5.382223,28.978827,2.688925,-30.414947,-10.354383,4.758832,-19.127199,-10.403957,-0.704198,-37.745994,8.784507,-8.489955,9.299555,9.001717,10.963788,-19.10147,0.926496,7.613147,-37.669765,0.15754,-1.245929,-40.021853,-2.723535,-0.403803,-23.294159,-3.000125,2.253026,-19.518225,-2.36971,2.695411,-8.261231,-2.12089,4.039127,-71.391772,-12.253191,4.325592,-46.473589,-5.257716,-1.438615,-93.057101,-0.548896,0.045991,-19.007537,-1.41936,-8.456655,-70.648848,-6.999372,-0.042803,-1.200862,-5.1181,-3.220436,-81.707448,-13.164817,3.104201,-44.483967,-10.520028,-4.828457,-81.313831,-2.179415,-1.108048,-20.513398,-4.162755,-4.579032,-72.894716,-1.12204,-3.475009,-10.684561,-0.712084,15.315443,-5.567038,-24.893157,15.315443,-5.567043,-24.893157,6.857762,-75.978518,4.973754,-2.37784,-21.966706,11.14861,-5.355417,-77.527717,-8.237353,2.30331,-24.951495,-7.167463,-3.133552,-78.703437,2.976829,-5.597637,-7.770197,0.490709,3
-18.485886,24.51288,-10.134399,0.244351,-0.627912,-3.351946,1.129705,3.98338,-0.920208,-77.662263,2.021459,69.479945,13.81063,143.358449,-142.963385,-32.078353,-33.234846,64.497816,-47.514438,-23.203747,57.986667,-1.547663,-17.369333,35.894226,17.407635,-5.384841,28.973261,2.686786,-30.426712,-10.354132,4.77676,-19.029106,-10.402593,-0.723995,-37.617995,8.793761,-8.495512,9.335142,8.999453,11.004536,-19.117811,0.912079,7.652981,-37.70436,0.126534,-1.244328,-39.988153,-2.72432,-0.404883,-23.31487,-2.999936,2.252717,-19.525892,-2.369856,2.695723,-8.25254,-2.120662,4.040265,-71.393385,-12.256905,4.317383,-46.520419,-5.25725,-1.438807,-93.078124,-0.548403,0.04661,-18.982516,-1.419286,-8.459088,-70.668793,-6.998353,-0.041448,-1.185791,-5.116632,-3.22212,-81.70398,-13.152517,3.092911,-44.556945,-10.525268,-4.828452,-81.313611,-2.179424,-1.10832,-20.51718,-4.162768,-4.579319,-72.909245,-1.121986,-3.475223,-10.700763,-0.712333,15.315443,-5.56704,-24.893156,15.315438,-5.567044,-24.893158,6.85095,-75.992769,5.001393,-2.358012,-22.072776,11.148222,-5.35506,-77.525245,-8.237473,2.301188,-24.96833,-7.168907,-3.132085,-78.731809,2.977076,-5.597699,-7.763503,0.49035,3
-18.491736,24.473174,-10.163724,1.608187,-1.413592,-5.05652,2.432275,4.180031,-0.925321,-77.751159,1.338856,70.207741,13.45808,143.720046,-142.731976,-32.077482,-33.235505,64.498187,-47.495576,-23.222364,58.000379,-1.549437,-17.370861,35.894775,17.416993,-5.377202,28.982792,2.683722,-30.443495,-10.353751,4.774561,-19.041254,-10.402736,-0.757342,-37.402644,8.809236,-8.49343,9.321791,9.000293,11.0303,-19.157485,0.89837,7.6603,-37.816479,0.110164,-1.240321,-39.903935,-2.726324,-0.415253,-23.512531,-2.998112,2.253034,-19.518115,-2.369699,2.693232,-8.320079,-2.122414,4.039616,-71.405373,-12.262534,4.309441,-46.609593,-5.263714,-1.438808,-93.077776,-0.54843,0.043323,-19.115282,-1.419674,-8.461163,-70.686052,-6.997498,-0.046906,-1.246739,-5.122552,-3.224893,-81.70957,-13.144823,3.077622,-44.683593,-10.538122,-4.82874,-81.321052,-2.178964,-1.116514,-20.629807,-4.163092,-4.579754,-72.931869,-1.121906,-3.475926,-10.75693,-0.713209,15.315445,-5.567043,-24.893163,15.315439,-5.567039,-24.893161,6.847345,-76.029374,5.020633,-2.304276,-22.232838,11.138602,-5.355143,-77.525907,-8.237449,2.285748,-25.091203,-7.179412,-3.131168,-78.748891,2.977236,-5.597208,-7.821537,0.493378,3
-18.497406,24.430458,-10.196197,1.775621,-1.521547,-5.471605,2.563469,4.414308,-0.959146,-77.816329,0.755208,70.818816,13.12103,144.024382,-142.540603,-32.07696,-33.23539,64.498091,-47.472151,-23.24551,58.017425,-1.552447,-17.373315,35.895532,17.428722,-5.367732,28.994692,2.680293,-30.462303,-10.353327,4.771186,-19.059684,-10.403017,-0.790985,-37.185703,8.824682,-8.490832,9.30521,9.001344,11.055457,-19.201893,0.884055,7.664224,-37.947026,0.094226,-1.235947,-39.81212,-2.728501,-0.430871,-23.811078,-2.995311,2.253309,-19.511578,-2.369584,2.690198,-8.402072,-2.124535,4.039775,-71.415976,-12.269275,4.299153,-46.707525,-5.269287,-1.4388,-93.077486,-0.548432,0.039943,-19.251259,-1.420052,-8.462982,-70.700939,-6.996748,-0.052901,-1.313448,-5.129007,-3.22772,-81.716647,-13.138483,3.058229,-44.823943,-10.550234,-4.829075,-81.329808,-2.178417,-1.124744,-20.742811,-4.163415,-4.58024,-72.956234,-1.121823,-3.476835,-10.830886,-0.714366,15.315437,-5.567036,-24.893162,15.315444,-5.567043,-24.893157,6.84489,-76.075724,5.037251,-2.247688,-22.407365,11.12861,-5.355077,-77.525344,-8.237456,2.266193,-25.246325,-7.192613,-3.130408,-78.764046,2.977354,-5.596686,-7.880271,0.496418,3
-18.394102,24.188083,-10.22321,5.373309,-2.547908,-5.012304,-8.6789,30.421883,-1.337804,-77.945128,0.347797,71.171196,13.28225,145.65816,-142.335237,-32.096639,-33.226764,64.493618,-47.429552,-23.286341,58.047499,-1.591543,-17.39924,35.89236,17.470774,-5.33823,29.017867,2.676776,-30.481534,-10.352895,4.765927,-19.088383,-10.403405,-0.788925,-37.198927,8.823746,-8.48697,9.280554,9.002921,11.07455,-19.275064,0.866974,7.623987,-38.180753,0.098849,-1.231314,-39.714802,-2.73079,-0.459468,-24.358205,-2.98996,2.254744,-19.476921,-2.368963,2.688012,-8.461222,-2.126063,4.035554,-71.421872,-12.262386,4.244547,-46.831216,-5.236175,-1.438382,-93.034574,-0.549407,0.034954,-19.453238,-1.42061,-8.46388,-70.708306,-6.996375,-0.058268,-1.373209,-5.134805,-3.229952,-81.716108,-13.126708,3.003874,-44.951652,-10.528992,-4.828029,-81.302057,-2.180146,-1.137955,-20.924484,-4.163885,-4.58056,-72.972847,-1.121755,-3.47735,-10.872152,-0.715004,15.315445,-5.567047,-24.893159,15.315443,-5.567036,-24.893156,6.844603,-76.10695,5.04342,-2.206573,-22.641357,11.128151,-5.351542,-77.500684,-8.238635,2.231143,-25.523846,-7.216112,-3.129772,-78.776196,2.977442,-5.596166,-7.940974,0.499581,3
-18.279042,23.912174,-10.250753,5.810156,-2.728399,-5.374534,-10.230197,35.735864,-1.53475,-78.046691,-0.043732,71.515457,13.365154,146.822334,-142.187533,-32.121033,-33.216193,64.488151,-47.377371,-23.336416,58.084346,-1.640763,-17.432147,35.888603,17.522702,-5.301882,29.046315,2.673033,-30.502089,-10.35242,4.760242,-19.11955,-10.403841,-0.785313,-37.222253,8.822083,-8.482193,9.250106,9.004866,11.092328,-19.356896,0.848846,7.581042,-38.443628,0.102914,-1.226493,-39.61385,-2.73315,-0.492253,-24.986522,-2.983468,2.256375,-19.43743,-2.368246,2.685566,-8.527128,-2.127762,4.031054,-71.42624,-12.253942,4.17503,-46.962458,-5.189399,-1.437863,-92.980585,-0.550655,0.028743,-19.702804,-1.421258,-8.464217,-70.711211,-6.996245,-0.064473,-1.442432,-5.141511,-3.232105,-81.715305,-13.115032,2.942447,-45.081158,-10.501556,-4.826718,-81.268007,-2.182247,-1.154558,-21.152329,-4.164404,-4.580874,-72.98914,-1.121697,-3.477896,-10.915834,-0.715693,15.315443,-5.567037,-24.893161,15.315444,-5.567039,-24.893159,6.845128,-76.140805,5.046866,-2.166303,-22.886902,11.128626,-5.347079,-77.469856,-8.240132,2.187701,-25.866465,-7.244865,-3.129214,-78.786837,2.977554,-5.595501,-8.018093,0.503582,3
-17.934138,23.359485,-10.235244,4.430681,-1.032152,-4.676065,-42.431451,74.061649,-6.78329,-78.271117,-0.575437,71.913806,13.145506,148.760161,-142.121305,-32.136267,-33.209777,64.484847,-47.332399,-23.379837,58.116267,-1.672221,-17.453719,35.88647,17.543728,-5.284286,29.069012,2.67603,-30.485673,-10.352793,4.756938,-19.13758,-10.404092,-0.779426,-37.260143,8.819402,-8.473649,9.195587,9.00832,11.088487,-19.414383,0.840946,7.53985,-38.803695,0.096634,-1.220131,-39.480647,-2.736261,-0.513456,-25.393312,-2.979061,2.258603,-19.383769,-2.367274,2.684113,-8.56608,-2.128753,4.028368,-71.432826,-12.251213,4.119861,-47.06221,-5.151206,-1.437236,-92.913772,-0.552189,0.024515,-19.873235,-1.421701,-8.462701,-70.69864,-6.996868,-0.069728,-1.500805,-5.147138,-3.238108,-81.737905,-13.109771,2.894326,-45.170242,-10.477273,-4.825144,-81.226506,-2.184811,-1.166585,-21.317691,-4.164761,-4.580957,-72.992867,-1.121686,-3.478392,-10.955979,-0.716305,15.31544,-5.567045,-24.893154,15.315446,-5.56704,-24.893152,6.852569,-76.214078,5.030804,-2.07208,-23.186771,11.111238,-5.33846,-77.41007,-8.242975,2.147089,-26.185593,-7.271452,-3.129506,-78.781459,2.97751,-5.594549,-8.124884,0.509131,3
-17.630878,22.875261,-10.225016,4.395581,-1.01183,-4.6012,-38.045088,66.754312,-6.03261,-78.456348,-1.089234,72.314775,12.957759,150.281963,-142.072281,-32.151788,-33.202901,64.481269,-47.281875,-23.428074,58.151712,-1.70498,-17.475938,35.884418,17.563432,-5.266717,29.094169,2.679737,-30.465333,-10.35326,4.753563,-19.155925,-10.404348,-0.773057,-37.301221,8.816462,-8.463461,9.130655,9.012436,11.081059,-19.470637,0.834295,7.491895,-39.185147,0.093787,-1.213436,-39.340898,-2.73952,-0.533368,-25.776328,-2.974792,2.261042,-19.324277,-2.366171,2.682771,-8.602245,-2.129688,4.025858,-71.438912,-12.248689,4.061147,-47.158443,-5.108708,-1.436515,-92.837804,-0.553943,0.02039,-20.039382,-1.422108,-8.46066,-70.68191,-6.997706,-0.075124,-1.560576,-5.152917,-3.245029,-81.765578,-13.105555,2.843618,-45.252079,-10.449001,-4.823357,-81.17959,-2.187729,-1.178581,-21.482439,-4.165068,-4.580978,-72.994354,-1.121665,-3.478904,-10.996236,-0.716923,15.315437,-5.567041,-24.893159,15.315438,-5.567039,-24.893157,6.861692,-76.298493,5.009988,-1.969686,-23.493263,11.090242,-5.328158,-77.338642,-8.246378,2.105412,-26.511896,-7.298386,-3.12993,-78.773163,2.977428,-5.593468,-8.247471,0.515502,3
