Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-2.054471,23.078962,-11.321866,-2.076068,-0.796760,-5.607751,-3.057906,2.940994,-4.783234,-87.971746,28.292715,7.615170,8.822912,149.143242,166.703619,-39.934685,-29.126637,62.095844,-34.975235,-31.895197,63.771637,-8.289895,-21.058233,33.736433,-1.501794,-17.056691,34.705869,3.509679,-25.933857,-10.423004,2.677867,-30.475597,-10.353015,-5.651900,-7.955224,9.677731,-4.686169,-13.627343,9.708845,6.596196,-13.612378,2.600681,3.520925,-25.454589,3.004550,-1.397983,-43.266827,-2.642086,-2.133145,-61.063157,-2.053105,1.864541,-28.632371,-2.504698,1.755074,-31.122992,-2.530674,13.079435,-21.634897,-5.424953,5.861160,-36.513198,-4.942903,-0.705268,-49.854010,-1.303292,-0.933160,-60.362092,-1.174567,-3.379403,-31.358673,-7.221870,-3.872025,-35.216286,-7.356171,14.743750,-25.868118,-12.433023,6.686349,-40.696550,-12.475173,-2.682026,-42.518628,-3.923498,-3.803542,-60.137828,-3.314834,-3.801599,-32.421240,-0.992183,-3.962494,-41.371376,-1.068137,15.315446,-5.567046,-24.893152,15.315443,-5.567045,-24.893156,9.454194,-24.698175,6.052806,7.587902,-35.774289,5.626990,1.935588,-27.828857,-7.404658,-3.367784,-64.159519,-8.648261,-5.376484,-22.476156,1.230866,-4.802697,-42.164878,2.087944,6
-2.042892,23.058168,-11.315849,0.711629,1.675710,-1.576073,-1.244082,5.187887,-2.592189,-88.109684,29.688353,6.207503,8.821495,149.137265,166.709151,-39.941243,-29.122082,62.092912,-34.983866,-31.890730,63.769094,-8.317969,-21.075943,33.739277,-1.517638,-17.067039,34.704395,3.517512,-25.891170,-10.423361,2.682186,-30.451921,-10.353556,-5.649695,-7.968161,9.677923,-4.705919,-13.511511,9.709169,6.594026,-13.676195,2.596278,3.544097,-25.452483,2.995059,-1.397872,-43.264539,-2.642161,-2.112709,-60.495621,-2.075277,1.864217,-28.639836,-2.504768,1.757057,-31.078301,-2.530254,13.088285,-21.626618,-5.425805,5.846827,-36.546692,-4.938513,-0.704628,-49.825211,-1.303577,-0.929936,-60.204720,-1.176802,-3.377500,-31.343620,-7.221295,-3.866792,-35.175782,-7.354927,14.767094,-25.902630,-12.453023,6.690571,-40.681981,-12.474354,-2.679555,-42.482495,-3.924368,-3.790885,-59.919073,-3.324456,-3.801271,-32.402068,-0.992004,-3.961678,-41.327605,-1.067829,15.315447,-5.567045,-24.893162,15.315451,-5.567042,-24.893158,9.525692,-24.751700,6.010596,7.602345,-35.705349,5.624232,1.939875,-27.795815,-7.402034,-3.356975,-64.088317,-8.649207,-5.377438,-22.431317,1.228692,-4.808082,-42.016152,2.082281,6
-2.008387,23.011282,-11.256695,0.428483,0.042329,-0.957158,-4.289081,6.452631,-9.044909,-88.206137,33.424592,2.528154,8.832771,149.101130,166.671149,-39.948990,-29.117598,62.090054,-35.004195,-31.880893,63.763545,-8.342999,-21.091798,33.741020,-1.538856,-17.079734,34.698616,3.522846,-25.862065,-10.423593,2.684168,-30.441101,-10.353798,-5.647177,-7.982988,9.678114,-4.715567,-13.454913,9.709309,6.584663,-13.732803,2.593800,3.565900,-25.452730,2.986107,-1.398914,-43.287124,-2.641557,-2.104571,-60.271558,-2.083971,1.863256,-28.661752,-2.505020,1.758894,-31.036409,-2.529850,13.095347,-21.616727,-5.425656,5.834571,-36.577025,-4.935006,-0.704107,-49.802251,-1.303821,-0.927788,-60.100627,-1.178272,-3.376383,-31.334872,-7.220950,-3.862125,-35.139434,-7.353814,14.794517,-25.926978,-12.471242,6.699310,-40.653774,-12.473168,-2.677377,-42.450730,-3.925154,-3.775399,-59.652267,-3.336103,-3.800977,-32.384973,-0.991826,-3.960848,-41.282605,-1.067516,15.315435,-5.567041,-24.893160,15.315441,-5.567045,-24.893160,9.736079,-24.767154,5.909335,7.593163,-35.367849,5.667987,1.943949,-27.764515,-7.399553,-3.315847,-63.817540,-8.652631,-5.378441,-22.384383,1.226433,-4.811126,-41.932406,2.079077,6
-1.971309,22.951492,-11.220950,1.392454,-5.287430,-3.098300,-4.208704,3.744697,-8.498110,-88.289474,36.118736,-0.124739,8.855234,149.004587,166.579944,-39.966311,-29.106439,62.082892,-35.048670,-31.858928,63.751109,-8.393269,-21.123204,33.743880,-1.581056,-17.104854,34.685652,3.531882,-25.812938,-10.423978,2.685388,-30.434380,-10.353965,-5.640464,-8.022548,9.678675,-4.737105,-13.328604,9.709610,6.562495,-13.847633,2.589451,3.602841,-25.456734,2.970907,-1.402440,-43.363470,-2.639533,-2.099051,-60.119909,-2.089819,1.860409,-28.727212,-2.505754,1.763182,-30.939417,-2.528918,13.108659,-21.602128,-5.426373,5.811846,-36.642282,-4.929849,-0.703063,-49.756686,-1.304292,-0.924678,-59.949821,-1.180391,-3.374533,-31.320219,-7.220371,-3.851641,-35.057978,-7.351311,14.854867,-25.981149,-12.511632,6.719137,-40.593369,-12.471453,-2.672771,-42.383509,-3.926796,-3.766044,-59.491730,-3.343111,-3.800381,-32.351058,-0.991487,-3.958978,-41.182702,-1.066797,15.315440,-5.567047,-24.893162,15.315442,-5.567041,-24.893159,9.896382,-24.838428,5.821773,7.624826,-35.195012,5.664865,1.952782,-27.696420,-7.394138,-3.291175,-63.655203,-8.654593,-5.380603,-22.282789,1.221535,-4.816219,-41.791014,2.073671,6
-1.878486,22.800672,-10.912837,0.404181,-2.342734,-3.848625,-13.294694,19.915512,-49.320301,-88.331485,35.876527,0.139814,8.915319,148.860314,166.382297,-39.977333,-29.099650,62.078550,-35.073145,-31.846644,63.744136,-8.408264,-21.131400,33.742105,-1.598154,-17.114294,34.677736,3.535472,-25.793410,-10.424122,2.685849,-30.431888,-10.354009,-5.638352,-8.035029,9.678848,-4.754472,-13.226797,9.709808,6.553271,-13.896367,2.587606,3.624527,-25.478007,2.961771,-1.405622,-43.432768,-2.637687,-2.096869,-60.060086,-2.092140,1.858066,-28.780301,-2.506367,1.764831,-30.902004,-2.528564,13.113110,-21.604344,-5.428408,5.798869,-36.674663,-4.926129,-0.702463,-49.730482,-1.304563,-0.914687,-59.465967,-1.187160,-3.372985,-31.308040,-7.219885,-3.846552,-35.018470,-7.350089,14.884081,-26.014399,-12.533536,6.729485,-40.549344,-12.467186,-2.669708,-42.338854,-3.927871,-3.725023,-58.790963,-3.373272,-3.799956,-32.325767,-0.991247,-3.958013,-41.131369,-1.066437,15.315437,-5.567040,-24.893154,15.315443,-5.567042,-24.893159,10.647518,-24.793844,5.475312,7.563123,-34.359284,5.800374,1.958672,-27.651059,-7.390548,-3.191284,-62.998034,-8.661825,-5.382065,-22.213881,1.218245,-4.818483,-41.727891,2.071245,6
-1.799965,22.683320,-10.654146,-1.790447,-3.663966,-4.987570,-13.548784,13.908946,-43.725396,-88.372645,36.594598,-0.586437,9.035456,148.670073,166.172695,-39.989215,-29.091980,62.073626,-35.098681,-31.834274,63.737143,-8.422087,-21.138846,33.739852,-1.614303,-17.123080,34.669236,3.538598,-25.776395,-10.424252,2.685708,-30.432611,-10.353999,-5.636040,-8.048596,9.679022,-4.797288,-12.975647,9.710163,6.543567,-13.944357,2.585924,3.645261,-25.502479,2.952977,-1.409295,-43.512476,-2.635581,-2.094555,-59.996633,-2.094593,1.855426,-28.840485,-2.507037,1.766547,-30.863251,-2.528190,13.117110,-21.608838,-5.430864,5.786064,-36.708007,-4.922650,-0.701866,-49.703938,-1.304825,-0.906390,-59.066445,-1.192675,-3.371437,-31.295827,-7.219421,-3.841248,-34.977312,-7.348812,14.914301,-26.049582,-12.556492,6.740386,-40.502699,-12.462606,-2.666495,-42.292008,-3.929013,-3.694481,-58.273519,-3.395216,-3.799497,-32.299433,-0.990986,-3.957039,-41.077774,-1.066057,15.315452,-5.567035,-24.893152,15.315443,-5.567042,-24.893153,11.148201,-24.784439,5.240341,7.527946,-33.801542,5.885818,1.964878,-27.603097,-7.386695,-3.125995,-62.569036,-8.665917,-5.383607,-22.141059,1.214695,-4.820811,-41.663929,2.068789,6
-1.737307,22.594822,-10.456972,1.135393,-1.953468,-2.310425,-8.283155,11.349424,-31.949225,-88.370535,37.069136,-1.059229,9.137706,148.487672,165.984337,-40.001962,-29.084071,62.068561,-35.125150,-31.821045,63.729626,-8.434388,-21.145312,33.736915,-1.630127,-17.131399,34.660332,3.541259,-25.761819,-10.424352,2.685011,-30.436432,-10.353907,-5.633548,-8.063264,9.679204,-4.849040,-12.672128,9.710332,6.533400,-13.991616,2.584395,3.665057,-25.530084,2.944511,-1.430207,-43.967965,-2.623367,-2.092067,-59.928609,-2.097220,1.852506,-28.907575,-2.507791,1.768315,-30.823216,-2.527796,13.120673,-21.615566,-5.433735,5.773393,-36.742269,-4.919397,-0.701248,-49.677001,-1.305111,-0.900381,-58.778453,-1.196628,-3.369900,-31.283570,-7.218932,-3.835740,-34.934546,-7.347477,14.945517,-26.086679,-12.580496,6.751820,-40.453489,-12.457721,-2.663143,-42.243007,-3.930185,-3.674332,-57.933841,-3.409469,-3.799031,-32.272132,-0.990721,-3.955999,-41.022006,-1.065664,15.315443,-5.567044,-24.893141,15.315443,-5.567044,-24.893157,11.428871,-24.803694,5.103435,7.517009,-33.487126,5.927867,1.971419,-27.552606,-7.382689,-3.090127,-62.333336,-8.667962,-5.387661,-21.947735,1.205391,-4.823134,-41.599138,2.066301,6
-1.669254,22.596232,-10.421596,5.088977,-0.500421,-12.923122,-5.083239,-0.711207,-18.211030,-88.336841,39.241809,-3.203822,9.103752,148.391533,165.851050,-40.014816,-29.075976,62.063367,-35.144993,-31.810936,63.723865,-8.448007,-21.152327,33.734135,-1.639701,-17.136280,34.653491,3.544555,-25.743975,-10.424501,2.685149,-30.435689,-10.353918,-5.630577,-8.080829,9.679458,-4.975846,-11.928406,9.709616,6.528094,-13.999385,2.584863,3.681148,-25.546615,2.937681,-1.479003,-45.039161,-2.594023,-2.090339,-59.881480,-2.099025,1.838179,-29.234585,-2.511389,1.769430,-30.797701,-2.527559,13.132800,-21.620474,-5.438985,5.755625,-36.779074,-4.913074,-0.700292,-49.634979,-1.305533,-0.895955,-58.566716,-1.199484,-3.366600,-31.257477,-7.217908,-3.829440,-34.885443,-7.345952,14.979715,-26.137426,-12.610210,6.755187,-40.416642,-12.450283,-2.657654,-42.163031,-3.932111,-3.667572,-57.820219,-3.414218,-3.798208,-32.224830,-0.990242,-3.954885,-40.961667,-1.065224,15.315443,-5.567050,-24.893152,15.315443,-5.567040,-24.893156,11.590300,-24.850115,5.017203,7.525519,-33.433038,5.928274,1.979458,-27.490412,-7.377702,-3.080634,-62.270978,-8.668471,-5.401312,-21.287135,1.173376,-4.825622,-41.529689,2.063626,6
-1.607468,22.597552,-10.413534,4.126841,1.114868,-15.967539,-4.890191,0.922315,-17.144021,-88.271641,43.278839,-7.174502,9.088240,148.316243,165.721324,-40.028169,-29.067468,62.057909,-35.164683,-31.801012,63.718213,-8.460647,-21.158498,33.730907,-1.647941,-17.140089,34.646473,3.547502,-25.727837,-10.424607,2.684899,-30.437021,-10.353902,-5.627385,-8.099586,9.679723,-5.086209,-11.280832,9.707624,6.522983,-14.001989,2.585656,3.695991,-25.564443,2.931345,-1.521823,-45.989389,-2.567194,-2.088566,-59.833082,-2.100884,1.805183,-29.985938,-2.519405,1.770525,-30.772837,-2.527315,13.145516,-21.627025,-5.444868,5.737437,-36.816830,-4.906592,-0.699289,-49.591033,-1.305969,-0.891699,-58.363909,-1.202231,-3.363110,-31.229836,-7.216811,-3.822875,-34.834386,-7.344350,15.014965,-26.191175,-12.641381,6.758046,-40.379165,-12.442322,-2.635040,-41.834082,-3.939972,-3.662215,-57.730403,-3.417965,-3.797339,-32.174530,-0.989744,-3.953727,-40.899154,-1.064772,15.315445,-5.567044,-24.893158,15.315446,-5.567039,-24.893155,11.739037,-24.900893,4.935728,7.532630,-33.375621,5.929979,1.987939,-27.424947,-7.372463,-3.070591,-62.204999,-8.669017,-5.413871,-20.663610,1.143028,-4.829376,-41.424999,2.059597,6
-1.512529,22.589127,-10.422297,1.705967,-0.737453,-12.222650,-12.097688,0.487466,-10.948566,-88.319208,45.857341,-9.768144,9.138029,148.238234,165.678180,-40.039002,-29.060552,62.053470,-35.165749,-31.800889,63.718172,-8.471568,-21.164113,33.728501,-1.651803,-17.142681,34.646434,3.552174,-25.702344,-10.424810,2.687878,-30.420729,-10.354263,-5.626969,-8.102092,9.679752,-5.212501,-10.539354,9.703834,6.529894,-13.989070,2.585274,3.706392,-25.575176,2.926918,-1.543064,-46.464427,-2.553551,-2.086849,-59.786400,-2.102695,1.776474,-30.638115,-2.525999,1.771622,-30.748047,-2.527057,13.164948,-21.640673,-5.454772,5.715353,-36.863115,-4.898741,-0.698050,-49.537095,-1.306503,-0.890411,-58.302169,-1.203057,-3.358463,-31.193005,-7.215370,-3.817069,-34.789323,-7.342941,15.048854,-26.259043,-12.676829,6.755097,-40.358072,-12.434537,-2.585399,-41.114141,-3.956696,-3.658966,-57.675976,-3.420228,-3.796349,-32.116893,-0.989165,-3.952708,-40.844055,-1.064371,15.315436,-5.567037,-24.893157,15.315443,-5.567044,-24.893153,11.797744,-24.969495,4.893219,7.537891,-33.338057,5.930710,1.997238,-27.353021,-7.366716,-3.060761,-62.140509,-8.669527,-5.421292,-20.286896,1.124647,-4.831696,-41.360809,2.057125,6
