Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-10.561274,15.438972,-12.571545,120.530749,50.125059,-234.073836,376.655859,-115.629322,-53.769054,-77.650947,62.663858,6.857614,5.343438,151.791656,-145.875224,-30.894130,-33.733603,64.750373,-47.698478,-23.025175,57.854835,1.190661,-15.482512,36.075741,19.151041,-4.390311,29.032923,3.105497,-28.137218,-10.397299,4.297134,-21.646258,-10.428362,-0.529851,-38.879776,8.700661,-5.571700,-8.427615,9.683985,8.052434,-8.684312,2.832012,6.613369,-48.725855,-0.017428,-1.384464,-42.974124,-2.649779,-1.375798,-42.787208,-2.654667,2.124593,-22.589459,-2.422079,2.427097,-15.234115,-2.285324,6.854739,-38.194325,-5.908484,3.446950,-48.865442,-4.740301,-1.393397,-88.725059,-0.646988,-0.542979,-42.892357,-1.364711,-6.644103,-56.340089,-7.488817,-1.641699,-16.909722,-6.433911,2.485079,-56.046620,-12.853844,2.613435,-46.540105,-10.506043,-5.060930,-88.119278,-1.743517,-2.734515,-43.286394,-3.904357,-4.309223,-59.256964,-1.140776,-3.668793,-24.390119,-0.903403,15.315446,-5.567036,-24.893153,15.315442,-5.567046,-24.893157,5.419494,-59.488842,6.897576,0.197819,-33.010071,10.601490,-5.061130,-75.498166,-8.329496,0.229780,-40.226005,-8.206301,-3.994845,-61.401244,2.690367,-5.450365,-18.748168,1.049000,3
-12.150454,16.426422,-13.524836,100.749531,41.223261,-204.056667,364.839364,-122.871185,-45.638794,-84.827919,85.464551,-16.180722,6.228964,148.681763,-145.202684,-27.410081,-35.057733,65.364240,-47.745181,-22.979098,57.820766,-1.082581,-17.490975,37.729460,19.144530,-4.400528,29.010064,3.089282,-28.225789,-10.395943,3.822864,-24.228693,-10.432203,0.181716,-43.634628,8.312240,-5.453478,-9.123265,9.691972,7.915612,-4.321725,3.296951,6.619280,-48.692359,-0.020639,-1.583597,-47.378656,-2.526759,-1.370951,-42.682589,-2.657386,1.934239,-27.032081,-2.485491,2.427182,-15.231968,-2.285281,7.384899,-41.536302,-6.979867,3.447591,-48.852215,-4.739124,-1.363662,-86.199962,-0.702478,-0.542499,-42.872577,-1.364860,-6.738624,-57.064627,-7.475119,-1.642383,-16.915791,-6.434332,2.405241,-60.517221,-14.393761,2.638988,-46.479031,-10.517028,-4.954514,-84.814621,-1.958633,-2.733603,-43.273097,-3.904697,-4.372247,-62.428096,-1.142184,-3.668143,-24.349046,-0.902891,15.315447,-5.567036,-24.893153,15.315444,-5.567039,-24.893156,6.679346,-63.878834,4.768780,0.239201,-32.953311,10.572634,-4.413775,-71.107358,-8.492749,0.224748,-40.260888,-8.208032,-3.789180,-65.709587,2.785888,-5.450144,-18.760108,1.049593,3
-14.163265,17.191512,-12.969108,-14.900204,-6.683141,2.435849,268.169500,-114.280854,-75.718352,-88.018176,81.777870,-12.372569,7.426282,150.608065,-141.052854,-27.439578,-35.047497,65.359879,-47.732579,-22.990958,57.829548,-1.918765,-18.136387,37.826043,19.136870,-4.403292,29.015379,3.094506,-28.197201,-10.396392,3.721476,-24.780673,-10.430250,0.147091,-43.397914,8.332960,-5.448968,-9.149773,9.692269,7.950975,-4.361551,3.291827,6.617709,-48.792772,-0.027530,-1.617252,-48.145060,-2.503809,-1.371532,-42.695224,-2.657066,1.905174,-27.701041,-2.493755,2.428800,-15.191507,-2.284415,7.376881,-42.391716,-7.163083,3.426233,-48.988518,-4.736046,-1.364299,-86.252199,-0.701350,-0.543153,-42.900255,-1.364662,-7.157871,-60.299270,-7.399311,-1.640278,-16.897064,-6.433021,2.441729,-60.442244,-14.417038,2.635961,-46.564957,-10.532246,-4.948816,-84.647774,-1.969322,-2.736753,-43.319257,-3.903510,-4.403725,-64.011639,-1.141584,-3.668270,-24.357363,-0.902996,15.315443,-5.567040,-24.893165,15.315436,-5.567045,-24.893152,6.703038,-63.754547,4.722527,0.311392,-33.018377,10.532345,-4.367947,-70.799620,-8.502321,0.211540,-40.352374,-8.212540,-3.780041,-65.897481,2.789694,-5.448764,-18.835204,1.053295,3
-16.000785,17.851381,-12.552800,-15.203121,-5.519412,6.815112,230.607451,-93.792069,-48.875679,-89.637050,-127.110298,-163.411555,8.501132,151.540038,-137.677165,-27.452272,-35.043020,65.357953,-47.712133,-23.011618,57.844817,-2.507122,-18.592788,37.903068,19.125309,-4.407309,29.024009,3.100946,-28.162117,-10.396923,3.674697,-25.035263,-10.429023,0.151247,-43.426286,8.330498,-5.444342,-9.176958,9.692552,7.987117,-4.376450,3.289283,6.615147,-48.906901,-0.034569,-1.650390,-48.906630,-2.480558,-1.372750,-42.721534,-2.656384,1.875199,-28.388528,-2.501892,2.430489,-15.148871,-2.283506,7.355753,-42.935983,-7.268699,3.246316,-51.022691,-4.832623,-1.364947,-86.305992,-0.700167,-0.544009,-42.935882,-1.364397,-7.434552,-62.456271,-7.335576,-1.637846,-16.875585,-6.431539,2.460041,-60.454437,-14.449460,2.632133,-46.668104,-10.550420,-4.947466,-84.608729,-1.971814,-2.740483,-43.374130,-3.902126,-4.425551,-65.109782,-1.140625,-3.668472,-24.369691,-0.903147,15.315448,-5.567036,-24.893155,15.315446,-5.567043,-24.893153,6.727567,-63.775035,4.674314,0.392914,-33.092084,10.486598,-4.324452,-70.508069,-8.511147,0.091934,-41.179038,-8.252396,-3.776622,-65.967984,2.791118,-5.447265,-18.916906,1.057327,3
-17.735142,18.428259,-12.248888,-14.685467,-6.106910,11.154009,216.448824,-82.986233,-29.347704,-87.612011,-110.437056,179.997388,9.434189,151.809930,-135.039127,-27.448830,-35.044264,65.358493,-47.683936,-23.038777,57.864899,-3.059098,-19.024313,37.985986,19.108714,-4.413186,29.035927,3.108535,-28.120692,-10.397556,3.629061,-25.283812,-10.427609,0.161407,-43.495749,8.324408,-5.439615,-9.204797,9.692819,8.023999,-4.367061,3.289287,6.608970,-50.508132,-0.165646,-1.694033,-49.921013,-2.448908,-1.374601,-42.761186,-2.655347,1.832927,-29.354405,-2.512708,2.432292,-15.104075,-2.282551,7.343608,-43.450416,-7.376416,3.070870,-52.969922,-4.918203,-1.365641,-86.361248,-0.698975,-0.545032,-42.979223,-1.364077,-7.612876,-63.858010,-7.288556,-1.635142,-16.851471,-6.429857,2.475325,-60.494047,-14.488904,2.464479,-47.661392,-10.602600,-4.945582,-84.553704,-1.975348,-2.744810,-43.437498,-3.900489,-4.443264,-66.004047,-1.139570,-3.668724,-24.385959,-0.903341,15.315445,-5.567034,-24.893154,15.315444,-5.567052,-24.893154,6.758690,-63.828828,4.612788,0.837176,-33.523154,10.233628,-4.238601,-69.933389,-8.527928,-0.064256,-42.252682,-8.301582,-3.763087,-66.245797,2.796686,-5.439563,-19.332346,1.077822,3
-18.946593,19.809795,-11.278527,-28.237000,1.835675,72.478892,131.719388,-180.578215,-55.644685,-88.096735,-106.983742,176.473368,10.144473,152.395948,-134.441475,-27.525554,-35.017090,65.346785,-47.475867,-23.241838,58.014726,-3.076620,-19.028323,37.957428,19.096396,-4.391997,29.133646,3.118298,-28.067348,-10.398356,3.451012,-26.253361,-10.420241,0.162100,-43.500377,8.324009,-5.427530,-9.275826,9.693541,8.052432,-4.458014,3.278759,6.629698,-50.532488,-0.190357,-1.693929,-49.918538,-2.448984,-1.374082,-42.750197,-2.655638,1.834378,-29.321147,-2.512354,2.435543,-15.021894,-2.280797,7.217050,-44.688588,-7.556272,2.954253,-54.359560,-4.988169,-1.366537,-86.435637,-0.697356,-0.544309,-42.948285,-1.364296,-7.614453,-63.870391,-7.288114,-1.626783,-16.777324,-6.424709,2.474687,-60.545506,-14.509587,1.931913,-50.529645,-10.693938,-4.944537,-84.523303,-1.977300,-2.741129,-43.383704,-3.901870,-4.443666,-66.023790,-1.139542,-3.668039,-24.341901,-0.902814,15.315443,-5.567045,-24.893148,15.315435,-5.567042,-24.893162,6.777660,-63.842732,4.575309,1.607039,-37.613295,9.918109,-4.243113,-69.963614,-8.527076,-0.052834,-42.174365,-8.298090,-3.761292,-66.282652,2.797429,-5.439246,-19.349464,1.078653,3
-20.187357,20.964765,-10.591117,-24.332854,2.402550,41.553617,148.624559,-158.595590,-54.268543,-89.295640,-42.055051,111.181442,10.892568,152.597980,-133.735861,-27.598965,-34.990876,65.335435,-45.664466,-24.896875,59.216669,-3.104690,-19.040740,37.931791,19.132391,-4.126373,29.987844,3.129323,-28.007251,-10.399250,3.237637,-27.416334,-10.407412,0.166505,-43.530621,8.321365,-5.414426,-9.352920,9.694298,8.080378,-4.541731,3.268921,6.652723,-50.560460,-0.217920,-1.694861,-49.940489,-2.448287,-1.373774,-42.743744,-2.655811,1.834939,-29.308388,-2.512221,2.446736,-14.740465,-2.274760,7.081174,-45.983428,-7.743468,2.879000,-55.277423,-5.036462,-1.367482,-86.513672,-0.695657,-0.543497,-42.914197,-1.364550,-7.618218,-63.900187,-7.287076,-1.617484,-16.694647,-6.418943,2.469473,-60.621065,-14.533668,1.575055,-52.451115,-10.743223,-4.943145,-84.482807,-1.979877,-2.736922,-43.321970,-3.903442,-4.444382,-66.059680,-1.139491,-3.667286,-24.293387,-0.902219,15.315444,-5.567037,-24.893148,15.315434,-5.567043,-24.893155,6.800514,-63.879036,4.529913,2.060656,-39.982407,9.693162,-4.245077,-69.976640,-8.526707,-0.040193,-42.087687,-8.294212,-3.758402,-66.341550,2.798588,-5.438968,-19.364156,1.079384,3
-21.242845,21.849519,-9.978790,-51.771230,-27.145221,48.604077,93.877744,-149.234232,-35.892226,-87.405629,42.304632,26.376525,13.622671,151.200925,-135.154862,-28.195645,-34.776573,65.241487,-42.147914,-27.648113,61.126049,-3.175446,-19.021582,37.699746,19.208969,-3.612058,31.601864,3.139406,-27.952219,-10.400063,3.138179,-27.958889,-10.399954,0.163650,-43.511020,8.323092,-5.173888,-10.766123,9.705135,8.149235,-5.678828,3.143400,6.698909,-50.842333,-0.293901,-1.695138,-49.947280,-2.448082,-1.375035,-42.770597,-2.655111,1.836573,-29.271106,-2.511798,2.485823,-13.751057,-2.253107,7.055394,-46.321899,-7.801895,2.635340,-58.220400,-5.188703,-1.368190,-86.571771,-0.694387,-0.543154,-42.900065,-1.364659,-7.618050,-63.898876,-7.287129,-1.549772,-16.090506,-6.376424,2.458919,-60.680595,-14.543019,0.955047,-55.778591,-10.803395,-4.942180,-84.454659,-1.981679,-2.730557,-43.228430,-3.905816,-4.444487,-66.065279,-1.139478,-3.666181,-24.224208,-0.901377,15.315439,-5.567043,-24.893158,15.315445,-5.567043,-24.893158,6.817035,-63.906859,4.496981,2.786265,-44.111227,9.287254,-4.254496,-70.039650,-8.524884,0.274910,-39.912690,-8.190651,-3.758093,-66.348299,2.798707,-5.439021,-19.360949,1.079223,3
-22.328582,22.689514,-9.582184,-31.456493,-27.078977,25.000177,117.513170,-142.331348,-29.416583,-85.992109,47.077614,21.216423,16.376226,149.526567,-136.354616,-28.883022,-34.522388,65.126783,-40.103945,-29.018954,62.026737,-3.263719,-19.003827,37.433276,19.231161,-3.329551,32.517621,3.150366,-27.892372,-10.400928,3.050208,-28.439053,-10.392577,0.162837,-43.505442,8.323562,-4.958002,-12.033014,9.709812,8.203323,-6.627826,3.037636,6.743290,-52.014727,-0.453121,-1.696204,-49.971907,-2.447295,-1.376668,-42.805769,-2.654185,1.837631,-29.247131,-2.511548,2.519724,-12.884770,-2.233579,7.041786,-46.569316,-7.849765,2.467123,-60.286111,-5.301485,-1.368895,-86.630131,-0.693121,-0.542820,-42.886141,-1.364764,-7.619150,-63.907506,-7.286825,-1.458653,-15.270986,-6.317620,2.442912,-60.761494,-14.553240,0.562041,-57.906754,-10.831150,-4.940973,-84.420012,-1.983888,-2.677226,-42.448455,-3.925205,-4.444784,-66.079892,-1.139456,-3.665005,-24.148526,-0.900443,15.315447,-5.567038,-24.893154,15.315451,-5.567038,-24.893163,6.835801,-63.951776,4.459291,3.210799,-46.530888,9.009158,-4.262846,-70.095553,-8.523281,0.596902,-37.659165,-8.070822,-3.757230,-66.365866,2.799064,-5.439160,-19.353248,1.078833,3
-22.257615,23.052898,-9.396818,-39.619183,-24.718656,0.123390,-49.571086,-75.676996,-25.871027,-84.875621,49.629289,18.486198,16.523685,146.425957,-137.140479,-29.263709,-34.378597,65.060445,-40.058860,-29.048163,62.045522,-3.302251,-18.986478,37.284145,19.216992,-3.333460,32.535885,3.162005,-27.828849,-10.401831,3.045776,-28.463284,-10.392160,0.157890,-43.471610,8.326521,-4.504850,-14.690792,9.703977,8.234365,-7.265676,2.966362,6.771376,-54.025025,-0.684212,-1.695593,-49.957593,-2.447749,-1.377134,-42.816128,-2.653919,1.839827,-29.196956,-2.510994,2.544143,-12.255774,-2.219095,7.042996,-46.641856,-7.868761,2.415453,-61.108228,-5.372019,-1.369306,-86.664643,-0.692355,-0.542290,-42.863973,-1.364922,-7.616915,-63.889807,-7.287435,-1.350422,-14.287473,-6.245341,2.363931,-61.071352,-14.565639,0.392789,-58.887110,-10.857153,-4.939631,-84.380981,-1.986394,-2.579426,-41.027956,-3.958653,-4.444604,-66.071058,-1.139472,-3.658441,-23.728161,-0.895268,15.315445,-5.567047,-24.893154,15.315443,-5.567050,-24.893157,6.849180,-63.996291,4.432157,3.426149,-47.718102,8.852919,-4.273019,-70.163564,-8.521317,0.999849,-34.787098,-7.900004,-3.757786,-66.354367,2.798839,-5.439879,-19.315170,1.076964,3
