Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-35.245081,24.031002,-5.415142,-2.748270,4.605809,0.106628,7.741606,1.546646,-10.122553,-74.273418,22.167137,48.474057,30.818503,-77.702349,8.176869,-40.343059,-28.866104,61.928249,-35.266383,-31.750730,63.689626,-2.531269,-17.227136,32.610474,23.476153,0.488728,35.353481,2.115273,-33.570084,-10.267660,3.341354,-26.850934,-10.414193,-1.281148,-34.065993,9.032759,-7.969468,6.016829,9.196096,5.403987,-11.455738,2.942082,10.739557,-23.350171,0.346432,-1.586552,-47.445520,-2.524763,-1.337150,-41.956602,-2.676010,1.930513,-27.118147,-2.486577,2.148633,-22.019607,-2.412886,4.178399,-64.409048,-9.298024,8.938895,-28.225939,-5.238948,-1.424125,-91.589592,-0.582509,-0.657691,-47.778837,-1.323671,-8.424528,-70.384608,-7.012472,-2.127338,-21.125716,-6.708679,-1.956139,-76.345395,-13.442075,8.089254,-33.369125,-11.504803,-4.949213,-84.659497,-1.968573,-2.968823,-46.765542,-3.808847,-4.518207,-69.793710,-1.131951,-3.632940,-22.074267,-0.874413,15.315442,-5.567054,-24.893170,15.315443,-5.567040,-24.893159,7.421415,-76.908526,2.876714,-0.099113,-32.277099,10.733742,-5.463753,-78.281074,-8.200505,0.863975,-35.762535,-7.960279,-3.705188,-67.428584,2.819615,-5.397087,-21.493842,1.183413,4
-35.316708,24.063710,-5.342014,-1.625942,5.285972,0.490642,11.646753,-0.774890,-13.060300,-74.314565,22.268275,48.436253,30.797059,-77.623650,8.131372,-40.352818,-28.860062,61.924351,-35.270766,-31.748125,63.688109,-2.555411,-17.241623,32.609488,23.482797,0.492950,35.353034,2.103835,-33.633336,-10.265608,3.340005,-26.858354,-10.414114,-1.274742,-34.106371,9.030229,-7.960406,5.960353,9.199194,5.423706,-11.477013,2.937984,10.725923,-23.346237,0.352110,-1.586595,-47.446735,-2.524755,-1.339887,-42.015164,-2.674527,1.929384,-27.144055,-2.486895,2.147808,-22.039284,-2.413203,4.169297,-64.461090,-9.300404,8.928576,-28.222945,-5.233525,-1.423945,-91.572537,-0.582893,-0.657600,-47.774889,-1.323703,-8.425816,-70.395092,-7.011962,-2.123624,-21.094139,-6.706768,-1.967730,-76.382879,-13.431717,8.084656,-33.357718,-11.499468,-4.948221,-84.630576,-1.970425,-2.967174,-46.740628,-3.809581,-4.518655,-69.816263,-1.131896,-3.632464,-22.043626,-0.874025,15.315434,-5.567046,-24.893153,15.315443,-5.567041,-24.893163,7.420319,-76.946049,2.882076,-0.103950,-32.277281,10.736623,-5.463441,-78.278950,-8.200599,0.866406,-35.745177,-7.959227,-3.703257,-67.468083,2.820370,-5.397736,-21.462184,1.181877,4
-35.381115,24.189971,-5.124741,0.856741,5.463610,1.487806,10.272770,-12.995049,-30.276421,-74.328204,22.509072,48.168663,30.697740,-77.611216,8.087455,-40.362541,-28.854107,61.920508,-35.278753,-31.744347,63.685969,-2.575151,-17.253621,32.608050,23.493433,0.499760,35.351497,2.092459,-33.696097,-10.263544,3.337647,-26.871148,-10.413968,-1.268118,-34.148046,9.027618,-7.951319,5.903670,9.202263,5.440425,-11.516795,2.933253,10.717769,-23.349486,0.354656,-1.586724,-47.449542,-2.524653,-1.341997,-42.060483,-2.673370,1.928418,-27.166142,-2.487165,2.147402,-22.048821,-2.413355,4.159640,-64.515433,-9.302641,8.915399,-28.226735,-5.228062,-1.423724,-91.549939,-0.583403,-0.657366,-47.764253,-1.323795,-8.427066,-70.405360,-7.011458,-2.120118,-21.064412,-6.704952,-1.978826,-76.417447,-13.420823,8.070076,-33.338437,-11.486683,-4.947104,-84.598121,-1.972485,-2.965185,-46.710742,-3.810457,-4.519076,-69.837442,-1.131838,-3.632027,-22.014645,-0.873653,15.315451,-5.567040,-24.893168,15.315433,-5.567038,-24.893154,7.419025,-76.977534,2.888106,-0.130158,-32.252193,10.750531,-5.463485,-78.279207,-8.200597,0.867636,-35.736483,-7.958708,-3.701353,-67.506636,2.821094,-5.398174,-21.441745,1.180895,4
-35.414555,24.323302,-4.912681,0.336884,4.101165,0.509406,3.982281,-10.433906,-22.608365,-74.353971,22.824313,47.772562,30.563306,-77.633850,8.057423,-40.371121,-28.848296,61.916743,-35.288681,-31.739586,63.683271,-2.593891,-17.264619,32.606905,23.504064,0.506125,35.349117,2.080821,-33.760542,-10.261421,3.334699,-26.887199,-10.413794,-1.261445,-34.190138,9.024981,-7.941571,5.842969,9.205565,5.456777,-11.558899,2.928436,10.710077,-23.355273,0.356635,-1.586781,-47.451116,-2.524618,-1.343990,-42.102964,-2.672286,1.927513,-27.186902,-2.487414,2.147115,-22.055929,-2.413491,4.149663,-64.570423,-9.304507,8.900911,-28.233688,-5.222588,-1.423467,-91.525080,-0.583963,-0.657062,-47.751628,-1.323929,-8.428136,-70.414171,-7.011021,-2.116480,-21.033377,-6.703046,-1.989771,-76.451516,-13.410048,8.053222,-33.319094,-11.472642,-4.945972,-84.565126,-1.974613,-2.963084,-46.679318,-3.811392,-4.519475,-69.858032,-1.131784,-3.631577,-21.985081,-0.873275,15.315442,-5.567039,-24.893162,15.315446,-5.567042,-24.893161,7.417754,-77.007092,2.894036,-0.160410,-32.224288,10.766622,-5.463634,-78.280245,-8.200547,0.868728,-35.728546,-7.958220,-3.699459,-67.545183,2.821820,-5.398559,-21.421913,1.179918,4
-35.419587,24.485547,-4.700825,-1.612601,-0.602099,-1.287935,-0.904036,-23.445817,-31.116576,-74.447593,22.970373,47.584279,30.540539,-77.593996,8.118392,-40.384749,-28.839814,61.911269,-35.307037,-31.729883,63.677690,-2.606910,-17.271696,32.602845,23.505365,0.503796,35.341232,2.070197,-33.819225,-10.259462,3.330163,-26.911968,-10.413525,-1.254475,-34.234039,9.022224,-7.930766,5.775569,9.209216,5.467464,-11.591600,2.924976,10.703285,-23.378575,0.355607,-1.586022,-47.433851,-2.525119,-1.345812,-42.142270,-2.671295,1.927244,-27.193168,-2.487514,2.146700,-22.065676,-2.413640,4.140422,-64.617626,-9.304868,8.885054,-28.238520,-5.216060,-1.423255,-91.504353,-0.584436,-0.656535,-47.728645,-1.324131,-8.429251,-70.423295,-7.010567,-2.112888,-21.002761,-6.701185,-2.000192,-76.483356,-13.399262,8.034528,-33.304048,-11.458633,-4.945116,-84.539825,-1.976232,-2.960311,-46.637531,-3.812625,-4.519875,-69.879156,-1.131734,-3.631153,-21.957112,-0.872904,15.315441,-5.567050,-24.893159,15.315435,-5.567041,-24.893158,7.416017,-77.035932,2.901797,-0.193557,-32.203426,10.784860,-5.464047,-78.283183,-8.200403,0.871715,-35.707224,-7.956921,-3.697864,-67.577338,2.822436,-5.399086,-21.396809,1.178703,4
-35.419123,24.603822,-4.597728,0.823731,-5.150628,-2.103595,0.760033,-21.368236,-16.240017,-74.533707,22.709270,47.827052,30.632507,-77.561961,8.145877,-40.398439,-28.831082,61.905627,-35.327759,-31.719568,63.671810,-2.618289,-17.277741,32.598598,23.505918,0.500404,35.331990,2.059504,-33.878295,-10.257493,3.324964,-26.940242,-10.413197,-1.247403,-34.278464,9.019404,-7.919314,5.704317,9.213043,5.477133,-11.624719,2.921649,10.696972,-23.406080,0.353767,-1.585115,-47.413165,-2.525737,-1.347532,-42.179038,-2.670355,1.927095,-27.196555,-2.487548,2.146361,-22.073945,-2.413771,4.131058,-64.664204,-9.304753,8.868065,-28.245396,-5.209388,-1.423036,-91.482543,-0.584934,-0.655938,-47.702854,-1.324385,-8.430212,-70.431301,-7.010188,-2.109184,-20.971253,-6.699243,-2.010406,-76.514450,-13.388571,8.013930,-33.289542,-11.443700,-4.944257,-84.515235,-1.977804,-2.957363,-46.593273,-3.813911,-4.520299,-69.899858,-1.131681,-3.630716,-21.928931,-0.872550,15.315445,-5.567041,-24.893155,15.315438,-5.567041,-24.893157,7.414254,-77.063198,2.909740,-0.230081,-32.181454,10.804984,-5.464584,-78.286953,-8.200212,0.874856,-35.684690,-7.955544,-3.696335,-67.608630,2.823016,-5.399595,-21.371476,1.177480,4
-35.407051,24.719647,-4.467331,-0.628407,-2.852795,-2.319341,-2.349805,-19.368663,-20.913208,-74.627398,22.714237,47.765339,30.648545,-77.543427,8.197120,-40.412167,-28.821968,61.899725,-35.351032,-31.707675,63.665001,-2.628045,-17.282661,32.594156,23.504998,0.495539,35.321299,2.048734,-33.937927,-10.255484,3.319079,-26.972306,-10.412827,-1.240266,-34.323539,9.016584,-7.885284,5.492691,9.224357,5.485760,-11.658370,2.918434,10.691141,-23.438085,0.351059,-1.584047,-47.388808,-2.526443,-1.349123,-42.213178,-2.669470,1.927085,-27.196842,-2.487563,2.146062,-22.080694,-2.413887,4.121538,-64.710206,-9.304126,8.849859,-28.254441,-5.202551,-1.422792,-91.459549,-0.585473,-0.655276,-47.673998,-1.324645,-8.431046,-70.438162,-7.009809,-2.105373,-20.938751,-6.697263,-2.020417,-76.544882,-13.377967,7.991254,-33.275581,-11.427771,-4.943441,-84.491328,-1.979329,-2.954232,-46.546284,-3.815289,-4.520704,-69.920172,-1.131615,-3.630294,-21.900497,-0.872182,15.315440,-5.567039,-24.893150,15.315445,-5.567041,-24.893162,7.412452,-77.088925,2.917864,-0.270239,-32.158253,10.827133,-5.465256,-78.291617,-8.199980,0.878201,-35.660824,-7.954094,-3.694834,-67.639052,2.823585,-5.400132,-21.345869,1.176245,4
-35.277247,24.866851,-4.296193,-2.377816,-0.623068,-3.009097,-20.216686,-20.853346,-26.528525,-74.691574,22.966165,47.422874,30.593858,-77.560362,8.309426,-40.432167,-28.809261,61.891506,-35.374380,-31.696305,63.658524,-2.628210,-17.280801,32.585733,23.496098,0.484465,35.308830,2.039546,-33.988662,-10.253783,3.313178,-27.004551,-10.412440,-1.233961,-34.363289,9.014071,-7.869146,5.392405,9.229658,5.493609,-11.696729,2.915056,10.688932,-23.485790,0.344621,-1.581891,-47.339946,-2.527900,-1.350778,-42.248574,-2.668574,1.927751,-27.181758,-2.487370,2.145845,-22.085972,-2.413969,4.113019,-64.756747,-9.305521,8.829204,-28.271611,-5.196091,-1.422633,-91.442532,-0.585852,-0.654839,-47.654835,-1.324822,-8.432160,-70.447287,-7.009389,-2.102370,-20.913237,-6.695692,-2.029685,-76.576746,-13.370940,7.965195,-33.264149,-11.410587,-4.942673,-84.469451,-1.980731,-2.951335,-46.502779,-3.816546,-4.521102,-69.940604,-1.131560,-3.629874,-21.872207,-0.871823,15.315443,-5.567048,-24.893153,15.315432,-5.567037,-24.893154,7.411922,-77.117710,2.920867,-0.316973,-32.134268,10.853053,-5.465977,-78.296581,-8.199731,0.882765,-35.628157,-7.952112,-3.693812,-67.660032,2.823970,-5.400899,-21.307971,1.174404,4
-35.147097,25.015667,-4.150377,-0.773862,-2.110380,-3.462074,-19.283879,-23.275035,-24.200094,-74.739626,23.120212,47.164838,30.561243,-77.605088,8.404185,-40.453045,-28.795521,61.882602,-35.400232,-31.683220,63.651039,-2.625923,-17.277241,32.576644,23.484770,0.470830,35.294967,2.030513,-34.038696,-10.252081,3.306673,-27.039940,-10.412044,-1.227681,-34.402852,9.011566,-7.854284,5.300034,9.234539,5.500479,-11.736150,2.911769,10.687583,-23.539287,0.336963,-1.579440,-47.284823,-2.529556,-1.352325,-42.281970,-2.667723,1.928594,-27.162101,-2.487132,2.145685,-22.089815,-2.414043,4.104509,-64.802876,-9.306775,8.807212,-28.291639,-5.189537,-1.422451,-91.425341,-0.586239,-0.654356,-47.634449,-1.325015,-8.433238,-70.456199,-7.008938,-2.099409,-20.887821,-6.694142,-2.038686,-76.608258,-13.364449,7.936986,-33.253499,-11.392407,-4.941952,-84.448373,-1.982069,-2.948329,-46.457520,-3.817880,-4.521501,-69.960744,-1.131511,-3.629421,-21.843690,-0.871455,15.315454,-5.567041,-24.893154,15.315442,-5.567041,-24.893156,7.411530,-77.145621,2.923360,-0.367587,-32.109188,10.881129,-5.466800,-78.302321,-8.199457,0.887648,-35.593192,-7.949979,-3.692865,-67.679069,2.824336,-5.401712,-21.268221,1.172474,4
-34.966609,25.149368,-4.016073,0.312252,-2.922211,-1.384673,-23.219038,-20.353527,-18.894669,-74.752888,23.142644,47.078306,30.550931,-77.672704,8.453707,-40.463217,-28.788581,61.878097,-35.424217,-31.671106,63.644099,-2.618178,-17.271020,32.571317,23.466946,0.452693,35.280559,2.021487,-34.088573,-10.250388,3.298224,-27.085985,-10.411510,-1.219852,-34.452227,9.008443,-7.707063,4.388506,9.281318,5.507365,-11.778694,2.908281,10.698225,-23.602400,0.323312,-1.575937,-47.205118,-2.531892,-1.354861,-42.336300,-2.666324,1.930286,-27.123199,-2.486643,2.145528,-22.093481,-2.414094,4.096125,-64.852575,-9.309593,8.788345,-28.319545,-5.185941,-1.422254,-91.406266,-0.586667,-0.654281,-47.631034,-1.325042,-8.434295,-70.464864,-7.008519,-2.096605,-20.864040,-6.692693,-2.048330,-76.644624,-13.359487,7.910427,-33.250879,-11.377078,-4.941217,-84.426895,-1.983462,-2.946336,-46.427740,-3.818743,-4.521887,-69.981050,-1.131451,-3.629056,-21.819464,-0.871148,15.315440,-5.567049,-24.893165,15.315450,-5.567043,-24.893162,7.412268,-77.180360,2.921451,-0.417680,-32.089896,10.909245,-5.466924,-78.303212,-8.199394,0.892311,-35.559746,-7.947940,-3.691949,-67.697852,2.824689,-5.402422,-21.233374,1.170770,4
