Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
-2.759165,16.968770,0.999921,251.066358,-145.290937,149.653129,201.909284,-108.768000,163.206395,-66.436394,117.491035,-51.928051,59.640573,-60.090959,1.182545,-42.966926,-27.055008,60.725076,-38.424327,-30.042636,62.672636,-1.440297,-16.306404,31.361889,-1.185189,-16.532362,33.245702,3.459630,-26.206439,-10.420662,3.732965,-24.718049,-10.430530,-3.697278,-19.438239,9.641182,-5.485176,-8.936826,9.689989,12.307879,-45.853728,-5.024001,13.253688,-35.032581,-3.101473,-2.600219,-76.580762,-1.376869,-2.317489,-66.500094,-1.830853,0.929318,-49.498250,-2.572700,1.479698,-37.296630,-2.574362,8.813522,-52.612536,-11.535920,10.628301,-40.250496,-9.127657,-1.230105,-76.663434,-0.898927,-1.133720,-70.871925,-1.006424,-6.798032,-57.520893,-7.465881,-5.098266,-44.602438,-7.542117,4.474221,-56.461680,-15.541458,9.054791,-40.914270,-14.262084,-4.621387,-76.216635,-2.486171,-4.108177,-65.618154,-3.058600,-4.435813,-65.627803,-1.140052,-4.070852,-47.098070,-1.103194,15.315437,-5.567043,-24.893156,15.315447,-5.567038,-24.893159,5.042290,-54.857686,7.251088,5.884349,-38.632070,6.663292,-2.444350,-58.097193,-8.679464,-0.453338,-44.901181,-8.410347,-3.529260,-70.968220,2.881078,-4.728670,-44.165670,2.162868,5
-2.413675,16.772346,1.052283,282.343079,-126.688727,202.988047,223.245707,-93.089644,194.031266,-65.872996,115.863403,-50.251720,61.987401,-65.451267,-3.222295,-42.966129,-27.055504,60.725413,-38.463684,-30.019299,62.658174,-1.399311,-16.281304,31.357415,-1.181748,-16.526496,33.228951,3.457429,-26.218501,-10.420563,3.733039,-24.717699,-10.430540,-3.698484,-19.431186,9.641337,-5.489091,-8.913873,9.689741,12.303609,-45.808613,-5.008337,13.309401,-35.072002,-3.145218,-2.598767,-76.519500,-1.379768,-2.320103,-66.582130,-1.827371,0.931507,-49.449306,-2.572941,1.477508,-37.345025,-2.574598,8.790121,-52.597575,-11.503814,10.633040,-40.306455,-9.147719,-1.221402,-76.111867,-0.909576,-1.134160,-70.896456,-1.005989,-6.736024,-57.044645,-7.475511,-5.095252,-44.579645,-7.541912,4.463205,-56.435813,-15.516722,9.011365,-41.054022,-14.276794,-4.590597,-75.511249,-2.527130,-4.108693,-65.628084,-3.058121,-4.434426,-65.557611,-1.140128,-4.070880,-47.100010,-1.103189,15.315446,-5.567045,-24.893152,15.315447,-5.567041,-24.893161,5.015645,-54.838742,7.286834,5.934213,-39.467482,6.574352,-2.419874,-57.936711,-8.678965,-0.449826,-44.877426,-8.409451,-3.541121,-70.731698,2.877310,-4.726650,-44.219705,2.164847,5
-2.069194,16.613656,1.221582,198.873765,-64.473353,149.505865,152.759848,-43.230278,126.842761,-65.088835,113.438986,-47.861441,63.289553,-71.086795,-8.052258,-42.966429,-27.055552,60.725448,-38.505805,-29.994536,62.642828,-1.357439,-16.255889,31.352436,-1.176844,-16.519448,33.210833,3.455104,-26.231161,-10.420440,3.732570,-24.720158,-10.430513,-3.700002,-19.422200,9.641524,-5.493712,-8.886599,9.689428,12.302270,-45.753802,-4.992863,13.368377,-35.114082,-3.191713,-2.597136,-76.452501,-1.382942,-2.334362,-67.031267,-1.808224,0.933814,-49.397768,-2.573176,1.475224,-37.396258,-2.574840,8.767662,-52.576921,-11.470684,10.638427,-40.369550,-9.170416,-1.213553,-75.619229,-0.919023,-1.134597,-70.921162,-1.005558,-6.675886,-56.583582,-7.484352,-5.091747,-44.553005,-7.541670,4.452592,-56.405705,-15.490761,8.959695,-41.230623,-14.297545,-4.566799,-74.973418,-2.558097,-4.109082,-65.635194,-3.057757,-4.432194,-65.444837,-1.140279,-4.070860,-47.099401,-1.103195,15.315442,-5.567039,-24.893157,15.315450,-5.567046,-24.893155,4.986043,-54.816518,7.326459,5.961689,-40.114195,6.514213,-2.402089,-57.820075,-8.678557,-0.445488,-44.848054,-8.408340,-3.557025,-70.414516,2.872188,-4.724558,-44.275055,2.166885,5
-2.181526,15.129430,0.967685,676.890417,-371.797993,317.733500,694.384231,-140.654948,357.273517,-64.626423,115.214489,-47.662971,66.343766,-76.655753,-13.510957,-42.937461,-27.076900,60.739989,-38.589163,-29.945850,62.612637,-1.256119,-16.196634,31.353211,-1.037395,-16.421481,33.160080,3.448833,-26.265304,-10.420142,3.728787,-24.740769,-10.430426,-3.687197,-19.497751,9.639981,-5.505759,-8.815685,9.688618,12.357685,-45.381797,-4.946319,13.444430,-35.271171,-3.276191,-2.593955,-76.320824,-1.389154,-2.341923,-67.272336,-1.797903,0.933568,-49.403169,-2.573156,1.467949,-37.557895,-2.575563,8.762224,-52.420801,-11.406410,10.631360,-40.543604,-9.216944,-1.211484,-75.491941,-0.921439,-1.136393,-71.024062,-1.003734,-6.659610,-56.458657,-7.486659,-5.091716,-44.552673,-7.541664,4.471210,-56.233615,-15.442631,8.897929,-41.364273,-14.296579,-4.559620,-74.812644,-2.567304,-4.115626,-65.758188,-3.051675,-4.428452,-65.256531,-1.140485,-4.072109,-47.163085,-1.103517,15.315440,-5.567027,-24.893148,15.315452,-5.567038,-24.893151,4.915198,-54.664102,7.416727,5.864361,-40.203131,6.589887,-2.372371,-57.625199,-8.677786,-0.461385,-44.955574,-8.412392,-3.565867,-70.237723,2.869288,-4.716284,-44.493874,2.174892,5
-2.123731,14.569946,0.839406,279.580077,-190.991222,129.213757,270.570794,-103.777793,149.210242,-64.417504,118.131719,-48.619470,68.877046,-81.878908,-18.355058,-42.921738,-27.088528,60.747910,-38.632402,-29.920086,62.596613,-1.203868,-16.165988,31.353919,-0.426974,-16.019474,33.073961,3.445527,-26.283317,-10.419963,3.726362,-24.753948,-10.430377,-3.680104,-19.539582,9.639125,-5.512469,-8.776197,9.688180,12.771797,-40.163653,-3.983395,13.475801,-35.471001,-3.343371,-2.591538,-76.221738,-1.393842,-2.414161,-69.643003,-1.694757,0.933241,-49.410246,-2.573123,1.443921,-38.092264,-2.577835,8.762350,-52.331963,-11.373639,10.503478,-41.406269,-9.378780,-1.209211,-75.350176,-0.924135,-1.137354,-71.078801,-1.002757,-6.647348,-56.364850,-7.488383,-5.091723,-44.552807,-7.541665,4.618046,-55.646174,-15.383254,8.775009,-41.795652,-14.348648,-4.521371,-73.964754,-2.615600,-4.119114,-65.824036,-3.048430,-4.403619,-64.006072,-1.141575,-4.072750,-47.196857,-1.103682,15.315445,-5.567047,-24.893159,15.315449,-5.567041,-24.893159,4.830600,-54.226745,7.511995,5.779345,-40.262977,6.657328,-2.144238,-56.128603,-8.668554,-0.470175,-45.015004,-8.414605,-3.617164,-69.209172,2.851890,-4.649003,-46.245958,2.237942,5
-2.525141,13.985652,1.439408,318.015049,-278.669636,256.706896,376.345093,-193.764167,169.518710,-64.959114,120.559864,-50.199518,69.463339,-78.485990,-14.830826,-42.901063,-27.103686,60.758222,-38.678781,-29.893025,62.579801,-1.145954,-16.132366,31.356193,1.924440,-14.492488,32.832203,3.438935,-26.319253,-10.419629,3.718351,-24.797708,-10.430174,-3.677832,-19.553039,9.638841,-5.513647,-8.769355,9.688107,12.873277,-38.813254,-3.734173,13.397738,-37.012083,-3.663461,-2.591100,-76.203571,-1.394705,-2.454915,-71.047398,-1.632256,0.931105,-49.457992,-2.572893,1.430855,-38.382228,-2.578969,8.755604,-52.249447,-11.335602,10.209467,-43.135244,-9.673448,-1.208744,-75.320809,-0.924690,-1.138359,-71.136263,-1.001723,-6.644266,-56.341185,-7.488818,-5.091629,-44.552135,-7.541671,4.621784,-55.585103,-15.362932,8.554287,-42.542125,-14.430834,-4.519738,-73.929132,-2.617602,-4.125147,-65.937340,-3.042814,-4.402933,-63.971767,-1.141596,-4.073450,-47.234253,-1.103879,15.315448,-5.567034,-24.893151,15.315443,-5.567041,-24.893153,4.816236,-54.189523,7.529574,5.617321,-40.310655,6.789704,-2.080930,-55.712999,-8.664924,-0.482914,-45.101152,-8.417831,-3.621454,-69.123065,2.850410,-4.620737,-46.967629,2.263319,5
-2.751888,13.512964,1.873832,288.805211,-231.148983,235.488672,322.247335,-161.434064,171.417344,-65.365320,121.867402,-50.900584,69.983998,-77.256249,-13.391133,-42.878897,-27.120103,60.769393,-38.726538,-29.864682,62.562144,-1.085869,-16.097623,31.358898,3.443980,-13.510809,32.701803,3.431781,-26.358160,-10.419284,3.709169,-24.847593,-10.429962,-3.675541,-19.566486,9.638563,-5.514701,-8.763061,9.688024,12.932452,-38.117062,-3.610973,13.328147,-38.252424,-3.919443,-2.590727,-76.188122,-1.395435,-2.474944,-71.758325,-1.600232,0.928580,-49.514400,-2.572619,1.423065,-38.555167,-2.579619,8.779251,-52.012188,-11.274871,9.998070,-44.322341,-9.866802,-1.208269,-75.291336,-0.925264,-1.139411,-71.196882,-1.000644,-6.641313,-56.318615,-7.489217,-5.091575,-44.551619,-7.541662,4.626362,-55.521329,-15.342620,8.350390,-43.210861,-14.497491,-4.517943,-73.889629,-2.619831,-4.156554,-66.532742,-3.013072,-4.402215,-63.935478,-1.141622,-4.074211,-47.273784,-1.104090,15.315441,-5.567044,-24.893157,15.315442,-5.567042,-24.893167,4.802229,-54.149457,7.546487,5.457758,-40.363409,6.920139,-2.068555,-55.631757,-8.664174,-0.574557,-45.719615,-8.440324,-3.623843,-69.074912,2.849563,-4.609789,-47.244965,2.272984,5
-3.497680,13.542342,3.146894,289.848724,-171.748863,310.215178,398.575384,-176.031800,124.619253,-65.378315,121.840450,-50.376299,66.121292,-71.111300,-5.784755,-42.817387,-27.165340,60.800149,-38.703361,-29.878126,62.570506,0.533194,-15.118231,31.216544,3.971996,-13.172041,32.679151,3.434061,-26.345742,-10.419384,3.622744,-25.318126,-10.427412,-3.693043,-19.463270,9.640678,-5.509175,-8.795652,9.688401,12.987547,-37.870489,-3.590885,13.321656,-38.288312,-3.923737,-2.591217,-76.208565,-1.394457,-2.475579,-71.780779,-1.599236,0.925078,-49.592214,-2.572227,1.421719,-38.584908,-2.579722,8.789004,-51.958737,-11.266135,9.906994,-44.687719,-9.903618,-1.209081,-75.341258,-0.924319,-1.139916,-71.225167,-1.000148,-6.639698,-56.306327,-7.489435,-5.087214,-44.518609,-7.541362,4.637728,-55.489234,-15.343484,8.192303,-43.615951,-14.509257,-4.518495,-73.901819,-2.619146,-4.159488,-66.588738,-3.010243,-4.401171,-63.883352,-1.141661,-4.074479,-47.287513,-1.104161,15.315438,-5.567054,-24.893166,15.315442,-5.567035,-24.893158,4.805740,-54.160195,7.542292,5.290695,-40.373129,7.058786,-2.058540,-55.565931,-8.663537,-0.694311,-46.525350,-8.468128,-3.624424,-69.063199,2.849355,-4.608621,-47.274374,2.273991,5
-3.988570,13.465310,4.161013,244.436311,-149.704830,232.900622,315.923193,-138.486923,85.217498,-65.075744,121.676241,-49.795914,62.425807,-67.775323,-0.991748,-42.749620,-27.215060,60.833909,-38.672707,-29.896703,62.582091,1.808538,-14.350454,31.132258,4.264983,-12.984671,32.675221,3.437105,-26.329176,-10.419549,3.351668,-26.794697,-10.414817,-3.812559,-18.758712,9.654292,-5.502706,-8.833642,9.688829,13.045936,-37.658476,-3.580801,13.310411,-38.329770,-3.926100,-2.591891,-76.235840,-1.393187,-2.476383,-71.809955,-1.597899,0.914397,-49.830203,-2.571009,1.420420,-38.613704,-2.579828,8.802246,-51.902326,-11.260172,9.853098,-44.815351,-9.897189,-1.210051,-75.401227,-0.923174,-1.140380,-71.251757,-0.999670,-6.638393,-56.296273,-7.489624,-5.082332,-44.481574,-7.541018,4.651306,-55.456921,-15.346932,8.055885,-43.920188,-14.502802,-4.519204,-73.917501,-2.618252,-4.162554,-66.647073,-3.007307,-4.400074,-63.827631,-1.141690,-4.074699,-47.299624,-1.104225,15.315448,-5.567036,-24.893151,15.315447,-5.567038,-24.893159,4.811826,-54.175199,7.534821,5.150630,-40.377155,7.175122,-2.026704,-55.356820,-8.661458,-0.791569,-47.177729,-8.489399,-3.624864,-69.054143,2.849196,-4.607343,-47.306413,2.275095,5
-4.636271,13.600372,4.365897,252.501438,-58.389250,53.567305,341.820709,-77.014572,25.313346,-63.426093,122.983539,-52.540811,59.210264,-66.282781,2.139233,-41.052283,-28.401521,61.625810,-38.618271,-29.928358,62.601755,4.621073,-12.695565,31.662380,4.285285,-12.973027,32.696706,3.452882,-26.243219,-10.420333,2.986394,-28.787640,-10.386741,-4.672413,-13.707963,9.708578,-5.483694,-8.945518,9.690086,13.097549,-37.604292,-3.603196,13.301778,-38.317670,-3.917071,-2.592601,-76.265048,-1.391804,-2.476542,-71.815436,-1.597658,0.908224,-49.967612,-2.570284,1.418884,-38.648005,-2.579951,8.820964,-51.865150,-11.267278,9.808726,-44.823345,-9.861199,-1.211690,-75.503833,-0.921213,-1.139896,-71.223592,-1.000192,-6.637215,-56.287238,-7.489777,-5.074095,-44.419212,-7.540434,4.670472,-55.442477,-15.364424,7.930286,-43.933424,-14.406126,-4.522436,-73.988189,-2.614269,-4.164527,-66.684695,-3.005415,-4.398891,-63.768176,-1.141720,-4.074537,-47.290809,-1.104173,15.315444,-5.567045,-24.893156,15.315447,-5.567036,-24.893152,4.825987,-54.201532,7.517068,4.935896,-40.359923,7.353960,-2.026082,-55.352794,-8.661418,-0.917124,-48.017694,-8.515186,-3.623388,-69.084049,2.849724,-4.606618,-47.324627,2.275751,5
