Hands_Relative_Loc_X,Hands_Relative_Loc_Y,Hands_Relative_Loc_Z,R_WristRoot_Vel_X,R_WristRoot_Vel_Y,R_WristRoot_Vel_Z,L_WristRoot_Vel_X,L_WristRoot_Vel_Y,L_WristRoot_Vel_Z,R_WristRoot_Rot_Ptich,R_WristRoot_Rot_Yaw,R_WristRoot_Rot_Roll,L_WristRoot_Rot_Ptich,L_WristRoot_Rot_Yaw,L_WristRoot_Rot_Roll,R_Thumb0_Relative_Rot_Pitch,R_Thumb0_Relative_Rot_Yaw,R_Thumb0_Relative_Rot_Roll,L_Thumb0_Relative_Rot_Pitch,L_Thumb0_Relative_Rot_Yaw,L_Thumb0_Relative_Rot_Roll,R_Thumb1_Relative_Rot_Pitch,R_Thumb1_Relative_Rot_Yaw,R_Thumb1_Relative_Rot_Roll,L_Thumb1_Relative_Rot_Pitch,L_Thumb1_Relative_Rot_Yaw,L_Thumb1_Relative_Rot_Roll,R_Thumb2_Relative_Rot_Pitch,R_Thumb2_Relative_Rot_Yaw,R_Thumb2_Relative_Rot_Roll,L_Thumb2_Relative_Rot_Pitch,L_Thumb2_Relative_Rot_Yaw,L_Thumb2_Relative_Rot_Roll,R_Thumb3_Relative_Rot_Pitch,R_Thumb3_Relative_Rot_Yaw,R_Thumb3_Relative_Rot_Roll,L_Thumb3_Relative_Rot_Pitch,L_Thumb3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Index1_Relative_Rot_Pitch,R_Index1_Relative_Rot_Yaw,R_Index1_Relative_Rot_Roll,L_Index1_Relative_Rot_Pitch,L_Index1_Relative_Rot_Yaw,L_Index1_Relative_Rot_Roll,R_Index2_Relative_Rot_Pitch,R_Index2_Relative_Rot_Yaw,R_Index2_Relative_Rot_Roll,L_Index2_Relative_Rot_Pitch,L_Index2_Relative_Rot_Yaw,L_Index2_Relative_Rot_Roll,R_Index3_Relative_Rot_Pitch,R_Index3_Relative_Rot_Yaw,R_Index3_Relative_Rot_Roll,L_Index3_Relative_Rot_Pitch,L_Index3_Relative_Rot_Yaw,L_Thumb3_Relative_Rot_Roll,R_Middle1_Relative_Rot_Pitch,R_Middle1_Relative_Rot_Yaw,R_Middle1_Relative_Rot_Roll,L_Middle1_Relative_Rot_Pitch,L_Middle1_Relative_Rot_Yaw,L_Middle1_Relative_Rot_Roll,R_Middle2_Relative_Rot_Pitch,R_Middle2_Relative_Rot_Yaw,R_Middle2_Relative_Rot_Roll,L_Middle2_Relative_Rot_Pitch,L_Middle2_Relative_Rot_Yaw,L_Middle2_Relative_Rot_Roll,R_Middle3_Relative_Rot_Pitch,R_Middle3_Relative_Rot_Yaw,R_Middle3_Relative_Rot_Roll,L_Middle3_Relative_Rot_Pitch,L_Middle3_Relative_Rot_Yaw,L_Middle3_Relative_Rot_Roll,R_Ring1_Relative_Rot_Pitch,R_Ring1_Relative_Rot_Yaw,R_Ring1_Relative_Rot_Roll,L_Ring1_Relative_Rot_Pitch,L_Ring1_Relative_Rot_Yaw,L_Ring1_Relative_Rot_Roll,R_Ring2_Relative_Rot_Pitch,R_Ring2_Relative_Rot_Yaw,R_Ring2_Relative_Rot_Roll,L_Ring2_Relative_Rot_Pitch,L_Ring2_Relative_Rot_Yaw,L_Ring2_Relative_Rot_Roll,R_Ring3_Relative_Rot_Pitch,R_Ring3_Relative_Rot_Yaw,R_Ring3_Relative_Rot_Roll,L_Ring3_Relative_Rot_Pitch,L_Ring3_Relative_Rot_Yaw,L_Ring3_Relative_Rot_Roll,R_Pinky0_Relative_Rot_Pitch,R_Pinky0_Relative_Rot_Yaw,R_Pinky0_Relative_Rot_Roll,L_Pinky0_Relative_Rot_Pitch,L_Pinky0_Relative_Rot_Yaw,L_Pinky0_Relative_Rot_Roll,R_Pinky1_Relative_Rot_Pitch,R_Pinky1_Relative_Rot_Yaw,R_Pinky1_Relative_Rot_Roll,L_Pinky1_Relative_Rot_Pitch,L_Pinky1_Relative_Rot_Yaw,L_Pinky1_Relative_Rot_Roll,R_Pinky2_Relative_Rot_Pitch,R_Pinky2_Relative_Rot_Yaw,R_Pinky2_Relative_Rot_Roll,L_Pinky2_Relative_Rot_Pitch,L_Pinky2_Relative_Rot_Yaw,L_Pinky2_Relative_Rot_Roll,R_Pinky3_Relative_Rot_Pitch,R_Pinky3_Relative_Rot_Yaw,R_Pinky3_Relative_Rot_Roll,L_Pinky3_Relative_Rot_Pitch,L_Pinky3_Relative_Rot_Yaw,L_Pinky3_Relative_Rot_Roll,Label
8.735730,10.524415,4.519965,0.191994,5.456118,-5.107223,-0.687646,4.234125,-15.328008,20.231690,25.668806,4.393939,36.761481,81.642483,-161.618687,-33.593585,-32.556363,64.138171,-34.403454,-32.173786,63.927892,-3.140378,-18.353049,35.492036,-10.087901,-23.303434,36.484191,1.382508,-37.647628,-10.109047,4.514195,-20.462869,-10.419428,-2.361215,-27.408797,9.386102,-7.912852,5.664116,9.215205,5.940246,-53.280652,0.387515,7.173689,-51.188530,-0.854469,-2.905011,-96.258985,-0.382392,-0.252805,-20.424027,-3.022358,0.650148,-55.761979,-2.526441,2.708599,-7.903914,-2.111607,3.743034,-61.999243,-7.762745,4.133102,-62.603343,-8.600369,-1.439154,-93.113358,-0.547598,-1.363870,-86.217078,-0.702111,-7.308248,-61.469163,-7.366053,-7.266129,-61.140824,-7.375698,0.038712,-70.267101,-14.848776,0.743377,-66.337291,-14.201747,-5.116333,-90.015050,-1.617447,-4.972043,-85.333502,-1.925260,-4.396493,-63.647368,-1.141790,-4.403806,-64.014986,-1.141566,15.315436,-5.567043,-24.893159,15.315441,-5.567042,-24.893159,8.254048,-73.654038,0.155194,5.980156,-61.282669,6.026323,-6.414431,-85.071622,-7.804980,-6.107298,-82.838467,-7.947477,-4.186101,-57.239902,2.583668,-3.812710,-65.223981,2.775895,2
8.744647,10.531558,4.582994,0.792371,4.119975,-4.629513,-0.679868,2.940591,-15.036121,20.220901,25.585252,4.452269,36.936085,81.819282,-161.412335,-33.594803,-32.555893,64.137931,-34.353596,-32.197934,63.941335,-3.161131,-18.367814,35.494548,-10.120790,-23.337615,36.513138,1.387499,-37.619534,-10.110336,4.523793,-20.410516,-10.418930,-2.354606,-27.448734,9.384372,-7.919487,5.705372,9.212987,5.925434,-53.308049,0.403535,7.136849,-51.254485,-0.820638,-2.905101,-96.274154,-0.381595,-0.249701,-20.365403,-3.022744,0.649313,-55.780770,-2.526249,2.710828,-7.843524,-2.110018,3.738236,-62.057652,-7.771480,4.103678,-62.667556,-8.571120,-1.439175,-93.115527,-0.547556,-1.366530,-86.434389,-0.697382,-7.309704,-61.480472,-7.365710,-7.288004,-61.311237,-7.370725,0.019094,-70.363118,-14.861400,0.673746,-66.531656,-14.162955,-5.116451,-90.018860,-1.617199,-4.974077,-85.394324,-1.921337,-4.396536,-63.650056,-1.141799,-4.405131,-64.082437,-1.141531,15.315450,-5.567045,-24.893157,15.315443,-5.567039,-24.893155,8.260349,-73.721524,0.122152,5.981716,-61.598957,6.034272,-6.415927,-85.082639,-7.804243,-6.116265,-82.903068,-7.943525,-4.187448,-57.210057,2.582860,-3.809954,-65.280833,2.777082,2
8.759977,10.534533,4.632885,-3.777647,1.938602,-8.175088,-5.916940,1.523352,-15.137501,20.157245,25.463445,4.482247,37.110171,81.931537,-161.275681,-33.597554,-32.554621,64.137235,-34.303932,-32.221836,63.954607,-3.181724,-18.382028,35.496380,-10.152926,-23.371291,36.541885,1.392818,-37.589667,-10.111683,4.533286,-20.358725,-10.418430,-2.347494,-27.491776,9.382478,-7.925835,5.744984,9.210855,5.911022,-53.333948,0.419217,7.100198,-51.338945,-0.788826,-2.905244,-96.293775,-0.380559,-0.246628,-20.307221,-3.023115,0.648339,-55.803041,-2.526035,2.713027,-7.783638,-2.108453,3.734001,-62.116295,-7.781234,4.067156,-62.780543,-8.545280,-1.439190,-93.118060,-0.547486,-1.369143,-86.650434,-0.692683,-7.311232,-61.492347,-7.365362,-7.313893,-61.513070,-7.364742,-0.002334,-70.466663,-14.874462,0.593111,-66.770904,-14.123941,-5.116562,-90.022757,-1.616941,-4.976131,-85.455566,-1.917395,-4.396596,-63.653172,-1.141790,-4.406828,-64.168201,-1.141471,15.315434,-5.567040,-24.893161,15.315436,-5.567046,-24.893156,8.266713,-73.798550,0.086889,5.987436,-61.954116,6.036975,-6.417422,-85.093580,-7.803521,-6.125332,-82.968352,-7.939525,-4.188806,-57.179656,2.582025,-3.807229,-65.337046,2.778246,2
8.789115,10.489509,4.654968,-8.188988,-9.404844,-10.568776,-12.718650,-2.405791,-14.001687,19.897429,25.422847,4.374734,37.131506,81.918999,-161.347658,-33.600086,-32.553440,64.136598,-34.209354,-32.266925,63.979567,-3.222804,-18.411264,35.501413,-10.207702,-23.430681,36.595170,1.406306,-37.514076,-10.115089,4.551012,-20.261990,-10.417471,-2.334579,-27.569933,9.379050,-7.936195,5.809465,9.207374,5.886581,-53.380081,0.445729,7.036590,-51.445509,-0.728851,-2.905632,-96.353132,-0.377429,-0.240145,-20.184516,-3.023882,0.645492,-55.867411,-2.525402,2.717972,-7.648998,-2.104919,3.727429,-62.235928,-7.804701,4.014864,-62.924765,-8.502052,-1.439489,-93.149523,-0.546770,-1.371079,-86.810671,-0.689187,-7.315998,-61.529589,-7.364246,-7.331531,-61.650715,-7.360610,-0.024225,-70.600763,-14.905145,0.518567,-66.925828,-14.054116,-5.117318,-90.049715,-1.615131,-4.980270,-85.580345,-1.909330,-4.396837,-63.665564,-1.141784,-4.409259,-64.289719,-1.141374,15.315445,-5.567044,-24.893157,15.315441,-5.567041,-24.893157,8.278878,-73.931839,0.021490,5.943134,-62.144314,6.124993,-6.420861,-85.118853,-7.801822,-6.143219,-83.097487,-7.931565,-4.191567,-57.118411,2.580349,-3.802701,-65.430906,2.780183,2
8.811384,10.467800,4.654834,-6.053184,-9.638086,-11.162485,-9.532573,-6.246129,-11.141603,19.479665,25.407878,4.279442,37.085383,81.941176,-161.423484,-33.602416,-32.552396,64.136034,-34.162350,-32.289263,63.991912,-3.243156,-18.425682,35.503466,-10.233997,-23.459502,36.621424,1.413441,-37.474054,-10.116879,4.559743,-20.214344,-10.416970,-2.327858,-27.610801,9.377239,-7.941065,5.839748,9.205740,5.874876,-53.401783,0.458483,7.005560,-51.498619,-0.699540,-2.905849,-96.387176,-0.375633,-0.236894,-20.123017,-3.024265,0.643909,-55.903237,-2.525044,2.720468,-7.581077,-2.103128,3.724616,-62.296139,-7.817409,3.937326,-63.346299,-8.503556,-1.439650,-93.167044,-0.546370,-1.379028,-87.479214,-0.674527,-7.318556,-61.549412,-7.363643,-7.361878,-61.887760,-7.353399,-0.044411,-70.703311,-14.920781,0.290543,-67.768905,-14.017901,-5.117724,-90.064360,-1.614143,-4.982360,-85.643254,-1.905269,-4.396987,-63.672453,-1.141776,-4.410457,-64.350672,-1.141335,15.315436,-5.567039,-24.893156,15.315444,-5.567045,-24.893163,8.284916,-74.013723,-0.014390,6.031139,-63.278185,6.011834,-6.422601,-85.131658,-7.800979,-6.152222,-83.162506,-7.927539,-4.192956,-57.087320,2.579504,-3.800484,-65.476402,2.781119,2
8.846706,10.386652,4.706192,10.282593,-11.533965,8.034087,4.952803,0.710567,0.284709,19.396918,25.303361,4.233347,37.184069,81.931525,-161.389578,-33.593321,-32.556637,64.138332,-34.115175,-32.312129,64.004569,-3.264045,-18.441633,35.510256,-10.254894,-23.484227,36.646322,1.419570,-37.439666,-10.118401,4.568914,-20.164289,-10.416448,-2.322200,-27.645045,9.375716,-7.944518,5.861246,9.204576,5.859410,-53.429988,0.475407,6.975344,-51.533203,-0.669087,-2.905957,-96.403314,-0.374781,-0.234221,-20.072266,-3.024573,0.642944,-55.925038,-2.524824,2.722547,-7.524280,-2.101632,3.719370,-62.355640,-7.825836,3.881316,-63.625488,-8.495792,-1.439824,-93.184013,-0.545974,-1.383872,-87.893359,-0.665405,-7.321194,-61.570034,-7.363038,-7.399525,-62.182032,-7.344268,-0.057736,-70.776817,-14.934770,0.121824,-68.376959,-13.979081,-5.118173,-90.080468,-1.613071,-4.984379,-85.703989,-1.901342,-4.397136,-63.679600,-1.141770,-4.411724,-64.414101,-1.141284,15.315450,-5.567044,-24.893158,15.315442,-5.567044,-24.893160,8.290082,-74.077304,-0.044023,6.077977,-64.126791,5.962609,-6.424552,-85.145943,-7.800027,-6.161069,-83.226509,-7.923570,-4.194319,-57.057251,2.578672,-3.798556,-65.516330,2.781945,2
8.883116,10.290927,4.781833,15.752632,-9.694548,13.131834,10.654338,3.709367,2.540146,19.407501,25.173571,4.172060,37.363735,81.935311,-161.275758,-33.583511,-32.560981,64.140679,-34.068329,-32.334032,64.016615,-3.285082,-18.457483,35.517307,-10.274789,-23.508269,36.671073,1.425938,-37.404035,-10.119991,4.578058,-20.114463,-10.415947,-2.316438,-27.680058,9.374168,-7.947534,5.880097,9.203552,5.843903,-53.457868,0.492424,6.945787,-51.565434,-0.639060,-2.906069,-96.420994,-0.373851,-0.231599,-20.022633,-3.024876,0.641925,-55.948229,-2.524593,2.724597,-7.468219,-2.100151,3.714228,-62.415456,-7.834554,3.844749,-63.778179,-8.480735,-1.439990,-93.202451,-0.545545,-1.386414,-88.112905,-0.660556,-7.323993,-61.591816,-7.362376,-7.433578,-62.448705,-7.335829,-0.069271,-70.843996,-14.949139,0.015640,-68.737026,-13.940870,-5.118668,-90.097773,-1.611921,-4.986384,-85.764971,-1.897400,-4.397269,-63.687358,-1.141775,-4.413000,-64.478057,-1.141226,15.315445,-5.567043,-24.893158,15.315443,-5.567039,-24.893159,8.295173,-74.141245,-0.073628,6.080549,-64.663903,5.986724,-6.426540,-85.160539,-7.799045,-6.169966,-83.290875,-7.919574,-4.195680,-57.026850,2.577837,-3.796712,-65.554427,2.782724,2
8.993916,10.194181,4.884078,30.880637,-18.480294,20.794574,14.012101,-3.751352,5.228471,19.312824,24.916645,4.006417,37.533447,81.857199,-161.219154,-33.562888,-32.570623,64.145916,-34.014769,-32.359195,64.030443,-3.301993,-18.472100,35.528279,-10.284663,-23.526054,36.696210,1.431760,-37.371414,-10.121460,4.585311,-20.074763,-10.415518,-2.312683,-27.702727,9.373182,-7.948244,5.884547,9.203306,5.827870,-53.495249,0.509549,6.919661,-51.597965,-0.612877,-2.906102,-96.424585,-0.373663,-0.228535,-19.964780,-3.025231,0.641236,-55.963858,-2.524444,2.726906,-7.405343,-2.098481,3.709271,-62.477914,-7.844383,3.813863,-63.904263,-8.466801,-1.440125,-93.215299,-0.545249,-1.390161,-88.439668,-0.653319,-7.326775,-61.613650,-7.361736,-7.474908,-62.772689,-7.325354,-0.081222,-70.910333,-14.962065,-0.060838,-68.979431,-13.903249,-5.119070,-90.112374,-1.610939,-4.988620,-85.832623,-1.893019,-4.397514,-63.699740,-1.141763,-4.414296,-64.543604,-1.141172,15.315456,-5.567048,-24.893161,15.315440,-5.567042,-24.893156,8.298991,-74.205340,-0.099147,6.062006,-65.008466,6.045241,-6.428005,-85.171361,-7.798323,-6.187111,-83.414808,-7.911840,-4.196550,-57.007445,2.577308,-3.794585,-65.598131,2.783615,2
9.111513,10.087614,4.986261,18.357381,-15.148810,12.414088,1.402678,0.215548,-2.318194,19.197874,24.528050,3.740367,37.786550,81.654021,-161.216407,-33.540377,-32.580927,64.151490,-33.960664,-32.385011,64.044651,-3.318442,-18.486541,35.539981,-10.291733,-23.541894,36.720781,1.437666,-37.338230,-10.122932,4.592297,-20.036702,-10.415120,-2.309115,-27.724368,9.372207,-7.948301,5.884916,9.203296,5.811785,-53.533537,0.526728,6.894580,-51.628512,-0.587613,-2.906117,-96.427588,-0.373506,-0.225477,-19.906919,-3.025572,0.640545,-55.979627,-2.524285,2.729224,-7.342306,-2.096835,3.704432,-62.540846,-7.854580,3.782854,-64.035773,-8.454198,-1.440255,-93.228599,-0.544947,-1.393992,-88.778701,-0.645792,-7.329685,-61.636390,-7.361055,-7.512565,-63.068341,-7.315583,-0.093270,-70.977023,-14.975032,-0.128659,-69.188706,-13.865942,-5.119502,-90.127630,-1.609910,-4.990892,-85.901202,-1.888587,-4.397791,-63.713185,-1.141761,-4.415604,-64.609675,-1.141121,15.315452,-5.567044,-24.893163,15.315454,-5.567038,-24.893160,8.302580,-74.269564,-0.124070,6.043974,-65.299919,6.101567,-6.429454,-85.181989,-7.797614,-6.217811,-83.637231,-7.897882,-4.197360,-56.989255,2.576803,-3.792503,-65.640963,2.784487,2
9.286822,10.025800,5.178942,22.662033,-15.078968,26.548249,-2.722784,-6.128180,-1.352241,19.031026,24.124110,3.421043,37.839930,81.529570,-161.268241,-33.510816,-32.594799,64.159027,-33.904931,-32.410989,64.058880,-3.332136,-18.499613,35.554021,-10.292075,-23.552961,36.744546,1.443263,-37.306964,-10.124307,4.595060,-20.021585,-10.414945,-2.307730,-27.732734,9.371830,-7.946094,5.871177,9.204044,5.792241,-53.576266,0.547898,6.871592,-51.645906,-0.563331,-2.906048,-96.416915,-0.374071,-0.222447,-19.849588,-3.025919,0.640120,-55.989308,-2.524190,2.731348,-7.283813,-2.095272,3.698498,-62.600751,-7.862043,3.758338,-64.123496,-8.438732,-1.440373,-93.241703,-0.544635,-1.397036,-89.049420,-0.639748,-7.333060,-61.662687,-7.360258,-7.548060,-63.347381,-7.306209,-0.106055,-71.043528,-14.986210,-0.159480,-69.246492,-13.828888,-5.119890,-90.141785,-1.608954,-4.993009,-85.966380,-1.884358,-4.398133,-63.729697,-1.141746,-4.416959,-64.677640,-1.141054,15.315446,-5.567040,-24.893157,15.315452,-5.567045,-24.893164,8.306048,-74.352272,-0.152507,6.031576,-65.450313,6.137889,-6.430107,-85.186808,-7.797302,-6.232935,-83.746930,-7.890946,-4.198134,-56.972452,2.576348,-3.790122,-65.690341,2.785500,2
